Date,UANMTI
2006-04-01,10325000000.00
2006-05-01,10926000000.00
2006-06-01,10989000000.00
2006-07-01,11317000000.00
2006-08-01,11469000000.00
2006-09-01,11648000000.00
2006-10-01,11938000000.00
2006-11-01,12002000000.00
2006-12-01,11997000000.00
2007-01-01,12217000000.00
2007-02-01,12285000000.00
2007-03-01,12389000000.00
2007-04-01,12591000000.00
2007-05-01,12281000000.00
2007-06-01,12391000000.00
2007-07-01,12816000000.00
2007-08-01,12797000000.00
2007-09-01,12670000000.00
2007-10-01,12554000000.00
2007-11-01,12567000000.00
2007-12-01,12705000000.00
2008-01-01,12534000000.00
2008-02-01,12696000000.00
2008-03-01,13058000000.00
2008-04-01,13448000000.00
2008-05-01,13596000000.00
2008-06-01,13542000000.00
2008-07-01,13541000000.00
2008-08-01,13417000000.00
2008-09-01,12940000000.00
2008-10-01,12403000000.00
2008-11-01,11760000000.00
2008-12-01,11070000000.00
2009-01-01,10584000000.00
2009-02-01,10224000000.00
2009-03-01,9873000000.00
2009-04-01,9668000000.00
2009-05-01,9606000000.00
2009-06-01,9545000000.00
2009-07-01,9494000000.00
2009-08-01,9520000000.00
2009-09-01,9577000000.00
2009-10-01,9455000000.00
2009-11-01,9562000000.00
2009-12-01,9639000000.00
2010-01-01,9835000000.00
2010-02-01,9933000000.00
2010-03-01,10011000000.00
2010-04-01,10319000000.00
2010-05-01,10418000000.00
2010-06-01,10285000000.00
2010-07-01,10457000000.00
2010-08-01,10604000000.00
2010-09-01,10703000000.00
2010-10-01,10845000000.00
2010-11-01,11095000000.00
2010-12-01,11389000000.00
2011-01-01,11659000000.00
2011-02-01,11818000000.00
2011-03-01,11967000000.00
2011-04-01,12245000000.00
2011-05-01,12445000000.00
2011-06-01,12503000000.00
2011-07-01,12617000000.00
2011-08-01,12618000000.00
2011-09-01,12418000000.00
2011-10-01,12356000000.00
2011-11-01,12354000000.00
2011-12-01,12406000000.00
2012-01-01,12356000000.00
2012-02-01,12529000000.00
2012-03-01,12493000000.00
2012-04-01,12559000000.00
2012-05-01,12666000000.00
2012-06-01,12598000000.00
2012-07-01,12824000000.00
2012-08-01,12902000000.00
2012-09-01,12896000000.00
2012-10-01,13010000000.00
2012-11-01,12894000000.00
2012-12-01,13026000000.00
2013-01-01,13185000000.00
2013-02-01,13292000000.00
2013-03-01,12850000000.00
2013-04-01,12656000000.00
2013-05-01,12708000000.00
2013-06-01,12901000000.00
2013-07-01,12877000000.00
2013-08-01,12925000000.00
2013-09-01,12853000000.00
2013-10-01,12713000000.00
2013-11-01,12650000000.00
2013-12-01,12860000000.00
2014-01-01,12764000000.00
2014-02-01,12939000000.00
2014-03-01,12722000000.00
2014-04-01,13087000000.00
2014-05-01,13183000000.00
2014-06-01,13250000000.00
2014-07-01,13499000000.00
2014-08-01,13592000000.00
2014-09-01,13533000000.00
2014-10-01,13433000000.00
2014-11-01,13500000000.00
2014-12-01,13493000000.00
2015-01-01,13593000000.00
2015-02-01,13325000000.00
2015-03-01,13179000000.00
2015-04-01,13257000000.00
2015-05-01,13151000000.00
2015-06-01,12803000000.00
2015-07-01,12759000000.00
2015-08-01,12530000000.00
2015-09-01,12233000000.00
2015-10-01,12076000000.00
2015-11-01,11820000000.00
2015-12-01,11829000000.00
2016-01-01,11987000000.00
2016-02-01,11854000000.00
2016-03-01,11663000000.00
2016-04-01,11760000000.00
2016-05-01,11648000000.00
2016-06-01,11570000000.00
2016-07-01,11773000000.00
2016-08-01,11754000000.00
2016-09-01,11654000000.00
2016-10-01,11419000000.00
2016-11-01,11709000000.00
2016-12-01,11663000000.00
2017-01-01,11751000000.00
2017-02-01,11819000000.00
2017-03-01,11903000000.00
2017-04-01,12166000000.00
2017-05-01,12185000000.00
2017-06-01,12079000000.00
2017-07-01,12331000000.00
2017-08-01,12378000000.00
2017-09-01,12482000000.00
2017-10-01,12391000000.00
2017-11-01,12533000000.00
2017-12-01,12428000000.00
2018-01-01,12550000000.00
2018-02-01,12687000000.00
2018-03-01,12858000000.00
2018-04-01,13163000000.00
