Date,U34DUO
2000-02-01,42020000000.00
2000-03-01,42732000000.00
2000-04-01,44224000000.00
2000-05-01,43441000000.00
2000-06-01,47733000000.00
2000-07-01,48183000000.00
2000-08-01,46888000000.00
2000-09-01,48149000000.00
2000-10-01,48599000000.00
2000-11-01,48768000000.00
2000-12-01,48119000000.00
2001-01-01,47757000000.00
2001-02-01,47643000000.00
2001-03-01,46479000000.00
2001-04-01,45077000000.00
2001-05-01,44312000000.00
2001-06-01,42499000000.00
2001-07-01,41137000000.00
2001-08-01,39407000000.00
2001-09-01,38174000000.00
2001-10-01,37417000000.00
2001-11-01,36899000000.00
2001-12-01,36619000000.00
2002-01-01,35600000000.00
2002-02-01,35443000000.00
2002-03-01,34078000000.00
2002-04-01,33679000000.00
2002-05-01,33321000000.00
2002-06-01,32233000000.00
2002-07-01,31619000000.00
2002-08-01,30457000000.00
2002-09-01,28313000000.00
2002-10-01,27787000000.00
2002-11-01,27153000000.00
2002-12-01,26191000000.00
2003-01-01,26866000000.00
2003-02-01,27498000000.00
2003-03-01,28127000000.00
2003-04-01,28807000000.00
2003-05-01,28932000000.00
2003-06-01,28046000000.00
2003-07-01,28114000000.00
2003-08-01,27438000000.00
2003-09-01,27951000000.00
2003-10-01,29068000000.00
2003-11-01,28405000000.00
2003-12-01,26969000000.00
2004-01-01,26750000000.00
2004-02-01,27099000000.00
2004-03-01,27145000000.00
2004-04-01,27496000000.00
2004-05-01,27035000000.00
2004-06-01,25980000000.00
2004-07-01,25379000000.00
2004-08-01,24263000000.00
2004-09-01,24074000000.00
2004-10-01,23962000000.00
2004-11-01,23424000000.00
2004-12-01,22980000000.00
2005-01-01,23711000000.00
2005-02-01,24407000000.00
2005-03-01,24364000000.00
2005-04-01,24449000000.00
2005-05-01,24088000000.00
2005-06-01,23880000000.00
2005-07-01,23817000000.00
2005-08-01,23233000000.00
2005-09-01,22790000000.00
2005-10-01,22981000000.00
2005-11-01,22736000000.00
2005-12-01,22022000000.00
2006-01-01,22116000000.00
2006-02-01,22842000000.00
2006-03-01,23701000000.00
2006-04-01,23078000000.00
2006-05-01,22657000000.00
2006-06-01,22535000000.00
2006-07-01,22440000000.00
2006-08-01,22229000000.00
2006-09-01,22950000000.00
2006-10-01,22733000000.00
2006-11-01,22231000000.00
2006-12-01,22356000000.00
2007-01-01,22499000000.00
2007-02-01,22767000000.00
2007-03-01,22276000000.00
2007-04-01,22315000000.00
2007-05-01,22867000000.00
2007-06-01,22177000000.00
2007-07-01,21964000000.00
2007-08-01,21417000000.00
2007-09-01,21724000000.00
2007-10-01,21631000000.00
2007-11-01,20926000000.00
2007-12-01,20845000000.00
2008-01-01,20675000000.00
2008-02-01,21008000000.00
2008-03-01,20801000000.00
2008-04-01,20779000000.00
2008-05-01,20585000000.00
2008-06-01,19507000000.00
2008-07-01,19268000000.00
2008-08-01,19266000000.00
2008-09-01,18942000000.00
2008-10-01,19099000000.00
2008-11-01,18535000000.00
2008-12-01,18141000000.00
2009-01-01,18136000000.00
2009-02-01,18674000000.00
2009-03-01,18883000000.00
2009-04-01,19204000000.00
2009-05-01,19539000000.00
2009-06-01,19554000000.00
2009-07-01,19991000000.00
2009-08-01,20135000000.00
2009-09-01,20593000000.00
2009-10-01,20840000000.00
2009-11-01,20614000000.00
2009-12-01,21032000000.00
2010-01-01,21149000000.00
2010-02-01,21447000000.00
2010-03-01,20757000000.00
2010-04-01,20968000000.00
2010-05-01,20219000000.00
2010-06-01,19814000000.00
2010-07-01,19785000000.00
2010-08-01,20494000000.00
2010-09-01,20856000000.00
2010-10-01,20766000000.00
2010-11-01,20146000000.00
2010-12-01,20770000000.00
2011-01-01,21038000000.00
2011-02-01,21642000000.00
2011-03-01,21775000000.00
2011-04-01,21969000000.00
2011-05-01,22023000000.00
2011-06-01,22729000000.00
2011-07-01,22820000000.00
2011-08-01,23376000000.00
2011-09-01,24245000000.00
2011-10-01,25428000000.00
2011-11-01,25594000000.00
2011-12-01,26549000000.00
2012-01-01,26506000000.00
2012-02-01,27182000000.00
2012-03-01,27530000000.00
2012-04-01,27875000000.00
2012-05-01,27849000000.00
2012-06-01,27818000000.00
2012-07-01,27727000000.00
2012-08-01,27697000000.00
2012-09-01,28078000000.00
2012-10-01,28179000000.00
2012-11-01,27889000000.00
2012-12-01,28418000000.00
2013-01-01,28605000000.00
2013-02-01,28376000000.00
2013-03-01,28141000000.00
2013-04-01,28415000000.00
2013-05-01,29066000000.00
2013-06-01,29220000000.00
2013-07-01,28760000000.00
2013-08-01,28334000000.00
2013-09-01,28482000000.00
2013-10-01,28535000000.00
2013-11-01,28558000000.00
2013-12-01,28797000000.00
2014-01-01,28418000000.00
2014-02-01,28640000000.00
2014-03-01,28615000000.00
2014-04-01,28370000000.00
2014-05-01,27435000000.00
2014-06-01,26228000000.00
2014-07-01,25645000000.00
2014-08-01,25139000000.00
2014-09-01,24362000000.00
2014-10-01,23839000000.00
2014-11-01,23478000000.00
2014-12-01,23177000000.00
2015-01-01,23218000000.00
2015-02-01,23449000000.00
2015-03-01,23560000000.00
2015-04-01,23676000000.00
2015-05-01,23439000000.00
2015-06-01,23083000000.00
2015-07-01,23039000000.00
2015-08-01,22784000000.00
2015-09-01,22727000000.00
2015-10-01,22777000000.00
2015-11-01,22518000000.00
2015-12-01,22285000000.00
2016-01-01,22298000000.00
2016-02-01,22474000000.00
2016-03-01,22422000000.00
2016-04-01,22502000000.00
2016-05-01,22299000000.00
2016-06-01,22039000000.00
2016-07-01,21923000000.00
2016-08-01,21443000000.00
2016-09-01,21409000000.00
2016-10-01,21365000000.00
2016-11-01,21060000000.00
2016-12-01,21047000000.00
2017-01-01,21303000000.00
2017-02-01,22093000000.00
2017-03-01,22315000000.00
2017-04-01,22694000000.00
2017-05-01,22574000000.00
2017-06-01,22562000000.00
2017-07-01,22658000000.00
2017-08-01,22664000000.00
2017-09-01,23041000000.00
2017-10-01,23363000000.00
2017-11-01,23511000000.00
2017-12-01,23629000000.00
2018-01-01,23769000000.00
2018-02-01,24329000000.00
2018-03-01,24409000000.00
2018-04-01,24557000000.00
