Date,DSPIC96
1971-12-01,3644500000000.00
1972-01-01,3624100000000.00
1972-02-01,3644000000000.00
1972-03-01,3654000000000.00
1972-04-01,3658600000000.00
1972-05-01,3683400000000.00
1972-06-01,3691600000000.00
1972-07-01,3720800000000.00
1972-08-01,3755500000000.00
1972-09-01,3769300000000.00
1972-10-01,3863000000000.00
1972-11-01,3906800000000.00
1972-12-01,3922000000000.00
1973-01-01,3902000000000.00
1973-02-01,3930100000000.00
1973-03-01,3942600000000.00
1973-04-01,3948600000000.00
1973-05-01,3954500000000.00
1973-06-01,3965400000000.00
1973-07-01,3974700000000.00
1973-08-01,3963000000000.00
1973-09-01,3982600000000.00
1973-10-01,4018100000000.00
1973-11-01,4024700000000.00
1973-12-01,4008500000000.00
1974-01-01,3981700000000.00
1974-02-01,3950400000000.00
1974-03-01,3921000000000.00
1974-04-01,3917500000000.00
1974-05-01,3913400000000.00
1974-06-01,3911100000000.00
1974-07-01,3932200000000.00
1974-08-01,3913800000000.00
1974-09-01,3907500000000.00
1974-10-01,3926200000000.00
1974-11-01,3906200000000.00
1974-12-01,3906000000000.00
1975-01-01,3904500000000.00
1975-02-01,3906100000000.00
1975-03-01,3909300000000.00
1975-04-01,3983100000000.00
1975-05-01,4212200000000.00
1975-06-01,4068600000000.00
1975-07-01,4007500000000.00
1975-08-01,4033400000000.00
1975-09-01,4044600000000.00
1975-10-01,4060700000000.00
1975-11-01,4057800000000.00
1975-12-01,4059800000000.00
1976-01-01,4086000000000.00
1976-02-01,4111000000000.00
1976-03-01,4123500000000.00
1976-04-01,4127300000000.00
1976-05-01,4127500000000.00
1976-06-01,4129700000000.00
1976-07-01,4153700000000.00
1976-08-01,4160800000000.00
1976-09-01,4161200000000.00
1976-10-01,4155700000000.00
1976-11-01,4192300000000.00
1976-12-01,4202100000000.00
1977-01-01,4185400000000.00
1977-02-01,4149600000000.00
1977-03-01,4211200000000.00
1977-04-01,4224600000000.00
1977-05-01,4229200000000.00
1977-06-01,4248600000000.00
1977-07-01,4279000000000.00
1977-08-01,4297300000000.00
1977-09-01,4320600000000.00
1977-10-01,4352900000000.00
1977-11-01,4388300000000.00
1977-12-01,4404800000000.00
1978-01-01,4384100000000.00
1978-02-01,4409600000000.00
1978-03-01,4445600000000.00
1978-04-01,4459500000000.00
1978-05-01,4455500000000.00
1978-06-01,4455200000000.00
1978-07-01,4476700000000.00
1978-08-01,4494500000000.00
1978-09-01,4495200000000.00
1978-10-01,4512300000000.00
1978-11-01,4517600000000.00
1978-12-01,4542700000000.00
1979-01-01,4555500000000.00
1979-02-01,4573900000000.00
1979-03-01,4587300000000.00
1979-04-01,4551000000000.00
1979-05-01,4529600000000.00
1979-06-01,4518200000000.00
1979-07-01,4551600000000.00
1979-08-01,4557000000000.00
1979-09-01,4554600000000.00
1979-10-01,4559800000000.00
1979-11-01,4575000000000.00
1979-12-01,4587600000000.00
1980-01-01,4618800000000.00
1980-02-01,4593400000000.00
1980-03-01,4557100000000.00
1980-04-01,4529900000000.00
1980-05-01,4516600000000.00
1980-06-01,4522900000000.00
1980-07-01,4564400000000.00
1980-08-01,4572700000000.00
1980-09-01,4597700000000.00
1980-10-01,4653200000000.00
1980-11-01,4664900000000.00
1980-12-01,4686400000000.00
1981-01-01,4664000000000.00
1981-02-01,4646200000000.00
1981-03-01,4656700000000.00
1981-04-01,4642000000000.00
1981-05-01,4649300000000.00
1981-06-01,4672300000000.00
1981-07-01,4743700000000.00
1981-08-01,4755300000000.00
1981-09-01,4750200000000.00
1981-10-01,4760200000000.00
1981-11-01,4761900000000.00
1981-12-01,4755200000000.00
1982-01-01,4757100000000.00
1982-02-01,4769500000000.00
1982-03-01,4768100000000.00
1982-04-01,4814900000000.00
1982-05-01,4794600000000.00
1982-06-01,4767600000000.00
1982-07-01,4815800000000.00
1982-08-01,4819300000000.00
1982-09-01,4818900000000.00
1982-10-01,4818600000000.00
1982-11-01,4838200000000.00
1982-12-01,4862300000000.00
1983-01-01,4872300000000.00
1983-02-01,4874200000000.00
1983-03-01,4897200000000.00
1983-04-01,4906000000000.00
1983-05-01,4922600000000.00
1983-06-01,4919200000000.00
1983-07-01,4982400000000.00
1983-08-01,4979600000000.00
1983-09-01,5008200000000.00
1983-10-01,5052800000000.00
1983-11-01,5096700000000.00
1983-12-01,5143300000000.00
1984-01-01,5169100000000.00
1984-02-01,5200600000000.00
1984-03-01,5235000000000.00
1984-04-01,5271000000000.00
1984-05-01,5279200000000.00
1984-06-01,5314800000000.00
1984-07-01,5322700000000.00
1984-08-01,5360700000000.00
1984-09-01,5399200000000.00
1984-10-01,5378700000000.00
1984-11-01,5401400000000.00
1984-12-01,5434800000000.00
1985-01-01,5433600000000.00
1985-02-01,5384100000000.00
1985-03-01,5358600000000.00
1985-04-01,5450300000000.00
1985-05-01,5578000000000.00
1985-06-01,5459200000000.00
1985-07-01,5472000000000.00
1985-08-01,5468000000000.00
1985-09-01,5492300000000.00
1985-10-01,5520800000000.00
1985-11-01,5533200000000.00
1985-12-01,5567200000000.00
1986-01-01,5571000000000.00
1986-02-01,5599900000000.00
1986-03-01,5657300000000.00
1986-04-01,5680000000000.00
1986-05-01,5687300000000.00
1986-06-01,5684500000000.00
1986-07-01,5715900000000.00
1986-08-01,5725300000000.00
1986-09-01,5731300000000.00
1986-10-01,5727900000000.00
1986-11-01,5732300000000.00
1986-12-01,5742900000000.00
1987-01-01,5759200000000.00
1987-02-01,5789900000000.00
1987-03-01,5796100000000.00
1987-04-01,5577400000000.00
1987-05-01,5803300000000.00
1987-06-01,5795400000000.00
1987-07-01,5812700000000.00
1987-08-01,5837800000000.00
1987-09-01,5838200000000.00
1987-10-01,5874900000000.00
1987-11-01,5897100000000.00
1987-12-01,5950600000000.00
1988-01-01,5963800000000.00
1988-02-01,5996900000000.00
1988-03-01,6020300000000.00
1988-04-01,6041600000000.00
1988-05-01,6050400000000.00
1988-06-01,6073700000000.00
1988-07-01,6098400000000.00
1988-08-01,6116700000000.00
1988-09-01,6125600000000.00
1988-10-01,6159500000000.00
1988-11-01,6162000000000.00
1988-12-01,6196400000000.00
1989-01-01,6224800000000.00
1989-02-01,6244700000000.00
1989-03-01,6276600000000.00
1989-04-01,6244000000000.00
1989-05-01,6215100000000.00
1989-06-01,6232200000000.00
1989-07-01,6256900000000.00
1989-08-01,6272600000000.00
1989-09-01,6289000000000.00
1989-10-01,6318100000000.00
1989-11-01,6325100000000.00
1989-12-01,6326700000000.00
1990-01-01,6366200000000.00
1990-02-01,6382000000000.00
1990-03-01,6381000000000.00
1990-04-01,6419200000000.00
1990-05-01,6405200000000.00
1990-06-01,6419400000000.00
1990-07-01,6442500000000.00
1990-08-01,6404700000000.00
1990-09-01,6404000000000.00
1990-10-01,6353200000000.00
1990-11-01,6354900000000.00
1990-12-01,6390300000000.00
1991-01-01,6369300000000.00
1991-02-01,6379400000000.00
1991-03-01,6390600000000.00
1991-04-01,6412700000000.00
1991-05-01,6412900000000.00
1991-06-01,6445900000000.00
1991-07-01,6432800000000.00
1991-08-01,6445000000000.00
1991-09-01,6463700000000.00
1991-10-01,6474000000000.00
1991-11-01,6486700000000.00
1991-12-01,6546200000000.00
1992-01-01,6616300000000.00
1992-02-01,6649900000000.00
1992-03-01,6659600000000.00
1992-04-01,6679400000000.00
1992-05-01,6712900000000.00
1992-06-01,6741700000000.00
1992-07-01,6736800000000.00
1992-08-01,6759600000000.00
1992-09-01,6725800000000.00
1992-10-01,6682500000000.00
1992-11-01,6685900000000.00
1992-12-01,6922800000000.00
1993-01-01,6793600000000.00
1993-02-01,6817100000000.00
1993-03-01,6794600000000.00
1993-04-01,6825900000000.00
1993-05-01,6814500000000.00
1993-06-01,6800800000000.00
1993-07-01,6817100000000.00
1993-08-01,6826900000000.00
1993-09-01,6809300000000.00
1993-10-01,6772600000000.00
1993-11-01,6791600000000.00
1993-12-01,7023200000000.00
1994-01-01,6892900000000.00
1994-02-01,6908400000000.00
1994-03-01,6930400000000.00
1994-04-01,6932600000000.00
1994-05-01,7016100000000.00
1994-06-01,7002800000000.00
1994-07-01,7008800000000.00
1994-08-01,7019100000000.00
1994-09-01,7048200000000.00
1994-10-01,7113400000000.00
1994-11-01,7111100000000.00
1994-12-01,7144200000000.00
1995-01-01,7174200000000.00
1995-02-01,7190300000000.00
1995-03-01,7208300000000.00
1995-04-01,7153100000000.00
1995-05-01,7223300000000.00
1995-06-01,7245400000000.00
1995-07-01,7259900000000.00
1995-08-01,7265800000000.00
1995-09-01,7289400000000.00
1995-10-01,7297700000000.00
1995-11-01,7317500000000.00
1995-12-01,7326100000000.00
1996-01-01,7337500000000.00
1996-02-01,7394600000000.00
1996-03-01,7419100000000.00
1996-04-01,7376400000000.00
1996-05-01,7470800000000.00
1996-06-01,7515500000000.00
1996-07-01,7495600000000.00
1996-08-01,7513800000000.00
1996-09-01,7531800000000.00
1996-10-01,7530800000000.00
1996-11-01,7550600000000.00
1996-12-01,7577200000000.00
1997-01-01,7602100000000.00
1997-02-01,7624600000000.00
1997-03-01,7659500000000.00
1997-04-01,7664700000000.00
1997-05-01,7696300000000.00
1997-06-01,7720600000000.00
1997-07-01,7751800000000.00
1997-08-01,7791700000000.00
1997-09-01,7813000000000.00
1997-10-01,7849700000000.00
1997-11-01,7898400000000.00
1997-12-01,7942900000000.00
1998-01-01,8015000000000.00
1998-02-01,8067000000000.00
1998-03-01,8114000000000.00
1998-04-01,8140500000000.00
1998-05-01,8173600000000.00
1998-06-01,8219900000000.00
1998-07-01,8234800000000.00
1998-08-01,8261800000000.00
1998-09-01,8287300000000.00
1998-10-01,8301100000000.00
1998-11-01,8335000000000.00
1998-12-01,8349500000000.00
1999-01-01,8381700000000.00
1999-02-01,8409000000000.00
1999-03-01,8418600000000.00
1999-04-01,8402600000000.00
1999-05-01,8420100000000.00
1999-06-01,8448900000000.00
1999-07-01,8458400000000.00
1999-08-01,8494400000000.00
1999-09-01,8488300000000.00
1999-10-01,8541300000000.00
1999-11-01,8601700000000.00
1999-12-01,8672200000000.00
2000-01-01,8744800000000.00
2000-02-01,8778700000000.00
2000-03-01,8800600000000.00
2000-04-01,8836900000000.00
2000-05-01,8869800000000.00
2000-06-01,8890200000000.00
2000-07-01,8937100000000.00
2000-08-01,8985200000000.00
2000-09-01,8985500000000.00
2000-10-01,9000000000000.00
2000-11-01,8994000000000.00
2000-12-01,9004600000000.00
2001-01-01,9054500000000.00
2001-02-01,9073000000000.00
2001-03-01,9101300000000.00
2001-04-01,9080800000000.00
2001-05-01,9061700000000.00
2001-06-01,9062400000000.00
2001-07-01,9198400000000.00
2001-08-01,9359000000000.00
2001-09-01,9290600000000.00
2001-10-01,9145700000000.00
2001-11-01,9167500000000.00
2001-12-01,9190400000000.00
2002-01-01,9385700000000.00
2002-02-01,9395500000000.00
2002-03-01,9391300000000.00
2002-04-01,9417900000000.00
2002-05-01,9438500000000.00
2002-06-01,9459000000000.00
2002-07-01,9429700000000.00
2002-08-01,9422000000000.00
2002-09-01,9427100000000.00
2002-10-01,9448300000000.00
2002-11-01,9469500000000.00
2002-12-01,9497000000000.00
2003-01-01,9500800000000.00
2003-02-01,9481300000000.00
2003-03-01,9514900000000.00
2003-04-01,9576200000000.00
2003-05-01,9650600000000.00
2003-06-01,9683200000000.00
2003-07-01,9792100000000.00
2003-08-01,9852800000000.00
2003-09-01,9739000000000.00
2003-10-01,9780600000000.00
2003-11-01,9852400000000.00
2003-12-01,9869100000000.00
2004-01-01,9879900000000.00
2004-02-01,9900700000000.00
2004-03-01,9936600000000.00
2004-04-01,9969200000000.00
2004-05-01,10020200000000.00
2004-06-01,10020500000000.00
2004-07-01,10036400000000.00
2004-08-01,10065800000000.00
2004-09-01,10066000000000.00
2004-10-01,10075000000000.00
2004-11-01,10051200000000.00
2004-12-01,10418500000000.00
2005-01-01,10070400000000.00
2005-02-01,10074500000000.00
2005-03-01,10105900000000.00
2005-04-01,10125600000000.00
2005-05-01,10167500000000.00
2005-06-01,10196800000000.00
2005-07-01,10222500000000.00
2005-08-01,10238000000000.00
2005-09-01,10185600000000.00
2005-10-01,10234600000000.00
2005-11-01,10304900000000.00
2005-12-01,10359600000000.00
2006-01-01,10498600000000.00
2006-02-01,10543400000000.00
2006-03-01,10562700000000.00
2006-04-01,10549100000000.00
2006-05-01,10539800000000.00
2006-06-01,10563300000000.00
2006-07-01,10560400000000.00
2006-08-01,10558600000000.00
2006-09-01,10623500000000.00
2006-10-01,10684600000000.00
2006-11-01,10722400000000.00
2006-12-01,10750400000000.00
2007-01-01,10759900000000.00
2007-02-01,10788000000000.00
2007-03-01,10820600000000.00
2007-04-01,10818300000000.00
2007-05-01,10813000000000.00
2007-06-01,10800700000000.00
2007-07-01,10825100000000.00
2007-08-01,10831600000000.00
2007-09-01,10859200000000.00
2007-10-01,10839400000000.00
2007-11-01,10828900000000.00
2007-12-01,10874900000000.00
2008-01-01,10906200000000.00
2008-02-01,10925400000000.00
2008-03-01,10948400000000.00
2008-04-01,10906900000000.00
2008-05-01,11431600000000.00
2008-06-01,11129800000000.00
2008-07-01,10954300000000.00
2008-08-01,10866700000000.00
2008-09-01,10878900000000.00
2008-10-01,10933000000000.00
2008-11-01,11008900000000.00
2008-12-01,10969200000000.00
2009-01-01,11015100000000.00
2009-02-01,10916000000000.00
2009-03-01,10916600000000.00
2009-04-01,10976400000000.00
2009-05-01,11147200000000.00
2009-06-01,10958000000000.00
2009-07-01,10919500000000.00
2009-08-01,10892400000000.00
2009-09-01,10907100000000.00
2009-10-01,10862600000000.00
2009-11-01,10888000000000.00
2009-12-01,10925700000000.00
2010-01-01,10906700000000.00
2010-02-01,10887500000000.00
2010-03-01,10912000000000.00
2010-04-01,10993200000000.00
2010-05-01,11067000000000.00
2010-06-01,11071300000000.00
2010-07-01,11080500000000.00
2010-08-01,11114700000000.00
2010-09-01,11101200000000.00
2010-10-01,11128300000000.00
2010-11-01,11160800000000.00
2010-12-01,11239000000000.00
2011-01-01,11297400000000.00
2011-02-01,11329000000000.00
2011-03-01,11312400000000.00
2011-04-01,11282800000000.00
2011-05-01,11277100000000.00
2011-06-01,11325800000000.00
2011-07-01,11371200000000.00
2011-08-01,11363500000000.00
2011-09-01,11330800000000.00
2011-10-01,11340800000000.00
2011-11-01,11329300000000.00
2011-12-01,11416000000000.00
2012-01-01,11495200000000.00
2012-02-01,11559000000000.00
2012-03-01,11589000000000.00
2012-04-01,11620000000000.00
2012-05-01,11632100000000.00
2012-06-01,11657800000000.00
2012-07-01,11626400000000.00
2012-08-01,11605600000000.00
2012-09-01,11660200000000.00
2012-10-01,11729100000000.00
2012-11-01,11884700000000.00
2012-12-01,12194800000000.00
2013-01-01,11435500000000.00
2013-02-01,11432800000000.00
2013-03-01,11445100000000.00
2013-04-01,11449800000000.00
2013-05-01,11517900000000.00
2013-06-01,11545500000000.00
2013-07-01,11538900000000.00
2013-08-01,11573500000000.00
2013-09-01,11602800000000.00
2013-10-01,11572200000000.00
2013-11-01,11602300000000.00
2013-12-01,11615400000000.00
2014-01-01,11649300000000.00
2014-02-01,11721300000000.00
2014-03-01,11790700000000.00
2014-04-01,11824200000000.00
2014-05-01,11867700000000.00
2014-06-01,11922600000000.00
2014-07-01,11943100000000.00
2014-08-01,12006100000000.00
2014-09-01,12036700000000.00
2014-10-01,12105200000000.00
2014-11-01,12172000000000.00
2014-12-01,12231600000000.00
2015-01-01,12271000000000.00
2015-02-01,12315900000000.00
2015-03-01,12306100000000.00
2015-04-01,12378700000000.00
2015-05-01,12423100000000.00
2015-06-01,12440800000000.00
2015-07-01,12439000000000.00
2015-08-01,12470200000000.00
2015-09-01,12503200000000.00
2015-10-01,12556000000000.00
2015-11-01,12556800000000.00
2015-12-01,12570800000000.00
2016-01-01,12563900000000.00
2016-02-01,12555700000000.00
2016-03-01,12583500000000.00
2016-04-01,12611900000000.00
2016-05-01,12626800000000.00
2016-06-01,12643000000000.00
2016-07-01,12663500000000.00
2016-08-01,12646000000000.00
2016-09-01,12638300000000.00
2016-10-01,12613400000000.00
2016-11-01,12589400000000.00
2016-12-01,12569900000000.00
2017-01-01,12627400000000.00
2017-02-01,12672300000000.00
2017-03-01,12741500000000.00
2017-04-01,12732600000000.00
2017-05-01,12786200000000.00
2017-06-01,12778100000000.00
2017-07-01,12791100000000.00
2017-08-01,12785400000000.00
2017-09-01,12786900000000.00
2017-10-01,12808800000000.00
2017-11-01,12820300000000.00
2017-12-01,12852900000000.00
2018-01-01,12915000000000.00
2018-02-01,12936300000000.00
2018-03-01,12970100000000.00
2018-04-01,12982200000000.00
2018-05-01,13009800000000.00
