Date,USACPIHOUMINMEI
1990-07-01,56.68
1990-08-01,57.22
1990-09-01,57.14
1990-10-01,57.22
1990-11-01,57.22
1990-12-01,57.34
1991-01-01,57.88
1991-02-01,58.11
1991-03-01,58.34
1991-04-01,58.34
1991-05-01,58.34
1991-06-01,58.57
1991-07-01,59.00
1991-08-01,59.19
1991-09-01,59.23
1991-10-01,59.35
1991-11-01,59.42
1991-12-01,59.58
1992-01-01,59.96
1992-02-01,60.20
1992-03-01,60.47
1992-04-01,60.39
1992-05-01,60.35
1992-06-01,60.70
1992-07-01,61.05
1992-08-01,61.24
1992-09-01,61.05
1992-10-01,61.28
1992-11-01,61.28
1992-12-01,61.32
1993-01-01,61.78
1993-02-01,62.05
1993-03-01,62.20
1993-04-01,62.28
1993-05-01,62.28
1993-06-01,62.59
1993-07-01,62.82
1993-08-01,63.02
1993-09-01,62.94
1993-10-01,63.02
1993-11-01,63.02
1993-12-01,63.17
1994-01-01,63.56
1994-02-01,63.98
1994-03-01,64.25
1994-04-01,64.18
1994-05-01,64.14
1994-06-01,64.37
1994-07-01,64.64
1994-08-01,64.99
1994-09-01,64.99
1994-10-01,65.14
1994-11-01,65.14
1994-12-01,65.03
1995-01-01,65.45
1995-02-01,65.84
1995-03-01,66.15
1995-04-01,66.18
1995-05-01,66.26
1995-06-01,66.53
1995-07-01,66.92
1995-08-01,67.07
1995-09-01,67.07
1995-10-01,67.27
1995-11-01,67.27
1995-12-01,67.30
1996-01-01,67.81
1996-02-01,68.12
1996-03-01,68.39
1996-04-01,68.39
1996-05-01,68.39
1996-06-01,68.62
1996-07-01,69.12
1996-08-01,69.28
1996-09-01,69.16
1996-10-01,69.31
1996-11-01,69.31
1996-12-01,69.28
1997-01-01,69.78
1997-02-01,70.16
1997-03-01,70.43
1997-04-01,70.47
1997-05-01,70.47
1997-06-01,70.74
1997-07-01,71.13
1997-08-01,71.36
1997-09-01,71.25
1997-10-01,71.48
1997-11-01,71.48
1997-12-01,71.59
1998-01-01,72.06
1998-02-01,72.44
1998-03-01,72.68
1998-04-01,72.79
1998-05-01,72.87
1998-06-01,73.14
1998-07-01,73.45
1998-08-01,73.72
1998-09-01,73.80
1998-10-01,73.99
1998-11-01,73.99
1998-12-01,73.99
1999-01-01,74.30
1999-02-01,74.61
1999-03-01,74.92
1999-04-01,75.07
1999-05-01,75.03
1999-06-01,75.30
1999-07-01,75.61
1999-08-01,75.77
1999-09-01,75.77
1999-10-01,75.84
1999-11-01,75.84
1999-12-01,75.84
2000-01-01,76.50
2000-02-01,76.85
2000-03-01,77.31
2000-04-01,77.35
2000-05-01,77.39
2000-06-01,77.74
2000-07-01,78.08
2000-08-01,78.32
2000-09-01,78.28
2000-10-01,78.55
2000-11-01,78.51
2000-12-01,78.47
2001-01-01,79.01
2001-02-01,79.48
2001-03-01,80.05
2001-04-01,80.13
2001-05-01,80.29
2001-06-01,80.75
2001-07-01,81.02
2001-08-01,81.45
2001-09-01,81.25
2001-10-01,81.45
2001-11-01,81.64
2001-12-01,81.79
2002-01-01,82.30
2002-02-01,82.95
2002-03-01,83.30
2002-04-01,83.49
2002-05-01,83.49
2002-06-01,83.76
2002-07-01,84.00
2002-08-01,84.34
2002-09-01,84.19
2002-10-01,84.38
2002-11-01,84.30
2002-12-01,84.27
2003-01-01,84.81
2003-02-01,85.12
2003-03-01,85.35
2003-04-01,85.31
2003-05-01,85.58
2003-06-01,85.66
2003-07-01,86.00
2003-08-01,86.20
2003-09-01,86.00
2003-10-01,86.35
2003-11-01,86.16
2003-12-01,86.12
2004-01-01,86.58
2004-02-01,86.89
2004-03-01,87.63
2004-04-01,87.86
2004-05-01,87.98
2004-06-01,88.21
2004-07-01,88.55
2004-08-01,88.63
2004-09-01,88.59
2004-10-01,88.79
2004-11-01,88.48
2004-12-01,88.44
2005-01-01,88.90
2005-02-01,89.52
2005-03-01,90.29
2005-04-01,90.29
2005-05-01,90.10
2005-06-01,90.33
2005-07-01,90.76
2005-08-01,90.80
2005-09-01,90.33
2005-10-01,90.83
2005-11-01,90.76
2005-12-01,90.80
2006-01-01,91.26
2006-02-01,91.88
2006-03-01,92.57
2006-04-01,92.88
2006-05-01,93.11
2006-06-01,93.50
2006-07-01,94.04
2006-08-01,94.31
2006-09-01,94.20
2006-10-01,94.54
2006-11-01,94.54
2006-12-01,94.66
2007-01-01,95.23
2007-02-01,95.83
2007-03-01,96.24
2007-04-01,96.54
2007-05-01,96.61
2007-06-01,97.05
2007-07-01,97.50
2007-08-01,97.57
2007-09-01,97.47
2007-10-01,97.64
2007-11-01,97.56
2007-12-01,97.62
2008-01-01,98.23
2008-02-01,98.60
2008-03-01,99.09
2008-04-01,99.09
2008-05-01,99.11
2008-06-01,99.52
2008-07-01,99.93
2008-08-01,99.89
2008-09-01,99.78
2008-10-01,99.82
2008-11-01,99.67
2008-12-01,99.51
2009-01-01,100.00
2009-02-01,100.24
2009-03-01,100.53
2009-04-01,100.64
2009-05-01,100.60
2009-06-01,100.79
2009-07-01,100.82
2009-08-01,100.79
2009-09-01,100.48
2009-10-01,100.47
2009-11-01,99.95
2009-12-01,99.80
2010-01-01,99.83
2010-02-01,99.85
2010-03-01,99.87
2010-04-01,99.86
2010-05-01,99.88
2010-06-01,100.03
2010-07-01,100.11
2010-08-01,100.07
2010-09-01,100.04
2010-10-01,100.09
2010-11-01,100.12
2010-12-01,100.23
2011-01-01,100.43
2011-02-01,100.60
2011-03-01,100.78
2011-04-01,100.83
2011-05-01,100.95
2011-06-01,101.22
2011-07-01,101.52
2011-08-01,101.67
2011-09-01,101.71
2011-10-01,101.89
2011-11-01,101.97
2011-12-01,102.13
2012-01-01,102.41
2012-02-01,102.63
2012-03-01,102.90
2012-04-01,103.06
2012-05-01,103.23
2012-06-01,103.43
2012-07-01,103.62
2012-08-01,103.79
2012-09-01,103.96
2012-10-01,104.19
2012-11-01,104.26
2012-12-01,104.37
2013-01-01,104.67
2013-02-01,104.93
2013-03-01,105.18
2013-04-01,105.32
2013-05-01,105.58
2013-06-01,105.83
2013-07-01,106.04
2013-08-01,106.28
2013-09-01,106.40
2013-10-01,106.55
2013-11-01,106.79
2013-12-01,107.01
2014-01-01,107.36
2014-02-01,107.63
2014-03-01,108.03
2014-04-01,108.22
2014-05-01,108.56
2014-06-01,108.78
2014-07-01,109.10
2014-08-01,109.32
2014-09-01,109.52
2014-10-01,109.77
2014-11-01,109.95
2014-12-01,110.09
2015-01-01,110.48
2015-02-01,110.81
2015-03-01,111.21
2015-04-01,111.45
2015-05-01,111.69
2015-06-01,112.06
2015-07-01,112.50
2015-08-01,112.72
2015-09-01,113.01
2015-10-01,113.29
2015-11-01,113.46
2015-12-01,113.64
2016-01-01,114.09
2016-02-01,114.47
2016-03-01,114.78
2016-04-01,115.05
2016-05-01,115.49
2016-06-01,115.95
2016-07-01,116.24
2016-08-01,116.58
2016-09-01,116.92
2016-10-01,117.31
2016-11-01,117.53
2016-12-01,117.80
2017-01-01,118.19
2017-02-01,118.54
2017-03-01,118.79
2017-04-01,119.05
2017-05-01,119.37
2017-06-01,119.75
2017-07-01,119.94
2017-08-01,120.45
2017-09-01,120.73
2017-10-01,121.14
2017-11-01,121.28
2017-12-01,121.60
2018-01-01,121.98
2018-02-01,122.28
2018-03-01,122.76
2018-04-01,123.12
2018-05-01,123.59
