Date,BOGMBASE
1965-12-01,61022000000.00
1966-01-01,60520000000.00
1966-02-01,59751000000.00
1966-03-01,59933000000.00
1966-04-01,60510000000.00
1966-05-01,60631000000.00
1966-06-01,61102000000.00
1966-07-01,62064000000.00
1966-08-01,61734000000.00
1966-09-01,62359000000.00
1966-10-01,62603000000.00
1966-11-01,62993000000.00
1966-12-01,64185000000.00
1967-01-01,63850000000.00
1967-02-01,63282000000.00
1967-03-01,63166000000.00
1967-04-01,63274000000.00
1967-05-01,63382000000.00
1967-06-01,64005000000.00
1967-07-01,64821000000.00
1967-08-01,64699000000.00
1967-09-01,65225000000.00
1967-10-01,65894000000.00
1967-11-01,66453000000.00
1967-12-01,67818000000.00
1968-01-01,67698000000.00
1968-02-01,67213000000.00
1968-03-01,67521000000.00
1968-04-01,67953000000.00
1968-05-01,68077000000.00
1968-06-01,68874000000.00
1968-07-01,69700000000.00
1968-08-01,69887000000.00
1968-09-01,70048000000.00
1968-10-01,70830000000.00
1968-11-01,71727000000.00
1968-12-01,73139000000.00
1969-01-01,72865000000.00
1969-02-01,71978000000.00
1969-03-01,71768000000.00
1969-04-01,72361000000.00
1969-05-01,73358000000.00
1969-06-01,73509000000.00
1969-07-01,73725000000.00
1969-08-01,73773000000.00
1969-09-01,73780000000.00
1969-10-01,74436000000.00
1969-11-01,75569000000.00
1969-12-01,76752000000.00
1970-01-01,76398000000.00
1970-02-01,75237000000.00
1970-03-01,75276000000.00
1970-04-01,76294000000.00
1970-05-01,76649000000.00
1970-06-01,76900000000.00
1970-07-01,77960000000.00
1970-08-01,78227000000.00
1970-09-01,78684000000.00
1970-10-01,78691000000.00
1970-11-01,79468000000.00
1970-12-01,80987000000.00
1971-01-01,81170000000.00
1971-02-01,80565000000.00
1971-03-01,80788000000.00
1971-04-01,81641000000.00
1971-05-01,82405000000.00
1971-06-01,82894000000.00
1971-07-01,84184000000.00
1971-08-01,84079000000.00
1971-09-01,84431000000.00
1971-10-01,84692000000.00
1971-11-01,85491000000.00
1971-12-01,86798000000.00
1972-01-01,87220000000.00
1972-02-01,86081000000.00
1972-03-01,86656000000.00
1972-04-01,87888000000.00
1972-05-01,88543000000.00
1972-06-01,88896000000.00
1972-07-01,90075000000.00
1972-08-01,90098000000.00
1972-09-01,90193000000.00
1972-10-01,91423000000.00
1972-11-01,90531000000.00
1972-12-01,91381000000.00
1973-01-01,91688000000.00
1973-02-01,90275000000.00
1973-03-01,91118000000.00
1973-04-01,92586000000.00
1973-05-01,93118000000.00
1973-06-01,93732000000.00
1973-07-01,95575000000.00
1973-08-01,95828000000.00
1973-09-01,96226000000.00
1973-10-01,97484000000.00
1973-11-01,98343000000.00
1973-12-01,100143000000.00
1974-01-01,100376000000.00
1974-02-01,99063000000.00
1974-03-01,99604000000.00
1974-04-01,101743000000.00
1974-05-01,102777000000.00
1974-06-01,103597000000.00
1974-07-01,105054000000.00
1974-08-01,105046000000.00
1974-09-01,105292000000.00
1974-10-01,105704000000.00
1974-11-01,106933000000.00
1974-12-01,108640000000.00
1975-01-01,107745000000.00
1975-02-01,105511000000.00
1975-03-01,105693000000.00
1975-04-01,106816000000.00
1975-05-01,106989000000.00
1975-06-01,108423000000.00
1975-07-01,109501000000.00
1975-08-01,109092000000.00
1975-09-01,109203000000.00
1975-10-01,109675000000.00
1975-11-01,111096000000.00
1975-12-01,113125000000.00
1976-01-01,111925000000.00
1976-02-01,110558000000.00
1976-03-01,111255000000.00
1976-04-01,113093000000.00
1976-05-01,113566000000.00
1976-06-01,114411000000.00
1976-07-01,115579000000.00
1976-08-01,115533000000.00
1976-09-01,115573000000.00
1976-10-01,116554000000.00
1976-11-01,118343000000.00
1976-12-01,120337000000.00
1977-01-01,119677000000.00
1977-02-01,117818000000.00
1977-03-01,118719000000.00
1977-04-01,120646000000.00
1977-05-01,120979000000.00
1977-06-01,121804000000.00
1977-07-01,124091000000.00
1977-08-01,124180000000.00
1977-09-01,124425000000.00
1977-10-01,125749000000.00
1977-11-01,127607000000.00
1977-12-01,129915000000.00
1978-01-01,130211000000.00
1978-02-01,128671000000.00
1978-03-01,129110000000.00
1978-04-01,131177000000.00
1978-05-01,132255000000.00
1978-06-01,133606000000.00
1978-07-01,135708000000.00
1978-08-01,135209000000.00
1978-09-01,136211000000.00
1978-10-01,137572000000.00
1978-11-01,140734000000.00
1978-12-01,144721000000.00
1979-01-01,144328000000.00
1979-02-01,141606000000.00
1979-03-01,142293000000.00
1979-04-01,144410000000.00
1979-05-01,144494000000.00
1979-06-01,145889000000.00
1979-07-01,148136000000.00
1979-08-01,148568000000.00
1979-09-01,149585000000.00
1979-10-01,151533000000.00
1979-11-01,153809000000.00
1979-12-01,156653000000.00
1980-01-01,155995000000.00
1980-02-01,153896000000.00
1980-03-01,155032000000.00
1980-04-01,157858000000.00
1980-05-01,157915000000.00
1980-06-01,158922000000.00
1980-07-01,159940000000.00
1980-08-01,158388000000.00
1980-09-01,159391000000.00
1980-10-01,160925000000.00
1980-11-01,162049000000.00
1980-12-01,163376000000.00
1981-01-01,161080000000.00
1981-02-01,158982000000.00
1981-03-01,159765000000.00
1981-04-01,162371000000.00
1981-05-01,163200000000.00
1981-06-01,163929000000.00
1981-07-01,166041000000.00
1981-08-01,166116000000.00
1981-09-01,164686000000.00
1981-10-01,164972000000.00
1981-11-01,167230000000.00
1981-12-01,170681000000.00
1982-01-01,169811000000.00
1982-02-01,167490000000.00
1982-03-01,166219000000.00
1982-04-01,168703000000.00
1982-05-01,170045000000.00
1982-06-01,171679000000.00
1982-07-01,173381000000.00
1982-08-01,173975000000.00
1982-09-01,173383000000.00
1982-10-01,174957000000.00
1982-11-01,177469000000.00
1982-12-01,180717000000.00
1983-01-01,178899000000.00
1983-02-01,177044000000.00
1983-03-01,177320000000.00
1983-04-01,180038000000.00
1983-05-01,181386000000.00
1983-06-01,183320000000.00
1983-07-01,185279000000.00
1983-08-01,185438000000.00
1983-09-01,184936000000.00
1983-10-01,186416000000.00
1983-11-01,189064000000.00
1983-12-01,192191000000.00
1984-01-01,191350000000.00
1984-02-01,186839000000.00
1984-03-01,189122000000.00
1984-04-01,192249000000.00
1984-05-01,192820000000.00
1984-06-01,195695000000.00
1984-07-01,197492000000.00
1984-08-01,196735000000.00
1984-09-01,197898000000.00
1984-10-01,198076000000.00
1984-11-01,200592000000.00
1984-12-01,204812000000.00
1985-01-01,203177000000.00
1985-02-01,200224000000.00
1985-03-01,202719000000.00
1985-04-01,205511000000.00
1985-05-01,206691000000.00
1985-06-01,210250000000.00
1985-07-01,212277000000.00
1985-08-01,212802000000.00
1985-09-01,214674000000.00
1985-10-01,216000000000.00
1985-11-01,219498000000.00
1985-12-01,224722000000.00
1986-01-01,221697000000.00
1986-02-01,217759000000.00
1986-03-01,221355000000.00
1986-04-01,225063000000.00
1986-05-01,226423000000.00
1986-06-01,230141000000.00
1986-07-01,232992000000.00
1986-08-01,233236000000.00
1986-09-01,235110000000.00
1986-10-01,237005000000.00
1986-11-01,241953000000.00
1986-12-01,248625000000.00
1987-01-01,246971000000.00
1987-02-01,242453000000.00
1987-03-01,244774000000.00
1987-04-01,249579000000.00
1987-05-01,250593000000.00
1987-06-01,252859000000.00
1987-07-01,254802000000.00
1987-08-01,254559000000.00
1987-09-01,256258000000.00
1987-10-01,258112000000.00
1987-11-01,262358000000.00
1987-12-01,266878000000.00
1988-01-01,266252000000.00
1988-02-01,260724000000.00
1988-03-01,263388000000.00
1988-04-01,268448000000.00
1988-05-01,268823000000.00
1988-06-01,273081000000.00
1988-07-01,275836000000.00
1988-08-01,274808000000.00
1988-09-01,275231000000.00
1988-10-01,275440000000.00
1988-11-01,279159000000.00
1988-12-01,283789000000.00
1989-01-01,282165000000.00
1989-02-01,275271000000.00
1989-03-01,278788000000.00
1989-04-01,281630000000.00
1989-05-01,280583000000.00
1989-06-01,283671000000.00
1989-07-01,285701000000.00
1989-08-01,283854000000.00
1989-09-01,284036000000.00
1989-10-01,284238000000.00
1989-11-01,287814000000.00
1989-12-01,294323000000.00
1990-01-01,293132000000.00
1990-02-01,287719000000.00
1990-03-01,292402000000.00
1990-04-01,297404000000.00
1990-05-01,297279000000.00
1990-06-01,301742000000.00
1990-07-01,303888000000.00
1990-08-01,305147000000.00
1990-09-01,308033000000.00
1990-10-01,308764000000.00
1990-11-01,313670000000.00
1990-12-01,315270000000.00
1991-01-01,309597000000.00
1991-02-01,306945000000.00
1991-03-01,311089000000.00
1991-04-01,314068000000.00
1991-05-01,314339000000.00
1991-06-01,318071000000.00
1991-07-01,319987000000.00
1991-08-01,320051000000.00
1991-09-01,321825000000.00
1991-10-01,323057000000.00
1991-11-01,328415000000.00
1991-12-01,335415000000.00
1992-01-01,333149000000.00
1992-02-01,331242000000.00
1992-03-01,335595000000.00
1992-04-01,333124000000.00
1992-05-01,334541000000.00
1992-06-01,337098000000.00
1992-07-01,340424000000.00
1992-08-01,342727000000.00
1992-09-01,346903000000.00
1992-10-01,349808000000.00
1992-11-01,355924000000.00
1992-12-01,361903000000.00
1993-01-01,360650000000.00
1993-02-01,359533000000.00
1993-03-01,362723000000.00
1993-04-01,368849000000.00
1993-05-01,370845000000.00
1993-06-01,375841000000.00
1993-07-01,379121000000.00
1993-08-01,380892000000.00
1993-09-01,384705000000.00
1993-10-01,388226000000.00
1993-11-01,391960000000.00
1993-12-01,398638000000.00
1994-01-01,397786000000.00
1994-02-01,397926000000.00
1994-03-01,400752000000.00
1994-04-01,406948000000.00
1994-05-01,407088000000.00
1994-06-01,411591000000.00
1994-07-01,415010000000.00
1994-08-01,415263000000.00
1994-09-01,416866000000.00
1994-10-01,418679000000.00
1994-11-01,423063000000.00
1994-12-01,428489000000.00
1995-01-01,426222000000.00
1995-02-01,422895000000.00
1995-03-01,427727000000.00
1995-04-01,433540000000.00
1995-05-01,434008000000.00
1995-06-01,434846000000.00
1995-07-01,435915000000.00
1995-08-01,435546000000.00
1995-09-01,436332000000.00
1995-10-01,436570000000.00
1995-11-01,439093000000.00
1995-12-01,445840000000.00
1996-01-01,441733000000.00
1996-02-01,435714000000.00
1996-03-01,440455000000.00
1996-04-01,443376000000.00
1996-05-01,443014000000.00
1996-06-01,446423000000.00
1996-07-01,449831000000.00
1996-08-01,450911000000.00
1996-09-01,451954000000.00
1996-10-01,452496000000.00
1996-11-01,457010000000.00
1996-12-01,464955000000.00
1997-01-01,462505000000.00
1997-02-01,459914000000.00
1997-03-01,462300000000.00
1997-04-01,465478000000.00
1997-05-01,467038000000.00
1997-06-01,469816000000.00
1997-07-01,473111000000.00
1997-08-01,474323000000.00
1997-09-01,475441000000.00
1997-10-01,477667000000.00
1997-11-01,484618000000.00
1997-12-01,493078000000.00
1998-01-01,491235000000.00
1998-02-01,488420000000.00
1998-03-01,491007000000.00
1998-04-01,494118000000.00
1998-05-01,495231000000.00
1998-06-01,498108000000.00
1998-07-01,502446000000.00
1998-08-01,504866000000.00
1998-09-01,508591000000.00
1998-10-01,512552000000.00
1998-11-01,518349000000.00
1998-12-01,526435000000.00
1999-01-01,527870000000.00
1999-02-01,526387000000.00
1999-03-01,531013000000.00
1999-04-01,535171000000.00
1999-05-01,540620000000.00
1999-06-01,544016000000.00
1999-07-01,548817000000.00
1999-08-01,551361000000.00
1999-09-01,556828000000.00
1999-10-01,564665000000.00
1999-11-01,582758000000.00
1999-12-01,612499000000.00
2000-01-01,601868000000.00
2000-02-01,578030000000.00
2000-03-01,577105000000.00
2000-04-01,578588000000.00
2000-05-01,580556000000.00
2000-06-01,581960000000.00
2000-07-01,584222000000.00
2000-08-01,583423000000.00
2000-09-01,583752000000.00
2000-10-01,585252000000.00
2000-11-01,590277000000.00
2000-12-01,598305000000.00
2001-01-01,598666000000.00
2001-02-01,595873000000.00
2001-03-01,599106000000.00
2001-04-01,601727000000.00
2001-05-01,605919000000.00
2001-06-01,609096000000.00
2001-07-01,615984000000.00
2001-08-01,622427000000.00
2001-09-01,647223000000.00
2001-10-01,635154000000.00
2001-11-01,639465000000.00
2001-12-01,650775000000.00
2002-01-01,653760000000.00
2002-02-01,654639000000.00
2002-03-01,658956000000.00
2002-04-01,663401000000.00
2002-05-01,668606000000.00
2002-06-01,673966000000.00
2002-07-01,679310000000.00
2002-08-01,679765000000.00
2002-09-01,680397000000.00
2002-10-01,681855000000.00
2002-11-01,688494000000.00
2002-12-01,699216000000.00
2003-01-01,699262000000.00
2003-02-01,700958000000.00
2003-03-01,705269000000.00
2003-04-01,709552000000.00
2003-05-01,713711000000.00
2003-06-01,714979000000.00
2003-07-01,717614000000.00
2003-08-01,720922000000.00
2003-09-01,721062000000.00
2003-10-01,724756000000.00
2003-11-01,730637000000.00
2003-12-01,739408000000.00
2004-01-01,736438000000.00
2004-02-01,735287000000.00
2004-03-01,736780000000.00
2004-04-01,741207000000.00
2004-05-01,745039000000.00
2004-06-01,750697000000.00
2004-07-01,757304000000.00
2004-08-01,757181000000.00
2004-09-01,762233000000.00
2004-10-01,763876000000.00
2004-11-01,770493000000.00
2004-12-01,776279000000.00
2005-01-01,775222000000.00
2005-02-01,772882000000.00
2005-03-01,773481000000.00
2005-04-01,775537000000.00
2005-05-01,776356000000.00
2005-06-01,780669000000.00
2005-07-01,782860000000.00
2005-08-01,782727000000.00
2005-09-01,787943000000.00
2005-10-01,787216000000.00
2005-11-01,793472000000.00
2005-12-01,803124000000.00
2006-01-01,804172000000.00
2006-02-01,804855000000.00
2006-03-01,810146000000.00
2006-04-01,809191000000.00
2006-05-01,812561000000.00
2006-06-01,812366000000.00
2006-07-01,811505000000.00
2006-08-01,809714000000.00
2006-09-01,810401000000.00
2006-10-01,809839000000.00
2006-11-01,816786000000.00
2006-12-01,826731000000.00
2007-01-01,822978000000.00
2007-02-01,820044000000.00
2007-03-01,820914000000.00
2007-04-01,822978000000.00
2007-05-01,825698000000.00
2007-06-01,827158000000.00
2007-07-01,828938000000.00
2007-08-01,829602000000.00
2007-09-01,827418000000.00
2007-10-01,829039000000.00
2007-11-01,834315000000.00
2007-12-01,837192000000.00
2008-01-01,830632000000.00
2008-02-01,829527000000.00
2008-03-01,832999000000.00
2008-04-01,830234000000.00
2008-05-01,834675000000.00
2008-06-01,840175000000.00
2008-07-01,847018000000.00
2008-08-01,847628000000.00
2008-09-01,909687000000.00
2008-10-01,1136412000000.00
2008-11-01,1442251000000.00
2008-12-01,1666365000000.00
2009-01-01,1712014000000.00
2009-02-01,1561699000000.00
2009-03-01,1647305000000.00
2009-04-01,1753246000000.00
2009-05-01,1775104000000.00
2009-06-01,1683704000000.00
2009-07-01,1673598000000.00
2009-08-01,1710773000000.00
2009-09-01,1801165000000.00
2009-10-01,1936314000000.00
2009-11-01,2024608000000.00
2009-12-01,2026220000000.00
2010-01-01,1994962000000.00
2010-02-01,2115182000000.00
2010-03-01,2079591000000.00
2010-04-01,2014449000000.00
2010-05-01,2012331000000.00
2010-06-01,2002433000000.00
2010-07-01,1994298000000.00
2010-08-01,1993664000000.00
2010-09-01,1961226000000.00
2010-10-01,1961720000000.00
2010-11-01,1973139000000.00
2010-12-01,2017000000000.00
2011-01-01,2047917000000.00
2011-02-01,2211605000000.00
2011-03-01,2395330000000.00
2011-04-01,2496574000000.00
2011-05-01,2567185000000.00
2011-06-01,2648548000000.00
2011-07-01,2684801000000.00
2011-08-01,2657678000000.00
2011-09-01,2637680000000.00
2011-10-01,2637757000000.00
2011-11-01,2605420000000.00
2011-12-01,2619586000000.00
2012-01-01,2640764000000.00
2012-02-01,2694422000000.00
2012-03-01,2655219000000.00
2012-04-01,2639850000000.00
2012-05-01,2616477000000.00
2012-06-01,2618755000000.00
2012-07-01,2647752000000.00
2012-08-01,2650750000000.00
2012-09-01,2594909000000.00
2012-10-01,2611775000000.00
2012-11-01,2646809000000.00
2012-12-01,2675945000000.00
2013-01-01,2741743000000.00
2013-02-01,2845251000000.00
2013-03-01,2935036000000.00
2013-04-01,3011737000000.00
2013-05-01,3116932000000.00
2013-06-01,3201472000000.00
2013-07-01,3290898000000.00
2013-08-01,3398930000000.00
2013-09-01,3486920000000.00
2013-10-01,3589515000000.00
2013-11-01,3684563000000.00
2013-12-01,3717450000000.00
2014-01-01,3728483000000.00
2014-02-01,3833354000000.00
2014-03-01,3885877000000.00
2014-04-01,3930681000000.00
2014-05-01,3911525000000.00
2014-06-01,3948691000000.00
2014-07-01,3989084000000.00
2014-08-01,4075039000000.00
2014-09-01,4049189000000.00
2014-10-01,4001451000000.00
2014-11-01,3830424000000.00
2014-12-01,3934455000000.00
2015-01-01,4017103000000.00
2015-02-01,3840464000000.00
2015-03-01,4030632000000.00
2015-04-01,4059374000000.00
2015-05-01,3949372000000.00
2015-06-01,3919649000000.00
2015-07-01,3961217000000.00
2015-08-01,3984019000000.00
2015-09-01,4028486000000.00
2015-10-01,4060469000000.00
2015-11-01,4006725000000.00
2015-12-01,3835810000000.00
2016-01-01,3792723000000.00
2016-02-01,3872483000000.00
2016-03-01,3898431000000.00
2016-04-01,3872940000000.00
2016-05-01,3836529000000.00
2016-06-01,3825451000000.00
2016-07-01,3772544000000.00
2016-08-01,3816726000000.00
2016-09-01,3735888000000.00
2016-10-01,3572132000000.00
2016-11-01,3629770000000.00
2016-12-01,3531565000000.00
2017-01-01,3595455000000.00
2017-02-01,3746408000000.00
2017-03-01,3856287000000.00
2017-04-01,3821697000000.00
2017-05-01,3774412000000.00
2017-06-01,3762780000000.00
2017-07-01,3795430000000.00
2017-08-01,3910022000000.00
2017-09-01,3874490000000.00
2017-10-01,3829910000000.00
2017-11-01,3907735000000.00
2017-12-01,3850969000000.00
2018-01-01,3824795000000.00
2018-02-01,3855091000000.00
2018-03-01,3800660000000.00
2018-04-01,3727161000000.00
2018-05-01,3674797000000.00
