Date,MCUMFN
2014-03-01,76.13
2014-04-01,76.03
2014-05-01,76.21
2014-06-01,76.49
2014-07-01,76.79
2014-08-01,76.48
2014-09-01,76.53
2014-10-01,76.50
2014-11-01,77.21
2014-12-01,77.02
2015-01-01,76.65
2015-02-01,76.27
2015-03-01,76.52
2015-04-01,76.49
2015-05-01,76.43
2015-06-01,76.15
2015-07-01,76.62
2015-08-01,76.43
2015-09-01,76.11
2015-10-01,76.04
2015-11-01,75.81
2015-12-01,75.58
2016-01-01,75.93
2016-02-01,75.56
2016-03-01,75.30
2016-04-01,74.94
2016-05-01,74.74
2016-06-01,74.86
2016-07-01,74.88
2016-08-01,74.55
2016-09-01,74.67
2016-10-01,74.75
2016-11-01,74.72
2016-12-01,74.91
2017-01-01,75.10
2017-02-01,75.14
2017-03-01,74.77
2017-04-01,75.60
2017-05-01,75.24
2017-06-01,75.31
2017-07-01,75.09
2017-08-01,74.87
2017-09-01,74.69
2017-10-01,75.62
2017-11-01,75.79
2017-12-01,75.72
2018-01-01,75.24
2018-02-01,76.20
2018-03-01,76.02
2018-04-01,76.37
2018-05-01,75.78
