Date,LREM64TTUSM156N
1973-02-01,63.36
1973-03-01,63.90
1973-04-01,64.15
1973-05-01,64.44
1973-06-01,65.76
1973-07-01,66.32
1973-08-01,65.88
1973-09-01,64.93
1973-10-01,65.73
1973-11-01,65.55
1973-12-01,65.34
1974-01-01,64.13
1974-02-01,64.17
1974-03-01,64.52
1974-04-01,64.60
1974-05-01,65.00
1974-06-01,65.96
1974-07-01,66.56
1974-08-01,66.13
1974-09-01,64.94
1974-10-01,65.30
1974-11-01,64.63
1974-12-01,64.00
1975-01-01,62.22
1975-02-01,61.84
1975-03-01,62.05
1975-04-01,62.29
1975-05-01,62.71
1975-06-01,63.64
1975-07-01,64.43
1975-08-01,64.39
1975-09-01,63.21
1975-10-01,63.70
1975-11-01,63.31
1975-12-01,63.27
1976-01-01,62.37
1976-02-01,62.47
1976-03-01,63.01
1976-04-01,63.67
1976-05-01,64.11
1976-06-01,64.93
1976-07-01,65.75
1976-08-01,65.49
1976-09-01,64.24
1976-10-01,64.74
1976-11-01,64.56
1976-12-01,64.43
1977-01-01,63.24
1977-02-01,63.38
1977-03-01,64.02
1977-04-01,64.63
1977-05-01,65.14
1977-06-01,66.30
1977-07-01,66.75
1977-08-01,66.64
1977-09-01,65.66
1977-10-01,66.25
1977-11-01,66.35
1977-12-01,66.38
1978-01-01,65.18
1978-02-01,65.21
1978-03-01,65.69
1978-04-01,66.41
1978-05-01,66.83
1978-06-01,68.13
1978-07-01,68.41
1978-08-01,68.31
1978-09-01,67.40
1978-10-01,68.03
1978-11-01,67.89
1978-12-01,67.70
1979-01-01,66.60
1979-02-01,66.73
1979-03-01,67.15
1979-04-01,67.20
1979-05-01,67.51
1979-06-01,68.63
1979-07-01,69.33
1979-08-01,68.78
1979-09-01,68.19
1979-10-01,68.43
1979-11-01,68.18
1979-12-01,68.21
1980-01-01,66.80
1980-02-01,66.79
1980-03-01,66.93
1980-04-01,66.87
1980-05-01,66.89
1980-06-01,67.60
1980-07-01,68.11
1980-08-01,67.68
1980-09-01,67.00
1980-10-01,67.36
1980-11-01,67.20
1980-12-01,67.00
1981-01-01,65.98
1981-02-01,66.05
1981-03-01,66.59
1981-04-01,67.16
1981-05-01,67.45
1981-06-01,67.79
1981-07-01,68.57
1981-08-01,68.21
1981-09-01,66.90
1981-10-01,67.23
1981-11-01,66.85
1981-12-01,66.16
1982-01-01,65.00
1982-02-01,65.00
1982-03-01,65.26
1982-04-01,65.46
1982-05-01,66.06
1982-06-01,66.52
1982-07-01,67.06
1982-08-01,66.87
1982-09-01,65.80
1982-10-01,65.76
1982-11-01,65.41
1982-12-01,65.03
1983-01-01,63.97
1983-02-01,63.89
1983-03-01,64.26
1983-04-01,64.80
1983-05-01,65.23
1983-06-01,66.73
1983-07-01,67.63
1983-08-01,67.53
1983-09-01,66.81
1983-10-01,66.96
1983-11-01,67.20
1983-12-01,67.08
1984-01-01,65.94
1984-02-01,66.34
1984-03-01,66.82
1984-04-01,67.36
1984-05-01,68.27
1984-06-01,69.42
1984-07-01,69.78
1984-08-01,69.24
1984-09-01,68.46
1984-10-01,68.70
1984-11-01,68.71
1984-12-01,68.56
1985-01-01,67.49
1985-02-01,67.63
1985-03-01,68.21
1985-04-01,68.47
1985-05-01,68.91
1985-06-01,69.49
1985-07-01,70.15
1985-08-01,69.96
1985-09-01,69.32
1985-10-01,69.59
1985-11-01,69.49
1985-12-01,69.30
1986-01-01,68.28
1986-02-01,68.09
1986-03-01,68.61
1986-04-01,68.90
1986-05-01,69.40
1986-06-01,70.51
1986-07-01,71.08
1986-08-01,70.87
1986-09-01,69.93
1986-10-01,70.30
1986-11-01,70.17
1986-12-01,70.03
1987-01-01,69.00
1987-02-01,69.18
1987-03-01,69.54
1987-04-01,70.03
1987-05-01,70.78
1987-06-01,71.40
1987-07-01,72.09
1987-08-01,71.98
1987-09-01,70.94
1987-10-01,71.41
1987-11-01,71.33
1987-12-01,71.21
1988-01-01,70.21
1988-02-01,70.33
1988-03-01,70.49
1988-04-01,71.08
1988-05-01,71.27
1988-06-01,72.41
1988-07-01,72.97
1988-08-01,72.74
1988-09-01,71.82
1988-10-01,72.23
1988-11-01,72.19
1988-12-01,72.01
1989-01-01,71.16
1989-02-01,71.29
1989-03-01,71.67
1989-04-01,71.93
1989-05-01,72.32
1989-06-01,73.38
1989-07-01,73.84
1989-08-01,73.58
1989-09-01,72.50
1989-10-01,72.87
1989-11-01,72.89
1989-12-01,72.51
1990-01-01,71.35
1990-02-01,71.46
1990-03-01,71.81
1990-04-01,71.89
1990-05-01,72.44
1990-06-01,73.26
1990-07-01,73.52
1990-08-01,72.98
1990-09-01,72.00
1990-10-01,72.26
1990-11-01,71.78
1990-12-01,71.53
1991-01-01,70.16
1991-02-01,70.12
1991-03-01,70.30
1991-04-01,70.84
1991-05-01,70.84
1991-06-01,71.84
1991-07-01,72.20
1991-08-01,71.62
1991-09-01,71.07
1991-10-01,71.19
1991-11-01,70.90
1991-12-01,70.54
1992-01-01,69.58
1992-02-01,69.57
1992-03-01,69.98
1992-04-01,70.48
1992-05-01,70.85
1992-06-01,71.69
1992-07-01,72.25
1992-08-01,71.76
1992-09-01,70.88
1992-10-01,70.99
1992-11-01,70.85
1992-12-01,70.78
1993-01-01,69.62
1993-02-01,69.94
1993-03-01,70.33
1993-04-01,70.55
1993-05-01,71.25
1993-06-01,72.06
1993-07-01,72.46
1993-08-01,72.18
1993-09-01,71.26
1993-10-01,71.58
1993-11-01,71.64
1993-12-01,71.62
1994-01-01,70.38
1994-02-01,70.73
1994-03-01,70.91
1994-04-01,71.29
1994-05-01,71.97
1994-06-01,72.51
1994-07-01,72.92
1994-08-01,72.81
1994-09-01,72.25
1994-10-01,72.78
1994-11-01,72.78
1994-12-01,72.69
1995-01-01,71.48
1995-02-01,71.90
1995-03-01,72.16
1995-04-01,72.29
1995-05-01,72.43
1995-06-01,73.10
1995-07-01,73.57
1995-08-01,73.13
1995-09-01,72.50
1995-10-01,72.88
1995-11-01,72.63
1995-12-01,72.35
1996-01-01,71.22
1996-02-01,71.69
1996-03-01,72.08
1996-04-01,72.27
1996-05-01,72.75
1996-06-01,73.49
1996-07-01,73.96
1996-08-01,73.65
1996-09-01,73.17
1996-10-01,73.59
1996-11-01,73.31
1996-12-01,73.11
1997-01-01,71.98
1997-02-01,72.29
1997-03-01,72.87
1997-04-01,73.11
1997-05-01,73.54
1997-06-01,74.08
1997-07-01,74.60
1997-08-01,74.30
1997-09-01,73.61
1997-10-01,73.93
1997-11-01,73.96
1997-12-01,73.74
1998-01-01,72.75
1998-02-01,73.07
1998-03-01,73.36
1998-04-01,73.62
1998-05-01,73.91
1998-06-01,74.41
1998-07-01,74.60
1998-08-01,74.27
1998-09-01,73.88
1998-10-01,74.11
1998-11-01,74.06
1998-12-01,74.07
1999-01-01,73.23
1999-02-01,73.30
1999-03-01,73.53
1999-04-01,73.60
1999-05-01,73.99
1999-06-01,74.49
1999-07-01,74.68
1999-08-01,74.31
1999-09-01,73.76
1999-10-01,74.15
1999-11-01,74.15
1999-12-01,74.14
2000-01-01,73.47
2000-02-01,73.71
2000-03-01,73.88
2000-04-01,74.33
2000-05-01,74.07
2000-06-01,74.78
2000-07-01,74.60
2000-08-01,74.22
2000-09-01,73.81
2000-10-01,74.08
2000-11-01,74.03
2000-12-01,74.16
2001-01-01,73.18
2001-02-01,73.33
2001-03-01,73.57
2001-04-01,73.39
2001-05-01,73.39
2001-06-01,73.69
2001-07-01,73.86
2001-08-01,72.91
2001-09-01,72.82
2001-10-01,72.73
2001-11-01,72.45
2001-12-01,72.31
2002-01-01,71.14
2002-02-01,71.72
2002-03-01,71.72
2002-04-01,71.80
2002-05-01,72.06
2002-06-01,72.35
2002-07-01,72.43
2002-08-01,72.23
2002-09-01,72.15
2002-10-01,72.19
2002-11-01,71.73
2002-12-01,71.64
2003-01-01,70.72
2003-02-01,70.90
2003-03-01,70.99
2003-04-01,71.25
2003-05-01,71.24
2003-06-01,71.70
2003-07-01,71.67
2003-08-01,71.36
2003-09-01,70.98
2003-10-01,71.36
2003-11-01,71.35
2003-12-01,71.17
2004-01-01,70.46
2004-02-01,70.59
2004-03-01,70.64
2004-04-01,71.04
2004-05-01,71.15
2004-06-01,71.60
2004-07-01,71.99
2004-08-01,71.63
2004-09-01,71.17
2004-10-01,71.52
2004-11-01,71.56
2004-12-01,71.31
2005-01-01,70.52
2005-02-01,70.60
2005-03-01,70.86
2005-04-01,71.32
2005-05-01,71.55
2005-06-01,72.00
2005-07-01,72.33
2005-08-01,72.18
2005-09-01,71.70
2005-10-01,71.96
2005-11-01,71.74
2005-12-01,71.61
2006-01-01,70.93
2006-02-01,71.17
2006-03-01,71.48
2006-04-01,71.66
2006-05-01,71.88
2006-06-01,72.52
2006-07-01,72.69
2006-08-01,72.43
2006-09-01,72.06
2006-10-01,72.48
2006-11-01,72.35
2006-12-01,72.30
2007-01-01,71.40
2007-02-01,71.38
2007-03-01,71.67
2007-04-01,71.57
2007-05-01,71.77
2007-06-01,72.30
2007-07-01,72.42
2007-08-01,71.87
2007-09-01,71.73
2007-10-01,71.82
2007-11-01,71.94
2007-12-01,71.51
2008-01-01,70.93
2008-02-01,70.84
2008-03-01,71.04
2008-04-01,71.35
2008-05-01,71.28
2008-06-01,71.63
2008-07-01,71.59
2008-08-01,71.02
2008-09-01,70.62
2008-10-01,70.69
2008-11-01,70.16
2008-12-01,69.50
2009-01-01,68.15
2009-02-01,68.02
2009-03-01,67.80
2009-04-01,68.16
2009-05-01,67.95
2009-06-01,68.23
2009-07-01,68.26
2009-08-01,67.64
2009-09-01,67.04
2009-10-01,66.97
2009-11-01,66.93
2009-12-01,66.36
2010-01-01,65.82
2010-02-01,66.00
2010-03-01,66.34
2010-04-01,66.97
2010-05-01,66.97
2010-06-01,67.18
2010-07-01,67.27
2010-08-01,67.06
2010-09-01,66.82
2010-10-01,66.79
2010-11-01,66.61
2010-12-01,66.44
2011-01-01,65.81
2011-02-01,65.95
2011-03-01,66.35
2011-04-01,66.60
2011-05-01,66.74
2011-06-01,66.83
2011-07-01,66.91
2011-08-01,66.89
2011-09-01,66.84
2011-10-01,66.99
2011-11-01,67.04
2011-12-01,66.82
2012-01-01,66.11
2012-02-01,66.37
2012-03-01,66.69
2012-04-01,66.95
2012-05-01,67.25
2012-06-01,67.57
2012-07-01,67.54
2012-08-01,67.17
2012-09-01,67.46
2012-10-01,67.78
2012-11-01,67.48
2012-12-01,67.27
2013-01-01,66.45
2013-02-01,66.67
2013-03-01,66.89
2013-04-01,67.29
2013-05-01,67.53
2013-06-01,67.82
2013-07-01,68.00
2013-08-01,67.58
2013-09-01,67.61
2013-10-01,67.39
2013-11-01,67.63
2013-12-01,67.46
2014-01-01,66.94
2014-02-01,67.15
2014-03-01,67.68
2014-04-01,67.91
2014-05-01,68.21
2014-06-01,68.63
2014-07-01,68.70
2014-08-01,68.37
2014-09-01,68.36
2014-10-01,68.79
2014-11-01,68.67
2014-12-01,68.38
2015-01-01,67.82
2015-02-01,68.08
2015-03-01,68.22
2015-04-01,68.67
2015-05-01,68.98
2015-06-01,69.15
2015-07-01,69.17
2015-08-01,68.88
2015-09-01,68.69
2015-10-01,68.92
2015-11-01,68.98
2015-12-01,68.97
2016-01-01,68.51
2016-02-01,68.87
2016-03-01,69.10
2016-04-01,69.19
2016-05-01,69.44
2016-06-01,69.65
2016-07-01,69.82
2016-08-01,69.46
2016-09-01,69.47
2016-10-01,69.63
2016-11-01,69.64
2016-12-01,69.44
2017-01-01,68.97
2017-02-01,69.37
2017-03-01,69.86
2017-04-01,70.09
2017-05-01,70.13
2017-06-01,70.53
2017-07-01,70.69
2017-08-01,70.20
2017-09-01,70.51
2017-10-01,70.45
2017-11-01,70.38
2017-12-01,70.14
2018-01-01,69.66
2018-02-01,70.31
2018-03-01,70.42
2018-04-01,70.58
2018-05-01,70.83
