Date,XTIMVA01USM667S
1965-12-01,1911100000.00
1966-01-01,1965900000.00
1966-02-01,2013200000.00
1966-03-01,2049700000.00
1966-04-01,2090500000.00
1966-05-01,2060500000.00
1966-06-01,2101900000.00
1966-07-01,2216000000.00
1966-08-01,2136900000.00
1966-09-01,2288300000.00
1966-10-01,2303200000.00
1966-11-01,2195000000.00
1966-12-01,2196000000.00
1967-01-01,2316800000.00
1967-02-01,2215600000.00
1967-03-01,2165500000.00
1967-04-01,2198000000.00
1967-05-01,2117500000.00
1967-06-01,2184100000.00
1967-07-01,2244800000.00
1967-08-01,2145200000.00
1967-09-01,2197500000.00
1967-10-01,2254300000.00
1967-11-01,2396000000.00
1967-12-01,2492700000.00
1968-01-01,2687000000.00
1968-02-01,2591500000.00
1968-03-01,2588400000.00
1968-04-01,2603900000.00
1968-05-01,2754800000.00
1968-06-01,2792000000.00
1968-07-01,2725100000.00
1968-08-01,2871900000.00
1968-09-01,2950600000.00
1968-10-01,2736000000.00
1968-11-01,2883000000.00
1968-12-01,2907600000.00
1969-01-01,2001600000.00
1969-02-01,2671900000.00
1969-03-01,2981800000.00
1969-04-01,3182600000.00
1969-05-01,3256500000.00
1969-06-01,3152000000.00
1969-07-01,3073600000.00
1969-08-01,3162600000.00
1969-09-01,3078400000.00
1969-10-01,3192200000.00
1969-11-01,3180000000.00
1969-12-01,3078100000.00
1970-01-01,3222400000.00
1970-02-01,3279300000.00
1970-03-01,3219200000.00
1970-04-01,3262000000.00
1970-05-01,3337300000.00
1970-06-01,3265200000.00
1970-07-01,3253900000.00
1970-08-01,3346100000.00
1970-09-01,3423000000.00
1970-10-01,3498400000.00
1970-11-01,3428000000.00
1970-12-01,3401500000.00
1971-01-01,3598900000.00
1971-02-01,3564400000.00
1971-03-01,3629200000.00
1971-04-01,3773500000.00
1971-05-01,3907600000.00
1971-06-01,4036900000.00
1971-07-01,3832100000.00
1971-08-01,3913300000.00
1971-09-01,4179000000.00
1971-10-01,3468900000.00
1971-11-01,3456000000.00
1971-12-01,4169100000.00
1972-01-01,4435600000.00
1972-02-01,4472800000.00
1972-03-01,4515300000.00
1972-04-01,4416800000.00
1972-05-01,4485700000.00
1972-06-01,4467700000.00
1972-07-01,4565100000.00
1972-08-01,4726000000.00
1972-09-01,4612200000.00
1972-10-01,4737500000.00
1972-11-01,5147900000.00
1972-12-01,5002300000.00
1973-01-01,5243800000.00
1973-02-01,5483100000.00
1973-03-01,5413500000.00
1973-04-01,5360300000.00
1973-05-01,5703400000.00
1973-06-01,5774800000.00
1973-07-01,5828700000.00
1973-08-01,6010500000.00
1973-09-01,5643800000.00
1973-10-01,5996300000.00
1973-11-01,6684300000.00
1973-12-01,6291300000.00
1974-01-01,7018700000.00
1974-02-01,7881900000.00
1974-03-01,8310800000.00
1974-04-01,8639000000.00
1974-05-01,8921200000.00
1974-06-01,9256900000.00
1974-07-01,9611800000.00
1974-08-01,9999700000.00
1974-09-01,9371500000.00
1974-10-01,9451400000.00
1974-11-01,9655500000.00
1974-12-01,9943000000.00
1975-01-01,10590400000.00
1975-02-01,8520600000.00
1975-03-01,8043300000.00
1975-04-01,8574100000.00
1975-05-01,7830200000.00
1975-06-01,7669200000.00
1975-07-01,8430500000.00
1975-08-01,8491800000.00
1975-09-01,8865200000.00
1975-10-01,8815500000.00
1975-11-01,8852800000.00
1975-12-01,9187200000.00
1976-01-01,9709300000.00
1976-02-01,9712700000.00
1976-03-01,10171200000.00
1976-04-01,10375200000.00
1976-05-01,9915600000.00
1976-06-01,10990000000.00
1976-07-01,11533200000.00
1976-08-01,11275500000.00
1976-09-01,11489500000.00
1976-10-01,11337100000.00
1976-11-01,11402700000.00
1976-12-01,11821800000.00
1977-01-01,11347100000.00
1977-02-01,13758100000.00
1977-03-01,13528600000.00
1977-04-01,12834200000.00
1977-05-01,12134500000.00
1977-06-01,14472400000.00
1977-07-01,13435200000.00
1977-08-01,13295500000.00
1977-09-01,13971700000.00
1977-10-01,13771400000.00
1977-11-01,13504800000.00
1977-12-01,14455000000.00
1978-01-01,14422200000.00
1978-02-01,15432200000.00
1978-03-01,15095200000.00
1978-04-01,15604300000.00
1978-05-01,15090200000.00
1978-06-01,15029000000.00
1978-07-01,15760800000.00
1978-08-01,15275600000.00
1978-09-01,16121700000.00
1978-10-01,15944300000.00
1978-11-01,16080900000.00
1978-12-01,16209800000.00
1979-01-01,17802500000.00
1979-02-01,15741500000.00
1979-03-01,16545400000.00
1979-04-01,16987000000.00
1979-05-01,17738500000.00
1979-06-01,18187400000.00
1979-07-01,18129500000.00
1979-08-01,19739200000.00
1979-09-01,19691000000.00
1979-10-01,20335700000.00
1979-11-01,20074500000.00
1979-12-01,21274800000.00
1980-01-01,22298900000.00
1980-02-01,22947100000.00
1980-03-01,22047700000.00
1980-04-01,20812200000.00
1980-05-01,21682600000.00
1980-06-01,21403000000.00
1980-07-01,20074200000.00
1980-08-01,20664600000.00
1980-09-01,20836700000.00
1980-10-01,21244400000.00
1980-11-01,20751300000.00
1980-12-01,22363500000.00
1981-01-01,23679000000.00
1981-02-01,22917000000.00
1981-03-01,21982600000.00
1981-04-01,23265700000.00
1981-05-01,22248100000.00
1981-06-01,23032900000.00
1981-07-01,21073500000.00
1981-08-01,24397900000.00
1981-09-01,22316500000.00
1981-10-01,24194100000.00
1981-11-01,23568300000.00
1981-12-01,20699400000.00
1982-01-01,23598200000.00
1982-02-01,20398600000.00
1982-03-01,20888900000.00
1982-04-01,18508400000.00
1982-05-01,21421700000.00
1982-06-01,22128800000.00
1982-07-01,20756300000.00
1982-08-01,23992400000.00
1982-09-01,21518200000.00
1982-10-01,21932400000.00
1982-11-01,19737000000.00
1982-12-01,20001800000.00
1983-01-01,21075200000.00
1983-02-01,19682000000.00
1983-03-01,20386700000.00
1983-04-01,20821200000.00
1983-05-01,22406400000.00
1983-06-01,21852400000.00
1983-07-01,22857500000.00
1983-08-01,23746100000.00
1983-09-01,23477300000.00
1983-10-01,25464900000.00
1983-11-01,24185000000.00
1983-12-01,24032800000.00
1984-01-01,27397000000.00
1984-02-01,27587400000.00
1984-03-01,28177800000.00
1984-04-01,29400700000.00
1984-05-01,27262300000.00
1984-06-01,26460500000.00
1984-07-01,32925000000.00
1984-08-01,28212700000.00
1984-09-01,29753000000.00
1984-10-01,28063800000.00
1984-11-01,28616600000.00
1984-12-01,27175700000.00
1985-01-01,29686700000.00
1985-02-01,29298900000.00
1985-03-01,29492200000.00
1985-04-01,29628900000.00
1985-05-01,30079900000.00
1985-06-01,30853200000.00
1985-07-01,27920200000.00
1985-08-01,27326700000.00
1985-09-01,33282000000.00
1985-10-01,28821100000.00
1985-11-01,31657400000.00
1985-12-01,34397400000.00
1986-01-01,31955000000.00
1986-02-01,29789700000.00
1986-03-01,30709800000.00
1986-04-01,31874200000.00
1986-05-01,31017500000.00
1986-06-01,31564000000.00
1986-07-01,32539100000.00
1986-08-01,31527200000.00
1986-09-01,32932200000.00
1986-10-01,32436500000.00
1986-11-01,33951000000.00
1986-12-01,31999200000.00
1987-01-01,33603500000.00
1987-02-01,32553700000.00
1987-03-01,33710600000.00
1987-04-01,33813600000.00
1987-05-01,35016300000.00
1987-06-01,35657900000.00
1987-07-01,36519700000.00
1987-08-01,36081700000.00
1987-09-01,35502100000.00
1987-10-01,37868900000.00
1987-11-01,36758100000.00
1987-12-01,37355900000.00
1988-01-01,36773200000.00
1988-02-01,37904400000.00
1988-03-01,37918800000.00
1988-04-01,36882200000.00
1988-05-01,37653200000.00
1988-06-01,38828000000.00
1988-07-01,36542000000.00
1988-08-01,39217200000.00
1988-09-01,38214600000.00
1988-10-01,38620600000.00
1988-11-01,39644400000.00
1988-12-01,41343800000.00
1989-01-01,37513200000.00
1989-02-01,38561700000.00
1989-03-01,39724700000.00
1989-04-01,38664700000.00
1989-05-01,40909600000.00
1989-06-01,39780900000.00
1989-07-01,38951300000.00
1989-08-01,40117300000.00
1989-09-01,39232900000.00
1989-10-01,40961200000.00
1989-11-01,40429000000.00
1989-12-01,38364000000.00
1990-01-01,41380400000.00
1990-02-01,39164400000.00
1990-03-01,41830000000.00
1990-04-01,39796900000.00
1990-05-01,40599800000.00
1990-06-01,40687000000.00
1990-07-01,41315800000.00
1990-08-01,41795600000.00
1990-09-01,41343800000.00
1990-10-01,43875500000.00
1990-11-01,43066400000.00
1990-12-01,39986100000.00
1991-01-01,41282200000.00
1991-02-01,39411900000.00
1991-03-01,38896700000.00
1991-04-01,39769400000.00
1991-05-01,40256000000.00
1991-06-01,39842700000.00
1991-07-01,40413400000.00
1991-08-01,40901900000.00
1991-09-01,41488200000.00
1991-10-01,42461900000.00
1991-11-01,41653400000.00
1991-12-01,41795000000.00
1992-01-01,41809500000.00
1992-02-01,41370600000.00
1992-03-01,42681200000.00
1992-04-01,43398800000.00
1992-05-01,43954100000.00
1992-06-01,44954100000.00
1992-07-01,44989400000.00
1992-08-01,45466500000.00
1992-09-01,45670900000.00
1992-10-01,46159500000.00
1992-11-01,45971200000.00
1992-12-01,46238600000.00
1993-01-01,45495000000.00
1993-02-01,45102000000.00
1993-03-01,48969000000.00
1993-04-01,48573000000.00
1993-05-01,47942000000.00
1993-06-01,49189000000.00
1993-07-01,48112000000.00
1993-08-01,47901000000.00
1993-09-01,49083000000.00
1993-10-01,50820000000.00
1993-11-01,49939000000.00
1993-12-01,49534000000.00
1994-01-01,50027000000.00
1994-02-01,50399000000.00
1994-03-01,52267000000.00
1994-04-01,52936000000.00
1994-05-01,53830000000.00
1994-06-01,55731000000.00
1994-07-01,56096000000.00
1994-08-01,57396000000.00
1994-09-01,57640000000.00
1994-10-01,57950000000.00
1994-11-01,59778000000.00
1994-12-01,59204000000.00
1995-01-01,60492000000.00
1995-02-01,59836000000.00
1995-03-01,61390000000.00
1995-04-01,62557000000.00
1995-05-01,62311000000.00
1995-06-01,62698000000.00
1995-07-01,62479000000.00
1995-08-01,62042000000.00
1995-09-01,62845000000.00
1995-10-01,62028000000.00
1995-11-01,62138000000.00
1995-12-01,62727000000.00
1996-01-01,63825000000.00
1996-02-01,63519000000.00
1996-03-01,63806000000.00
1996-04-01,64459000000.00
1996-05-01,66464000000.00
1996-06-01,66087000000.00
1996-07-01,66253000000.00
1996-08-01,67329000000.00
1996-09-01,68080000000.00
1996-10-01,67423000000.00
1996-11-01,68364000000.00
1996-12-01,69681000000.00
1997-01-01,69846000000.00
1997-02-01,70131000000.00
1997-03-01,70023000000.00
1997-04-01,71262000000.00
1997-05-01,72137000000.00
1997-06-01,71658000000.00
1997-07-01,73330000000.00
1997-08-01,73623000000.00
1997-09-01,74408000000.00
1997-10-01,74641000000.00
1997-11-01,73588000000.00
1997-12-01,75056000000.00
1998-01-01,74523000000.00
1998-02-01,74184000000.00
1998-03-01,76369000000.00
1998-04-01,76350000000.00
1998-05-01,76492000000.00
1998-06-01,74911000000.00
1998-07-01,74594000000.00
1998-08-01,75707000000.00
1998-09-01,76107000000.00
1998-10-01,77880000000.00
1998-11-01,77912000000.00
1998-12-01,76867000000.00
1999-01-01,77781000000.00
1999-02-01,79842000000.00
1999-03-01,79569000000.00
1999-04-01,80801000000.00
1999-05-01,83200000000.00
1999-06-01,85868000000.00
1999-07-01,87186000000.00
1999-08-01,87837000000.00
1999-09-01,88512000000.00
1999-10-01,89923000000.00
1999-11-01,90984000000.00
1999-12-01,93115000000.00
2000-01-01,93900000000.00
2000-02-01,95901000000.00
2000-03-01,99176000000.00
2000-04-01,99242000000.00
2000-05-01,99651000000.00
2000-06-01,103019000000.00
2000-07-01,103349000000.00
2000-08-01,103665000000.00
2000-09-01,106396000000.00
2000-10-01,106056000000.00
2000-11-01,103993000000.00
2000-12-01,103673000000.00
2001-01-01,105470000000.00
2001-02-01,100350000000.00
2001-03-01,101853000000.00
2001-04-01,98164000000.00
2001-05-01,95150000000.00
2001-06-01,94978000000.00
2001-07-01,93680000000.00
2001-08-01,92569000000.00
2001-09-01,90957000000.00
2001-10-01,91322000000.00
2001-11-01,89979000000.00
2001-12-01,86527000000.00
2002-01-01,89443000000.00
2002-02-01,91539000000.00
2002-03-01,91447000000.00
2002-04-01,95972000000.00
2002-05-01,96395000000.00
2002-06-01,97848000000.00
2002-07-01,97197000000.00
2002-08-01,99721000000.00
2002-09-01,99364000000.00
2002-10-01,96860000000.00
2002-11-01,102120000000.00
2002-12-01,103460000000.00
2003-01-01,102284000000.00
2003-02-01,101719000000.00
2003-03-01,105340000000.00
2003-04-01,103175000000.00
2003-05-01,102613000000.00
2003-06-01,103398000000.00
2003-07-01,105082000000.00
2003-08-01,101990000000.00
2003-09-01,105721000000.00
2003-10-01,107040000000.00
2003-11-01,107742000000.00
2003-12-01,111017000000.00
2004-01-01,110890000000.00
2004-02-01,113977000000.00
2004-03-01,118678000000.00
2004-04-01,118542000000.00
2004-05-01,120671000000.00
2004-06-01,124355000000.00
2004-07-01,122979000000.00
2004-08-01,124224000000.00
2004-09-01,124400000000.00
2004-10-01,128810000000.00
2004-11-01,131867000000.00
2004-12-01,130310000000.00
2005-01-01,132065000000.00
2005-02-01,134921000000.00
2005-03-01,130902000000.00
2005-04-01,137129000000.00
2005-05-01,135665000000.00
2005-06-01,137614000000.00
2005-07-01,137423000000.00
2005-08-01,139189000000.00
2005-09-01,143958000000.00
2005-10-01,148676000000.00
2005-11-01,146650000000.00
2005-12-01,149264000000.00
2006-01-01,152919000000.00
2006-02-01,148596000000.00
2006-03-01,150759000000.00
2006-04-01,151278000000.00
2006-05-01,154996000000.00
2006-06-01,155279000000.00
2006-07-01,156232000000.00
2006-08-01,159838000000.00
2006-09-01,157913000000.00
2006-10-01,153411000000.00
2006-11-01,154406000000.00
2006-12-01,158312000000.00
2007-01-01,156000000000.00
2007-02-01,155097000000.00
2007-03-01,161806000000.00
2007-04-01,159655000000.00
2007-05-01,161050000000.00
2007-06-01,163137000000.00
2007-07-01,163679000000.00
2007-08-01,163444000000.00
2007-09-01,164883000000.00
2007-10-01,166868000000.00
2007-11-01,171602000000.00
2007-12-01,169741000000.00
2008-01-01,175412000000.00
2008-02-01,179496000000.00
2008-03-01,175126000000.00
2008-04-01,182776000000.00
2008-05-01,183767000000.00
2008-06-01,186963000000.00
2008-07-01,194334000000.00
2008-08-01,186261000000.00
2008-09-01,175833000000.00
2008-10-01,174067000000.00
2008-11-01,150372000000.00
2008-12-01,139234000000.00
2009-01-01,129116000000.00
2009-02-01,121807000000.00
2009-03-01,121885000000.00
2009-04-01,120572000000.00
2009-05-01,118736000000.00
2009-06-01,122156000000.00
2009-07-01,129912000000.00
2009-08-01,128770000000.00
2009-09-01,136267000000.00
2009-10-01,139309000000.00
2009-11-01,143475000000.00
2009-12-01,147620000000.00
2010-01-01,146808000000.00
2010-02-01,150520000000.00
2010-03-01,153982000000.00
2010-04-01,153706000000.00
2010-05-01,158128000000.00
2010-06-01,162202000000.00
2010-07-01,159664000000.00
2010-08-01,164528000000.00
2010-09-01,163835000000.00
2010-10-01,165302000000.00
2010-11-01,164893000000.00
2010-12-01,170290000000.00
2011-01-01,178698000000.00
2011-02-01,174228000000.00
2011-03-01,181256000000.00
2011-04-01,181060000000.00
2011-05-01,185321000000.00
2011-06-01,185391000000.00
2011-07-01,185822000000.00
2011-08-01,185727000000.00
2011-09-01,185718000000.00
2011-10-01,186685000000.00
2011-11-01,187195000000.00
2011-12-01,190853000000.00
2012-01-01,191549000000.00
2012-02-01,185837000000.00
2012-03-01,196472000000.00
2012-04-01,192660000000.00
2012-05-01,191762000000.00
2012-06-01,188767000000.00
2012-07-01,187727000000.00
2012-08-01,187443000000.00
2012-09-01,188974000000.00
2012-10-01,185520000000.00
2012-11-01,192378000000.00
2012-12-01,187212000000.00
2013-01-01,189616000000.00
2013-02-01,191393000000.00
2013-03-01,184208000000.00
2013-04-01,187351000000.00
2013-05-01,190763000000.00
2013-06-01,186487000000.00
2013-07-01,188390000000.00
2013-08-01,188983000000.00
2013-09-01,191609000000.00
2013-10-01,191865000000.00
2013-11-01,189017000000.00
2013-12-01,188687000000.00
2014-01-01,192218000000.00
2014-02-01,192666000000.00
2014-03-01,196795000000.00
2014-04-01,199284000000.00
2014-05-01,198347000000.00
2014-06-01,196618000000.00
2014-07-01,196511000000.00
2014-08-01,196013000000.00
2014-09-01,196979000000.00
2014-10-01,197981000000.00
2014-11-01,195090000000.00
2014-12-01,197863000000.00
2015-01-01,190914000000.00
2015-02-01,184096000000.00
2015-03-01,197355000000.00
2015-04-01,190264000000.00
2015-05-01,187840000000.00
2015-06-01,190021000000.00
2015-07-01,187418000000.00
2015-08-01,187781000000.00
2015-09-01,186049000000.00
2015-10-01,183774000000.00
2015-11-01,181577000000.00
2015-12-01,181095000000.00
2016-01-01,177906000000.00
2016-02-01,182756000000.00
2016-03-01,174154000000.00
2016-04-01,176951000000.00
2016-05-01,179874000000.00
2016-06-01,184193000000.00
2016-07-01,183531000000.00
2016-08-01,184288000000.00
2016-09-01,183626000000.00
2016-10-01,184667000000.00
2016-11-01,186649000000.00
2016-12-01,189006000000.00
2017-01-01,192713000000.00
2017-02-01,190958000000.00
2017-03-01,190723000000.00
2017-04-01,192561000000.00
2017-05-01,192277000000.00
2017-06-01,192886000000.00
2017-07-01,192366000000.00
2017-08-01,192553000000.00
2017-09-01,195124000000.00
2017-10-01,197953000000.00
2017-11-01,203327000000.00
2017-12-01,208522000000.00
2018-01-01,206611000000.00
2018-02-01,211925000000.00
2018-03-01,208855000000.00
2018-04-01,207961000000.00
