Date,WHLSLRIMNSA
1998-04-01,264459000000.00
1998-05-01,263407000000.00
1998-06-01,261957000000.00
1998-07-01,264087000000.00
1998-08-01,263800000000.00
1998-09-01,265598000000.00
1998-10-01,271986000000.00
1998-11-01,273061000000.00
1998-12-01,272575000000.00
1999-01-01,276001000000.00
1999-02-01,276829000000.00
1999-03-01,276576000000.00
1999-04-01,277196000000.00
1999-05-01,274869000000.00
1999-06-01,274612000000.00
1999-07-01,279113000000.00
1999-08-01,277044000000.00
1999-09-01,279218000000.00
1999-10-01,287817000000.00
1999-11-01,290851000000.00
1999-12-01,290382000000.00
2000-01-01,296138000000.00
2000-02-01,296352000000.00
2000-03-01,297482000000.00
2000-04-01,300258000000.00
2000-05-01,299012000000.00
2000-06-01,300966000000.00
2000-07-01,303462000000.00
2000-08-01,301773000000.00
2000-09-01,302619000000.00
2000-10-01,309833000000.00
2000-11-01,311322000000.00
2000-12-01,309710000000.00
2001-01-01,312089000000.00
2001-02-01,310517000000.00
2001-03-01,309784000000.00
2001-04-01,310922000000.00
2001-05-01,308951000000.00
2001-06-01,306944000000.00
2001-07-01,305617000000.00
2001-08-01,302149000000.00
2001-09-01,302287000000.00
2001-10-01,305224000000.00
2001-11-01,301377000000.00
2001-12-01,298577000000.00
2002-01-01,300048000000.00
2002-02-01,295397000000.00
2002-03-01,295181000000.00
2002-04-01,293298000000.00
2002-05-01,290354000000.00
2002-06-01,292390000000.00
2002-07-01,295959000000.00
2002-08-01,294190000000.00
2002-09-01,296635000000.00
2002-10-01,300552000000.00
2002-11-01,300562000000.00
2002-12-01,302715000000.00
2003-01-01,304419000000.00
2003-02-01,303531000000.00
2003-03-01,304417000000.00
2003-04-01,304035000000.00
2003-05-01,299063000000.00
2003-06-01,299923000000.00
2003-07-01,301372000000.00
2003-08-01,298020000000.00
2003-09-01,300532000000.00
2003-10-01,307330000000.00
2003-11-01,308123000000.00
2003-12-01,310115000000.00
2004-01-01,312077000000.00
2004-02-01,314698000000.00
2004-03-01,316173000000.00
2004-04-01,314767000000.00
2004-05-01,314681000000.00
2004-06-01,319245000000.00
2004-07-01,326173000000.00
2004-08-01,326834000000.00
2004-09-01,328960000000.00
2004-10-01,336866000000.00
2004-11-01,340395000000.00
2004-12-01,341642000000.00
2005-01-01,347832000000.00
2005-02-01,348708000000.00
2005-03-01,349983000000.00
2005-04-01,351627000000.00
2005-05-01,348743000000.00
2005-06-01,352887000000.00
2005-07-01,355397000000.00
2005-08-01,354354000000.00
2005-09-01,357915000000.00
2005-10-01,363230000000.00
2005-11-01,364598000000.00
2005-12-01,369380000000.00
2006-01-01,371882000000.00
2006-02-01,374744000000.00
2006-03-01,375226000000.00
2006-04-01,378492000000.00
2006-05-01,378347000000.00
2006-06-01,383789000000.00
2006-07-01,388410000000.00
2006-08-01,389579000000.00
2006-09-01,394504000000.00
2006-10-01,397943000000.00
2006-11-01,401925000000.00
2006-12-01,400297000000.00
2007-01-01,402841000000.00
2007-02-01,404044000000.00
2007-03-01,404735000000.00
2007-04-01,404040000000.00
2007-05-01,402560000000.00
2007-06-01,406602000000.00
2007-07-01,408369000000.00
2007-08-01,406617000000.00
2007-09-01,413087000000.00
2007-10-01,416797000000.00
2007-11-01,421416000000.00
2007-12-01,426254000000.00
2008-01-01,434241000000.00
2008-02-01,439058000000.00
2008-03-01,436863000000.00
2008-04-01,441406000000.00
2008-05-01,439948000000.00
2008-06-01,447771000000.00
2008-07-01,455570000000.00
2008-08-01,456155000000.00
2008-09-01,459361000000.00
2008-10-01,456250000000.00
2008-11-01,452974000000.00
2008-12-01,445923000000.00
2009-01-01,443469000000.00
2009-02-01,435332000000.00
2009-03-01,425037000000.00
2009-04-01,417035000000.00
2009-05-01,408465000000.00
2009-06-01,404054000000.00
2009-07-01,399792000000.00
2009-08-01,392075000000.00
2009-09-01,391595000000.00
2009-10-01,395818000000.00
2009-11-01,401262000000.00
2009-12-01,398976000000.00
2010-01-01,400829000000.00
2010-02-01,402378000000.00
2010-03-01,403306000000.00
2010-04-01,402087000000.00
2010-05-01,400825000000.00
2010-06-01,403809000000.00
2010-07-01,410290000000.00
2010-08-01,411657000000.00
2010-09-01,422159000000.00
2010-10-01,436036000000.00
2010-11-01,437754000000.00
2010-12-01,444069000000.00
2011-01-01,450864000000.00
2011-02-01,455780000000.00
2011-03-01,459652000000.00
2011-04-01,458648000000.00
2011-05-01,462796000000.00
2011-06-01,466282000000.00
2011-07-01,471651000000.00
2011-08-01,469306000000.00
2011-09-01,471786000000.00
2011-10-01,484083000000.00
2011-11-01,483581000000.00
2011-12-01,489075000000.00
2012-01-01,493585000000.00
2012-02-01,500514000000.00
2012-03-01,502010000000.00
2012-04-01,502106000000.00
2012-05-01,497770000000.00
2012-06-01,497005000000.00
2012-07-01,503606000000.00
2012-08-01,501385000000.00
2012-09-01,513296000000.00
2012-10-01,524492000000.00
2012-11-01,526863000000.00
2012-12-01,524865000000.00
2013-01-01,533225000000.00
2013-02-01,530719000000.00
2013-03-01,531908000000.00
2013-04-01,530044000000.00
2013-05-01,520248000000.00
2013-06-01,517981000000.00
2013-07-01,521503000000.00
2013-08-01,521424000000.00
2013-09-01,528981000000.00
2013-10-01,544028000000.00
2013-11-01,546203000000.00
2013-12-01,544963000000.00
2014-01-01,552112000000.00
2014-02-01,554654000000.00
2014-03-01,560959000000.00
2014-04-01,562759000000.00
2014-05-01,556785000000.00
2014-06-01,555247000000.00
2014-07-01,558434000000.00
2014-08-01,557915000000.00
2014-09-01,564052000000.00
2014-10-01,576267000000.00
2014-11-01,579861000000.00
2014-12-01,576852000000.00
2015-01-01,581439000000.00
2015-02-01,582749000000.00
2015-03-01,585503000000.00
2015-04-01,584003000000.00
2015-05-01,580864000000.00
2015-06-01,581468000000.00
2015-07-01,581822000000.00
2015-08-01,578461000000.00
2015-09-01,585877000000.00
2015-10-01,593470000000.00
2015-11-01,589275000000.00
2015-12-01,583941000000.00
2016-01-01,588319000000.00
2016-02-01,581695000000.00
2016-03-01,585393000000.00
2016-04-01,587193000000.00
2016-05-01,581649000000.00
2016-06-01,580872000000.00
2016-07-01,581341000000.00
2016-08-01,576270000000.00
2016-09-01,583454000000.00
2016-10-01,590753000000.00
2016-11-01,596201000000.00
2016-12-01,597017000000.00
2017-01-01,600183000000.00
2017-02-01,599495000000.00
2017-03-01,602204000000.00
2017-04-01,597199000000.00
2017-05-01,593525000000.00
2017-06-01,596427000000.00
2017-07-01,599657000000.00
2017-08-01,600836000000.00
2017-09-01,610399000000.00
2017-10-01,613285000000.00
2017-11-01,619240000000.00
2017-12-01,618729000000.00
2018-01-01,629709000000.00
2018-02-01,632966000000.00
2018-03-01,635545000000.00
2018-04-01,631980000000.00
