Date,U35AUO
2004-08-01,1184000000.00
2004-09-01,1205000000.00
2004-10-01,1254000000.00
2004-11-01,1317000000.00
2004-12-01,1188000000.00
2005-01-01,1236000000.00
2005-02-01,1205000000.00
2005-03-01,1233000000.00
2005-04-01,1239000000.00
2005-05-01,1224000000.00
2005-06-01,1347000000.00
2005-07-01,1323000000.00
2005-08-01,1254000000.00
2005-09-01,1257000000.00
2005-10-01,1225000000.00
2005-11-01,1264000000.00
2005-12-01,1287000000.00
2006-01-01,1393000000.00
2006-02-01,1443000000.00
2006-03-01,1507000000.00
2006-04-01,1572000000.00
2006-05-01,1733000000.00
2006-06-01,1823000000.00
2006-07-01,1730000000.00
2006-08-01,1461000000.00
2006-09-01,1297000000.00
2006-10-01,1232000000.00
2006-11-01,1161000000.00
2006-12-01,1155000000.00
2007-01-01,1276000000.00
2007-02-01,1347000000.00
2007-03-01,1381000000.00
2007-04-01,1398000000.00
2007-05-01,1362000000.00
2007-06-01,1488000000.00
2007-07-01,1493000000.00
2007-08-01,1476000000.00
2007-09-01,1360000000.00
2007-10-01,1340000000.00
2007-11-01,1277000000.00
2007-12-01,1267000000.00
2008-01-01,1239000000.00
2008-02-01,1309000000.00
2008-03-01,1307000000.00
2008-04-01,1355000000.00
2008-05-01,1323000000.00
2008-06-01,1425000000.00
2008-07-01,1382000000.00
2008-08-01,1309000000.00
2008-09-01,1265000000.00
2008-10-01,1060000000.00
2008-11-01,974000000.00
2008-12-01,882000000.00
2009-01-01,830000000.00
2009-02-01,851000000.00
2009-03-01,886000000.00
2009-04-01,842000000.00
2009-05-01,825000000.00
2009-06-01,797000000.00
2009-07-01,828000000.00
2009-08-01,869000000.00
2009-09-01,887000000.00
2009-10-01,910000000.00
2009-11-01,922000000.00
2009-12-01,866000000.00
2010-01-01,856000000.00
2010-02-01,798000000.00
2010-03-01,838000000.00
2010-04-01,907000000.00
2010-05-01,925000000.00
2010-06-01,976000000.00
2010-07-01,932000000.00
2010-08-01,940000000.00
2010-09-01,998000000.00
2010-10-01,925000000.00
2010-11-01,917000000.00
2010-12-01,866000000.00
2011-01-01,929000000.00
2011-02-01,924000000.00
2011-03-01,935000000.00
2011-04-01,947000000.00
2011-05-01,974000000.00
2011-06-01,1077000000.00
2011-07-01,1060000000.00
2011-08-01,1075000000.00
2011-09-01,1220000000.00
2011-10-01,1178000000.00
2011-11-01,1120000000.00
2011-12-01,1044000000.00
2012-01-01,1035000000.00
2012-02-01,1006000000.00
2012-03-01,1015000000.00
2012-04-01,1063000000.00
2012-05-01,1095000000.00
2012-06-01,1152000000.00
2012-07-01,1119000000.00
2012-08-01,1125000000.00
2012-09-01,1165000000.00
2012-10-01,1183000000.00
2012-11-01,1207000000.00
2012-12-01,1152000000.00
2013-01-01,1226000000.00
2013-02-01,1229000000.00
2013-03-01,1305000000.00
2013-04-01,1257000000.00
2013-05-01,1320000000.00
2013-06-01,1331000000.00
2013-07-01,1373000000.00
2013-08-01,1380000000.00
2013-09-01,1255000000.00
2013-10-01,1355000000.00
2013-11-01,1354000000.00
2013-12-01,1341000000.00
2014-01-01,1370000000.00
2014-02-01,1409000000.00
2014-03-01,1298000000.00
2014-04-01,1364000000.00
2014-05-01,1367000000.00
2014-06-01,1421000000.00
2014-07-01,1421000000.00
2014-08-01,1425000000.00
2014-09-01,1442000000.00
2014-10-01,1481000000.00
2014-11-01,1482000000.00
2014-12-01,1438000000.00
2015-01-01,1435000000.00
2015-02-01,1452000000.00
2015-03-01,1440000000.00
2015-04-01,1455000000.00
2015-05-01,1432000000.00
2015-06-01,1449000000.00
2015-07-01,1427000000.00
2015-08-01,1434000000.00
2015-09-01,1373000000.00
2015-10-01,1383000000.00
2015-11-01,1398000000.00
2015-12-01,1398000000.00
2016-01-01,1442000000.00
2016-02-01,1475000000.00
2016-03-01,1494000000.00
2016-04-01,1450000000.00
2016-05-01,1441000000.00
2016-06-01,1487000000.00
2016-07-01,1413000000.00
2016-08-01,1303000000.00
2016-09-01,1348000000.00
2016-10-01,1309000000.00
2016-11-01,1283000000.00
2016-12-01,1234000000.00
2017-01-01,1280000000.00
2017-02-01,1316000000.00
2017-03-01,1315000000.00
2017-04-01,1348000000.00
2017-05-01,1353000000.00
2017-06-01,1401000000.00
2017-07-01,1388000000.00
2017-08-01,1365000000.00
2017-09-01,1367000000.00
2017-10-01,1398000000.00
2017-11-01,1391000000.00
2017-12-01,1345000000.00
2018-01-01,1395000000.00
2018-02-01,1408000000.00
2018-03-01,1421000000.00
2018-04-01,1431000000.00
