Date,UCMSUO
2008-01-01,55257000000.00
2008-02-01,55183000000.00
2008-03-01,57442000000.00
2008-04-01,58732000000.00
2008-05-01,59847000000.00
2008-06-01,59784000000.00
2008-07-01,59475000000.00
2008-08-01,58500000000.00
2008-09-01,57174000000.00
2008-10-01,56154000000.00
2008-11-01,54108000000.00
2008-12-01,53353000000.00
2009-01-01,50860000000.00
2009-02-01,48877000000.00
2009-03-01,47392000000.00
2009-04-01,46223000000.00
2009-05-01,45397000000.00
2009-06-01,43222000000.00
2009-07-01,41945000000.00
2009-08-01,40799000000.00
2009-09-01,40355000000.00
2009-10-01,40773000000.00
2009-11-01,40406000000.00
2009-12-01,40187000000.00
2010-01-01,40532000000.00
2010-02-01,41357000000.00
2010-03-01,43034000000.00
2010-04-01,44248000000.00
2010-05-01,44744000000.00
2010-06-01,45045000000.00
2010-07-01,45631000000.00
2010-08-01,46058000000.00
2010-09-01,46770000000.00
2010-10-01,46187000000.00
2010-11-01,46395000000.00
2010-12-01,47228000000.00
2011-01-01,48319000000.00
2011-02-01,49232000000.00
2011-03-01,50082000000.00
2011-04-01,50728000000.00
2011-05-01,51110000000.00
2011-06-01,50497000000.00
2011-07-01,50230000000.00
2011-08-01,48995000000.00
2011-09-01,48558000000.00
2011-10-01,47789000000.00
2011-11-01,47392000000.00
2011-12-01,46914000000.00
2012-01-01,47491000000.00
2012-02-01,48634000000.00
2012-03-01,49529000000.00
2012-04-01,50252000000.00
2012-05-01,51223000000.00
2012-06-01,51201000000.00
2012-07-01,52135000000.00
2012-08-01,50647000000.00
2012-09-01,50625000000.00
2012-10-01,50574000000.00
2012-11-01,49862000000.00
2012-12-01,46683000000.00
2013-01-01,46502000000.00
2013-02-01,47310000000.00
2013-03-01,47874000000.00
2013-04-01,47829000000.00
2013-05-01,48590000000.00
2013-06-01,48009000000.00
2013-07-01,48260000000.00
2013-08-01,47858000000.00
2013-09-01,47809000000.00
2013-10-01,47734000000.00
2013-11-01,47281000000.00
2013-12-01,47466000000.00
2014-01-01,47974000000.00
2014-02-01,48674000000.00
2014-03-01,49173000000.00
2014-04-01,49676000000.00
2014-05-01,50656000000.00
2014-06-01,50237000000.00
2014-07-01,50089000000.00
2014-08-01,49563000000.00
2014-09-01,48954000000.00
2014-10-01,49182000000.00
2014-11-01,48443000000.00
2014-12-01,47168000000.00
2015-01-01,47594000000.00
2015-02-01,48040000000.00
2015-03-01,48812000000.00
2015-04-01,49116000000.00
2015-05-01,49485000000.00
2015-06-01,49727000000.00
2015-07-01,49791000000.00
2015-08-01,49085000000.00
2015-09-01,48845000000.00
2015-10-01,48179000000.00
2015-11-01,47447000000.00
2015-12-01,47464000000.00
2016-01-01,48143000000.00
2016-02-01,48888000000.00
2016-03-01,49397000000.00
2016-04-01,49951000000.00
2016-05-01,50734000000.00
2016-06-01,50615000000.00
2016-07-01,50481000000.00
2016-08-01,49612000000.00
2016-09-01,48920000000.00
2016-10-01,49110000000.00
2016-11-01,48984000000.00
2016-12-01,48126000000.00
2017-01-01,49127000000.00
2017-02-01,49187000000.00
2017-03-01,50922000000.00
2017-04-01,51911000000.00
2017-05-01,52726000000.00
2017-06-01,52537000000.00
2017-07-01,52931000000.00
2017-08-01,52586000000.00
2017-09-01,52768000000.00
2017-10-01,52570000000.00
2017-11-01,52829000000.00
2017-12-01,52571000000.00
2018-01-01,53570000000.00
2018-02-01,54870000000.00
2018-03-01,56455000000.00
2018-04-01,57892000000.00
