Date,U34KTI
2017-05-01,14861000000.00
2017-06-01,14581000000.00
2017-07-01,14930000000.00
2017-08-01,15059000000.00
2017-09-01,14600000000.00
2017-10-01,15009000000.00
2017-11-01,15139000000.00
2017-12-01,14469000000.00
2018-01-01,14721000000.00
2018-02-01,15143000000.00
2018-03-01,15038000000.00
2018-04-01,15245000000.00
