Date,CPIUFDNS
1921-10-01,16.00
1921-11-01,15.80
1921-12-01,15.60
1922-01-01,14.90
1922-02-01,14.90
1922-03-01,14.70
1922-04-01,14.70
1922-05-01,14.80
1922-06-01,15.00
1922-07-01,15.10
1922-08-01,14.70
1922-09-01,14.70
1922-10-01,14.90
1922-11-01,15.10
1922-12-01,15.20
1923-01-01,15.00
1923-02-01,14.80
1923-03-01,14.90
1923-04-01,15.10
1923-05-01,15.20
1923-06-01,15.40
1923-07-01,15.80
1923-08-01,15.60
1923-09-01,15.70
1923-10-01,15.70
1923-11-01,15.80
1923-12-01,15.60
1924-01-01,15.50
1924-02-01,15.40
1924-03-01,15.00
1924-04-01,14.90
1924-05-01,15.00
1924-06-01,15.10
1924-07-01,15.10
1924-08-01,15.00
1924-09-01,15.30
1924-10-01,15.40
1924-11-01,15.50
1924-12-01,15.60
1925-01-01,15.90
1925-02-01,15.70
1925-03-01,15.70
1925-04-01,15.70
1925-05-01,15.80
1925-06-01,16.40
1925-07-01,17.00
1925-08-01,17.00
1925-09-01,16.70
1925-10-01,17.00
1925-11-01,17.70
1925-12-01,17.40
1926-01-01,17.50
1926-02-01,17.30
1926-03-01,17.10
1926-04-01,17.60
1926-05-01,17.40
1926-06-01,17.10
1926-07-01,16.60
1926-08-01,16.40
1926-09-01,16.70
1926-10-01,16.90
1926-11-01,17.00
1926-12-01,17.00
1927-01-01,16.70
1927-02-01,16.40
1927-03-01,16.20
1927-04-01,16.20
1927-05-01,16.60
1927-06-01,17.10
1927-07-01,16.20
1927-08-01,16.00
1927-09-01,16.30
1927-10-01,16.50
1927-11-01,16.50
1927-12-01,16.50
1928-01-01,16.30
1928-02-01,16.00
1928-03-01,16.00
1928-04-01,16.20
1928-05-01,16.40
1928-06-01,16.10
1928-07-01,16.00
1928-08-01,16.20
1928-09-01,16.60
1928-10-01,16.50
1928-11-01,16.40
1928-12-01,16.20
1929-01-01,16.20
1929-02-01,16.10
1929-03-01,15.90
1929-04-01,15.80
1929-05-01,16.10
1929-06-01,16.30
1929-07-01,16.70
1929-08-01,17.00
1929-09-01,17.00
1929-10-01,16.90
1929-11-01,16.80
1929-12-01,16.60
1930-01-01,16.40
1930-02-01,16.30
1930-03-01,16.00
1930-04-01,16.30
1930-05-01,16.10
1930-06-01,15.90
1930-07-01,15.30
1930-08-01,15.20
1930-09-01,15.40
1930-10-01,15.40
1930-11-01,15.00
1930-12-01,14.50
1931-01-01,14.00
1931-02-01,13.50
1931-03-01,13.40
1931-04-01,13.20
1931-05-01,13.00
1931-06-01,12.70
1931-07-01,12.70
1931-08-01,12.70
1931-09-01,12.70
1931-10-01,12.60
1931-11-01,12.30
1931-12-01,12.00
1932-01-01,11.40
1932-02-01,11.10
1932-03-01,11.10
1932-04-01,11.10
1932-05-01,10.80
1932-06-01,10.60
1932-07-01,10.70
1932-08-01,10.50
1932-09-01,10.50
1932-10-01,10.40
1932-11-01,10.30
1932-12-01,10.20
1933-01-01,9.80
1933-02-01,9.40
1933-03-01,9.40
1933-04-01,9.40
1933-05-01,9.80
1933-06-01,10.20
1933-07-01,11.10
1933-08-01,11.30
1933-09-01,11.30
1933-10-01,11.30
1933-11-01,11.10
1933-12-01,10.90
1934-01-01,11.10
1934-02-01,11.40
1934-03-01,11.50
1934-04-01,11.30
1934-05-01,11.50
1934-06-01,11.60
1934-07-01,11.60
1934-08-01,11.70
1934-09-01,12.10
1934-10-01,11.90
1934-11-01,11.80
1934-12-01,11.80
1935-01-01,12.20
1935-02-01,12.40
1935-03-01,12.40
1935-04-01,12.60
1935-05-01,12.60
1935-06-01,12.50
1935-07-01,12.30
1935-08-01,12.30
1935-09-01,12.50
1935-10-01,12.40
1935-11-01,12.60
1935-12-01,12.70
1936-01-01,12.60
1936-02-01,12.40
1936-03-01,12.20
1936-04-01,12.20
1936-05-01,12.20
1936-06-01,12.60
1936-07-01,12.70
1936-08-01,12.90
1936-09-01,13.00
1936-10-01,12.80
1936-11-01,12.60
1936-12-01,12.60
1937-01-01,12.80
1937-02-01,12.90
1937-03-01,13.10
1937-04-01,13.10
1937-05-01,13.20
1937-06-01,13.20
1937-07-01,13.20
1937-08-01,13.30
1937-09-01,13.40
1937-10-01,13.20
1937-11-01,12.90
1937-12-01,12.70
1938-01-01,12.40
1938-02-01,12.10
1938-03-01,12.10
1938-04-01,12.20
1938-05-01,12.10
1938-06-01,12.20
1938-07-01,12.20
1938-08-01,12.10
1938-09-01,12.20
1938-10-01,12.10
1938-11-01,11.90
1938-12-01,12.10
1939-01-01,11.90
1939-02-01,11.80
1939-03-01,11.80
1939-04-01,11.70
1939-05-01,11.70
1939-06-01,11.60
1939-07-01,11.70
1939-08-01,11.60
1939-09-01,12.20
1939-10-01,12.10
1939-11-01,12.00
1939-12-01,11.80
1940-01-01,11.80
1940-02-01,12.00
1940-03-01,11.90
1940-04-01,11.90
1940-05-01,12.00
1940-06-01,12.20
1940-07-01,12.10
1940-08-01,11.90
1940-09-01,12.10
1940-10-01,11.90
1940-11-01,11.90
1940-12-01,12.10
1941-01-01,12.10
1941-02-01,12.20
1941-03-01,12.20
1941-04-01,12.50
1941-05-01,12.70
1941-06-01,13.10
1941-07-01,13.20
1941-08-01,13.40
1941-09-01,13.70
1941-10-01,13.80
1941-11-01,14.00
1941-12-01,14.00
1942-01-01,14.40
1942-02-01,14.50
1942-03-01,14.70
1942-04-01,14.90
1942-05-01,15.10
1942-06-01,15.30
1942-07-01,15.50
1942-08-01,15.60
1942-09-01,15.70
1942-10-01,16.10
1942-11-01,16.30
1942-12-01,16.50
1943-01-01,16.50
1943-02-01,16.60
1943-03-01,17.00
1943-04-01,17.40
1943-05-01,17.80
1943-06-01,17.60
1943-07-01,17.20
1943-08-01,17.00
1943-09-01,17.00
1943-10-01,17.10
1943-11-01,17.00
1943-12-01,17.00
1944-01-01,16.90
1944-02-01,16.70
1944-03-01,16.70
1944-04-01,16.70
1944-05-01,16.80
1944-06-01,16.80
1944-07-01,17.00
1944-08-01,17.10
1944-09-01,17.00
1944-10-01,16.90
1944-11-01,16.90
1944-12-01,17.00
1945-01-01,17.00
1945-02-01,16.90
1945-03-01,16.90
1945-04-01,16.90
1945-05-01,17.20
1945-06-01,17.50
1945-07-01,17.60
1945-08-01,17.50
1945-09-01,17.30
1945-10-01,17.30
1945-11-01,17.40
1945-12-01,17.60
1946-01-01,17.50
1946-02-01,17.30
1946-03-01,17.40
1946-04-01,17.60
1946-05-01,17.70
1946-06-01,18.10
1946-07-01,20.60
1946-08-01,21.30
1946-09-01,21.60
1946-10-01,22.30
1946-11-01,23.30
1946-12-01,23.10
1947-01-01,22.80
1947-02-01,22.60
1947-03-01,23.50
1947-04-01,23.30
1947-05-01,23.30
1947-06-01,23.70
1947-07-01,24.00
1947-08-01,24.40
1947-09-01,25.20
1947-10-01,25.00
1947-11-01,25.20
1947-12-01,25.70
1948-01-01,26.00
1948-02-01,25.40
1948-03-01,25.10
1948-04-01,25.80
1948-05-01,26.20
1948-06-01,26.60
1948-07-01,26.90
1948-08-01,26.90
1948-09-01,26.70
1948-10-01,26.20
1948-11-01,25.70
1948-12-01,25.50
1949-01-01,25.40
1949-02-01,24.80
1949-03-01,25.00
1949-04-01,25.20
1949-05-01,25.10
1949-06-01,25.40
1949-07-01,25.00
1949-08-01,25.20
1949-09-01,25.40
1949-10-01,24.90
1949-11-01,24.90
1949-12-01,24.50
1950-01-01,24.30
1950-02-01,24.20
1950-03-01,24.40
1950-04-01,24.50
1950-05-01,24.80
1950-06-01,25.20
1950-07-01,25.90
1950-08-01,26.10
1950-09-01,26.10
1950-10-01,26.10
1950-11-01,26.20
1950-12-01,26.90
1951-01-01,27.50
1951-02-01,28.00
1951-03-01,28.10
1951-04-01,28.00
1951-05-01,28.20
1951-06-01,28.20
1951-07-01,28.30
1951-08-01,28.20
1951-09-01,28.20
1951-10-01,28.50
1951-11-01,28.70
1951-12-01,28.80
1952-01-01,28.80
1952-02-01,28.20
1952-03-01,28.30
1952-04-01,28.60
1952-05-01,28.70
1952-06-01,28.70
1952-07-01,29.20
1952-08-01,29.20
1952-09-01,28.90
1952-10-01,28.80
1952-11-01,28.80
1952-12-01,28.50
1953-01-01,28.40
1953-02-01,27.90
1953-03-01,28.00
1953-04-01,27.90
1953-05-01,28.10
1953-06-01,28.50
1953-07-01,28.50
1953-08-01,28.60
1953-09-01,28.50
1953-10-01,28.50
1953-11-01,28.10
1953-12-01,28.20
1954-01-01,28.40
1954-02-01,28.20
1954-03-01,28.10
1954-04-01,28.20
1954-05-01,28.40
1954-06-01,28.50
1954-07-01,28.70
1954-08-01,28.60
1954-09-01,28.20
1954-10-01,28.00
1954-11-01,27.90
1954-12-01,27.70
1955-01-01,27.70
1955-02-01,27.80
1955-03-01,27.80
1955-04-01,27.90
1955-05-01,27.90
1955-06-01,27.90
1955-07-01,28.10
1955-08-01,27.90
1955-09-01,28.00
1955-10-01,27.80
1955-11-01,27.50
1955-12-01,27.50
1956-01-01,27.40
1956-02-01,27.30
1956-03-01,27.30
1956-04-01,27.50
1956-05-01,27.80
1956-06-01,28.40
1956-07-01,28.80
1956-08-01,28.40
1956-09-01,28.40
1956-10-01,28.40
1956-11-01,28.30
1956-12-01,28.30
1957-01-01,28.30
1957-02-01,28.50
1957-03-01,28.40
1957-04-01,28.50
1957-05-01,28.70
1957-06-01,29.10
1957-07-01,29.40
1957-08-01,29.50
1957-09-01,29.30
1957-10-01,29.20
1957-11-01,29.10
1957-12-01,29.10
1958-01-01,29.70
1958-02-01,29.80
1958-03-01,30.30
1958-04-01,30.50
1958-05-01,30.50
1958-06-01,30.50
1958-07-01,30.50
1958-08-01,30.30
1958-09-01,30.20
1958-10-01,30.00
1958-11-01,29.90
1958-12-01,29.80
1959-01-01,29.80
1959-02-01,29.70
1959-03-01,29.50
1959-04-01,29.50
1959-05-01,29.50
1959-06-01,29.80
1959-07-01,29.90
1959-08-01,29.70
1959-09-01,29.80
1959-10-01,29.70
1959-11-01,29.50
1959-12-01,29.50
1960-01-01,29.50
1960-02-01,29.40
1960-03-01,29.50
1960-04-01,30.00
1960-05-01,30.00
1960-06-01,30.20
1960-07-01,30.20
1960-08-01,30.10
1960-09-01,30.20
1960-10-01,30.30
1960-11-01,30.40
1960-12-01,30.40
1961-01-01,30.40
1961-02-01,30.40
1961-03-01,30.40
1961-04-01,30.40
1961-05-01,30.30
1961-06-01,30.30
1961-07-01,30.60
1961-08-01,30.40
1961-09-01,30.40
1961-10-01,30.30
1961-11-01,30.20
1961-12-01,30.20
1962-01-01,30.30
1962-02-01,30.50
1962-03-01,30.50
1962-04-01,30.60
1962-05-01,30.50
1962-06-01,30.60
1962-07-01,30.70
1962-08-01,30.70
1962-09-01,31.00
1962-10-01,30.80
1962-11-01,30.80
1962-12-01,30.60
1963-01-01,31.00
1963-02-01,31.00
1963-03-01,30.90
1963-04-01,30.80
1963-05-01,30.80
1963-06-01,31.00
1963-07-01,31.40
1963-08-01,31.40
1963-09-01,31.20
1963-10-01,31.00
1963-11-01,31.10
1963-12-01,31.20
1964-01-01,31.30
1964-02-01,31.40
1964-03-01,31.30
1964-04-01,31.30
1964-05-01,31.20
1964-06-01,31.40
1964-07-01,31.70
1964-08-01,31.60
1964-09-01,31.70
1964-10-01,31.60
1964-11-01,31.60
1964-12-01,31.60
1965-01-01,31.50
1965-02-01,31.50
1965-03-01,31.60
1965-04-01,31.70
1965-05-01,31.90
1965-06-01,32.60
1965-07-01,32.80
1965-08-01,32.60
1965-09-01,32.40
1965-10-01,32.40
1965-11-01,32.40
1965-12-01,32.70
1966-01-01,33.00
1966-02-01,33.50
1966-03-01,33.70
1966-04-01,33.70
1966-05-01,33.60
1966-06-01,33.70
1966-07-01,33.80
1966-08-01,34.30
1966-09-01,34.20
1966-10-01,34.20
1966-11-01,34.00
1966-12-01,34.00
1967-01-01,33.90
1967-02-01,33.80
1967-03-01,33.80
1967-04-01,33.60
1967-05-01,33.70
1967-06-01,34.00
1967-07-01,34.30
1967-08-01,34.50
1967-09-01,34.30
1967-10-01,34.20
1967-11-01,34.20
1967-12-01,34.40
1968-01-01,34.60
1968-02-01,34.70
1968-03-01,34.90
1968-04-01,35.00
1968-05-01,35.10
1968-06-01,35.20
1968-07-01,35.50
1968-08-01,35.60
1968-09-01,35.60
1968-10-01,35.80
1968-11-01,35.60
1968-12-01,35.90
1969-01-01,36.10
1969-02-01,36.10
1969-03-01,36.20
1969-04-01,36.40
1969-05-01,36.60
1969-06-01,37.10
1969-07-01,37.50
1969-08-01,37.70
1969-09-01,37.70
1969-10-01,37.60
1969-11-01,37.90
1969-12-01,38.40
1970-01-01,38.70
1970-02-01,38.90
1970-03-01,38.90
1970-04-01,39.10
1970-05-01,39.20
1970-06-01,39.30
1970-07-01,39.50
1970-08-01,39.50
1970-09-01,39.40
1970-10-01,39.40
1970-11-01,39.20
1970-12-01,39.30
1971-01-01,39.40
1971-02-01,39.50
1971-03-01,39.90
1971-04-01,40.10
1971-05-01,40.30
1971-06-01,40.60
1971-07-01,40.80
1971-08-01,40.90
1971-09-01,40.60
1971-10-01,40.50
1971-11-01,40.60
1971-12-01,41.00
1972-01-01,41.00
1972-02-01,41.60
1972-03-01,41.70
1972-04-01,41.70
1972-05-01,41.70
1972-06-01,41.90
1972-07-01,42.30
1972-08-01,42.50
1972-09-01,42.50
1972-10-01,42.60
1972-11-01,42.70
1972-12-01,42.90
1973-01-01,43.80
1973-02-01,44.70
1973-03-01,45.80
1973-04-01,46.50
1973-05-01,47.00
1973-06-01,47.60
1973-07-01,48.00
1973-08-01,50.90
1973-09-01,50.50
1973-10-01,50.60
1973-11-01,51.10
1973-12-01,51.60
1974-01-01,52.40
1974-02-01,53.70
1974-03-01,54.20
1974-04-01,54.10
1974-05-01,54.40
1974-06-01,54.60
1974-07-01,54.70
1974-08-01,55.50
1974-09-01,56.20
1974-10-01,56.60
1974-11-01,57.20
1974-12-01,57.80
1975-01-01,58.20
1975-02-01,58.50
1975-03-01,58.40
1975-04-01,58.30
1975-05-01,58.60
1975-06-01,59.40
1975-07-01,60.90
1975-08-01,60.70
1975-09-01,60.60
1975-10-01,61.00
1975-11-01,61.30
1975-12-01,61.60
1976-01-01,61.60
1976-02-01,61.30
1976-03-01,60.90
1976-04-01,61.10
1976-05-01,61.30
1976-06-01,61.70
1976-07-01,62.10
1976-08-01,62.20
1976-09-01,61.90
1976-10-01,61.90
1976-11-01,61.70
1976-12-01,61.90
1977-01-01,62.50
1977-02-01,64.00
1977-03-01,64.30
1977-04-01,65.10
1977-05-01,65.30
1977-06-01,66.00
1977-07-01,66.30
1977-08-01,66.50
1977-09-01,66.30
1977-10-01,66.30
1977-11-01,66.70
1977-12-01,66.90
1978-01-01,67.90
1978-02-01,68.80
1978-03-01,69.60
1978-04-01,70.70
1978-05-01,71.70
1978-06-01,72.90
1978-07-01,73.30
1978-08-01,73.40
1978-09-01,73.50
1978-10-01,73.90
1978-11-01,74.20
1978-12-01,74.80
1979-01-01,76.30
1979-02-01,77.80
1979-03-01,78.50
1979-04-01,79.20
1979-05-01,79.90
1979-06-01,80.20
1979-07-01,80.70
1979-08-01,80.50
1979-09-01,80.80
1979-10-01,81.20
1979-11-01,81.50
1979-12-01,82.40
1980-01-01,83.10
1980-02-01,83.50
1980-03-01,84.30
1980-04-01,84.90
1980-05-01,85.30
1980-06-01,85.90
1980-07-01,86.80
1980-08-01,88.20
1980-09-01,89.00
1980-10-01,89.40
1980-11-01,90.10
1980-12-01,90.80
1981-01-01,91.50
1981-02-01,92.30
1981-03-01,92.80
1981-04-01,93.00
1981-05-01,92.90
1981-06-01,93.20
1981-07-01,94.10
1981-08-01,94.50
1981-09-01,94.70
1981-10-01,94.60
1981-11-01,94.40
1981-12-01,94.70
1982-01-01,95.80
1982-02-01,96.60
1982-03-01,96.40
1982-04-01,96.80
1982-05-01,97.30
1982-06-01,98.10
1982-07-01,98.30
1982-08-01,97.90
1982-09-01,98.00
1982-10-01,97.80
1982-11-01,97.60
1982-12-01,97.60
1983-01-01,98.20
1983-02-01,98.50
1983-03-01,99.00
1983-04-01,99.50
1983-05-01,99.70
1983-06-01,99.50
1983-07-01,99.50
1983-08-01,99.60
1983-09-01,99.70
1983-10-01,99.80
1983-11-01,99.70
1983-12-01,100.20
1984-01-01,102.00
1984-02-01,103.00
1984-03-01,103.00
1984-04-01,103.00
1984-05-01,102.70
1984-06-01,102.90
1984-07-01,103.30
1984-08-01,103.90
1984-09-01,103.70
1984-10-01,103.70
1984-11-01,103.60
1984-12-01,104.00
1985-01-01,104.70
1985-02-01,105.50
1985-03-01,105.50
1985-04-01,105.50
1985-05-01,105.30
1985-06-01,105.40
1985-07-01,105.50
1985-08-01,105.50
1985-09-01,105.60
1985-10-01,105.60
1985-11-01,106.00
1985-12-01,106.70
1986-01-01,107.60
1986-02-01,107.50
1986-03-01,107.50
1986-04-01,107.70
1986-05-01,108.00
1986-06-01,108.10
1986-07-01,109.10
1986-08-01,110.00
1986-09-01,110.10
1986-10-01,110.30
1986-11-01,110.60
1986-12-01,110.80
1987-01-01,112.10
1987-02-01,112.50
1987-03-01,112.50
1987-04-01,112.80
1987-05-01,113.30
1987-06-01,113.80
1987-07-01,113.70
1987-08-01,113.80
1987-09-01,114.10
1987-10-01,114.30
1987-11-01,114.20
1987-12-01,114.70
1988-01-01,115.70
1988-02-01,115.70
1988-03-01,115.90
1988-04-01,116.60
1988-05-01,117.00
1988-06-01,117.60
1988-07-01,118.80
1988-08-01,119.40
1988-09-01,120.20
1988-10-01,120.30
1988-11-01,120.20
1988-12-01,120.70
1989-01-01,122.20
1989-02-01,122.90
1989-03-01,123.50
1989-04-01,124.20
1989-05-01,124.90
1989-06-01,125.00
1989-07-01,125.50
1989-08-01,125.80
1989-09-01,126.10
1989-10-01,126.50
1989-11-01,126.90
1989-12-01,127.40
1990-01-01,130.40
1990-02-01,131.30
1990-03-01,131.50
1990-04-01,131.30
1990-05-01,131.30
1990-06-01,132.00
1990-07-01,132.70
1990-08-01,132.90
1990-09-01,133.20
1990-10-01,133.60
1990-11-01,134.00
1990-12-01,134.20
1991-01-01,135.80
1991-02-01,135.50
1991-03-01,135.80
1991-04-01,136.70
1991-05-01,136.80
1991-06-01,137.20
1991-07-01,136.50
1991-08-01,136.00
1991-09-01,136.00
1991-10-01,135.80
1991-11-01,136.20
1991-12-01,136.70
1992-01-01,137.20
1992-02-01,137.50
1992-03-01,138.10
1992-04-01,138.10
1992-05-01,137.40
1992-06-01,137.40
1992-07-01,137.20
1992-08-01,138.00
1992-09-01,138.50
1992-10-01,138.30
1992-11-01,138.30
1992-12-01,138.70
1993-01-01,139.80
1993-02-01,139.90
1993-03-01,140.10
1993-04-01,140.60
1993-05-01,141.10
1993-06-01,140.40
1993-07-01,140.30
1993-08-01,140.80
1993-09-01,141.10
1993-10-01,141.60
1993-11-01,141.90
1993-12-01,142.70
1994-01-01,143.70
1994-02-01,142.90
1994-03-01,143.20
1994-04-01,143.40
1994-05-01,143.50
1994-06-01,143.50
1994-07-01,144.20
1994-08-01,144.80
1994-09-01,145.00
1994-10-01,145.00
1994-11-01,145.30
1994-12-01,146.80
1995-01-01,147.50
1995-02-01,147.40
1995-03-01,147.40
1995-04-01,148.40
1995-05-01,148.30
1995-06-01,147.90
1995-07-01,148.10
1995-08-01,148.40
1995-09-01,148.90
1995-10-01,149.40
1995-11-01,149.40
1995-12-01,149.90
1996-01-01,151.00
1996-02-01,150.80
1996-03-01,151.60
1996-04-01,152.30
1996-05-01,152.00
1996-06-01,152.60
1996-07-01,153.20
1996-08-01,153.70
1996-09-01,154.60
1996-10-01,155.40
1996-11-01,155.90
1996-12-01,156.30
1997-01-01,156.50
1997-02-01,156.50
1997-03-01,156.60
1997-04-01,156.60
1997-05-01,156.60
1997-06-01,156.60
1997-07-01,157.00
1997-08-01,157.60
1997-09-01,157.90
1997-10-01,158.20
1997-11-01,158.50
1997-12-01,158.70
1998-01-01,159.90
1998-02-01,159.40
1998-03-01,159.70
1998-04-01,159.80
1998-05-01,160.30
1998-06-01,160.10
1998-07-01,160.50
1998-08-01,161.00
1998-09-01,161.10
1998-10-01,162.00
1998-11-01,162.10
1998-12-01,162.30
1999-01-01,163.60
1999-02-01,163.30
1999-03-01,163.30
1999-04-01,163.40
1999-05-01,163.70
1999-06-01,163.60
1999-07-01,163.80
1999-08-01,164.20
1999-09-01,164.60
1999-10-01,165.10
1999-11-01,165.20
1999-12-01,165.40
2000-01-01,166.10
2000-02-01,166.30
2000-03-01,166.50
2000-04-01,166.60
2000-05-01,167.30
2000-06-01,167.30
2000-07-01,168.10
2000-08-01,168.70
2000-09-01,168.90
2000-10-01,169.10
2000-11-01,168.90
2000-12-01,170.00
2001-01-01,170.90
2001-02-01,171.30
2001-03-01,171.70
2001-04-01,171.90
2001-05-01,172.50
2001-06-01,173.00
2001-07-01,173.50
2001-08-01,173.90
2001-09-01,174.10
2001-10-01,174.90
2001-11-01,174.60
2001-12-01,174.70
2002-01-01,175.80
2002-02-01,175.90
2002-03-01,176.10
2002-04-01,176.20
2002-05-01,175.80
2002-06-01,175.80
2002-07-01,176.00
2002-08-01,176.00
2002-09-01,176.40
2002-10-01,176.50
2002-11-01,176.80
2002-12-01,177.30
2003-01-01,177.50
2003-02-01,178.30
2003-03-01,178.60
2003-04-01,178.40
2003-05-01,178.80
2003-06-01,179.60
2003-07-01,179.70
2003-08-01,180.40
2003-09-01,180.70
2003-10-01,181.70
2003-11-01,182.40
2003-12-01,183.60
2004-01-01,183.80
2004-02-01,184.10
2004-03-01,184.40
2004-04-01,184.50
2004-05-01,186.10
2004-06-01,186.30
2004-07-01,186.80
2004-08-01,186.80
2004-09-01,186.70
2004-10-01,187.90
2004-11-01,188.20
2004-12-01,188.50
2005-01-01,189.10
2005-02-01,188.80
2005-03-01,189.10
2005-04-01,190.20
2005-05-01,190.60
2005-06-01,190.40
2005-07-01,190.80
2005-08-01,190.90
2005-09-01,191.40
2005-10-01,192.10
2005-11-01,192.40
2005-12-01,192.90
2006-01-01,194.10
2006-02-01,194.00
2006-03-01,194.00
2006-04-01,193.70
2006-05-01,194.20
2006-06-01,194.50
2006-07-01,195.00
2006-08-01,195.50
2006-09-01,196.20
2006-10-01,197.10
2006-11-01,196.80
2006-12-01,197.00
2007-01-01,198.81
2007-02-01,200.00
2007-03-01,200.40
2007-04-01,200.82
2007-05-01,201.79
2007-06-01,202.44
2007-07-01,203.12
2007-08-01,203.89
2007-09-01,204.94
2007-10-01,205.80
2007-11-01,206.28
2007-12-01,206.70
2008-01-01,208.62
2008-02-01,209.17
2008-03-01,209.39
2008-04-01,211.10
2008-05-01,212.05
2008-06-01,213.24
2008-07-01,215.30
2008-08-01,216.42
2008-09-01,217.70
2008-10-01,218.74
2008-11-01,218.75
2008-12-01,218.81
2009-01-01,219.68
2009-02-01,219.21
2009-03-01,218.60
2009-04-01,218.16
2009-05-01,217.83
2009-06-01,217.74
2009-07-01,217.26
2009-08-01,217.35
2009-09-01,217.22
2009-10-01,217.53
2009-11-01,217.27
2009-12-01,217.64
2010-01-01,218.87
2010-02-01,218.78
2010-03-01,219.03
2010-04-01,219.22
2010-05-01,219.37
2010-06-01,219.22
2010-07-01,219.12
2010-08-01,219.49
2010-09-01,220.22
2010-10-01,220.62
2010-11-01,220.62
2010-12-01,220.95
2011-01-01,222.91
2011-02-01,223.80
2011-03-01,225.35
2011-04-01,226.15
2011-05-01,226.98
2011-06-01,227.36
2011-07-01,228.32
2011-08-01,229.55
2011-09-01,230.57
2011-10-01,231.02
2011-11-01,230.79
2011-12-01,231.30
2012-01-01,232.67
2012-02-01,232.49
2012-03-01,232.79
2012-04-01,233.23
2012-05-01,233.34
2012-06-01,233.56
2012-07-01,233.63
2012-08-01,234.16
2012-09-01,234.30
2012-10-01,234.88
2012-11-01,234.90
2012-12-01,235.39
2013-01-01,236.34
2013-02-01,236.30
2013-03-01,236.33
2013-04-01,236.84
2013-05-01,236.53
2013-06-01,236.79
2013-07-01,237.00
2013-08-01,237.41
2013-09-01,237.52
2013-10-01,237.87
2013-11-01,237.64
2013-12-01,237.87
2014-01-01,238.87
2014-02-01,239.61
2014-03-01,240.40
2014-04-01,241.34
2014-05-01,242.34
2014-06-01,242.33
2014-07-01,243.03
2014-08-01,243.81
2014-09-01,244.63
2014-10-01,245.17
2014-11-01,245.19
2014-12-01,245.98
2015-01-01,246.54
2015-02-01,246.68
2015-03-01,246.05
2015-04-01,246.12
2015-05-01,246.19
2015-06-01,246.68
2015-07-01,247.00
2015-08-01,247.67
2015-09-01,248.63
2015-10-01,249.05
2015-11-01,248.31
2015-12-01,247.90
2016-01-01,248.63
2016-02-01,248.80
2016-03-01,247.98
2016-04-01,248.41
2016-05-01,247.86
2016-06-01,247.48
2016-07-01,247.55
2016-08-01,247.72
2016-09-01,247.92
2016-10-01,248.07
2016-11-01,247.44
2016-12-01,247.31
2017-01-01,248.24
2017-02-01,248.79
2017-03-01,249.17
2017-04-01,249.74
2017-05-01,250.02
2017-06-01,249.65
2017-07-01,250.21
2017-08-01,250.49
2017-09-01,250.99
2017-10-01,251.36
2017-11-01,250.87
2017-12-01,251.24
2018-01-01,252.36
2018-02-01,252.27
2018-03-01,252.37
2018-04-01,253.21
2018-05-01,253.10
