Date,UMDMNO
2001-09-01,169765000000.00
2001-10-01,175302000000.00
2001-11-01,160265000000.00
2001-12-01,170130000000.00
2002-01-01,152537000000.00
2002-02-01,167694000000.00
2002-03-01,183541000000.00
2002-04-01,170163000000.00
2002-05-01,176314000000.00
2002-06-01,173578000000.00
2002-07-01,151584000000.00
2002-08-01,176987000000.00
2002-09-01,174195000000.00
2002-10-01,174042000000.00
2002-11-01,164310000000.00
2002-12-01,167098000000.00
2003-01-01,160196000000.00
2003-02-01,169363000000.00
2003-03-01,188854000000.00
2003-04-01,168168000000.00
2003-05-01,172361000000.00
2003-06-01,183990000000.00
2003-07-01,150336000000.00
2003-08-01,170612000000.00
2003-09-01,187270000000.00
2003-10-01,190591000000.00
2003-11-01,173368000000.00
2003-12-01,187904000000.00
2004-01-01,164926000000.00
2004-02-01,180111000000.00
2004-03-01,214611000000.00
2004-04-01,183752000000.00
2004-05-01,181865000000.00
2004-06-01,197458000000.00
2004-07-01,163925000000.00
2004-08-01,184662000000.00
2004-09-01,197167000000.00
2004-10-01,186918000000.00
2004-11-01,188131000000.00
2004-12-01,201172000000.00
2005-01-01,177594000000.00
2005-02-01,188951000000.00
2005-03-01,209708000000.00
2005-04-01,190899000000.00
2005-05-01,205691000000.00
2005-06-01,224203000000.00
2005-07-01,169437000000.00
2005-08-01,209010000000.00
2005-09-01,214582000000.00
2005-10-01,211650000000.00
2005-11-01,215562000000.00
2005-12-01,229512000000.00
2006-01-01,191920000000.00
2006-02-01,209478000000.00
2006-03-01,252659000000.00
2006-04-01,206157000000.00
2006-05-01,217869000000.00
2006-06-01,237564000000.00
2006-07-01,186090000000.00
2006-08-01,215695000000.00
2006-09-01,243185000000.00
2006-10-01,219885000000.00
2006-11-01,218853000000.00
2006-12-01,236933000000.00
2007-01-01,204185000000.00
2007-02-01,211359000000.00
2007-03-01,252090000000.00
2007-04-01,225558000000.00
2007-05-01,229326000000.00
2007-06-01,243703000000.00
2007-07-01,211263000000.00
2007-08-01,241388000000.00
2007-09-01,232386000000.00
2007-10-01,235158000000.00
2007-11-01,224134000000.00
2007-12-01,254048000000.00
2008-01-01,219946000000.00
2008-02-01,229870000000.00
2008-03-01,250906000000.00
2008-04-01,225075000000.00
2008-05-01,227995000000.00
2008-06-01,242479000000.00
2008-07-01,205540000000.00
2008-08-01,214872000000.00
2008-09-01,224233000000.00
2008-10-01,197291000000.00
2008-11-01,169856000000.00
2008-12-01,191734000000.00
2009-01-01,138218000000.00
2009-02-01,137245000000.00
2009-03-01,162107000000.00
2009-04-01,139893000000.00
2009-05-01,145714000000.00
2009-06-01,157122000000.00
2009-07-01,145376000000.00
2009-08-01,155455000000.00
2009-09-01,168746000000.00
2009-10-01,163196000000.00
2009-11-01,151230000000.00
2009-12-01,174485000000.00
2010-01-01,163488000000.00
2010-02-01,169065000000.00
2010-03-01,199993000000.00
2010-04-01,181528000000.00
2010-05-01,183535000000.00
2010-06-01,200080000000.00
2010-07-01,174685000000.00
2010-08-01,191888000000.00
2010-09-01,213131000000.00
2010-10-01,192327000000.00
2010-11-01,186603000000.00
2010-12-01,209011000000.00
2011-01-01,184037000000.00
2011-02-01,187466000000.00
2011-03-01,233078000000.00
2011-04-01,194922000000.00
2011-05-01,205025000000.00
2011-06-01,216548000000.00
2011-07-01,189215000000.00
2011-08-01,216719000000.00
2011-09-01,221336000000.00
2011-10-01,206574000000.00
2011-11-01,206403000000.00
2011-12-01,237529000000.00
2012-01-01,204396000000.00
2012-02-01,224734000000.00
2012-03-01,240914000000.00
2012-04-01,211128000000.00
2012-05-01,220564000000.00
2012-06-01,233459000000.00
2012-07-01,206717000000.00
2012-08-01,204399000000.00
2012-09-01,223104000000.00
2012-10-01,222232000000.00
2012-11-01,209493000000.00
2012-12-01,239424000000.00
2013-01-01,199394000000.00
2013-02-01,221212000000.00
2013-03-01,227999000000.00
2013-04-01,216130000000.00
2013-05-01,233407000000.00
2013-06-01,253610000000.00
2013-07-01,202490000000.00
2013-08-01,218624000000.00
2013-09-01,241737000000.00
2013-10-01,230574000000.00
2013-11-01,226135000000.00
2013-12-01,242076000000.00
2014-01-01,203011000000.00
2014-02-01,220143000000.00
2014-03-01,250637000000.00
2014-04-01,230059000000.00
2014-05-01,230374000000.00
2014-06-01,255662000000.00
2014-07-01,276966000000.00
2014-08-01,229528000000.00
2014-09-01,248716000000.00
2014-10-01,237839000000.00
2014-11-01,214300000000.00
2014-12-01,238124000000.00
2015-01-01,203460000000.00
2015-02-01,207523000000.00
2015-03-01,250060000000.00
2015-04-01,221719000000.00
2015-05-01,213259000000.00
2015-06-01,252058000000.00
2015-07-01,217010000000.00
2015-08-01,219205000000.00
2015-09-01,232900000000.00
2015-10-01,228276000000.00
2015-11-01,216276000000.00
2015-12-01,230738000000.00
2016-01-01,199235000000.00
2016-02-01,211864000000.00
2016-03-01,243338000000.00
2016-04-01,220218000000.00
2016-05-01,218041000000.00
2016-06-01,231799000000.00
2016-07-01,198386000000.00
2016-08-01,222554000000.00
2016-09-01,232161000000.00
2016-10-01,229715000000.00
2016-11-01,214285000000.00
2016-12-01,229521000000.00
2017-01-01,199379000000.00
2017-02-01,207517000000.00
2017-03-01,257161000000.00
2017-04-01,219630000000.00
2017-05-01,229437000000.00
2017-06-01,267331000000.00
2017-07-01,205133000000.00
2017-08-01,233795000000.00
2017-09-01,251158000000.00
2017-10-01,236406000000.00
2017-11-01,233321000000.00
2017-12-01,247803000000.00
2018-01-01,214186000000.00
2018-02-01,232972000000.00
2018-03-01,278300000000.00
2018-04-01,245376000000.00
2018-05-01,252381000000.00
