Date,LNU02000060
1973-05-01,52079000.00
1973-06-01,51829000.00
1973-07-01,51747000.00
1973-08-01,51725000.00
1973-09-01,52745000.00
1973-10-01,53359000.00
1973-11-01,53400000.00
1973-12-01,53244000.00
1974-01-01,52814000.00
1974-02-01,52920000.00
1974-03-01,53106000.00
1974-04-01,53173000.00
1974-05-01,53676000.00
1974-06-01,53361000.00
1974-07-01,53234000.00
1974-08-01,53223000.00
1974-09-01,53953000.00
1974-10-01,54312000.00
1974-11-01,54016000.00
1974-12-01,53560000.00
1975-01-01,52439000.00
1975-02-01,52327000.00
1975-03-01,52543000.00
1975-04-01,52788000.00
1975-05-01,52991000.00
1975-06-01,52758000.00
1975-07-01,52686000.00
1975-08-01,53129000.00
1975-09-01,53926000.00
1975-10-01,54546000.00
1975-11-01,54391000.00
1975-12-01,54253000.00
1976-01-01,53935000.00
1976-02-01,54101000.00
1976-03-01,54569000.00
1976-04-01,55007000.00
1976-05-01,55272000.00
1976-06-01,54952000.00
1976-07-01,54626000.00
1976-08-01,55013000.00
1976-09-01,55894000.00
1976-10-01,56327000.00
1976-11-01,56294000.00
1976-12-01,56240000.00
1977-01-01,55603000.00
1977-02-01,55876000.00
1977-03-01,56368000.00
1977-04-01,56826000.00
1977-05-01,57247000.00
1977-06-01,56918000.00
1977-07-01,56667000.00
1977-08-01,56915000.00
1977-09-01,58100000.00
1977-10-01,58506000.00
1977-11-01,58770000.00
1977-12-01,58831000.00
1978-01-01,58339000.00
1978-02-01,58675000.00
1978-03-01,59048000.00
1978-04-01,59462000.00
1978-05-01,59601000.00
1978-06-01,59400000.00
1978-07-01,59087000.00
1978-08-01,59193000.00
1978-09-01,60622000.00
1978-10-01,61172000.00
1978-11-01,61222000.00
1978-12-01,61135000.00
1979-01-01,60457000.00
1979-02-01,60846000.00
1979-03-01,61238000.00
1979-04-01,61258000.00
1979-05-01,61642000.00
1979-06-01,61368000.00
1979-07-01,61411000.00
1979-08-01,61527000.00
1979-09-01,62787000.00
1979-10-01,63150000.00
1979-11-01,62993000.00
1979-12-01,63280000.00
1980-01-01,62539000.00
1980-02-01,62728000.00
1980-03-01,62864000.00
1980-04-01,62850000.00
1980-05-01,62835000.00
1980-06-01,62334000.00
1980-07-01,62018000.00
1980-08-01,62232000.00
1980-09-01,63479000.00
1980-10-01,63821000.00
1980-11-01,63963000.00
1980-12-01,63859000.00
1981-01-01,63325000.00
1981-02-01,63703000.00
1981-03-01,64268000.00
1981-04-01,64699000.00
1981-05-01,65007000.00
1981-06-01,64394000.00
1981-07-01,64210000.00
1981-08-01,64371000.00
1981-09-01,65111000.00
1981-10-01,65513000.00
1981-11-01,65461000.00
1981-12-01,64896000.00
1982-01-01,64250000.00
1982-02-01,64608000.00
1982-03-01,64691000.00
1982-04-01,64818000.00
1982-05-01,65287000.00
1982-06-01,64828000.00
1982-07-01,64605000.00
1982-08-01,64833000.00
1982-09-01,65402000.00
1982-10-01,65615000.00
1982-11-01,65379000.00
1982-12-01,65097000.00
1983-01-01,64499000.00
1983-02-01,64659000.00
1983-03-01,65145000.00
1983-04-01,65691000.00
1983-05-01,66068000.00
1983-06-01,66140000.00
1983-07-01,66298000.00
1983-08-01,66815000.00
1983-09-01,67857000.00
1983-10-01,68248000.00
1983-11-01,68503000.00
1983-12-01,68412000.00
1984-01-01,67950000.00
1984-02-01,68515000.00
1984-03-01,69082000.00
1984-04-01,69509000.00
1984-05-01,70338000.00
1984-06-01,70234000.00
1984-07-01,69963000.00
1984-08-01,70355000.00
1984-09-01,71040000.00
1984-10-01,71546000.00
1984-11-01,71527000.00
1984-12-01,71433000.00
1985-01-01,70806000.00
1985-02-01,71169000.00
1985-03-01,71740000.00
1985-04-01,71980000.00
1985-05-01,72374000.00
1985-06-01,72061000.00
1985-07-01,71970000.00
1985-08-01,72341000.00
1985-09-01,73397000.00
1985-10-01,73842000.00
1985-11-01,73898000.00
1985-12-01,73814000.00
1986-01-01,73687000.00
1986-02-01,73472000.00
1986-03-01,73985000.00
1986-04-01,74361000.00
1986-05-01,74729000.00
1986-06-01,74769000.00
1986-07-01,74743000.00
1986-08-01,75095000.00
1986-09-01,75987000.00
1986-10-01,76438000.00
1986-11-01,76384000.00
1986-12-01,76483000.00
1987-01-01,75742000.00
1987-02-01,76202000.00
1987-03-01,76675000.00
1987-04-01,77298000.00
1987-05-01,77950000.00
1987-06-01,77615000.00
1987-07-01,77607000.00
