Date,UMVPVS
1999-01-01,37576000000.00
1999-02-01,44344000000.00
1999-03-01,45844000000.00
1999-04-01,43239000000.00
1999-05-01,43422000000.00
1999-06-01,45272000000.00
1999-07-01,26003000000.00
1999-08-01,44071000000.00
1999-09-01,44587000000.00
1999-10-01,45358000000.00
1999-11-01,41882000000.00
1999-12-01,37118000000.00
2000-01-01,40064000000.00
2000-02-01,43467000000.00
2000-03-01,46288000000.00
2000-04-01,40720000000.00
2000-05-01,42527000000.00
2000-06-01,44804000000.00
2000-07-01,24884000000.00
2000-08-01,39065000000.00
2000-09-01,41501000000.00
2000-10-01,41318000000.00
2000-11-01,35869000000.00
2000-12-01,30673000000.00
2001-01-01,31666000000.00
2001-02-01,36486000000.00
2001-03-01,41019000000.00
2001-04-01,35482000000.00
2001-05-01,40783000000.00
2001-06-01,38790000000.00
2001-07-01,23738000000.00
2001-08-01,39136000000.00
2001-09-01,33804000000.00
2001-10-01,38888000000.00
2001-11-01,36420000000.00
2001-12-01,30963000000.00
2002-01-01,35727000000.00
2002-02-01,37370000000.00
2002-03-01,38880000000.00
2002-04-01,42171000000.00
2002-05-01,44488000000.00
2002-06-01,40635000000.00
2002-07-01,27977000000.00
2002-08-01,43898000000.00
2002-09-01,41084000000.00
2002-10-01,46813000000.00
2002-11-01,38876000000.00
2002-12-01,31642000000.00
2003-01-01,39692000000.00
2003-02-01,41448000000.00
2003-03-01,44253000000.00
2003-04-01,40556000000.00
2003-05-01,43101000000.00
2003-06-01,42871000000.00
2003-07-01,29158000000.00
2003-08-01,40672000000.00
2003-09-01,45181000000.00
2003-10-01,48429000000.00
2003-11-01,39078000000.00
2003-12-01,37274000000.00
2004-01-01,37971000000.00
2004-02-01,43436000000.00
2004-03-01,50007000000.00
2004-04-01,42905000000.00
2004-05-01,41423000000.00
2004-06-01,44280000000.00
2004-07-01,26450000000.00
2004-08-01,42344000000.00
2004-09-01,43550000000.00
2004-10-01,43547000000.00
2004-11-01,39869000000.00
2004-12-01,38785000000.00
2005-01-01,37566000000.00
2005-02-01,41871000000.00
2005-03-01,44032000000.00
2005-04-01,42270000000.00
2005-05-01,43571000000.00
2005-06-01,45745000000.00
2005-07-01,27739000000.00
2005-08-01,45758000000.00
2005-09-01,47510000000.00
2005-10-01,46677000000.00
2005-11-01,40305000000.00
2005-12-01,38442000000.00
2006-01-01,38501000000.00
2006-02-01,41819000000.00
2006-03-01,49613000000.00
2006-04-01,39397000000.00
2006-05-01,46581000000.00
2006-06-01,47275000000.00
2006-07-01,26782000000.00
2006-08-01,45605000000.00
2006-09-01,41194000000.00
2006-10-01,44024000000.00
2006-11-01,40231000000.00
2006-12-01,39153000000.00
2007-01-01,37405000000.00
2007-02-01,41026000000.00
2007-03-01,47114000000.00
2007-04-01,40660000000.00
2007-05-01,45423000000.00
2007-06-01,45442000000.00
2007-07-01,31298000000.00
2007-08-01,48146000000.00
2007-09-01,41517000000.00
2007-10-01,45850000000.00
2007-11-01,41063000000.00
2007-12-01,35759000000.00
2008-01-01,37870000000.00
2008-02-01,41794000000.00
2008-03-01,38886000000.00
2008-04-01,37297000000.00
2008-05-01,36971000000.00
2008-06-01,38087000000.00
2008-07-01,25945000000.00
2008-08-01,33944000000.00
2008-09-01,34520000000.00
2008-10-01,34812000000.00
2008-11-01,27965000000.00
2008-12-01,25424000000.00
2009-01-01,22577000000.00
2009-02-01,23750000000.00
2009-03-01,26050000000.00
2009-04-01,23996000000.00
2009-05-01,22294000000.00
2009-06-01,23351000000.00
2009-07-01,18734000000.00
2009-08-01,26804000000.00
2009-09-01,28628000000.00
2009-10-01,30096000000.00
2009-11-01,28037000000.00
2009-12-01,28454000000.00
2010-01-01,28671000000.00
2010-02-01,27673000000.00
2010-03-01,32992000000.00
2010-04-01,31449000000.00
2010-05-01,31917000000.00
2010-06-01,36488000000.00
2010-07-01,28215000000.00
2010-08-01,38004000000.00
2010-09-01,39010000000.00
2010-10-01,38636000000.00
2010-11-01,34004000000.00
2010-12-01,34216000000.00
2011-01-01,32540000000.00
2011-02-01,35460000000.00
2011-03-01,43426000000.00
2011-04-01,35385000000.00
2011-05-01,36458000000.00
2011-06-01,39138000000.00
2011-07-01,30633000000.00
2011-08-01,40191000000.00
2011-09-01,39053000000.00
2011-10-01,41241000000.00
2011-11-01,37512000000.00
2011-12-01,35769000000.00
2012-01-01,36782000000.00
2012-02-01,41345000000.00
2012-03-01,44814000000.00
2012-04-01,42447000000.00
2012-05-01,45709000000.00
2012-06-01,46057000000.00
2012-07-01,35138000000.00
2012-08-01,46545000000.00
2012-09-01,42186000000.00
2012-10-01,46325000000.00
2012-11-01,42879000000.00
2012-12-01,37976000000.00
2013-01-01,40028000000.00
2013-02-01,43831000000.00
2013-03-01,47175000000.00
2013-04-01,46466000000.00
2013-05-01,47766000000.00
2013-06-01,46566000000.00
2013-07-01,36972000000.00
2013-08-01,48807000000.00
2013-09-01,47270000000.00
2013-10-01,52380000000.00
2013-11-01,47807000000.00
2013-12-01,40923000000.00
2014-01-01,42547000000.00
2014-02-01,48035000000.00
2014-03-01,51955000000.00
2014-04-01,49280000000.00
2014-05-01,52015000000.00
2014-06-01,51672000000.00
2014-07-01,45834000000.00
2014-08-01,52380000000.00
2014-09-01,52761000000.00
2014-10-01,57417000000.00
2014-11-01,47715000000.00
2014-12-01,48596000000.00
2015-01-01,45390000000.00
2015-02-01,49300000000.00
2015-03-01,59045000000.00
2015-04-01,54511000000.00
2015-05-01,53389000000.00
2015-06-01,57200000000.00
2015-07-01,47754000000.00
2015-08-01,55785000000.00
2015-09-01,57246000000.00
2015-10-01,57186000000.00
2015-11-01,51430000000.00
2015-12-01,49611000000.00
2016-01-01,48186000000.00
2016-02-01,56912000000.00
2016-03-01,59923000000.00
2016-04-01,54921000000.00
2016-05-01,52886000000.00
2016-06-01,57291000000.00
2016-07-01,43503000000.00
2016-08-01,57993000000.00
2016-09-01,57598000000.00
2016-10-01,55388000000.00
2016-11-01,52502000000.00
2016-12-01,50043000000.00
2017-01-01,48946000000.00
2017-02-01,53408000000.00
2017-03-01,60686000000.00
2017-04-01,52122000000.00
2017-05-01,57200000000.00
2017-06-01,58775000000.00
2017-07-01,42996000000.00
2017-08-01,59662000000.00
2017-09-01,55788000000.00
2017-10-01,58104000000.00
2017-11-01,55003000000.00
2017-12-01,49224000000.00
2018-01-01,51938000000.00
2018-02-01,56744000000.00
2018-03-01,63033000000.00
2018-04-01,58859000000.00
2018-05-01,57570000000.00
