Date,EFFRVOL
2016-06-24,70000000000.00
2016-06-27,66000000000.00
2016-06-28,66000000000.00
2016-06-29,63000000000.00
2016-06-30,46000000000.00
2016-07-01,68000000000.00
2016-07-05,72000000000.00
2016-07-06,68000000000.00
2016-07-07,68000000000.00
2016-07-08,67000000000.00
2016-07-11,65000000000.00
2016-07-12,63000000000.00
2016-07-13,64000000000.00
2016-07-14,62000000000.00
2016-07-15,71000000000.00
2016-07-18,65000000000.00
2016-07-19,74000000000.00
2016-07-20,70000000000.00
2016-07-21,72000000000.00
2016-07-22,72000000000.00
2016-07-25,70000000000.00
2016-07-26,69000000000.00
2016-07-27,64000000000.00
2016-07-28,63000000000.00
2016-07-29,62000000000.00
2016-08-01,69000000000.00
2016-08-02,63000000000.00
2016-08-03,69000000000.00
2016-08-04,70000000000.00
2016-08-05,66000000000.00
2016-08-08,67000000000.00
2016-08-09,67000000000.00
2016-08-10,61000000000.00
2016-08-11,64000000000.00
2016-08-12,63000000000.00
2016-08-15,67000000000.00
2016-08-16,64000000000.00
2016-08-17,64000000000.00
2016-08-18,64000000000.00
2016-08-19,61000000000.00
2016-08-22,60000000000.00
2016-08-23,69000000000.00
2016-08-24,64000000000.00
2016-08-25,67000000000.00
2016-08-26,74000000000.00
2016-08-29,70000000000.00
2016-08-30,67000000000.00
2016-08-31,64000000000.00
2016-09-01,63000000000.00
2016-09-02,68000000000.00
2016-09-06,65000000000.00
2016-09-07,66000000000.00
2016-09-08,68000000000.00
2016-09-09,65000000000.00
2016-09-12,63000000000.00
2016-09-13,60000000000.00
2016-09-14,59000000000.00
2016-09-15,63000000000.00
2016-09-16,60000000000.00
2016-09-19,59000000000.00
2016-09-20,57000000000.00
2016-09-21,61000000000.00
2016-09-22,62000000000.00
2016-09-23,61000000000.00
2016-09-26,63000000000.00
2016-09-27,64000000000.00
2016-09-28,70000000000.00
2016-09-29,67000000000.00
2016-09-30,58000000000.00
2016-10-03,66000000000.00
2016-10-04,61000000000.00
2016-10-05,63000000000.00
2016-10-06,65000000000.00
2016-10-07,66000000000.00
2016-10-11,63000000000.00
2016-10-12,70000000000.00
2016-10-13,67000000000.00
2016-10-14,66000000000.00
2016-10-17,62000000000.00
2016-10-18,67000000000.00
2016-10-19,66000000000.00
2016-10-20,70000000000.00
2016-10-21,70000000000.00
2016-10-24,65000000000.00
2016-10-25,73000000000.00
2016-10-26,66000000000.00
2016-10-27,65000000000.00
2016-10-28,67000000000.00
2016-10-31,61000000000.00
2016-11-01,63000000000.00
2016-11-02,67000000000.00
2016-11-03,63000000000.00
2016-11-04,65000000000.00
2016-11-07,62000000000.00
2016-11-08,61000000000.00
2016-11-09,65000000000.00
2016-11-10,64000000000.00
2016-11-14,59000000000.00
2016-11-15,66000000000.00
2016-11-16,70000000000.00
2016-11-17,73000000000.00
2016-11-18,72000000000.00
2016-11-21,76000000000.00
2016-11-22,77000000000.00
2016-11-23,78000000000.00
2016-11-25,76000000000.00
2016-11-28,69000000000.00
2016-11-29,75000000000.00
2016-11-30,68000000000.00
2016-12-01,81000000000.00
2016-12-02,81000000000.00
2016-12-05,77000000000.00
2016-12-06,75000000000.00
2016-12-07,76000000000.00
2016-12-08,75000000000.00
2016-12-09,68000000000.00
2016-12-12,71000000000.00
2016-12-13,73000000000.00
2016-12-14,78000000000.00
2016-12-15,74000000000.00
2016-12-16,72000000000.00
2016-12-19,69000000000.00
2016-12-20,70000000000.00
2016-12-21,73000000000.00
2016-12-22,73000000000.00
2016-12-23,73000000000.00
2016-12-27,74000000000.00
2016-12-28,74000000000.00
2016-12-29,73000000000.00
2016-12-30,48000000000.00
2017-01-03,80000000000.00
2017-01-04,79000000000.00
2017-01-05,77000000000.00
2017-01-06,79000000000.00
2017-01-09,74000000000.00
2017-01-10,77000000000.00
2017-01-11,80000000000.00
2017-01-12,84000000000.00
2017-01-13,74000000000.00
2017-01-17,68000000000.00
2017-01-18,69000000000.00
2017-01-19,68000000000.00
2017-01-20,70000000000.00
2017-01-23,64000000000.00
2017-01-24,66000000000.00
2017-01-25,72000000000.00
2017-01-26,80000000000.00
2017-01-27,77000000000.00
2017-01-30,71000000000.00
2017-01-31,74000000000.00
2017-02-01,80000000000.00
2017-02-02,82000000000.00
2017-02-03,82000000000.00
2017-02-06,82000000000.00
2017-02-07,75000000000.00
2017-02-08,80000000000.00
2017-02-09,76000000000.00
2017-02-10,78000000000.00
2017-02-13,75000000000.00
2017-02-14,73000000000.00
2017-02-15,79000000000.00
2017-02-16,81000000000.00
2017-02-17,82000000000.00
2017-02-21,74000000000.00
2017-02-22,81000000000.00
2017-02-23,88000000000.00
2017-02-24,87000000000.00
2017-02-27,85000000000.00
2017-02-28,86000000000.00
2017-03-01,84000000000.00
2017-03-02,85000000000.00
2017-03-03,88000000000.00
2017-03-06,83000000000.00
2017-03-07,83000000000.00
2017-03-08,84000000000.00
2017-03-09,86000000000.00
2017-03-10,84000000000.00
2017-03-13,83000000000.00
2017-03-14,79000000000.00
2017-03-15,88000000000.00
2017-03-16,85000000000.00
2017-03-17,83000000000.00
2017-03-20,80000000000.00
2017-03-21,83000000000.00
2017-03-22,81000000000.00
2017-03-23,80000000000.00
2017-03-24,85000000000.00
2017-03-27,84000000000.00
2017-03-28,86000000000.00
2017-03-29,84000000000.00
2017-03-30,79000000000.00
2017-03-31,74000000000.00
2017-04-03,82000000000.00
2017-04-04,81000000000.00
2017-04-05,76000000000.00
2017-04-06,79000000000.00
2017-04-07,78000000000.00
2017-04-10,74000000000.00
2017-04-11,75000000000.00
2017-04-12,78000000000.00
2017-04-13,78000000000.00
2017-04-14,80000000000.00
2017-04-17,73000000000.00
2017-04-18,68000000000.00
2017-04-19,73000000000.00
2017-04-20,76000000000.00
2017-04-21,73000000000.00
2017-04-24,69000000000.00
2017-04-25,68000000000.00
2017-04-26,74000000000.00
2017-04-27,72000000000.00
2017-04-28,65000000000.00
2017-05-01,70000000000.00
2017-05-02,71000000000.00
2017-05-03,75000000000.00
2017-05-04,74000000000.00
2017-05-05,79000000000.00
2017-05-08,78000000000.00
2017-05-09,74000000000.00
2017-05-10,73000000000.00
2017-05-11,73000000000.00
2017-05-12,78000000000.00
2017-05-15,83000000000.00
2017-05-16,79000000000.00
2017-05-17,80000000000.00
2017-05-18,73000000000.00
2017-05-19,82000000000.00
2017-05-22,80000000000.00
2017-05-23,79000000000.00
2017-05-24,79000000000.00
2017-05-25,86000000000.00
2017-05-26,85000000000.00
2017-05-30,86000000000.00
2017-05-31,79000000000.00
2017-06-01,84000000000.00
2017-06-02,92000000000.00
2017-06-05,88000000000.00
2017-06-06,86000000000.00
2017-06-07,86000000000.00
2017-06-08,87000000000.00
2017-06-09,84000000000.00
2017-06-12,80000000000.00
2017-06-13,79000000000.00
2017-06-14,75000000000.00
2017-06-15,73000000000.00
2017-06-16,72000000000.00
2017-06-19,74000000000.00
2017-06-20,79000000000.00
2017-06-21,79000000000.00
2017-06-22,78000000000.00
2017-06-23,83000000000.00
2017-06-26,81000000000.00
2017-06-27,82000000000.00
2017-06-28,86000000000.00
2017-06-29,88000000000.00
2017-06-30,72000000000.00
2017-07-03,85000000000.00
2017-07-05,83000000000.00
2017-07-06,82000000000.00
2017-07-07,89000000000.00
2017-07-10,89000000000.00
2017-07-11,92000000000.00
2017-07-12,92000000000.00
2017-07-13,89000000000.00
2017-07-14,91000000000.00
2017-07-17,92000000000.00
2017-07-18,87000000000.00
2017-07-19,85000000000.00
2017-07-20,88000000000.00
2017-07-21,90000000000.00
2017-07-24,88000000000.00
2017-07-25,92000000000.00
2017-07-26,89000000000.00
2017-07-27,99000000000.00
2017-07-28,100000000000.00
2017-07-31,94000000000.00
2017-08-01,100000000000.00
2017-08-02,106000000000.00
2017-08-03,106000000000.00
2017-08-04,102000000000.00
2017-08-07,102000000000.00
2017-08-08,102000000000.00
2017-08-09,96000000000.00
2017-08-10,98000000000.00
2017-08-11,97000000000.00
2017-08-14,95000000000.00
2017-08-15,93000000000.00
2017-08-16,101000000000.00
2017-08-17,95000000000.00
2017-08-18,94000000000.00
2017-08-21,92000000000.00
2017-08-22,93000000000.00
2017-08-23,93000000000.00
2017-08-24,90000000000.00
2017-08-25,97000000000.00
2017-08-28,92000000000.00
2017-08-29,92000000000.00
2017-08-30,95000000000.00
2017-08-31,91000000000.00
2017-09-01,97000000000.00
2017-09-05,93000000000.00
2017-09-06,93000000000.00
2017-09-07,89000000000.00
2017-09-08,92000000000.00
2017-09-11,90000000000.00
2017-09-12,93000000000.00
2017-09-13,95000000000.00
2017-09-14,84000000000.00
2017-09-15,92000000000.00
2017-09-18,83000000000.00
2017-09-19,81000000000.00
2017-09-20,81000000000.00
2017-09-21,83000000000.00
2017-09-22,96000000000.00
2017-09-25,96000000000.00
2017-09-26,93000000000.00
2017-09-27,98000000000.00
2017-09-28,98000000000.00
2017-09-29,84000000000.00
2017-10-02,93000000000.00
2017-10-03,91000000000.00
2017-10-04,93000000000.00
2017-10-05,94000000000.00
2017-10-06,95000000000.00
2017-10-10,91000000000.00
2017-10-11,90000000000.00
2017-10-12,87000000000.00
2017-10-13,92000000000.00
2017-10-16,91000000000.00
2017-10-17,86000000000.00
2017-10-18,87000000000.00
2017-10-19,86000000000.00
2017-10-20,86000000000.00
2017-10-23,85000000000.00
2017-10-24,90000000000.00
2017-10-25,93000000000.00
2017-10-26,97000000000.00
2017-10-27,97000000000.00
2017-10-30,92000000000.00
2017-10-31,93000000000.00
2017-11-01,99000000000.00
2017-11-02,96000000000.00
2017-11-03,98000000000.00
2017-11-06,94000000000.00
2017-11-07,98000000000.00
2017-11-08,97000000000.00
2017-11-09,97000000000.00
2017-11-10,98000000000.00
2017-11-13,93000000000.00
2017-11-14,86000000000.00
2017-11-15,89000000000.00
2017-11-16,84000000000.00
2017-11-17,84000000000.00
2017-11-20,90000000000.00
2017-11-21,90000000000.00
2017-11-22,86000000000.00
2017-11-24,84000000000.00
2017-11-27,88000000000.00
2017-11-28,87000000000.00
2017-11-29,89000000000.00
2017-11-30,81000000000.00
2017-12-01,101000000000.00
2017-12-04,94000000000.00
2017-12-05,93000000000.00
2017-12-06,90000000000.00
2017-12-07,93000000000.00
2017-12-08,94000000000.00
2017-12-11,92000000000.00
2017-12-12,94000000000.00
2017-12-13,97000000000.00
2017-12-14,85000000000.00
2017-12-15,91000000000.00
2017-12-18,84000000000.00
2017-12-19,89000000000.00
2017-12-20,91000000000.00
2017-12-21,89000000000.00
2017-12-22,89000000000.00
2017-12-26,91000000000.00
2017-12-27,95000000000.00
2017-12-28,93000000000.00
2017-12-29,62000000000.00
2018-01-02,84000000000.00
2018-01-03,93000000000.00
2018-01-04,92000000000.00
2018-01-05,98000000000.00
2018-01-08,93000000000.00
2018-01-09,94000000000.00
2018-01-10,97000000000.00
2018-01-11,95000000000.00
2018-01-12,95000000000.00
2018-01-16,88000000000.00
2018-01-17,93000000000.00
2018-01-18,86000000000.00
2018-01-19,86000000000.00
2018-01-22,87000000000.00
2018-01-23,91000000000.00
2018-01-24,90000000000.00
2018-01-25,88000000000.00
2018-01-26,90000000000.00
2018-01-29,91000000000.00
2018-01-30,102000000000.00
2018-01-31,104000000000.00
2018-02-01,109000000000.00
2018-02-02,108000000000.00
2018-02-05,103000000000.00
2018-02-06,103000000000.00
2018-02-07,104000000000.00
2018-02-08,106000000000.00
2018-02-09,107000000000.00
2018-02-12,97000000000.00
2018-02-13,99000000000.00
2018-02-14,105000000000.00
2018-02-15,101000000000.00
2018-02-16,95000000000.00
2018-02-20,84000000000.00
2018-02-21,88000000000.00
2018-02-22,98000000000.00
2018-02-23,101000000000.00
2018-02-26,97000000000.00
2018-02-27,104000000000.00
2018-02-28,104000000000.00
2018-03-01,115000000000.00
2018-03-02,114000000000.00
2018-03-05,110000000000.00
2018-03-06,112000000000.00
2018-03-07,105000000000.00
2018-03-08,106000000000.00
2018-03-09,104000000000.00
2018-03-12,100000000000.00
2018-03-13,98000000000.00
2018-03-14,103000000000.00
2018-03-15,95000000000.00
2018-03-16,104000000000.00
2018-03-19,92000000000.00
2018-03-20,91000000000.00
2018-03-21,93000000000.00
2018-03-22,78000000000.00
2018-03-23,78000000000.00
2018-03-26,83000000000.00
2018-03-27,81000000000.00
2018-03-28,87000000000.00
2018-03-29,74000000000.00
2018-03-30,88000000000.00
2018-04-02,89000000000.00
2018-04-03,90000000000.00
2018-04-04,83000000000.00
2018-04-05,88000000000.00
2018-04-06,78000000000.00
2018-04-09,78000000000.00
2018-04-10,80000000000.00
2018-04-11,74000000000.00
2018-04-12,83000000000.00
2018-04-13,74000000000.00
2018-04-16,82000000000.00
2018-04-17,66000000000.00
2018-04-18,63000000000.00
2018-04-19,75000000000.00
2018-04-20,72000000000.00
2018-04-23,67000000000.00
2018-04-24,63000000000.00
2018-04-25,71000000000.00
2018-04-26,77000000000.00
2018-04-27,77000000000.00
2018-04-30,76000000000.00
2018-05-01,81000000000.00
2018-05-02,76000000000.00
2018-05-03,82000000000.00
2018-05-04,83000000000.00
2018-05-07,85000000000.00
2018-05-08,83000000000.00
2018-05-09,89000000000.00
2018-05-10,89000000000.00
2018-05-11,88000000000.00
2018-05-14,79000000000.00
2018-05-15,83000000000.00
2018-05-16,85000000000.00
2018-05-17,80000000000.00
2018-05-18,78000000000.00
2018-05-21,80000000000.00
2018-05-22,89000000000.00
2018-05-23,92000000000.00
2018-05-24,90000000000.00
2018-05-25,92000000000.00
2018-05-29,89000000000.00
2018-05-30,83000000000.00
2018-05-31,84000000000.00
2018-06-01,94000000000.00
2018-06-04,92000000000.00
2018-06-05,90000000000.00
2018-06-06,94000000000.00
2018-06-07,87000000000.00
2018-06-08,90000000000.00
2018-06-11,75000000000.00
2018-06-12,81000000000.00
2018-06-13,80000000000.00
2018-06-14,80000000000.00
2018-06-15,69000000000.00
2018-06-18,61000000000.00
2018-06-19,59000000000.00
2018-06-20,63000000000.00
2018-06-21,81000000000.00
2018-06-22,78000000000.00
2018-06-25,76000000000.00
2018-06-26,82000000000.00
2018-06-27,83000000000.00
2018-06-28,79000000000.00
