Date,CPITRNNS
1960-03-01,29.80
1960-04-01,29.80
1960-05-01,29.60
1960-06-01,29.70
1960-07-01,29.70
1960-08-01,29.80
1960-09-01,29.50
1960-10-01,29.80
1960-11-01,29.80
1960-12-01,29.80
1961-01-01,29.80
1961-02-01,29.80
1961-03-01,29.70
1961-04-01,29.70
1961-05-01,29.80
1961-06-01,30.10
1961-07-01,30.20
1961-08-01,30.40
1961-09-01,30.40
1961-10-01,30.60
1961-11-01,30.60
1961-12-01,30.40
1962-01-01,30.40
1962-02-01,30.40
1962-03-01,30.40
1962-04-01,30.80
1962-05-01,30.80
1962-06-01,30.80
1962-07-01,30.60
1962-08-01,30.80
1962-09-01,30.90
1962-10-01,31.00
1962-11-01,31.10
1962-12-01,31.00
1963-01-01,30.60
1963-02-01,30.60
1963-03-01,30.70
1963-04-01,30.70
1963-05-01,30.80
1963-06-01,30.80
1963-07-01,30.90
1963-08-01,31.10
1963-09-01,31.00
1963-10-01,31.30
1963-11-01,31.30
1963-12-01,31.30
1964-01-01,31.40
1964-02-01,31.20
1964-03-01,31.30
1964-04-01,31.30
1964-05-01,31.30
1964-06-01,31.30
1964-07-01,31.40
1964-08-01,31.40
1964-09-01,31.30
1964-10-01,31.40
1964-11-01,31.60
1964-12-01,31.70
1965-01-01,31.90
1965-02-01,31.70
1965-03-01,31.70
1965-04-01,31.90
1965-05-01,32.00
1965-06-01,31.90
1965-07-01,32.00
1965-08-01,31.90
1965-09-01,31.90
1965-10-01,31.90
1965-11-01,32.00
1965-12-01,32.00
1966-01-01,31.90
1966-02-01,31.90
1966-03-01,32.00
1966-04-01,32.10
1966-05-01,32.10
1966-06-01,32.20
1966-07-01,32.60
1966-08-01,32.60
1966-09-01,32.50
1966-10-01,32.80
1966-11-01,32.90
1966-12-01,32.70
1967-01-01,32.50
1967-02-01,32.70
1967-03-01,32.80
1967-04-01,33.00
1967-05-01,33.20
1967-06-01,33.20
1967-07-01,33.40
1967-08-01,33.40
1967-09-01,33.50
1967-10-01,33.80
1967-11-01,34.00
1967-12-01,33.80
1968-01-01,34.10
1968-02-01,34.00
1968-03-01,34.20
1968-04-01,34.20
1968-05-01,34.20
1968-06-01,34.40
1968-07-01,34.40
1968-08-01,34.40
1968-09-01,34.30
1968-10-01,34.60
1968-11-01,34.80
1968-12-01,34.50
1969-01-01,34.60
1969-02-01,35.00
1969-03-01,35.70
1969-04-01,35.80
1969-05-01,35.60
1969-06-01,35.80
1969-07-01,35.70
1969-08-01,35.70
1969-09-01,35.50
1969-10-01,36.10
1969-11-01,36.10
1969-12-01,36.30
1970-01-01,36.50
1970-02-01,36.50
1970-03-01,36.50
1970-04-01,37.00
1970-05-01,37.30
1970-06-01,37.50
1970-07-01,37.70
1970-08-01,37.50
1970-09-01,37.60
1970-10-01,38.30
1970-11-01,38.60
1970-12-01,38.90
1971-01-01,39.10
1971-02-01,39.10
1971-03-01,39.20
1971-04-01,39.30
1971-05-01,39.50
1971-06-01,39.80
1971-07-01,39.70
1971-08-01,39.70
1971-09-01,39.50
1971-10-01,39.70
1971-11-01,39.50
1971-12-01,39.40
1972-01-01,39.60
1972-02-01,39.40
1972-03-01,39.40
1972-04-01,39.50
1972-05-01,39.80
1972-06-01,39.90
1972-07-01,40.00
1972-08-01,40.10
1972-09-01,40.30
1972-10-01,40.30
1972-11-01,40.40
1972-12-01,40.40
1973-01-01,40.30
1973-02-01,40.30
1973-03-01,40.40
1973-04-01,40.80
1973-05-01,41.10
1973-06-01,41.50
1973-07-01,41.50
1973-08-01,41.40
1973-09-01,41.20
1973-10-01,41.60
1973-11-01,41.90
1973-12-01,42.20
1974-01-01,42.60
1974-02-01,43.00
1974-03-01,43.90
1974-04-01,44.50
1974-05-01,45.40
1974-06-01,46.20
1974-07-01,46.80
1974-08-01,47.00
1974-09-01,47.30
1974-10-01,47.50
1974-11-01,47.70
1974-12-01,47.70
1975-01-01,47.60
1975-02-01,47.70
1975-03-01,48.20
1975-04-01,48.60
1975-05-01,49.00
1975-06-01,49.80
1975-07-01,50.80
1975-08-01,51.10
1975-09-01,51.70
1975-10-01,51.90
1975-11-01,52.40
1975-12-01,52.40
1976-01-01,52.60
1976-02-01,52.70
1976-03-01,53.20
1976-04-01,53.70
1976-05-01,54.40
1976-06-01,55.20
1976-07-01,55.80
1976-08-01,56.10
1976-09-01,56.40
1976-10-01,56.90
1976-11-01,57.00
1976-12-01,57.00
1977-01-01,57.30
1977-02-01,57.60
1977-03-01,58.10
1977-04-01,58.80
1977-05-01,59.30
1977-06-01,59.60
1977-07-01,59.60
1977-08-01,59.50
1977-09-01,59.40
1977-10-01,59.40
1977-11-01,59.50
1977-12-01,59.50
1978-01-01,59.60
1978-02-01,59.70
1978-03-01,59.90
1978-04-01,60.30
1978-05-01,61.00
1978-06-01,61.70
1978-07-01,62.30
1978-08-01,62.60
1978-09-01,62.80
1978-10-01,63.10
1978-11-01,63.70
1978-12-01,64.10
1979-01-01,64.50
1979-02-01,65.10
1979-03-01,65.90
1979-04-01,67.50
1979-05-01,69.10
1979-06-01,70.70
1979-07-01,72.10
1979-08-01,73.10
1979-09-01,73.70
1979-10-01,74.10
1979-11-01,74.80
1979-12-01,75.80
1980-01-01,77.70
1980-02-01,79.70
1980-03-01,81.10
1980-04-01,82.10
1980-05-01,82.80
1980-06-01,83.10
1980-07-01,83.50
1980-08-01,84.10
1980-09-01,84.70
1980-10-01,85.20
1980-11-01,86.20
1980-12-01,86.90
1981-01-01,88.10
1981-02-01,90.10
1981-03-01,91.00
1981-04-01,91.60
1981-05-01,92.40
1981-06-01,93.10
1981-07-01,94.00
1981-08-01,94.40
1981-09-01,94.90
1981-10-01,95.60
1981-11-01,96.20
1981-12-01,96.40
1982-01-01,96.50
1982-02-01,95.80
1982-03-01,94.90
1982-04-01,94.10
1982-05-01,95.00
1982-06-01,97.40
1982-07-01,98.50
1982-08-01,98.60
1982-09-01,98.30
1982-10-01,98.30
1982-11-01,98.40
1982-12-01,98.10
1983-01-01,97.50
1983-02-01,96.50
1983-03-01,95.60
1983-04-01,97.30
1983-05-01,98.60
1983-06-01,99.30
1983-07-01,100.00
1983-08-01,100.60
1983-09-01,101.00
1983-10-01,101.50
1983-11-01,101.90
1983-12-01,101.90
1984-01-01,101.80
1984-02-01,101.70
1984-03-01,102.10
1984-04-01,103.00
1984-05-01,103.90
1984-06-01,104.20
1984-07-01,104.10
1984-08-01,104.10
1984-09-01,104.40
1984-10-01,105.00
1984-11-01,105.20
1984-12-01,105.10
1985-01-01,104.70
1985-02-01,104.60
1985-03-01,105.40
1985-04-01,106.50
1985-05-01,106.90
1985-06-01,107.10
1985-07-01,107.10
1985-08-01,106.70
1985-09-01,106.40
1985-10-01,106.80
1985-11-01,107.50
1985-12-01,107.80
1986-01-01,107.80
1986-02-01,106.20
1986-03-01,103.00
1986-04-01,100.90
1986-05-01,101.70
1986-06-01,102.70
1986-07-01,101.40
1986-08-01,100.30
1986-09-01,100.50
1986-10-01,100.70
1986-11-01,101.20
1986-12-01,101.40
1987-01-01,102.60
1987-02-01,103.10
1987-03-01,103.30
1987-04-01,104.20
1987-05-01,104.70
1987-06-01,105.40
1987-07-01,106.00
1987-08-01,106.50
1987-09-01,106.60
1987-10-01,107.10
1987-11-01,107.80
1987-12-01,107.60
1988-01-01,107.10
1988-02-01,106.80
1988-03-01,106.50
1988-04-01,107.20
1988-05-01,108.10
1988-06-01,108.50
1988-07-01,108.90
1988-08-01,109.60
1988-09-01,109.70
1988-10-01,110.00
1988-11-01,110.70
1988-12-01,110.80
1989-01-01,111.10
1989-02-01,111.60
1989-03-01,111.90
1989-04-01,114.60
1989-05-01,116.00
1989-06-01,115.90
1989-07-01,115.40
1989-08-01,114.30
1989-09-01,113.70
1989-10-01,114.50
1989-11-01,115.00
1989-12-01,115.20
1990-01-01,117.20
1990-02-01,117.10
1990-03-01,116.80
1990-04-01,117.30
1990-05-01,117.70
1990-06-01,118.20
1990-07-01,118.40
1990-08-01,120.60
1990-09-01,123.00
1990-10-01,125.80
1990-11-01,126.90
1990-12-01,127.20
1991-01-01,125.50
1991-02-01,123.70
1991-03-01,122.30
1991-04-01,122.20
1991-05-01,123.30
1991-06-01,123.70
1991-07-01,123.40
1991-08-01,123.80
1991-09-01,123.80
1991-10-01,124.00
1991-11-01,125.00
1991-12-01,125.30
1992-01-01,124.50
1992-02-01,124.10
1992-03-01,124.40
1992-04-01,125.20
1992-05-01,126.30
1992-06-01,126.90
1992-07-01,127.20
1992-08-01,126.90
1992-09-01,126.80
1992-10-01,128.00
1992-11-01,129.20
1992-12-01,129.00
1993-01-01,129.10
1993-02-01,129.20
1993-03-01,129.00
1993-04-01,129.40
1993-05-01,130.20
1993-06-01,130.30
1993-07-01,130.30
1993-08-01,130.20
1993-09-01,130.10
1993-10-01,131.80
1993-11-01,132.60
1993-12-01,132.10
1994-01-01,131.60
1994-02-01,131.90
1994-03-01,132.20
1994-04-01,132.60
1994-05-01,132.80
1994-06-01,133.80
1994-07-01,134.60
1994-08-01,135.90
1994-09-01,135.90
1994-10-01,136.10
1994-11-01,137.10
1994-12-01,137.10
1995-01-01,137.30
1995-02-01,137.50
1995-03-01,138.00
1995-04-01,139.10
1995-05-01,140.30
1995-06-01,141.10
1995-07-01,140.10
1995-08-01,139.20
1995-09-01,138.80
1995-10-01,139.40
1995-11-01,139.40
1995-12-01,139.10
1996-01-01,139.90
1996-02-01,140.40
1996-03-01,141.20
1996-04-01,143.10
1996-05-01,144.40
1996-06-01,144.00
1996-07-01,143.50
1996-08-01,142.80
1996-09-01,143.20
1996-10-01,143.90
1996-11-01,144.80
1996-12-01,145.20
1997-01-01,145.00
1997-02-01,144.80
1997-03-01,144.90
1997-04-01,144.80
1997-05-01,144.40
1997-06-01,144.00
1997-07-01,143.70
1997-08-01,143.80
1997-09-01,144.30
1997-10-01,144.50
1997-11-01,143.90
1997-12-01,143.20
1998-01-01,142.70
1998-02-01,142.10
1998-03-01,141.40
1998-04-01,141.50
1998-05-01,142.00
1998-06-01,141.70
1998-07-01,141.80
1998-08-01,141.20
1998-09-01,140.70
1998-10-01,141.30
1998-11-01,141.50
1998-12-01,140.70
1999-01-01,140.40
1999-02-01,139.80
1999-03-01,140.60
1999-04-01,144.30
1999-05-01,144.20
1999-06-01,143.40
1999-07-01,144.70
1999-08-01,145.70
1999-09-01,146.50
1999-10-01,147.30
1999-11-01,147.60
1999-12-01,148.30
2000-01-01,148.30
2000-02-01,149.70
2000-03-01,153.40
2000-04-01,152.90
2000-05-01,153.10
2000-06-01,155.70
2000-07-01,155.00
2000-08-01,153.20
2000-09-01,154.70
2000-10-01,154.40
2000-11-01,155.20
2000-12-01,154.40
2001-01-01,154.40
2001-02-01,154.90
2001-03-01,153.90
2001-04-01,156.10
2001-05-01,159.20
2001-06-01,158.30
2001-07-01,154.40
2001-08-01,153.30
2001-09-01,155.50
2001-10-01,152.30
2001-11-01,150.20
2001-12-01,148.50
2002-01-01,148.60
2002-02-01,148.40
2002-03-01,150.50
2002-04-01,153.70
2002-05-01,153.80
2002-06-01,153.40
2002-07-01,153.70
2002-08-01,153.90
2002-09-01,154.00
2002-10-01,154.90
2002-11-01,155.20
2002-12-01,154.20
2003-01-01,155.50
2003-02-01,158.90
2003-03-01,161.00
2003-04-01,159.30
2003-05-01,157.20
2003-06-01,156.80
2003-07-01,156.80
2003-08-01,158.30
2003-09-01,159.40
2003-10-01,157.10
2003-11-01,155.70
2003-12-01,154.70
2004-01-01,157.00
2004-02-01,158.80
2004-03-01,160.50
2004-04-01,161.80
2004-05-01,165.20
2004-06-01,165.70
2004-07-01,164.00
2004-08-01,162.90
2004-09-01,162.90
2004-10-01,166.40
2004-11-01,167.20
2004-12-01,164.80
2005-01-01,164.00
2005-02-01,166.10
2005-03-01,168.80
2005-04-01,173.20
2005-05-01,172.10
2005-06-01,171.80
2005-07-01,174.40
2005-08-01,177.70
2005-09-01,186.50
2005-10-01,184.00
2005-11-01,175.60
2005-12-01,172.70
2006-01-01,175.90
2006-02-01,175.80
2006-03-01,177.40
2006-04-01,184.10
2006-05-01,187.60
2006-06-01,187.30
2006-07-01,189.00
2006-08-01,188.50
2006-09-01,180.60
2006-10-01,174.80
2006-11-01,173.90
2006-12-01,175.40
2007-01-01,174.46
2007-02-01,174.80
2007-03-01,180.35
2007-04-01,185.23
2007-05-01,189.96
2007-06-01,189.06
2007-07-01,187.69
2007-08-01,184.48
2007-09-01,184.53
2007-10-01,184.95
2007-11-01,190.68
2007-12-01,189.98
2008-01-01,190.84
2008-02-01,190.52
2008-03-01,195.19
2008-04-01,198.61
2008-05-01,205.26
2008-06-01,211.79
2008-07-01,212.81
2008-08-01,206.74
2008-09-01,203.86
2008-10-01,192.71
2008-11-01,173.64
2008-12-01,164.63
2009-01-01,166.74
2009-02-01,169.54
2009-03-01,169.65
2009-04-01,171.99
2009-05-01,176.00
2009-06-01,183.74
2009-07-01,182.80
2009-08-01,184.39
2009-09-01,183.93
2009-10-01,185.36
2009-11-01,188.59
2009-12-01,188.32
2010-01-01,190.51
2010-02-01,189.58
2010-03-01,192.13
2010-04-01,193.99
2010-05-01,194.76
2010-06-01,192.65
2010-07-01,193.04
2010-08-01,193.45
2010-09-01,192.41
2010-10-01,194.28
2010-11-01,195.66
2010-12-01,198.28
2011-01-01,200.84
2011-02-01,203.04
2011-03-01,211.01
2011-04-01,216.87
2011-05-01,220.27
2011-06-01,216.88
2011-07-01,216.16
2011-08-01,216.06
2011-09-01,215.20
2011-10-01,212.13
2011-11-01,211.36
2011-12-01,208.59
2012-01-01,210.80
2012-02-01,214.43
2012-03-01,220.84
2012-04-01,223.08
2012-05-01,220.77
2012-06-01,216.37
2012-07-01,214.29
2012-08-01,219.11
2012-09-01,221.75
2012-10-01,220.23
2012-11-01,214.53
2012-12-01,211.85
2013-01-01,212.30
2013-02-01,219.49
2013-03-01,221.08
2013-04-01,218.59
2013-05-01,219.44
2013-06-01,220.04
2013-07-01,219.99
2013-08-01,219.22
2013-09-01,218.09
2013-10-01,214.94
2013-11-01,212.84
2013-12-01,212.91
2014-01-01,213.45
2014-02-01,214.67
2014-03-01,218.44
2014-04-01,221.97
2014-05-01,223.39
2014-06-01,223.54
2014-07-01,221.87
2014-08-01,218.28
2014-09-01,216.38
2014-10-01,212.63
2014-11-01,206.87
2014-12-01,199.78
2015-01-01,190.87
2015-02-01,193.94
2015-03-01,199.36
2015-04-01,200.25
2015-05-01,206.39
2015-06-01,208.01
2015-07-01,207.22
2015-08-01,203.38
2015-09-01,197.59
2015-10-01,195.86
2015-11-01,194.40
2015-12-01,191.53
2016-01-01,190.16
2016-02-01,187.35
2016-03-01,191.26
2016-04-01,195.49
2016-05-01,198.61
2016-06-01,200.26
2016-07-01,197.15
2016-08-01,195.20
2016-09-01,195.40
2016-10-01,196.19
2016-11-01,195.41
2016-12-01,196.25
2017-01-01,199.29
2017-02-01,199.15
2017-03-01,200.09
2017-04-01,202.39
2017-05-01,202.21
2017-06-01,201.26
2017-07-01,199.47
2017-08-01,200.65
2017-09-01,204.78
2017-10-01,202.46
2017-11-01,204.01
2017-12-01,203.02
2018-01-01,205.34
2018-02-01,207.36
2018-03-01,207.85
2018-04-01,210.73
2018-05-01,214.13
