Date,UTCGUO
2013-10-01,783940000000.00
2013-11-01,792267000000.00
2013-12-01,810970000000.00
2014-01-01,812959000000.00
2014-02-01,815317000000.00
2014-03-01,820185000000.00
2014-04-01,826228000000.00
2014-05-01,824161000000.00
2014-06-01,831044000000.00
2014-07-01,885072000000.00
2014-08-01,880770000000.00
2014-09-01,880344000000.00
2014-10-01,874880000000.00
2014-11-01,875329000000.00
2014-12-01,879106000000.00
2015-01-01,878564000000.00
2015-02-01,877991000000.00
2015-03-01,880054000000.00
2015-04-01,875651000000.00
2015-05-01,865455000000.00
2015-06-01,869899000000.00
2015-07-01,872296000000.00
2015-08-01,863388000000.00
2015-09-01,851536000000.00
2015-10-01,850122000000.00
2015-11-01,851680000000.00
2015-12-01,853822000000.00
2016-01-01,856142000000.00
2016-02-01,850272000000.00
2016-03-01,850875000000.00
2016-04-01,853771000000.00
2016-05-01,849066000000.00
2016-06-01,839794000000.00
2016-07-01,836574000000.00
2016-08-01,829721000000.00
2016-09-01,825524000000.00
2016-10-01,834245000000.00
2016-11-01,832896000000.00
2016-12-01,838714000000.00
2017-01-01,837347000000.00
2017-02-01,831311000000.00
2017-03-01,835634000000.00
2017-04-01,835767000000.00
2017-05-01,827693000000.00
2017-06-01,844887000000.00
2017-07-01,842249000000.00
2017-08-01,834364000000.00
2017-09-01,841039000000.00
2017-10-01,839305000000.00
2017-11-01,839996000000.00
2017-12-01,849093000000.00
2018-01-01,845799000000.00
2018-02-01,850149000000.00
2018-03-01,860805000000.00
2018-04-01,863110000000.00
2018-05-01,861472000000.00
