Date,PCEDG
1967-03-01,71000000000.00
1967-04-01,74300000000.00
1967-05-01,74000000000.00
1967-06-01,75200000000.00
1967-07-01,74400000000.00
1967-08-01,73600000000.00
1967-09-01,76000000000.00
1967-10-01,74100000000.00
1967-11-01,75100000000.00
1967-12-01,77700000000.00
1968-01-01,79700000000.00
1968-02-01,79500000000.00
1968-03-01,83400000000.00
1968-04-01,81400000000.00
1968-05-01,84000000000.00
1968-06-01,83800000000.00
1968-07-01,86900000000.00
1968-08-01,87600000000.00
1968-09-01,88100000000.00
1968-10-01,88100000000.00
1968-11-01,87500000000.00
1968-12-01,87900000000.00
1969-01-01,90100000000.00
1969-02-01,90800000000.00
1969-03-01,89100000000.00
1969-04-01,90400000000.00
1969-05-01,90500000000.00
1969-06-01,90500000000.00
1969-07-01,88600000000.00
1969-08-01,90700000000.00
1969-09-01,92600000000.00
1969-10-01,91400000000.00
1969-11-01,90700000000.00
1969-12-01,90400000000.00
1970-01-01,89300000000.00
1970-02-01,91000000000.00
1970-03-01,88500000000.00
1970-04-01,90000000000.00
1970-05-01,91200000000.00
1970-06-01,91900000000.00
1970-07-01,91400000000.00
1970-08-01,92300000000.00
1970-09-01,92300000000.00
1970-10-01,89700000000.00
1970-11-01,85200000000.00
1970-12-01,87100000000.00
1971-01-01,97400000000.00
1971-02-01,97200000000.00
1971-03-01,99600000000.00
1971-04-01,100300000000.00
1971-05-01,99600000000.00
1971-06-01,103000000000.00
1971-07-01,101100000000.00
1971-08-01,102200000000.00
1971-09-01,107000000000.00
1971-10-01,107200000000.00
1971-11-01,107300000000.00
1971-12-01,107400000000.00
1972-01-01,110500000000.00
1972-02-01,109300000000.00
1972-03-01,112300000000.00
1972-04-01,112900000000.00
1972-05-01,114500000000.00
1972-06-01,114800000000.00
1972-07-01,116600000000.00
1972-08-01,118300000000.00
1972-09-01,117900000000.00
1972-10-01,122000000000.00
1972-11-01,123400000000.00
1972-12-01,124800000000.00
1973-01-01,129300000000.00
1973-02-01,131900000000.00
1973-03-01,134300000000.00
1973-04-01,132500000000.00
1973-05-01,133300000000.00
1973-06-01,128100000000.00
1973-07-01,130100000000.00
1973-08-01,128600000000.00
1973-09-01,133700000000.00
1973-10-01,129300000000.00
1973-11-01,129100000000.00
1973-12-01,126300000000.00
1974-01-01,126700000000.00
1974-02-01,124800000000.00
1974-03-01,128500000000.00
1974-04-01,129000000000.00
1974-05-01,132000000000.00
1974-06-01,130800000000.00
1974-07-01,133400000000.00
1974-08-01,140900000000.00
1974-09-01,134700000000.00
1974-10-01,131000000000.00
1974-11-01,125400000000.00
1974-12-01,125000000000.00
1975-01-01,129500000000.00
1975-02-01,134800000000.00
1975-03-01,131000000000.00
1975-04-01,132000000000.00
1975-05-01,138100000000.00
1975-06-01,140000000000.00
1975-07-01,145000000000.00
1975-08-01,145400000000.00
1975-09-01,149900000000.00
1975-10-01,148000000000.00
1975-11-01,153200000000.00
1975-12-01,158900000000.00
1976-01-01,161200000000.00
1976-02-01,164200000000.00
1976-03-01,164500000000.00
1976-04-01,167600000000.00
1976-05-01,162200000000.00
1976-06-01,167900000000.00
1976-07-01,169700000000.00
1976-08-01,168700000000.00
1976-09-01,171200000000.00
1976-10-01,170900000000.00
1976-11-01,173200000000.00
1976-12-01,182200000000.00
1977-01-01,177800000000.00
1977-02-01,184100000000.00
1977-03-01,189900000000.00
1977-04-01,188900000000.00
1977-05-01,188600000000.00
1977-06-01,190200000000.00
1977-07-01,191700000000.00
1977-08-01,194200000000.00
1977-09-01,196100000000.00
1977-10-01,197100000000.00
1977-11-01,200800000000.00
1977-12-01,204200000000.00
1978-01-01,191200000000.00
1978-02-01,198500000000.00
1978-03-01,204700000000.00
1978-04-01,213500000000.00
1978-05-01,217000000000.00
1978-06-01,218100000000.00
1978-07-01,215300000000.00
1978-08-01,221800000000.00
1978-09-01,213100000000.00
1978-10-01,220300000000.00
1978-11-01,222300000000.00
1978-12-01,224200000000.00
1979-01-01,220500000000.00
1979-02-01,224000000000.00
1979-03-01,225300000000.00
1979-04-01,222700000000.00
1979-05-01,224400000000.00
1979-06-01,219300000000.00
1979-07-01,226000000000.00
1979-08-01,231300000000.00
1979-09-01,235400000000.00
1979-10-01,228300000000.00
1979-11-01,229000000000.00
1979-12-01,229900000000.00
1980-01-01,239600000000.00
1980-02-01,232900000000.00
1980-03-01,223600000000.00
1980-04-01,212400000000.00
1980-05-01,208500000000.00
1980-06-01,214900000000.00
1980-07-01,226700000000.00
1980-08-01,224000000000.00
1980-09-01,225400000000.00
1980-10-01,236300000000.00
1980-11-01,236700000000.00
1980-12-01,235700000000.00
1981-01-01,239900000000.00
1981-02-01,247300000000.00
1981-03-01,250900000000.00
1981-04-01,241700000000.00
1981-05-01,239800000000.00
1981-06-01,241400000000.00
1981-07-01,245200000000.00
1981-08-01,260400000000.00
1981-09-01,250200000000.00
1981-10-01,237300000000.00
1981-11-01,237000000000.00
1981-12-01,236300000000.00
1982-01-01,241000000000.00
1982-02-01,249300000000.00
1982-03-01,249000000000.00
1982-04-01,244900000000.00
1982-05-01,256800000000.00
1982-06-01,246000000000.00
1982-07-01,247800000000.00
1982-08-01,248600000000.00
1982-09-01,260000000000.00
1982-10-01,254100000000.00
1982-11-01,268100000000.00
1982-12-01,270800000000.00
1983-01-01,268300000000.00
1983-02-01,266800000000.00
1983-03-01,271600000000.00
1983-04-01,281700000000.00
1983-05-01,288800000000.00
1983-06-01,298200000000.00
1983-07-01,303400000000.00
1983-08-01,301200000000.00
1983-09-01,302600000000.00
1983-10-01,313700000000.00
1983-11-01,315900000000.00
1983-12-01,328300000000.00
1984-01-01,336800000000.00
1984-02-01,328700000000.00
1984-03-01,328800000000.00
1984-04-01,336000000000.00
1984-05-01,341700000000.00
1984-06-01,346100000000.00
1984-07-01,341500000000.00
1984-08-01,339700000000.00
1984-09-01,345000000000.00
1984-10-01,343000000000.00
1984-11-01,358400000000.00
1984-12-01,360100000000.00
1985-01-01,365500000000.00
1985-02-01,364900000000.00
1985-03-01,373600000000.00
1985-04-01,365700000000.00
1985-05-01,384300000000.00
1985-06-01,369700000000.00
1985-07-01,376300000000.00
1985-08-01,390300000000.00
1985-09-01,422700000000.00
1985-10-01,379200000000.00
1985-11-01,380800000000.00
1985-12-01,391200000000.00
1986-01-01,401400000000.00
1986-02-01,389400000000.00
1986-03-01,384100000000.00
1986-04-01,404000000000.00
1986-05-01,414200000000.00
1986-06-01,403700000000.00
1986-07-01,415900000000.00
1986-08-01,434400000000.00
1986-09-01,486800000000.00
1986-10-01,434900000000.00
1986-11-01,420000000000.00
1986-12-01,468500000000.00
1987-01-01,399700000000.00
1987-02-01,427000000000.00
1987-03-01,428800000000.00
1987-04-01,437600000000.00
1987-05-01,434000000000.00
1987-06-01,445700000000.00
1987-07-01,452400000000.00
1987-08-01,468900000000.00
1987-09-01,460300000000.00
1987-10-01,443100000000.00
1987-11-01,447400000000.00
1987-12-01,459400000000.00
1988-01-01,470300000000.00
1988-02-01,468700000000.00
1988-03-01,472400000000.00
1988-04-01,467800000000.00
1988-05-01,474700000000.00
1988-06-01,477300000000.00
1988-07-01,472400000000.00
1988-08-01,470100000000.00
1988-09-01,468700000000.00
1988-10-01,477900000000.00
1988-11-01,481800000000.00
1988-12-01,498900000000.00
1989-01-01,496200000000.00
1989-02-01,481300000000.00
1989-03-01,481900000000.00
1989-04-01,500400000000.00
1989-05-01,487600000000.00
1989-06-01,492000000000.00
1989-07-01,497400000000.00
1989-08-01,518700000000.00
1989-09-01,500800000000.00
1989-10-01,493900000000.00
1989-11-01,490100000000.00
1989-12-01,491600000000.00
1990-01-01,536400000000.00
1990-02-01,505900000000.00
1990-03-01,503800000000.00
1990-04-01,505700000000.00
1990-05-01,495300000000.00
1990-06-01,494300000000.00
1990-07-01,496300000000.00
1990-08-01,489300000000.00
1990-09-01,495100000000.00
1990-10-01,486100000000.00
1990-11-01,482700000000.00
1990-12-01,474000000000.00
1991-01-01,452700000000.00
1991-02-01,467000000000.00
1991-03-01,495400000000.00
1991-04-01,474400000000.00
1991-05-01,473500000000.00
1991-06-01,477800000000.00
1991-07-01,485400000000.00
1991-08-01,479800000000.00
1991-09-01,487900000000.00
1991-10-01,474100000000.00
1991-11-01,477300000000.00
1991-12-01,480900000000.00
1992-01-01,495600000000.00
1992-02-01,501300000000.00
1992-03-01,491700000000.00
1992-04-01,490000000000.00
1992-05-01,501900000000.00
1992-06-01,511000000000.00
1992-07-01,507200000000.00
1992-08-01,511900000000.00
1992-09-01,517100000000.00
1992-10-01,522700000000.00
1992-11-01,514100000000.00
1992-12-01,532400000000.00
1993-01-01,538100000000.00
1993-02-01,524200000000.00
1993-03-01,521200000000.00
1993-04-01,543000000000.00
1993-05-01,552000000000.00
1993-06-01,548600000000.00
1993-07-01,558600000000.00
1993-08-01,551500000000.00
1993-09-01,559800000000.00
1993-10-01,568900000000.00
1993-11-01,574200000000.00
1993-12-01,578300000000.00
1994-01-01,579600000000.00
1994-02-01,593300000000.00
1994-03-01,593600000000.00
1994-04-01,607000000000.00
1994-05-01,588900000000.00
1994-06-01,600300000000.00
1994-07-01,602100000000.00
1994-08-01,612000000000.00
1994-09-01,613800000000.00
1994-10-01,629600000000.00
1994-11-01,635100000000.00
1994-12-01,630700000000.00
1995-01-01,623600000000.00
1995-02-01,613000000000.00
1995-03-01,627200000000.00
1995-04-01,613200000000.00
1995-05-01,624800000000.00
1995-06-01,642800000000.00
1995-07-01,631000000000.00
1995-08-01,645300000000.00
1995-09-01,651300000000.00
1995-10-01,638100000000.00
1995-11-01,650600000000.00
1995-12-01,668000000000.00
1996-01-01,645800000000.00
1996-02-01,663200000000.00
1996-03-01,670400000000.00
1996-04-01,679500000000.00
1996-05-01,680100000000.00
1996-06-01,669400000000.00
1996-07-01,672900000000.00
1996-08-01,681700000000.00
1996-09-01,683600000000.00
1996-10-01,688800000000.00
1996-11-01,692200000000.00
1996-12-01,687800000000.00
1997-01-01,703300000000.00
1997-02-01,702000000000.00
1997-03-01,711500000000.00
1997-04-01,697500000000.00
1997-05-01,690200000000.00
1997-06-01,702100000000.00
1997-07-01,715700000000.00
1997-08-01,732600000000.00
1997-09-01,720000000000.00
1997-10-01,724700000000.00
1997-11-01,740800000000.00
1997-12-01,746100000000.00
1998-01-01,733000000000.00
1998-02-01,739400000000.00
1998-03-01,740700000000.00
1998-04-01,758100000000.00
1998-05-01,778300000000.00
1998-06-01,771300000000.00
1998-07-01,769400000000.00
1998-08-01,784900000000.00
1998-09-01,800900000000.00
1998-10-01,819400000000.00
1998-11-01,817900000000.00
1998-12-01,838200000000.00
1999-01-01,808400000000.00
1999-02-01,824100000000.00
1999-03-01,827400000000.00
1999-04-01,841300000000.00
1999-05-01,855400000000.00
1999-06-01,867700000000.00
1999-07-01,865200000000.00
1999-08-01,871900000000.00
1999-09-01,876400000000.00
1999-10-01,868000000000.00
1999-11-01,871200000000.00
1999-12-01,889800000000.00
2000-01-01,908600000000.00
2000-02-01,930700000000.00
2000-03-01,923300000000.00
2000-04-01,900600000000.00
2000-05-01,907000000000.00
2000-06-01,898200000000.00
2000-07-01,897300000000.00
2000-08-01,906400000000.00
2000-09-01,931300000000.00
2000-10-01,920600000000.00
2000-11-01,913400000000.00
2000-12-01,913500000000.00
2001-01-01,916500000000.00
2001-02-01,938900000000.00
2001-03-01,925100000000.00
2001-04-01,908300000000.00
2001-05-01,916000000000.00
2001-06-01,934100000000.00
2001-07-01,925000000000.00
2001-08-01,942500000000.00
2001-09-01,904100000000.00
2001-10-01,1035100000000.00
2001-11-01,997000000000.00
2001-12-01,955600000000.00
2002-01-01,969500000000.00
2002-02-01,980800000000.00
2002-03-01,974500000000.00
2002-04-01,1000800000000.00
2002-05-01,961100000000.00
2002-06-01,977100000000.00
2002-07-01,1006300000000.00
2002-08-01,1024900000000.00
2002-09-01,979400000000.00
2002-10-01,968900000000.00
2002-11-01,975000000000.00
2002-12-01,1006100000000.00
2003-01-01,985500000000.00
2003-02-01,957400000000.00
2003-03-01,979100000000.00
2003-04-01,1002300000000.00
2003-05-01,1005000000000.00
2003-06-01,1016300000000.00
2003-07-01,1029100000000.00
2003-08-01,1061500000000.00
2003-09-01,1036200000000.00
2003-10-01,1035200000000.00
2003-11-01,1055400000000.00
2003-12-01,1047400000000.00
2004-01-01,1047300000000.00
2004-02-01,1062700000000.00
2004-03-01,1076900000000.00
2004-04-01,1066400000000.00
2004-05-01,1094400000000.00
2004-06-01,1054100000000.00
2004-07-01,1081600000000.00
2004-08-01,1071300000000.00
2004-09-01,1099800000000.00
2004-10-01,1092300000000.00
2004-11-01,1092200000000.00
2004-12-01,1118800000000.00
2005-01-01,1102400000000.00
2005-02-01,1108700000000.00
2005-03-01,1120500000000.00
2005-04-01,1154900000000.00
2005-05-01,1107700000000.00
2005-06-01,1159200000000.00
2005-07-01,1197800000000.00
2005-08-01,1133400000000.00
2005-09-01,1105000000000.00
2005-10-01,1094100000000.00
2005-11-01,1113500000000.00
2005-12-01,1129600000000.00
2006-01-01,1163400000000.00
2006-02-01,1146100000000.00
2006-03-01,1150500000000.00
2006-04-01,1152400000000.00
2006-05-01,1138700000000.00
2006-06-01,1149900000000.00
2006-07-01,1165600000000.00
2006-08-01,1146400000000.00
2006-09-01,1161800000000.00
2006-10-01,1162000000000.00
2006-11-01,1161900000000.00
2006-12-01,1174500000000.00
2007-01-01,1175300000000.00
2007-02-01,1172700000000.00
2007-03-01,1172100000000.00
2007-04-01,1176100000000.00
2007-05-01,1196200000000.00
2007-06-01,1182500000000.00
2007-07-01,1179400000000.00
2007-08-01,1189200000000.00
2007-09-01,1202000000000.00
2007-10-01,1199400000000.00
2007-11-01,1192600000000.00
2007-12-01,1178100000000.00
2008-01-01,1167100000000.00
2008-02-01,1146700000000.00
2008-03-01,1143200000000.00
2008-04-01,1140300000000.00
2008-05-01,1144900000000.00
2008-06-01,1134400000000.00
2008-07-01,1106600000000.00
2008-08-01,1122600000000.00
2008-09-01,1076300000000.00
2008-10-01,1028000000000.00
2008-11-01,1019000000000.00
2008-12-01,998400000000.00
2009-01-01,1028800000000.00
2009-02-01,1010400000000.00
2009-03-01,996800000000.00
2009-04-01,988800000000.00
2009-05-01,1008700000000.00
2009-06-01,1016700000000.00
2009-07-01,1030500000000.00
2009-08-01,1103300000000.00
2009-09-01,1003700000000.00
2009-10-01,1014700000000.00
2009-11-01,1037800000000.00
2009-12-01,1039500000000.00
2010-01-01,1025600000000.00
2010-02-01,1025000000000.00
2010-03-01,1069900000000.00
2010-04-01,1063500000000.00
2010-05-01,1064500000000.00
2010-06-01,1066000000000.00
2010-07-01,1069800000000.00
2010-08-01,1076500000000.00
2010-09-01,1078900000000.00
2010-10-01,1104900000000.00
2010-11-01,1102300000000.00
2010-12-01,1101200000000.00
2011-01-01,1109200000000.00
2011-02-01,1111100000000.00
2011-03-01,1125600000000.00
2011-04-01,1120800000000.00
2011-05-01,1109800000000.00
2011-06-01,1106500000000.00
2011-07-01,1122500000000.00
2011-08-01,1116100000000.00
2011-09-01,1132900000000.00
2011-10-01,1151700000000.00
2011-11-01,1145800000000.00
2011-12-01,1152000000000.00
2012-01-01,1170100000000.00
2012-02-01,1181900000000.00
2012-03-01,1184300000000.00
2012-04-01,1185600000000.00
2012-05-01,1181000000000.00
2012-06-01,1178200000000.00
2012-07-01,1184800000000.00
2012-08-01,1189000000000.00
2012-09-01,1208800000000.00
2012-10-01,1190700000000.00
2012-11-01,1214900000000.00
2012-12-01,1233100000000.00
2013-01-01,1240800000000.00
2013-02-01,1245600000000.00
2013-03-01,1228700000000.00
2013-04-01,1234300000000.00
2013-05-01,1233800000000.00
2013-06-01,1243400000000.00
2013-07-01,1243500000000.00
2013-08-01,1241900000000.00
2013-09-01,1238900000000.00
2013-10-01,1246800000000.00
2013-11-01,1259300000000.00
2013-12-01,1243200000000.00
2014-01-01,1228100000000.00
2014-02-01,1255300000000.00
2014-03-01,1293500000000.00
2014-04-01,1282700000000.00
2014-05-01,1291600000000.00
2014-06-01,1300300000000.00
2014-07-01,1300100000000.00
2014-08-01,1321900000000.00
2014-09-01,1306800000000.00
2014-10-01,1316900000000.00
2014-11-01,1332300000000.00
2014-12-01,1327100000000.00
2015-01-01,1332100000000.00
2015-02-01,1329100000000.00
2015-03-01,1364200000000.00
2015-04-01,1361500000000.00
2015-05-01,1376700000000.00
2015-06-01,1362000000000.00
2015-07-01,1371300000000.00
2015-08-01,1376000000000.00
2015-09-01,1382400000000.00
2015-10-01,1372400000000.00
2015-11-01,1387900000000.00
2015-12-01,1390100000000.00
2016-01-01,1375900000000.00
2016-02-01,1384700000000.00
2016-03-01,1387000000000.00
2016-04-01,1398600000000.00
2016-05-01,1399700000000.00
2016-06-01,1404900000000.00
2016-07-01,1423800000000.00
2016-08-01,1408900000000.00
2016-09-01,1427800000000.00
2016-10-01,1439900000000.00
2016-11-01,1429200000000.00
2016-12-01,1451600000000.00
2017-01-01,1438200000000.00
2017-02-01,1442400000000.00
2017-03-01,1449000000000.00
2017-04-01,1455100000000.00
2017-05-01,1456200000000.00
2017-06-01,1458500000000.00
2017-07-01,1475500000000.00
2017-08-01,1454900000000.00
2017-09-01,1502400000000.00
2017-10-01,1509000000000.00
2017-11-01,1520400000000.00
2017-12-01,1524000000000.00
2018-01-01,1499300000000.00
2018-02-01,1494900000000.00
2018-03-01,1517300000000.00
2018-04-01,1513800000000.00
2018-05-01,1516000000000.00
