Date,CPALWE01USM661N
1980-08-01,39.16
1980-09-01,39.54
1980-10-01,39.87
1980-11-01,40.24
1980-12-01,40.61
1981-01-01,40.89
1981-02-01,41.36
1981-03-01,41.60
1981-04-01,41.88
1981-05-01,42.20
1981-06-01,42.58
1981-07-01,43.09
1981-08-01,43.37
1981-09-01,43.79
1981-10-01,43.89
1981-11-01,43.98
1981-12-01,44.12
1982-01-01,44.26
1982-02-01,44.40
1982-03-01,44.31
1982-04-01,44.49
1982-05-01,44.96
1982-06-01,45.52
1982-07-01,45.80
1982-08-01,45.89
1982-09-01,45.94
1982-10-01,46.08
1982-11-01,45.99
1982-12-01,45.80
1983-01-01,45.85
1983-02-01,45.85
1983-03-01,45.99
1983-04-01,46.27
1983-05-01,46.50
1983-06-01,46.64
1983-07-01,46.78
1983-08-01,46.97
1983-09-01,47.20
1983-10-01,47.30
1983-11-01,47.30
1983-12-01,47.30
1984-01-01,47.48
1984-02-01,47.58
1984-03-01,47.58
1984-04-01,47.72
1984-05-01,47.90
1984-06-01,48.04
1984-07-01,48.23
1984-08-01,48.70
1984-09-01,48.98
1984-10-01,48.98
1984-11-01,48.93
1984-12-01,48.98
1985-01-01,49.03
1985-02-01,49.26
1985-03-01,49.49
1985-04-01,49.68
1985-05-01,49.87
1985-06-01,50.01
1985-07-01,50.05
1985-08-01,50.15
1985-09-01,50.29
1985-10-01,50.43
1985-11-01,50.62
1985-12-01,50.76
1986-01-01,50.90
1986-02-01,50.71
1986-03-01,50.43
1986-04-01,50.29
1986-05-01,50.43
1986-06-01,50.66
1986-07-01,50.66
1986-08-01,50.76
1986-09-01,50.99
1986-10-01,50.99
1986-11-01,51.04
1986-12-01,51.08
1987-01-01,51.41
1987-02-01,51.64
1987-03-01,51.88
1987-04-01,52.16
1987-05-01,52.30
1987-06-01,52.53
1987-07-01,52.67
1987-08-01,52.95
1987-09-01,53.19
1987-10-01,53.33
1987-11-01,53.42
1987-12-01,53.37
1988-01-01,53.51
1988-02-01,53.61
1988-03-01,53.79
1988-04-01,54.07
1988-05-01,54.31
1988-06-01,54.54
1988-07-01,54.77
1988-08-01,55.01
1988-09-01,55.38
1988-10-01,55.57
1988-11-01,55.62
1988-12-01,55.71
1989-01-01,55.94
1989-02-01,56.18
1989-03-01,56.46
1989-04-01,56.92
1989-05-01,57.25
1989-06-01,57.39
1989-07-01,57.58
1989-08-01,57.58
1989-09-01,57.77
1989-10-01,58.05
1989-11-01,58.14
1989-12-01,58.23
1990-01-01,58.84
1990-02-01,59.07
1990-03-01,59.40
1990-04-01,59.50
1990-05-01,59.59
1990-06-01,59.96
1990-07-01,60.15
1990-08-01,60.71
1990-09-01,61.27
1990-10-01,61.65
1990-11-01,61.79
1990-12-01,61.79
1991-01-01,62.07
1991-02-01,62.07
1991-03-01,62.16
1991-04-01,62.30
1991-05-01,62.53
1991-06-01,62.67
1991-07-01,62.77
1991-08-01,62.91
1991-09-01,63.19
1991-10-01,63.28
1991-11-01,63.47
1991-12-01,63.51
1992-01-01,63.56
1992-02-01,63.75
1992-03-01,64.03
1992-04-01,64.17
1992-05-01,64.31
1992-06-01,64.54
1992-07-01,64.68
1992-08-01,64.87
1992-09-01,65.01
1992-10-01,65.24
1992-11-01,65.34
1992-12-01,65.34
1993-01-01,65.57
1993-02-01,65.76
1993-03-01,65.94
1993-04-01,66.18
1993-05-01,66.32
1993-06-01,66.37
1993-07-01,66.41
1993-08-01,66.55
1993-09-01,66.65
1993-10-01,66.97
1993-11-01,67.02
1993-12-01,66.97
1994-01-01,67.11
1994-02-01,67.30
1994-03-01,67.49
1994-04-01,67.63
1994-05-01,67.72
1994-06-01,67.95
1994-07-01,68.14
1994-08-01,68.47
1994-09-01,68.66
1994-10-01,68.70
1994-11-01,68.84
1994-12-01,68.80
1995-01-01,69.08
1995-02-01,69.31
1995-03-01,69.50
1995-04-01,69.78
1995-05-01,69.92
1995-06-01,70.06
1995-07-01,70.06
1995-08-01,70.20
1995-09-01,70.38
1995-10-01,70.57
1995-11-01,70.52
1995-12-01,70.52
1996-01-01,70.90
1996-02-01,71.13
1996-03-01,71.46
1996-04-01,71.79
1996-05-01,71.97
1996-06-01,72.02
1996-07-01,72.11
1996-08-01,72.21
1996-09-01,72.49
1996-10-01,72.67
1996-11-01,72.86
1996-12-01,72.86
1997-01-01,73.05
1997-02-01,73.28
1997-03-01,73.38
1997-04-01,73.47
1997-05-01,73.47
1997-06-01,73.56
1997-07-01,73.61
1997-08-01,73.75
1997-09-01,73.98
1997-10-01,74.08
1997-11-01,74.08
1997-12-01,73.94
1998-01-01,74.03
1998-02-01,74.08
1998-03-01,74.17
1998-04-01,74.36
1998-05-01,74.54
1998-06-01,74.64
1998-07-01,74.68
1998-08-01,74.78
1998-09-01,74.87
1998-10-01,75.06
1998-11-01,75.11
1998-12-01,75.11
1999-01-01,75.25
1999-02-01,75.29
1999-03-01,75.43
1999-04-01,76.04
1999-05-01,76.09
1999-06-01,76.09
1999-07-01,76.32
1999-08-01,76.55
1999-09-01,76.97
1999-10-01,77.11
1999-11-01,77.16
1999-12-01,77.16
2000-01-01,77.40
2000-02-01,77.82
2000-03-01,78.47
2000-04-01,78.52
2000-05-01,78.61
2000-06-01,79.08
2000-07-01,79.17
2000-08-01,79.12
2000-09-01,79.64
2000-10-01,79.73
2000-11-01,79.87
2000-12-01,79.78
2001-01-01,80.25
2001-02-01,80.57
2001-03-01,80.67
2001-04-01,81.09
2001-05-01,81.51
2001-06-01,81.60
2001-07-01,81.23
2001-08-01,81.23
2001-09-01,81.69
2001-10-01,81.32
2001-11-01,81.18
2001-12-01,80.81
2002-01-01,80.95
2002-02-01,81.18
2002-03-01,81.65
2002-04-01,82.16
2002-05-01,82.16
2002-06-01,82.21
2002-07-01,82.30
2002-08-01,82.54
2002-09-01,82.72
2002-10-01,82.86
2002-11-01,82.91
2002-12-01,82.72
2003-01-01,83.05
2003-02-01,83.75
2003-03-01,84.27
2003-04-01,84.03
2003-05-01,83.84
2003-06-01,83.94
2003-07-01,83.94
2003-08-01,84.27
2003-09-01,84.59
2003-10-01,84.45
2003-11-01,84.22
2003-12-01,84.08
2004-01-01,84.55
2004-02-01,85.01
2004-03-01,85.48
2004-04-01,85.76
2004-05-01,86.32
2004-06-01,86.60
2004-07-01,86.42
2004-08-01,86.46
2004-09-01,86.65
2004-10-01,87.16
2004-11-01,87.30
2004-12-01,86.93
2005-01-01,87.07
2005-02-01,87.54
2005-03-01,88.14
2005-04-01,88.89
2005-05-01,88.80
2005-06-01,88.85
2005-07-01,89.27
2005-08-01,89.78
2005-09-01,91.14
2005-10-01,91.23
2005-11-01,90.39
2005-12-01,89.97
2006-01-01,90.67
2006-02-01,90.76
2006-03-01,91.28
2006-04-01,92.16
2006-05-01,92.63
2006-06-01,92.82
2006-07-01,93.10
2006-08-01,93.29
2006-09-01,92.72
2006-10-01,92.07
2006-11-01,91.98
2006-12-01,92.16
2007-01-01,92.33
2007-02-01,92.79
2007-03-01,93.76
2007-04-01,94.47
2007-05-01,95.18
2007-06-01,95.30
2007-07-01,95.20
2007-08-01,94.97
2007-09-01,95.29
2007-10-01,95.50
2007-11-01,96.23
2007-12-01,96.17
2008-01-01,96.62
2008-02-01,96.86
2008-03-01,97.75
2008-04-01,98.47
2008-05-01,99.45
2008-06-01,100.59
2008-07-01,101.09
2008-08-01,100.60
2008-09-01,100.45
2008-10-01,99.17
2008-11-01,96.88
2008-12-01,95.72
2009-01-01,96.14
2009-02-01,96.61
2009-03-01,96.85
2009-04-01,97.18
2009-05-01,97.57
2009-06-01,98.60
2009-07-01,98.39
2009-08-01,98.69
2009-09-01,98.76
2009-10-01,98.87
2009-11-01,99.08
2009-12-01,98.94
2010-01-01,99.35
2010-02-01,99.34
2010-03-01,99.79
2010-04-01,100.00
2010-05-01,100.07
2010-06-01,99.94
2010-07-01,99.97
2010-08-01,100.11
2010-09-01,100.16
2010-10-01,100.31
2010-11-01,100.37
2010-12-01,100.61
2011-01-01,101.14
2011-02-01,101.67
2011-03-01,102.83
2011-04-01,103.63
2011-05-01,104.20
2011-06-01,104.00
2011-07-01,104.08
2011-08-01,104.37
2011-09-01,104.54
2011-10-01,104.24
2011-11-01,104.13
2011-12-01,103.83
2012-01-01,104.32
2012-02-01,104.84
2012-03-01,105.77
2012-04-01,106.10
2012-05-01,105.90
2012-06-01,105.64
2012-07-01,105.42
2012-08-01,106.12
2012-09-01,106.64
2012-10-01,106.55
2012-11-01,105.90
2012-12-01,105.57
2013-01-01,105.87
2013-02-01,106.87
2013-03-01,107.18
2013-04-01,107.00
2013-05-01,107.21
2013-06-01,107.49
2013-07-01,107.53
2013-08-01,107.66
2013-09-01,107.74
2013-10-01,107.37
2013-11-01,107.09
2013-12-01,107.11
2014-01-01,107.51
2014-02-01,107.90
2014-03-01,108.69
2014-04-01,109.10
2014-05-01,109.46
2014-06-01,109.69
2014-07-01,109.61
2014-08-01,109.38
2014-09-01,109.44
2014-10-01,109.00
2014-11-01,108.22
2014-12-01,107.45
2015-01-01,106.70
2015-02-01,107.22
2015-03-01,107.99
2015-04-01,108.20
2015-05-01,108.85
2015-06-01,109.27
2015-07-01,109.27
2015-08-01,109.07
2015-09-01,108.74
2015-10-01,108.60
2015-11-01,108.30
2015-12-01,107.86
2016-01-01,107.99
2016-02-01,107.95
2016-03-01,108.53
2016-04-01,109.10
2016-05-01,109.57
2016-06-01,109.97
2016-07-01,109.72
2016-08-01,109.79
2016-09-01,110.06
2016-10-01,110.17
2016-11-01,109.93
2016-12-01,110.01
2017-01-01,110.70
2017-02-01,110.99
2017-03-01,111.07
2017-04-01,111.43
2017-05-01,111.52
2017-06-01,111.61
2017-07-01,111.52
2017-08-01,111.91
2017-09-01,112.61
2017-10-01,112.43
2017-11-01,112.48
2017-12-01,112.41
2018-01-01,113.06
2018-02-01,113.56
2018-03-01,113.79
2018-04-01,114.32
2018-05-01,114.86
