Date,RTWVDMA684NMFRBDAL
2007-11-01,102.65
2007-12-01,103.53
2008-01-01,103.37
2008-02-01,102.37
2008-03-01,100.22
2008-04-01,100.08
2008-05-01,100.94
2008-06-01,101.78
2008-07-01,101.07
2008-08-01,104.10
2008-09-01,106.92
2008-10-01,113.14
2008-11-01,115.11
2008-12-01,112.51
2009-01-01,114.23
2009-02-01,116.85
2009-03-01,117.75
2009-04-01,115.03
2009-05-01,111.08
2009-06-01,109.33
2009-07-01,108.72
2009-08-01,107.19
2009-09-01,106.47
2009-10-01,105.17
2009-11-01,104.24
2009-12-01,104.97
2010-01-01,105.40
2010-02-01,106.97
2010-03-01,107.07
2010-04-01,106.36
2010-05-01,109.98
2010-06-01,110.80
2010-07-01,108.12
2010-08-01,106.77
2010-09-01,105.85
2010-10-01,102.50
2010-11-01,102.74
2010-12-01,103.79
2011-01-01,102.70
2011-02-01,101.57
2011-03-01,101.07
2011-04-01,99.47
2011-05-01,99.80
2011-06-01,99.71
2011-07-01,99.00
2011-08-01,99.19
2011-09-01,102.35
2011-10-01,102.94
2011-11-01,103.25
2011-12-01,104.17
2012-01-01,104.21
2012-02-01,102.37
2012-03-01,103.40
2012-04-01,103.40
2012-05-01,105.02
2012-06-01,106.63
2012-07-01,106.00
2012-08-01,105.10
2012-09-01,103.68
2012-10-01,103.24
2012-11-01,103.59
2012-12-01,102.40
2013-01-01,102.52
2013-02-01,103.47
2013-03-01,105.08
2013-04-01,104.46
2013-05-01,105.13
2013-06-01,105.52
2013-07-01,105.98
2013-08-01,105.49
2013-09-01,105.17
2013-10-01,103.57
2013-11-01,104.18
2013-12-01,104.01
2014-01-01,105.22
2014-02-01,105.11
2014-03-01,105.20
2014-04-01,104.62
2014-05-01,104.54
2014-06-01,104.79
2014-07-01,104.29
2014-08-01,105.31
2014-09-01,107.26
2014-10-01,108.64
2014-11-01,110.11
2014-12-01,111.59
2015-01-01,114.28
2015-02-01,115.76
2015-03-01,118.88
2015-04-01,118.13
2015-05-01,116.93
2015-06-01,117.94
2015-07-01,119.77
2015-08-01,121.14
2015-09-01,121.79
2015-10-01,120.84
2015-11-01,122.98
2015-12-01,123.15
2016-01-01,125.79
2016-02-01,124.09
2016-03-01,122.25
2016-04-01,120.44
2016-05-01,121.85
2016-06-01,122.49
2016-07-01,123.18
2016-08-01,121.98
2016-09-01,123.04
2016-10-01,124.80
2016-11-01,127.10
2016-12-01,129.09
2017-01-01,129.30
2017-02-01,127.67
2017-03-01,127.21
2017-04-01,126.19
2017-05-01,125.28
2017-06-01,123.86
2017-07-01,121.58
2017-08-01,120.35
2017-09-01,119.91
2017-10-01,121.74
2017-11-01,121.91
2017-12-01,120.98
2018-01-01,118.78
2018-02-01,117.71
2018-03-01,118.47
