Date,CPIEDUNS
2014-03-01,137.13
2014-04-01,137.28
2014-05-01,137.24
2014-06-01,137.28
2014-07-01,137.50
2014-08-01,138.14
2014-09-01,138.47
2014-10-01,138.01
2014-11-01,137.71
2014-12-01,137.41
2015-01-01,137.60
2015-02-01,137.56
2015-03-01,137.56
2015-04-01,137.71
2015-05-01,137.40
2015-06-01,137.43
2015-07-01,137.60
2015-08-01,138.29
2015-09-01,139.09
2015-10-01,139.34
2015-11-01,139.53
2015-12-01,139.39
2016-01-01,139.48
2016-02-01,139.24
2016-03-01,139.28
2016-04-01,139.32
2016-05-01,138.97
2016-06-01,138.90
2016-07-01,138.79
2016-08-01,139.31
2016-09-01,139.18
2016-10-01,138.98
2016-11-01,139.09
2016-12-01,139.08
2017-01-01,139.04
2017-02-01,138.80
2017-03-01,136.23
2017-04-01,135.78
2017-05-01,135.56
2017-06-01,135.50
2017-07-01,135.39
2017-08-01,135.70
2017-09-01,136.19
2017-10-01,136.50
2017-11-01,136.72
2017-12-01,136.67
2018-01-01,136.64
2018-02-01,136.33
2018-03-01,136.03
2018-04-01,135.94
2018-05-01,136.26
