Date,W006RC1Q027SBEA
1991-01-01,634913000000.00
1991-04-01,633711000000.00
1991-07-01,637213000000.00
1991-10-01,645738000000.00
1992-01-01,645223000000.00
1992-04-01,655312000000.00
1992-07-01,659036000000.00
1992-10-01,689222000000.00
1993-01-01,673350000000.00
1993-04-01,710533000000.00
1993-07-01,714891000000.00
1993-10-01,762245000000.00
1994-01-01,746137000000.00
1994-04-01,786531000000.00
1994-07-01,791209000000.00
1994-10-01,811855000000.00
1995-01-01,825927000000.00
1995-04-01,850699000000.00
1995-07-01,853911000000.00
1995-10-01,865808000000.00
1996-01-01,895927000000.00
1996-04-01,941573000000.00
1996-07-01,943944000000.00
1996-10-01,966720000000.00
1997-01-01,998049000000.00
1997-04-01,1024858000000.00
1997-07-01,1053364000000.00
1997-10-01,1066729000000.00
1998-01-01,1089956000000.00
1998-04-01,1108064000000.00
1998-07-01,1135533000000.00
1998-10-01,1153723000000.00
1999-01-01,1166659000000.00
1999-04-01,1182601000000.00
1999-07-01,1207496000000.00
1999-10-01,1243033000000.00
2000-01-01,1296741000000.00
2000-04-01,1309151000000.00
2000-07-01,1317298000000.00
2000-10-01,1332311000000.00
2001-01-01,1330759000000.00
2001-04-01,1319159000000.00
2001-07-01,1130687000000.00
2001-10-01,1235042000000.00
2002-01-01,1080656000000.00
2002-04-01,1077061000000.00
2002-07-01,1072138000000.00
2002-10-01,1080785000000.00
2003-01-01,1086446000000.00
2003-04-01,1095557000000.00
2003-07-01,1016442000000.00
2003-10-01,1103393000000.00
2004-01-01,1103377000000.00
2004-04-01,1139381000000.00
2004-07-01,1183830000000.00
2004-10-01,1208119000000.00
2005-01-01,1344503000000.00
2005-04-01,1363766000000.00
2005-07-01,1396584000000.00
2005-10-01,1452241000000.00
2006-01-01,1519443000000.00
2006-04-01,1548017000000.00
2006-07-01,1588142000000.00
2006-10-01,1598029000000.00
2007-01-01,1644695000000.00
2007-04-01,1655326000000.00
2007-07-01,1636584000000.00
2007-10-01,1633134000000.00
2008-01-01,1587045000000.00
2008-04-01,1565054000000.00
2008-07-01,1514553000000.00
2008-10-01,1416088000000.00
2009-01-01,1165283000000.00
2009-04-01,1137460000000.00
2009-07-01,1162139000000.00
2009-10-01,1219425000000.00
2010-01-01,1285890000000.00
2010-04-01,1327597000000.00
2010-07-01,1382645000000.00
2010-10-01,1414839000000.00
2011-01-01,1548456000000.00
2011-04-01,1555365000000.00
2011-07-01,1540074000000.00
2011-10-01,1571336000000.00
2012-01-01,1629577000000.00
2012-04-01,1647810000000.00
2012-07-01,1660557000000.00
2012-10-01,1706641000000.00
2013-01-01,1767989000000.00
2013-04-01,1809393000000.00
2013-07-01,1843946000000.00
2013-10-01,1875687000000.00
2014-01-01,1962384000000.00
2014-04-01,2002881000000.00
2014-07-01,1998216000000.00
2014-10-01,2018253000000.00
2015-01-01,2113509000000.00
2015-04-01,2130998000000.00
2015-07-01,2106008000000.00
2015-10-01,2157134000000.00
2016-01-01,2060060000000.00
2016-04-01,2096292000000.00
2016-07-01,2131564000000.00
2016-10-01,2112996000000.00
2017-01-01,2133378000000.00
2017-04-01,2150665000000.00
2017-07-01,2176787000000.00
2017-10-01,2178271000000.00
2018-01-01,2038234000000.00
