Date,CPILEGNS
1980-05-01,81.10
1980-06-01,82.00
1980-07-01,82.00
1980-08-01,82.60
1980-09-01,83.50
1980-10-01,84.40
1980-11-01,85.30
1980-12-01,86.00
1981-01-01,86.50
1981-02-01,86.90
1981-03-01,87.40
1981-04-01,88.00
1981-05-01,88.80
1981-06-01,89.60
1981-07-01,90.70
1981-08-01,91.40
1981-09-01,92.50
1981-10-01,92.70
1981-11-01,93.10
1981-12-01,93.30
1982-01-01,93.70
1982-02-01,94.10
1982-03-01,94.20
1982-04-01,94.90
1982-05-01,95.80
1982-06-01,96.60
1982-07-01,97.10
1982-08-01,97.30
1982-09-01,97.50
1982-10-01,97.80
1982-11-01,97.60
1982-12-01,97.20
1983-01-01,97.70
1983-02-01,98.00
1983-03-01,98.30
1983-04-01,98.80
1983-05-01,99.00
1983-06-01,99.20
1983-07-01,99.60
1983-08-01,99.90
1983-09-01,100.60
1983-10-01,101.00
1983-11-01,101.30
1983-12-01,101.60
1984-01-01,102.20
1984-02-01,102.70
1984-03-01,103.00
1984-04-01,103.40
1984-05-01,103.70
1984-06-01,103.90
1984-07-01,104.30
1984-08-01,104.90
1984-09-01,105.40
1984-10-01,105.70
1984-11-01,105.90
1984-12-01,106.10
1985-01-01,106.40
1985-02-01,107.00
1985-03-01,107.40
1985-04-01,107.60
1985-05-01,107.90
1985-06-01,108.10
1985-07-01,108.30
1985-08-01,108.60
1985-09-01,109.10
1985-10-01,109.60
1985-11-01,110.10
1985-12-01,110.30
1986-01-01,110.80
1986-02-01,110.90
1986-03-01,111.30
1986-04-01,111.70
1986-05-01,111.90
1986-06-01,112.10
1986-07-01,112.50
1986-08-01,113.00
1986-09-01,113.60
1986-10-01,114.10
1986-11-01,114.40
1986-12-01,114.50
1987-01-01,115.00
1987-02-01,115.30
1987-03-01,115.80
1987-04-01,116.40
1987-05-01,116.70
1987-06-01,116.90
1987-07-01,117.10
1987-08-01,117.60
1987-09-01,118.30
1987-10-01,118.90
1987-11-01,119.20
1987-12-01,119.20
1988-01-01,119.70
1988-02-01,120.00
1988-03-01,120.60
1988-04-01,121.20
1988-05-01,121.50
1988-06-01,121.80
1988-07-01,122.30
1988-08-01,122.80
1988-09-01,123.80
1988-10-01,124.40
1988-11-01,124.70
1988-12-01,124.80
1989-01-01,125.50
1989-02-01,126.00
1989-03-01,126.70
1989-04-01,127.10
1989-05-01,127.60
1989-06-01,127.70
1989-07-01,128.20
1989-08-01,128.50
1989-09-01,129.10
1989-10-01,129.90
1989-11-01,130.40
1989-12-01,130.60
1990-01-01,131.50
1990-02-01,132.30
1990-03-01,133.30
1990-04-01,133.50
1990-05-01,133.70
1990-06-01,134.20
1990-07-01,134.80
1990-08-01,135.60
1990-09-01,136.30
1990-10-01,136.90
1990-11-01,137.20
1990-12-01,137.40
1991-01-01,138.60
1991-02-01,139.30
1991-03-01,139.80
1991-04-01,140.20
1991-05-01,140.30
1991-06-01,140.50
1991-07-01,140.90
1991-08-01,141.30
1991-09-01,141.90
1991-10-01,142.30
1991-11-01,142.70
1991-12-01,142.80
1992-01-01,143.30
1992-02-01,144.00
1992-03-01,144.70
1992-04-01,144.90
1992-05-01,144.90
1992-06-01,145.00
1992-07-01,145.30
1992-08-01,145.80
1992-09-01,146.20
1992-10-01,146.90
1992-11-01,147.10
1992-12-01,147.10
1993-01-01,147.90
1993-02-01,148.70
1993-03-01,149.10
1993-04-01,149.50
1993-05-01,149.60
1993-06-01,149.60
1993-07-01,149.70
1993-08-01,150.30
1993-09-01,150.60
1993-10-01,151.20
1993-11-01,151.50
1993-12-01,151.70
1994-01-01,152.20
1994-02-01,152.60
1994-03-01,153.30
1994-04-01,153.40
1994-05-01,153.50
1994-06-01,153.70
1994-07-01,154.00
1994-08-01,154.60
1994-09-01,155.00
1994-10-01,155.50
1994-11-01,155.70
1994-12-01,155.70
1995-01-01,156.50
1995-02-01,157.20
1995-03-01,157.80
1995-04-01,158.30
1995-05-01,158.30
1995-06-01,158.30
1995-07-01,158.50
1995-08-01,159.00
1995-09-01,159.50
1995-10-01,160.20
1995-11-01,160.30
1995-12-01,160.20
1996-01-01,161.00
1996-02-01,161.60
1996-03-01,162.30
1996-04-01,162.50
1996-05-01,162.50
1996-06-01,162.70
1996-07-01,163.10
1996-08-01,163.40
1996-09-01,164.00
1996-10-01,164.70
1996-11-01,164.90
1996-12-01,164.80
1997-01-01,165.30
1997-02-01,165.90
1997-03-01,166.50
1997-04-01,166.80
1997-05-01,166.80
1997-06-01,166.70
1997-07-01,167.00
1997-08-01,167.30
1997-09-01,167.60
1997-10-01,168.30
1997-11-01,168.30
1997-12-01,168.30
1998-01-01,169.00
1998-02-01,169.60
1998-03-01,170.10
1998-04-01,170.40
1998-05-01,170.50
1998-06-01,170.50
1998-07-01,170.80
1998-08-01,171.20
1998-09-01,171.60
1998-10-01,172.20
1998-11-01,172.30
1998-12-01,172.30
1999-01-01,172.90
1999-02-01,173.20
1999-03-01,173.70
1999-04-01,174.20
1999-05-01,174.10
1999-06-01,174.00
1999-07-01,174.30
1999-08-01,174.50
1999-09-01,175.10
1999-10-01,175.70
1999-11-01,175.80
1999-12-01,175.70
2000-01-01,176.30
2000-02-01,176.90
2000-03-01,177.80
2000-04-01,178.10
2000-05-01,178.20
2000-06-01,178.30
2000-07-01,178.70
2000-08-01,179.10
2000-09-01,179.60
2000-10-01,180.10
2000-11-01,180.30
2000-12-01,180.20
2001-01-01,181.00
2001-02-01,181.80
2001-03-01,182.60
2001-04-01,182.90
2001-05-01,182.90
2001-06-01,183.30
2001-07-01,183.60
2001-08-01,184.10
2001-09-01,184.50
2001-10-01,185.10
2001-11-01,185.40
2001-12-01,185.20
2002-01-01,185.70
2002-02-01,186.50
2002-03-01,187.10
2002-04-01,187.50
2002-05-01,187.40
2002-06-01,187.30
2002-07-01,187.50
2002-08-01,188.10
2002-09-01,188.40
2002-10-01,188.80
2002-11-01,188.90
2002-12-01,188.60
2003-01-01,189.00
2003-02-01,189.70
2003-03-01,190.20
2003-04-01,190.20
2003-05-01,190.30
2003-06-01,190.30
2003-07-01,190.50
2003-08-01,190.80
2003-09-01,191.00
2003-10-01,191.70
2003-11-01,191.60
2003-12-01,191.50
2004-01-01,191.90
2004-02-01,192.70
2004-03-01,193.70
2004-04-01,194.10
2004-05-01,194.30
2004-06-01,194.40
2004-07-01,194.50
2004-08-01,194.70
2004-09-01,195.20
2004-10-01,196.00
2004-11-01,196.00
2004-12-01,195.80
2005-01-01,196.40
2005-02-01,197.30
2005-03-01,198.30
2005-04-01,198.60
2005-05-01,198.60
2005-06-01,198.50
2005-07-01,198.70
2005-08-01,198.90
2005-09-01,199.20
2005-10-01,200.10
2005-11-01,200.20
2005-12-01,200.10
2006-01-01,200.80
2006-02-01,201.60
2006-03-01,202.60
2006-04-01,203.00
2006-05-01,203.30
2006-06-01,203.60
2006-07-01,203.90
2006-08-01,204.40
2006-09-01,204.90
2006-10-01,205.60
2006-11-01,205.30
2006-12-01,205.10
2007-01-01,205.99
2007-02-01,207.11
2007-03-01,207.85
2007-04-01,208.24
2007-05-01,208.40
2007-06-01,208.64
2007-07-01,208.98
2007-08-01,209.40
2007-09-01,210.00
2007-10-01,210.71
2007-11-01,210.89
2007-12-01,210.89
2008-01-01,211.85
2008-02-01,212.55
2008-03-01,213.42
2008-04-01,213.85
2008-05-01,214.10
2008-06-01,214.60
2008-07-01,215.34
2008-08-01,215.87
2008-09-01,216.40
2008-10-01,216.70
2008-11-01,216.42
2008-12-01,215.93
2009-01-01,216.59
2009-02-01,217.33
2009-03-01,218.03
2009-04-01,218.39
2009-05-01,218.32
2009-06-01,218.44
2009-07-01,218.42
2009-08-01,218.64
2009-09-01,219.08
2009-10-01,219.62
2009-11-01,219.29
2009-12-01,219.05
2010-01-01,219.29
2010-02-01,219.71
2010-03-01,220.13
2010-04-01,220.25
2010-05-01,220.30
2010-06-01,220.34
2010-07-01,220.32
2010-08-01,220.62
2010-09-01,221.03
2010-10-01,221.24
2010-11-01,221.24
2010-12-01,221.05
2011-01-01,221.67
2011-02-01,222.51
2011-03-01,223.32
2011-04-01,223.80
2011-05-01,224.28
2011-06-01,224.64
2011-07-01,225.01
2011-08-01,225.80
2011-09-01,226.30
2011-10-01,226.75
2011-11-01,226.82
2011-12-01,226.80
2012-01-01,227.42
2012-02-01,227.93
2012-03-01,228.71
2012-04-01,229.25
2012-05-01,229.52
2012-06-01,229.79
2012-07-01,229.81
2012-08-01,230.15
2012-09-01,230.66
2012-10-01,231.17
2012-11-01,231.16
2012-12-01,231.04
2013-01-01,231.68
2013-02-01,232.36
2013-03-01,232.89
2013-04-01,233.12
2013-05-01,233.26
2013-06-01,233.46
2013-07-01,233.62
2013-08-01,234.07
2013-09-01,234.53
2013-10-01,234.91
2013-11-01,234.94
2013-12-01,234.77
2014-01-01,235.23
2014-02-01,235.94
2014-03-01,236.77
2014-04-01,237.41
2014-05-01,238.01
2014-06-01,238.11
2014-07-01,238.20
2014-08-01,238.45
2014-09-01,239.04
2014-10-01,239.60
2014-11-01,239.47
2014-12-01,239.19
2015-01-01,239.67
2015-02-01,240.40
2015-03-01,241.14
2015-04-01,241.77
2015-05-01,242.05
2015-06-01,242.32
2015-07-01,242.44
2015-08-01,242.72
2015-09-01,243.47
2015-10-01,244.06
2015-11-01,244.02
2015-12-01,243.71
2016-01-01,244.46
2016-02-01,245.46
2016-03-01,245.91
2016-04-01,246.52
2016-05-01,246.90
2016-06-01,247.06
2016-07-01,247.03
2016-08-01,247.51
2016-09-01,247.92
2016-10-01,248.36
2016-11-01,248.27
2016-12-01,248.17
2017-01-01,249.12
2017-02-01,250.10
2017-03-01,250.28
2017-04-01,250.66
2017-05-01,250.87
2017-06-01,250.97
2017-07-01,250.98
2017-08-01,251.47
2017-09-01,251.95
2017-10-01,252.60
2017-11-01,252.40
2017-12-01,252.51
2018-01-01,253.59
2018-02-01,254.56
2018-03-01,255.28
2018-04-01,255.75
2018-05-01,256.11
