Date,CNP16OV
1960-10-01,117643000.00
1960-11-01,117829000.00
1960-12-01,118001000.00
1961-01-01,118155000.00
1961-02-01,118250000.00
1961-03-01,118358000.00
1961-04-01,118503000.00
1961-05-01,118638000.00
1961-06-01,118767000.00
1961-07-01,118889000.00
1961-08-01,119006000.00
1961-09-01,119107000.00
1961-10-01,119202000.00
1961-11-01,119153000.00
1961-12-01,119214000.00
1962-01-01,119300000.00
1962-02-01,119360000.00
1962-03-01,119476000.00
1962-04-01,119702000.00
1962-05-01,119813000.00
1962-06-01,119943000.00
1962-07-01,120128000.00
1962-08-01,120323000.00
1962-09-01,120653000.00
1962-10-01,120856000.00
1962-11-01,121045000.00
1962-12-01,121236000.00
1963-01-01,121463000.00
1963-02-01,121633000.00
1963-03-01,121824000.00
1963-04-01,121986000.00
1963-05-01,122162000.00
1963-06-01,122352000.00
1963-07-01,122521000.00
1963-08-01,122667000.00
1963-09-01,122821000.00
1963-10-01,123014000.00
1963-11-01,123192000.00
1963-12-01,123360000.00
1964-01-01,123560000.00
1964-02-01,123707000.00
1964-03-01,123857000.00
1964-04-01,124019000.00
1964-05-01,124204000.00
1964-06-01,124386000.00
1964-07-01,124567000.00
1964-08-01,124731000.00
1964-09-01,124920000.00
1964-10-01,125108000.00
1964-11-01,125291000.00
1964-12-01,125468000.00
1965-01-01,125647000.00
1965-02-01,125810000.00
1965-03-01,125985000.00
1965-04-01,126155000.00
1965-05-01,126320000.00
1965-06-01,126499000.00
1965-07-01,126573000.00
1965-08-01,126756000.00
1965-09-01,126906000.00
1965-10-01,127043000.00
1965-11-01,127171000.00
1965-12-01,127294000.00
1966-01-01,127394000.00
1966-02-01,127514000.00
1966-03-01,127626000.00
1966-04-01,127744000.00
1966-05-01,127879000.00
1966-06-01,127983000.00
1966-07-01,128102000.00
1966-08-01,128240000.00
1966-09-01,128359000.00
1966-10-01,128494000.00
1966-11-01,128627000.00
1966-12-01,128730000.00
1967-01-01,128909000.00
1967-02-01,129032000.00
1967-03-01,129190000.00
1967-04-01,129344000.00
1967-05-01,129515000.00
1967-06-01,129722000.00
1967-07-01,129918000.00
1967-08-01,130187000.00
1967-09-01,130392000.00
1967-10-01,130582000.00
1967-11-01,130754000.00
1967-12-01,130936000.00
1968-01-01,131112000.00
1968-02-01,131277000.00
1968-03-01,131412000.00
1968-04-01,131553000.00
1968-05-01,131712000.00
1968-06-01,131872000.00
1968-07-01,132053000.00
1968-08-01,132251000.00
1968-09-01,132446000.00
1968-10-01,132617000.00
1968-11-01,132903000.00
1968-12-01,133120000.00
1969-01-01,133324000.00
1969-02-01,133465000.00
1969-03-01,133639000.00
1969-04-01,133821000.00
1969-05-01,134027000.00
1969-06-01,134213000.00
1969-07-01,134414000.00
1969-08-01,134597000.00
1969-09-01,134774000.00
1969-10-01,135012000.00
1969-11-01,135239000.00
1969-12-01,135489000.00
1970-01-01,135713000.00
1970-02-01,135957000.00
1970-03-01,136179000.00
1970-04-01,136416000.00
1970-05-01,136686000.00
1970-06-01,136928000.00
1970-07-01,137196000.00
1970-08-01,137455000.00
1970-09-01,137717000.00
1970-10-01,137988000.00
1970-11-01,138264000.00
1970-12-01,138529000.00
1971-01-01,138795000.00
1971-02-01,139021000.00
1971-03-01,139285000.00
1971-04-01,139566000.00
1971-05-01,139826000.00
1971-06-01,140090000.00
1971-07-01,140343000.00
1971-08-01,140596000.00
1971-09-01,140869000.00
1971-10-01,141146000.00
1971-11-01,141393000.00
1971-12-01,141666000.00
1972-01-01,142736000.00
1972-02-01,143017000.00
1972-03-01,143263000.00
1972-04-01,143483000.00
1972-05-01,143760000.00
1972-06-01,144033000.00
1972-07-01,144285000.00
1972-08-01,144522000.00
1972-09-01,144761000.00
1972-10-01,144988000.00
1972-11-01,145211000.00
1972-12-01,145446000.00
1973-01-01,145720000.00
1973-02-01,145943000.00
1973-03-01,146230000.00
1973-04-01,146459000.00
1973-05-01,146719000.00
1973-06-01,146981000.00
1973-07-01,147233000.00
1973-08-01,147471000.00
1973-09-01,147731000.00
1973-10-01,147980000.00
1973-11-01,148219000.00
1973-12-01,148479000.00
1974-01-01,148753000.00
1974-02-01,148982000.00
1974-03-01,149225000.00
1974-04-01,149478000.00
1974-05-01,149750000.00
1974-06-01,150012000.00
1974-07-01,150248000.00
1974-08-01,150493000.00
1974-09-01,150753000.00
1974-10-01,151009000.00
1974-11-01,151256000.00
1974-12-01,151494000.00
1975-01-01,151755000.00
1975-02-01,151990000.00
1975-03-01,152217000.00
1975-04-01,152443000.00
1975-05-01,152704000.00
1975-06-01,152976000.00
1975-07-01,153309000.00
1975-08-01,153580000.00
1975-09-01,153848000.00
1975-10-01,154082000.00
1975-11-01,154338000.00
1975-12-01,154589000.00
1976-01-01,154853000.00
1976-02-01,155066000.00
1976-03-01,155306000.00
1976-04-01,155529000.00
1976-05-01,155765000.00
1976-06-01,156027000.00
1976-07-01,156276000.00
1976-08-01,156525000.00
1976-09-01,156779000.00
1976-10-01,156993000.00
1976-11-01,157235000.00
1976-12-01,157438000.00
1977-01-01,157688000.00
1977-02-01,157913000.00
1977-03-01,158131000.00
1977-04-01,158371000.00
1977-05-01,158657000.00
1977-06-01,158929000.00
1977-07-01,159185000.00
1977-08-01,159430000.00
1977-09-01,159674000.00
1977-10-01,159915000.00
1977-11-01,160129000.00
1977-12-01,160377000.00
1978-01-01,160617000.00
1978-02-01,160831000.00
1978-03-01,161038000.00
1978-04-01,161263000.00
1978-05-01,161518000.00
1978-06-01,161795000.00
1978-07-01,162034000.00
1978-08-01,162259000.00
1978-09-01,162502000.00
1978-10-01,162783000.00
1978-11-01,163017000.00
1978-12-01,163272000.00
1979-01-01,163516000.00
1979-02-01,163726000.00
1979-03-01,164027000.00
1979-04-01,164162000.00
1979-05-01,164459000.00
1979-06-01,164721000.00
1979-07-01,164970000.00
1979-08-01,165198000.00
1979-09-01,165431000.00
1979-10-01,165813000.00
1979-11-01,166051000.00
1979-12-01,166300000.00
1980-01-01,166544000.00
1980-02-01,166759000.00
1980-03-01,166984000.00
1980-04-01,167197000.00
1980-05-01,167407000.00
1980-06-01,167643000.00
1980-07-01,167932000.00
1980-08-01,168103000.00
1980-09-01,168297000.00
1980-10-01,168503000.00
1980-11-01,168695000.00
1980-12-01,168883000.00
1981-01-01,169104000.00
1981-02-01,169280000.00
1981-03-01,169453000.00
1981-04-01,169641000.00
1981-05-01,169829000.00
1981-06-01,170042000.00
1981-07-01,170246000.00
1981-08-01,170399000.00
1981-09-01,170593000.00
1981-10-01,170809000.00
1981-11-01,170996000.00
1981-12-01,171166000.00
1982-01-01,171335000.00
1982-02-01,171489000.00
1982-03-01,171667000.00
1982-04-01,171844000.00
1982-05-01,172026000.00
1982-06-01,172190000.00
1982-07-01,172364000.00
1982-08-01,172511000.00
1982-09-01,172690000.00
1982-10-01,172881000.00
1982-11-01,173058000.00
1982-12-01,173199000.00
1983-01-01,173354000.00
1983-02-01,173505000.00
1983-03-01,173656000.00
1983-04-01,173794000.00
1983-05-01,173953000.00
1983-06-01,174125000.00
1983-07-01,174306000.00
1983-08-01,174440000.00
1983-09-01,174602000.00
1983-10-01,174779000.00
1983-11-01,174951000.00
1983-12-01,175121000.00
1984-01-01,175533000.00
1984-02-01,175679000.00
1984-03-01,175824000.00
1984-04-01,175969000.00
1984-05-01,176123000.00
1984-06-01,176284000.00
1984-07-01,176440000.00
1984-08-01,176583000.00
1984-09-01,176763000.00
1984-10-01,176956000.00
1984-11-01,177135000.00
1984-12-01,177306000.00
1985-01-01,177384000.00
1985-02-01,177516000.00
1985-03-01,177667000.00
1985-04-01,177799000.00
1985-05-01,177944000.00
1985-06-01,178096000.00
1985-07-01,178263000.00
1985-08-01,178405000.00
1985-09-01,178572000.00
1985-10-01,178770000.00
1985-11-01,178940000.00
1985-12-01,179112000.00
1986-01-01,179670000.00
1986-02-01,179821000.00
1986-03-01,179985000.00
1986-04-01,180148000.00
1986-05-01,180311000.00
1986-06-01,180503000.00
1986-07-01,180682000.00
1986-08-01,180828000.00
1986-09-01,180997000.00
1986-10-01,181186000.00
1986-11-01,181363000.00
1986-12-01,181547000.00
1987-01-01,181827000.00
1987-02-01,181998000.00
1987-03-01,182179000.00
1987-04-01,182344000.00
1987-05-01,182533000.00
1987-06-01,182703000.00
1987-07-01,182885000.00
1987-08-01,183002000.00
1987-09-01,183161000.00
1987-10-01,183311000.00
1987-11-01,183470000.00
1987-12-01,183620000.00
1988-01-01,183822000.00
1988-02-01,183969000.00
1988-03-01,184111000.00
1988-04-01,184232000.00
1988-05-01,184374000.00
1988-06-01,184562000.00
1988-07-01,184729000.00
1988-08-01,184830000.00
1988-09-01,184962000.00
1988-10-01,185114000.00
1988-11-01,185244000.00
1988-12-01,185402000.00
1989-01-01,185644000.00
1989-02-01,185777000.00
1989-03-01,185897000.00
1989-04-01,186024000.00
1989-05-01,186181000.00
1989-06-01,186329000.00
1989-07-01,186483000.00
1989-08-01,186598000.00
1989-09-01,186726000.00
1989-10-01,186871000.00
1989-11-01,187017000.00
1989-12-01,187165000.00
1990-01-01,188413000.00
1990-02-01,188516000.00
1990-03-01,188630000.00
1990-04-01,188778000.00
1990-05-01,188913000.00
1990-06-01,189058000.00
1990-07-01,189188000.00
1990-08-01,189342000.00
1990-09-01,189528000.00
1990-10-01,189710000.00
1990-11-01,189872000.00
1990-12-01,190017000.00
1991-01-01,190163000.00
1991-02-01,190271000.00
1991-03-01,190381000.00
1991-04-01,190517000.00
1991-05-01,190650000.00
1991-06-01,190800000.00
1991-07-01,190946000.00
1991-08-01,191116000.00
1991-09-01,191302000.00
1991-10-01,191497000.00
1991-11-01,191657000.00
1991-12-01,191798000.00
1992-01-01,191953000.00
1992-02-01,192067000.00
1992-03-01,192204000.00
1992-04-01,192354000.00
1992-05-01,192503000.00
1992-06-01,192663000.00
1992-07-01,192826000.00
1992-08-01,193018000.00
1992-09-01,193229000.00
1992-10-01,193442000.00
1992-11-01,193621000.00
1992-12-01,193784000.00
1993-01-01,193962000.00
1993-02-01,194108000.00
1993-03-01,194248000.00
1993-04-01,194398000.00
1993-05-01,194549000.00
1993-06-01,194719000.00
1993-07-01,194882000.00
1993-08-01,195063000.00
1993-09-01,195259000.00
1993-10-01,195444000.00
1993-11-01,195625000.00
1993-12-01,195794000.00
1994-01-01,195953000.00
1994-02-01,196090000.00
1994-03-01,196213000.00
1994-04-01,196363000.00
1994-05-01,196510000.00
1994-06-01,196693000.00
1994-07-01,196859000.00
1994-08-01,197043000.00
1994-09-01,197248000.00
1994-10-01,197430000.00
1994-11-01,197607000.00
1994-12-01,197765000.00
1995-01-01,197753000.00
1995-02-01,197886000.00
1995-03-01,198007000.00
1995-04-01,198148000.00
1995-05-01,198286000.00
1995-06-01,198453000.00
1995-07-01,198615000.00
1995-08-01,198801000.00
1995-09-01,199005000.00
1995-10-01,199192000.00
1995-11-01,199355000.00
1995-12-01,199508000.00
1996-01-01,199634000.00
1996-02-01,199773000.00
1996-03-01,199921000.00
1996-04-01,200101000.00
1996-05-01,200278000.00
1996-06-01,200459000.00
1996-07-01,200641000.00
1996-08-01,200847000.00
1996-09-01,201061000.00
1996-10-01,201273000.00
1996-11-01,201463000.00
1996-12-01,201636000.00
1997-01-01,202285000.00
1997-02-01,202389000.00
1997-03-01,202513000.00
1997-04-01,202674000.00
1997-05-01,202832000.00
1997-06-01,203000000.00
1997-07-01,203166000.00
1997-08-01,203364000.00
1997-09-01,203570000.00
1997-10-01,203767000.00
1997-11-01,203941000.00
1997-12-01,204098000.00
1998-01-01,204238000.00
1998-02-01,204400000.00
1998-03-01,204547000.00
1998-04-01,204731000.00
1998-05-01,204899000.00
1998-06-01,205085000.00
1998-07-01,205270000.00
1998-08-01,205479000.00
1998-09-01,205699000.00
1998-10-01,205919000.00
1998-11-01,206104000.00
1998-12-01,206270000.00
1999-01-01,206719000.00
1999-02-01,206873000.00
1999-03-01,207036000.00
1999-04-01,207236000.00
1999-05-01,207427000.00
1999-06-01,207632000.00
1999-07-01,207828000.00
1999-08-01,208038000.00
1999-09-01,208265000.00
1999-10-01,208483000.00
1999-11-01,208666000.00
1999-12-01,208832000.00
2000-01-01,211410000.00
2000-02-01,211576000.00
2000-03-01,211772000.00
2000-04-01,212018000.00
2000-05-01,212242000.00
2000-06-01,212466000.00
2000-07-01,212677000.00
2000-08-01,212916000.00
2000-09-01,213163000.00
2000-10-01,213405000.00
2000-11-01,213540000.00
2000-12-01,213736000.00
2001-01-01,213888000.00
2001-02-01,214110000.00
2001-03-01,214305000.00
2001-04-01,214525000.00
2001-05-01,214732000.00
2001-06-01,214950000.00
2001-07-01,215180000.00
2001-08-01,215420000.00
2001-09-01,215665000.00
2001-10-01,215903000.00
2001-11-01,216117000.00
2001-12-01,216315000.00
2002-01-01,216506000.00
2002-02-01,216663000.00
2002-03-01,216823000.00
2002-04-01,217006000.00
2002-05-01,217198000.00
2002-06-01,217407000.00
2002-07-01,217630000.00
2002-08-01,217866000.00
2002-09-01,218107000.00
2002-10-01,218340000.00
2002-11-01,218548000.00
2002-12-01,218741000.00
2003-01-01,219897000.00
2003-02-01,220114000.00
2003-03-01,220317000.00
2003-04-01,220540000.00
2003-05-01,220768000.00
2003-06-01,221014000.00
2003-07-01,221252000.00
2003-08-01,221507000.00
2003-09-01,221779000.00
2003-10-01,222039000.00
2003-11-01,222279000.00
2003-12-01,222509000.00
2004-01-01,222161000.00
2004-02-01,222357000.00
2004-03-01,222550000.00
2004-04-01,222757000.00
2004-05-01,222967000.00
2004-06-01,223196000.00
2004-07-01,223422000.00
2004-08-01,223677000.00
2004-09-01,223941000.00
2004-10-01,224192000.00
2004-11-01,224422000.00
2004-12-01,224640000.00
2005-01-01,224837000.00
2005-02-01,225041000.00
2005-03-01,225236000.00
2005-04-01,225441000.00
2005-05-01,225670000.00
2005-06-01,225911000.00
2005-07-01,226153000.00
2005-08-01,226421000.00
2005-09-01,226693000.00
2005-10-01,226959000.00
2005-11-01,227204000.00
2005-12-01,227425000.00
2006-01-01,227553000.00
2006-02-01,227763000.00
2006-03-01,227975000.00
2006-04-01,228199000.00
2006-05-01,228428000.00
2006-06-01,228671000.00
2006-07-01,228912000.00
2006-08-01,229167000.00
2006-09-01,229420000.00
2006-10-01,229675000.00
2006-11-01,229905000.00
2006-12-01,230108000.00
2007-01-01,230650000.00
2007-02-01,230834000.00
2007-03-01,231034000.00
2007-04-01,231253000.00
2007-05-01,231480000.00
2007-06-01,231713000.00
2007-07-01,231958000.00
2007-08-01,232211000.00
2007-09-01,232461000.00
2007-10-01,232715000.00
2007-11-01,232939000.00
2007-12-01,233156000.00
2008-01-01,232616000.00
2008-02-01,232809000.00
2008-03-01,232995000.00
2008-04-01,233198000.00
2008-05-01,233405000.00
2008-06-01,233627000.00
2008-07-01,233864000.00
2008-08-01,234107000.00
2008-09-01,234360000.00
2008-10-01,234612000.00
2008-11-01,234828000.00
2008-12-01,235035000.00
2009-01-01,234739000.00
2009-02-01,234913000.00
2009-03-01,235086000.00
2009-04-01,235271000.00
2009-05-01,235452000.00
2009-06-01,235655000.00
2009-07-01,235870000.00
2009-08-01,236087000.00
2009-09-01,236322000.00
2009-10-01,236550000.00
2009-11-01,236743000.00
2009-12-01,236924000.00
2010-01-01,236832000.00
2010-02-01,236998000.00
2010-03-01,237159000.00
2010-04-01,237329000.00
2010-05-01,237499000.00
2010-06-01,237690000.00
2010-07-01,237890000.00
2010-08-01,238099000.00
2010-09-01,238322000.00
2010-10-01,238530000.00
2010-11-01,238715000.00
2010-12-01,238889000.00
2011-01-01,238704000.00
2011-02-01,238851000.00
2011-03-01,239000000.00
2011-04-01,239146000.00
2011-05-01,239313000.00
2011-06-01,239489000.00
2011-07-01,239671000.00
2011-08-01,239871000.00
2011-09-01,240071000.00
2011-10-01,240269000.00
2011-11-01,240441000.00
2011-12-01,240584000.00
2012-01-01,242269000.00
2012-02-01,242435000.00
2012-03-01,242604000.00
2012-04-01,242784000.00
2012-05-01,242966000.00
2012-06-01,243155000.00
2012-07-01,243354000.00
2012-08-01,243566000.00
2012-09-01,243772000.00
2012-10-01,243983000.00
2012-11-01,244174000.00
2012-12-01,244350000.00
2013-01-01,244663000.00
2013-02-01,244828000.00
2013-03-01,244995000.00
2013-04-01,245175000.00
2013-05-01,245363000.00
2013-06-01,245552000.00
2013-07-01,245756000.00
2013-08-01,245959000.00
2013-09-01,246168000.00
2013-10-01,246381000.00
2013-11-01,246567000.00
2013-12-01,246745000.00
2014-01-01,246915000.00
2014-02-01,247085000.00
2014-03-01,247258000.00
2014-04-01,247439000.00
2014-05-01,247622000.00
2014-06-01,247814000.00
2014-07-01,248023000.00
2014-08-01,248229000.00
2014-09-01,248446000.00
2014-10-01,248657000.00
2014-11-01,248844000.00
2014-12-01,249027000.00
2015-01-01,249723000.00
2015-02-01,249899000.00
2015-03-01,250080000.00
2015-04-01,250266000.00
2015-05-01,250455000.00
2015-06-01,250663000.00
2015-07-01,250876000.00
2015-08-01,251096000.00
2015-09-01,251325000.00
2015-10-01,251541000.00
2015-11-01,251747000.00
2015-12-01,251936000.00
2016-01-01,252397000.00
2016-02-01,252577000.00
2016-03-01,252768000.00
2016-04-01,252969000.00
2016-05-01,253174000.00
2016-06-01,253397000.00
2016-07-01,253620000.00
2016-08-01,253854000.00
2016-09-01,254091000.00
2016-10-01,254321000.00
2016-11-01,254540000.00
2016-12-01,254742000.00
2017-01-01,254082000.00
2017-02-01,254246000.00
2017-03-01,254414000.00
2017-04-01,254588000.00
2017-05-01,254767000.00
2017-06-01,254957000.00
2017-07-01,255151000.00
2017-08-01,255357000.00
2017-09-01,255562000.00
2017-10-01,255766000.00
2017-11-01,255949000.00
2017-12-01,256109000.00
2018-01-01,256780000.00
2018-02-01,256934000.00
2018-03-01,257097000.00
2018-04-01,257272000.00
2018-05-01,257454000.00
