Date,UCMSNO
2006-02-01,42714000000.00
2006-03-01,49639000000.00
2006-04-01,45294000000.00
2006-05-01,50202000000.00
2006-06-01,49649000000.00
2006-07-01,44531000000.00
2006-08-01,48919000000.00
2006-09-01,47386000000.00
2006-10-01,46722000000.00
2006-11-01,42018000000.00
2006-12-01,41202000000.00
2007-01-01,41279000000.00
2007-02-01,41953000000.00
2007-03-01,48804000000.00
2007-04-01,47435000000.00
2007-05-01,51898000000.00
2007-06-01,51227000000.00
2007-07-01,47054000000.00
2007-08-01,51311000000.00
2007-09-01,48699000000.00
2007-10-01,49618000000.00
2007-11-01,44502000000.00
2007-12-01,40937000000.00
2008-01-01,42609000000.00
2008-02-01,43589000000.00
2008-03-01,47902000000.00
2008-04-01,48578000000.00
2008-05-01,49572000000.00
2008-06-01,51223000000.00
2008-07-01,48245000000.00
2008-08-01,48491000000.00
2008-09-01,46940000000.00
2008-10-01,46091000000.00
2008-11-01,36120000000.00
2008-12-01,33858000000.00
2009-01-01,29716000000.00
2009-02-01,31153000000.00
2009-03-01,34725000000.00
2009-04-01,34229000000.00
2009-05-01,35152000000.00
2009-06-01,36552000000.00
2009-07-01,35947000000.00
2009-08-01,36739000000.00
2009-09-01,37585000000.00
2009-10-01,37627000000.00
2009-11-01,32923000000.00
2009-12-01,31149000000.00
2010-01-01,30553000000.00
2010-02-01,32204000000.00
2010-03-01,38684000000.00
2010-04-01,39405000000.00
2010-05-01,39708000000.00
2010-06-01,42004000000.00
2010-07-01,38868000000.00
2010-08-01,40891000000.00
2010-09-01,40218000000.00
2010-10-01,38200000000.00
2010-11-01,35895000000.00
2010-12-01,34291000000.00
2011-01-01,33426000000.00
2011-02-01,34086000000.00
2011-03-01,40605000000.00
2011-04-01,39160000000.00
2011-05-01,41210000000.00
2011-06-01,43395000000.00
2011-07-01,40128000000.00
2011-08-01,42892000000.00
2011-09-01,41931000000.00
2011-10-01,40927000000.00
2011-11-01,37935000000.00
2011-12-01,35589000000.00
2012-01-01,36776000000.00
2012-02-01,38688000000.00
2012-03-01,43064000000.00
2012-04-01,42908000000.00
2012-05-01,46014000000.00
2012-06-01,45571000000.00
2012-07-01,43644000000.00
2012-08-01,44468000000.00
2012-09-01,42398000000.00
2012-10-01,44736000000.00
2012-11-01,39099000000.00
2012-12-01,33251000000.00
2013-01-01,38178000000.00
2013-02-01,39303000000.00
2013-03-01,42597000000.00
2013-04-01,44797000000.00
2013-05-01,47773000000.00
2013-06-01,46037000000.00
2013-07-01,45941000000.00
2013-08-01,47370000000.00
2013-09-01,45858000000.00
2013-10-01,47465000000.00
2013-11-01,41008000000.00
2013-12-01,38163000000.00
2014-01-01,39321000000.00
2014-02-01,39395000000.00
2014-03-01,44733000000.00
2014-04-01,46844000000.00
2014-05-01,49088000000.00
2014-06-01,49666000000.00
2014-07-01,48320000000.00
2014-08-01,48900000000.00
2014-09-01,48552000000.00
2014-10-01,50116000000.00
2014-11-01,41523000000.00
2014-12-01,40427000000.00
2015-01-01,40974000000.00
2015-02-01,41091000000.00
2015-03-01,46863000000.00
2015-04-01,47992000000.00
2015-05-01,47927000000.00
2015-06-01,50993000000.00
2015-07-01,49206000000.00
2015-08-01,48746000000.00
2015-09-01,48735000000.00
2015-10-01,48446000000.00
2015-11-01,42320000000.00
2015-12-01,41073000000.00
2016-01-01,40348000000.00
2016-02-01,43275000000.00
2016-03-01,47857000000.00
2016-04-01,47572000000.00
2016-05-01,49157000000.00
2016-06-01,50716000000.00
2016-07-01,46383000000.00
2016-08-01,49839000000.00
2016-09-01,47604000000.00
2016-10-01,48034000000.00
2016-11-01,43921000000.00
2016-12-01,40806000000.00
2017-01-01,42195000000.00
2017-02-01,42608000000.00
2017-03-01,51197000000.00
2017-04-01,48633000000.00
2017-05-01,52723000000.00
2017-06-01,53291000000.00
2017-07-01,48919000000.00
2017-08-01,53037000000.00
2017-09-01,50803000000.00
2017-10-01,51752000000.00
2017-11-01,47545000000.00
2017-12-01,43555000000.00
2018-01-01,45422000000.00
2018-02-01,45865000000.00
2018-03-01,52498000000.00
2018-04-01,53049000000.00
