Date,UTCGTI
1999-04-01,146184000000.00
1999-05-01,147192000000.00
1999-06-01,144202000000.00
1999-07-01,147184000000.00
1999-08-01,147445000000.00
1999-09-01,146389000000.00
1999-10-01,147076000000.00
1999-11-01,148614000000.00
1999-12-01,141407000000.00
2000-01-01,143478000000.00
2000-02-01,147062000000.00
2000-03-01,144421000000.00
2000-04-01,146221000000.00
2000-05-01,146774000000.00
2000-06-01,144749000000.00
2000-07-01,147513000000.00
2000-08-01,149716000000.00
2000-09-01,146618000000.00
2000-10-01,149314000000.00
2000-11-01,151866000000.00
2000-12-01,144315000000.00
2001-01-01,148655000000.00
2001-02-01,150235000000.00
2001-03-01,145052000000.00
2001-04-01,146479000000.00
2001-05-01,146018000000.00
2001-06-01,140766000000.00
2001-07-01,140834000000.00
2001-08-01,141013000000.00
2001-09-01,135510000000.00
2001-10-01,135234000000.00
2001-11-01,134204000000.00
2001-12-01,124585000000.00
2002-01-01,127453000000.00
2002-02-01,128806000000.00
2002-03-01,124211000000.00
2002-04-01,125224000000.00
2002-05-01,125131000000.00
2002-06-01,122378000000.00
2002-07-01,123516000000.00
2002-08-01,124649000000.00
2002-09-01,121321000000.00
2002-10-01,122095000000.00
2002-11-01,122428000000.00
2002-12-01,118668000000.00
2003-01-01,120697000000.00
2003-02-01,121666000000.00
2003-03-01,118516000000.00
2003-04-01,119232000000.00
2003-05-01,119667000000.00
2003-06-01,116165000000.00
2003-07-01,116142000000.00
2003-08-01,116682000000.00
2003-09-01,114272000000.00
2003-10-01,115944000000.00
2003-11-01,115691000000.00
2003-12-01,111580000000.00
2004-01-01,113219000000.00
2004-02-01,114976000000.00
2004-03-01,112594000000.00
2004-04-01,113977000000.00
2004-05-01,115217000000.00
2004-06-01,114044000000.00
2004-07-01,116211000000.00
2004-08-01,117474000000.00
2004-09-01,115178000000.00
2004-10-01,116668000000.00
2004-11-01,119209000000.00
2004-12-01,114392000000.00
2005-01-01,118409000000.00
2005-02-01,121352000000.00
2005-03-01,119637000000.00
2005-04-01,120623000000.00
2005-05-01,122238000000.00
2005-06-01,119630000000.00
2005-07-01,123765000000.00
2005-08-01,125196000000.00
2005-09-01,124422000000.00
2005-10-01,126282000000.00
2005-11-01,128255000000.00
2005-12-01,123736000000.00
2006-01-01,127584000000.00
2006-02-01,129613000000.00
2006-03-01,128540000000.00
2006-04-01,131317000000.00
2006-05-01,132236000000.00
2006-06-01,131038000000.00
2006-07-01,134834000000.00
2006-08-01,135759000000.00
2006-09-01,136030000000.00
2006-10-01,139011000000.00
2006-11-01,140009000000.00
2006-12-01,135742000000.00
2007-01-01,140085000000.00
2007-02-01,142611000000.00
2007-03-01,140867000000.00
2007-04-01,142769000000.00
2007-05-01,144993000000.00
2007-06-01,142394000000.00
2007-07-01,144180000000.00
2007-08-01,145774000000.00
2007-09-01,144962000000.00
2007-10-01,147714000000.00
2007-11-01,150439000000.00
2007-12-01,146208000000.00
2008-01-01,150506000000.00
2008-02-01,152330000000.00
2008-03-01,151702000000.00
2008-04-01,152876000000.00
2008-05-01,152899000000.00
2008-06-01,149209000000.00
2008-07-01,151718000000.00
2008-08-01,152335000000.00
2008-09-01,148743000000.00
2008-10-01,150384000000.00
2008-11-01,151597000000.00
2008-12-01,146781000000.00
2009-01-01,151017000000.00
2009-02-01,152784000000.00
2009-03-01,149264000000.00
2009-04-01,150596000000.00
2009-05-01,150441000000.00
2009-06-01,146447000000.00
2009-07-01,147216000000.00
2009-08-01,146280000000.00
2009-09-01,142845000000.00
2009-10-01,145642000000.00
2009-11-01,147966000000.00
2009-12-01,141664000000.00
2010-01-01,146342000000.00
2010-02-01,148790000000.00
2010-03-01,146667000000.00
2010-04-01,148690000000.00
2010-05-01,150465000000.00
2010-06-01,150081000000.00
2010-07-01,152513000000.00
2010-08-01,154253000000.00
2010-09-01,153952000000.00
2010-10-01,157332000000.00
2010-11-01,160251000000.00
2010-12-01,155265000000.00
2011-01-01,161189000000.00
2011-02-01,164312000000.00
2011-03-01,166222000000.00
2011-04-01,169249000000.00
2011-05-01,172495000000.00
2011-06-01,170461000000.00
2011-07-01,173579000000.00
2011-08-01,175516000000.00
2011-09-01,171481000000.00
2011-10-01,174409000000.00
2011-11-01,176392000000.00
2011-12-01,168963000000.00
2012-01-01,175022000000.00
2012-02-01,177917000000.00
2012-03-01,177290000000.00
2012-04-01,180102000000.00
2012-05-01,182321000000.00
2012-06-01,179816000000.00
2012-07-01,183643000000.00
2012-08-01,186158000000.00
2012-09-01,182897000000.00
2012-10-01,185042000000.00
2012-11-01,186875000000.00
2012-12-01,178151000000.00
2013-01-01,184505000000.00
2013-02-01,187439000000.00
2013-03-01,184644000000.00
2013-04-01,187558000000.00
2013-05-01,187371000000.00
2013-06-01,184291000000.00
2013-07-01,186232000000.00
2013-08-01,186189000000.00
2013-09-01,183862000000.00
2013-10-01,185752000000.00
2013-11-01,186173000000.00
2013-12-01,179278000000.00
2014-01-01,184141000000.00
2014-02-01,188489000000.00
2014-03-01,186819000000.00
2014-04-01,189670000000.00
2014-05-01,193278000000.00
2014-06-01,190092000000.00
2014-07-01,193893000000.00
2014-08-01,194901000000.00
2014-09-01,192156000000.00
2014-10-01,192935000000.00
2014-11-01,194485000000.00
2014-12-01,185964000000.00
2015-01-01,192173000000.00
2015-02-01,195321000000.00
2015-03-01,193196000000.00
2015-04-01,197155000000.00
2015-05-01,198410000000.00
2015-06-01,197675000000.00
2015-07-01,201216000000.00
2015-08-01,201917000000.00
2015-09-01,197867000000.00
2015-10-01,198629000000.00
2015-11-01,198902000000.00
2015-12-01,192159000000.00
2016-01-01,196571000000.00
2016-02-01,197672000000.00
2016-03-01,194719000000.00
2016-04-01,196404000000.00
2016-05-01,196318000000.00
2016-06-01,190604000000.00
2016-07-01,193435000000.00
2016-08-01,193483000000.00
2016-09-01,190112000000.00
2016-10-01,190649000000.00
2016-11-01,191372000000.00
2016-12-01,183939000000.00
2017-01-01,188449000000.00
2017-02-01,191527000000.00
2017-03-01,190630000000.00
2017-04-01,191948000000.00
2017-05-01,193492000000.00
2017-06-01,191210000000.00
2017-07-01,193949000000.00
2017-08-01,195500000000.00
2017-09-01,194019000000.00
2017-10-01,195810000000.00
2017-11-01,196625000000.00
2017-12-01,190108000000.00
2018-01-01,195508000000.00
2018-02-01,199770000000.00
2018-03-01,197538000000.00
2018-04-01,199643000000.00
2018-05-01,201291000000.00
