Date,U33HUO
2007-01-01,4300000000.00
2007-02-01,4668000000.00
2007-03-01,4574000000.00
2007-04-01,4506000000.00
2007-05-01,4584000000.00
2007-06-01,4484000000.00
2007-07-01,4626000000.00
2007-08-01,4831000000.00
2007-09-01,5254000000.00
2007-10-01,5337000000.00
2007-11-01,5542000000.00
2007-12-01,5825000000.00
2008-01-01,6346000000.00
2008-02-01,5758000000.00
2008-03-01,5460000000.00
2008-04-01,5898000000.00
2008-05-01,6090000000.00
2008-06-01,6276000000.00
2008-07-01,6830000000.00
2008-08-01,7009000000.00
2008-09-01,6891000000.00
2008-10-01,6939000000.00
2008-11-01,6804000000.00
2008-12-01,6318000000.00
2009-01-01,6111000000.00
2009-02-01,5882000000.00
2009-03-01,5803000000.00
2009-04-01,5819000000.00
2009-05-01,5719000000.00
2009-06-01,5554000000.00
2009-07-01,5357000000.00
2009-08-01,5179000000.00
2009-09-01,5189000000.00
2009-10-01,5006000000.00
2009-11-01,4784000000.00
2009-12-01,4569000000.00
2010-01-01,4490000000.00
2010-02-01,4512000000.00
2010-03-01,4711000000.00
2010-04-01,4769000000.00
2010-05-01,4782000000.00
2010-06-01,4905000000.00
2010-07-01,4982000000.00
2010-08-01,5053000000.00
2010-09-01,5097000000.00
2010-10-01,5136000000.00
2010-11-01,5069000000.00
2010-12-01,5122000000.00
2011-01-01,5504000000.00
2011-02-01,5560000000.00
2011-03-01,5776000000.00
2011-04-01,6131000000.00
2011-05-01,6300000000.00
2011-06-01,6264000000.00
2011-07-01,6259000000.00
2011-08-01,6105000000.00
2011-09-01,5739000000.00
2011-10-01,5726000000.00
2011-11-01,5640000000.00
2011-12-01,5653000000.00
2012-01-01,5663000000.00
2012-02-01,6113000000.00
2012-03-01,6420000000.00
2012-04-01,6763000000.00
2012-05-01,7076000000.00
2012-06-01,7299000000.00
2012-07-01,7623000000.00
2012-08-01,6090000000.00
2012-09-01,5939000000.00
2012-10-01,6109000000.00
2012-11-01,6012000000.00
2012-12-01,5945000000.00
2013-01-01,5910000000.00
2013-02-01,6077000000.00
2013-03-01,5860000000.00
2013-04-01,5657000000.00
2013-05-01,5802000000.00
2013-06-01,5613000000.00
2013-07-01,5426000000.00
2013-08-01,5204000000.00
2013-09-01,5371000000.00
2013-10-01,5383000000.00
2013-11-01,5375000000.00
2013-12-01,5445000000.00
2014-01-01,5716000000.00
2014-02-01,6068000000.00
2014-03-01,5823000000.00
2014-04-01,6132000000.00
2014-05-01,6020000000.00
2014-06-01,5817000000.00
2014-07-01,5492000000.00
2014-08-01,5476000000.00
2014-09-01,5648000000.00
2014-10-01,5705000000.00
2014-11-01,5620000000.00
2014-12-01,5396000000.00
2015-01-01,5505000000.00
2015-02-01,5649000000.00
2015-03-01,5914000000.00
2015-04-01,5972000000.00
2015-05-01,5859000000.00
2015-06-01,5858000000.00
2015-07-01,5617000000.00
2015-08-01,5491000000.00
2015-09-01,5542000000.00
2015-10-01,5565000000.00
2015-11-01,5537000000.00
2015-12-01,5468000000.00
2016-01-01,5612000000.00
2016-02-01,5694000000.00
2016-03-01,5713000000.00
2016-04-01,5772000000.00
2016-05-01,5802000000.00
2016-06-01,5775000000.00
2016-07-01,5732000000.00
2016-08-01,5603000000.00
2016-09-01,5547000000.00
2016-10-01,5505000000.00
2016-11-01,5507000000.00
2016-12-01,5523000000.00
2017-01-01,5779000000.00
2017-02-01,5944000000.00
2017-03-01,6028000000.00
2017-04-01,6044000000.00
2017-05-01,6012000000.00
2017-06-01,5995000000.00
2017-07-01,5990000000.00
2017-08-01,5950000000.00
2017-09-01,5930000000.00
2017-10-01,5976000000.00
2017-11-01,6105000000.00
2017-12-01,6111000000.00
2018-01-01,6345000000.00
2018-02-01,6482000000.00
2018-03-01,6535000000.00
2018-04-01,6536000000.00
