Date,CPIHOSNS
1984-07-01,104.10
1984-08-01,104.50
1984-09-01,105.10
1984-10-01,105.10
1984-11-01,105.00
1984-12-01,105.10
1985-01-01,105.30
1985-02-01,105.80
1985-03-01,106.10
1985-04-01,106.50
1985-05-01,107.30
1985-06-01,107.90
1985-07-01,108.30
1985-08-01,108.70
1985-09-01,108.90
1985-10-01,109.10
1985-11-01,109.30
1985-12-01,109.60
1986-01-01,109.90
1986-02-01,109.80
1986-03-01,109.90
1986-04-01,110.20
1986-05-01,110.40
1986-06-01,111.20
1986-07-01,111.30
1986-08-01,111.60
1986-09-01,112.00
1986-10-01,111.80
1986-11-01,111.40
1986-12-01,111.50
1987-01-01,112.00
1987-02-01,112.40
1987-03-01,112.80
1987-04-01,113.20
1987-05-01,113.60
1987-06-01,114.30
1987-07-01,114.70
1987-08-01,115.40
1987-09-01,115.60
1987-10-01,115.50
1987-11-01,115.50
1987-12-01,115.60
1988-01-01,116.20
1988-02-01,116.60
1988-03-01,117.00
1988-04-01,117.30
1988-05-01,117.70
1988-06-01,118.60
1988-07-01,119.10
1988-08-01,119.50
1988-09-01,119.90
1988-10-01,119.90
1988-11-01,119.90
1988-12-01,120.20
1989-01-01,120.70
1989-02-01,121.10
1989-03-01,121.50
1989-04-01,121.60
1989-05-01,122.10
1989-06-01,122.90
1989-07-01,123.90
1989-08-01,124.20
1989-09-01,124.30
1989-10-01,124.40
1989-11-01,124.50
1989-12-01,124.90
1990-01-01,125.90
1990-02-01,126.10
1990-03-01,126.80
1990-04-01,126.80
1990-05-01,127.10
1990-06-01,128.30
1990-07-01,129.20
1990-08-01,130.20
1990-09-01,130.50
1990-10-01,130.60
1990-11-01,130.40
1990-12-01,130.50
1991-01-01,131.80
1991-02-01,132.40
1991-03-01,132.60
1991-04-01,132.50
1991-05-01,132.80
1991-06-01,133.40
1991-07-01,134.20
1991-08-01,134.50
1991-09-01,134.70
1991-10-01,134.70
1991-11-01,134.70
1991-12-01,135.00
1992-01-01,135.70
1992-02-01,136.10
1992-03-01,136.60
1992-04-01,136.50
1992-05-01,136.70
1992-06-01,137.70
1992-07-01,138.30
1992-08-01,138.60
1992-09-01,138.40
1992-10-01,138.50
1992-11-01,138.50
1992-12-01,138.50
1993-01-01,139.30
1993-02-01,139.70
1993-03-01,140.20
1993-04-01,140.40
1993-05-01,140.50
1993-06-01,141.50
1993-07-01,141.90
1993-08-01,142.30
1993-09-01,142.30
1993-10-01,142.20
1993-11-01,142.00
1993-12-01,142.30
1994-01-01,142.90
1994-02-01,143.70
1994-03-01,144.10
1994-04-01,143.90
1994-05-01,144.10
1994-06-01,144.90
1994-07-01,145.40
1994-08-01,145.90
1994-09-01,145.80
1994-10-01,145.70
1994-11-01,145.50
1994-12-01,145.40
1995-01-01,146.40
1995-02-01,147.00
1995-03-01,147.40
1995-04-01,147.40
1995-05-01,147.60
1995-06-01,148.50
1995-07-01,149.20
1995-08-01,149.60
1995-09-01,149.50
1995-10-01,149.70
1995-11-01,149.40
1995-12-01,149.70
1996-01-01,150.60
1996-02-01,151.20
1996-03-01,151.70
1996-04-01,151.80
1996-05-01,152.00
1996-06-01,152.70
1996-07-01,153.60
1996-08-01,154.00
1996-09-01,153.90
1996-10-01,154.00
1996-11-01,153.90
1996-12-01,154.00
1997-01-01,155.10
1997-02-01,155.80
1997-03-01,155.90
1997-04-01,155.80
1997-05-01,155.90
1997-06-01,156.90
1997-07-01,157.50
1997-08-01,157.60
1997-09-01,157.70
1997-10-01,157.70
1997-11-01,157.70
1997-12-01,157.70
1998-01-01,158.30
1998-02-01,158.80
1998-03-01,159.20
1998-04-01,159.50
1998-05-01,159.70
1998-06-01,160.60
1998-07-01,161.20
1998-08-01,161.50
1998-09-01,161.50
1998-10-01,161.40
1998-11-01,161.30
1998-12-01,161.30
1999-01-01,161.80
1999-02-01,162.30
1999-03-01,162.80
1999-04-01,163.00
1999-05-01,163.00
1999-06-01,164.10
1999-07-01,164.70
1999-08-01,165.00
1999-09-01,165.20
1999-10-01,165.00
1999-11-01,164.90
1999-12-01,164.80
2000-01-01,166.00
2000-02-01,167.10
2000-03-01,167.80
2000-04-01,167.90
2000-05-01,168.10
2000-06-01,169.60
2000-07-01,170.60
2000-08-01,170.90
2000-09-01,171.40
2000-10-01,171.70
2000-11-01,171.60
2000-12-01,171.90
2001-01-01,174.10
2001-02-01,174.70
2001-03-01,175.40
2001-04-01,175.40
2001-05-01,175.90
2001-06-01,177.30
2001-07-01,177.60
2001-08-01,178.00
2001-09-01,177.40
2001-10-01,176.70
2001-11-01,176.90
2001-12-01,176.90
2002-01-01,177.60
2002-02-01,178.50
2002-03-01,179.10
2002-04-01,179.50
2002-05-01,179.70
2002-06-01,180.70
2002-07-01,181.20
2002-08-01,181.70
2002-09-01,181.50
2002-10-01,181.40
2002-11-01,181.20
2002-12-01,181.10
2003-01-01,182.30
2003-02-01,183.20
2003-03-01,184.30
2003-04-01,184.10
2003-05-01,184.50
2003-06-01,185.30
2003-07-01,185.90
2003-08-01,186.10
2003-09-01,185.80
2003-10-01,185.70
2003-11-01,185.10
2003-12-01,185.10
2004-01-01,186.30
2004-02-01,187.00
2004-03-01,187.90
2004-04-01,188.40
2004-05-01,188.90
2004-06-01,190.30
2004-07-01,190.90
2004-08-01,191.20
2004-09-01,191.00
2004-10-01,191.00
2004-11-01,190.80
2004-12-01,190.70
2005-01-01,191.80
2005-02-01,192.70
2005-03-01,194.10
2005-04-01,194.40
2005-05-01,194.50
2005-06-01,195.50
2005-07-01,196.60
2005-08-01,196.90
2005-09-01,197.00
2005-10-01,198.40
2005-11-01,198.50
2005-12-01,198.30
2006-01-01,200.00
2006-02-01,200.50
2006-03-01,201.30
2006-04-01,201.70
2006-05-01,202.20
2006-06-01,203.70
2006-07-01,204.70
2006-08-01,205.10
2006-09-01,205.00
2006-10-01,204.40
2006-11-01,204.50
2006-12-01,204.80
2007-01-01,206.06
2007-02-01,207.18
2007-03-01,208.08
2007-04-01,208.54
2007-05-01,208.90
2007-06-01,210.65
2007-07-01,211.29
2007-08-01,211.10
2007-09-01,210.87
2007-10-01,210.70
2007-11-01,210.75
2007-12-01,210.93
2008-01-01,212.24
2008-02-01,213.03
2008-03-01,214.39
2008-04-01,214.89
2008-05-01,215.81
2008-06-01,217.94
2008-07-01,219.61
2008-08-01,219.15
2008-09-01,218.18
2008-10-01,217.38
2008-11-01,216.47
2008-12-01,216.07
2009-01-01,216.93
2009-02-01,217.18
2009-03-01,217.37
2009-04-01,217.13
2009-05-01,216.97
2009-06-01,218.07
2009-07-01,218.09
2009-08-01,217.83
2009-09-01,217.18
2009-10-01,216.61
2009-11-01,215.81
2009-12-01,215.52
2010-01-01,215.93
2010-02-01,215.84
2010-03-01,216.02
2010-04-01,215.80
2010-05-01,215.98
2010-06-01,216.78
2010-07-01,217.08
2010-08-01,216.98
2010-09-01,216.60
2010-10-01,216.10
2010-11-01,215.83
2010-12-01,216.14
2011-01-01,216.74
2011-02-01,217.26
2011-03-01,217.71
2011-04-01,217.90
2011-05-01,218.48
2011-06-01,219.55
2011-07-01,220.23
2011-08-01,220.51
2011-09-01,220.54
2011-10-01,220.14
2011-11-01,219.97
2011-12-01,220.19
2012-01-01,220.81
2012-02-01,221.12
2012-03-01,221.49
2012-04-01,221.68
2012-05-01,221.97
2012-06-01,223.05
2012-07-01,223.32
2012-08-01,223.70
2012-09-01,223.90
2012-10-01,223.71
2012-11-01,223.81
2012-12-01,224.03
2013-01-01,224.79
2013-02-01,225.38
2013-03-01,225.64
2013-04-01,225.99
2013-05-01,226.90
2013-06-01,228.07
2013-07-01,228.37
2013-08-01,228.56
2013-09-01,228.81
2013-10-01,228.36
2013-11-01,228.45
2013-12-01,228.89
2014-01-01,230.26
2014-02-01,230.91
2014-03-01,231.97
2014-04-01,231.69
2014-05-01,232.74
2014-06-01,233.89
2014-07-01,234.48
2014-08-01,234.57
2014-09-01,234.68
2014-10-01,234.43
2014-11-01,234.32
2014-12-01,234.66
2015-01-01,235.49
2015-02-01,236.02
2015-03-01,236.44
2015-04-01,236.78
2015-05-01,237.18
2015-06-01,238.57
2015-07-01,239.09
2015-08-01,239.30
2015-09-01,239.65
2015-10-01,239.40
2015-11-01,239.33
2015-12-01,239.51
2016-01-01,240.42
2016-02-01,241.02
2016-03-01,241.49
2016-04-01,241.79
2016-05-01,242.81
2016-06-01,244.28
2016-07-01,244.94
2016-08-01,245.47
2016-09-01,246.13
2016-10-01,246.26
2016-11-01,246.27
2016-12-01,246.80
2017-01-01,247.94
2017-02-01,248.69
2017-03-01,248.98
2017-04-01,249.51
2017-05-01,250.38
2017-06-01,251.63
2017-07-01,251.87
2017-08-01,252.62
2017-09-01,252.98
2017-10-01,253.13
2017-11-01,253.18
2017-12-01,253.85
2018-01-01,254.86
2018-02-01,255.71
2018-03-01,256.39
2018-04-01,256.97
2018-05-01,257.91
