Date,U12BTI
2008-11-01,3658000000.00
2008-12-01,3675000000.00
2009-01-01,3783000000.00
2009-02-01,3813000000.00
2009-03-01,3822000000.00
2009-04-01,3758000000.00
2009-05-01,3720000000.00
2009-06-01,3607000000.00
2009-07-01,3545000000.00
2009-08-01,3521000000.00
2009-09-01,3660000000.00
2009-10-01,3824000000.00
2009-11-01,3892000000.00
2009-12-01,3949000000.00
2010-01-01,4004000000.00
2010-02-01,4005000000.00
2010-03-01,3965000000.00
2010-04-01,3860000000.00
2010-05-01,3770000000.00
2010-06-01,3687000000.00
2010-07-01,3603000000.00
2010-08-01,3629000000.00
2010-09-01,3724000000.00
2010-10-01,3926000000.00
2010-11-01,3950000000.00
2010-12-01,4006000000.00
2011-01-01,4116000000.00
2011-02-01,4088000000.00
2011-03-01,3899000000.00
2011-04-01,3790000000.00
2011-05-01,3648000000.00
2011-06-01,3578000000.00
2011-07-01,3533000000.00
2011-08-01,3499000000.00
2011-09-01,3561000000.00
2011-10-01,3738000000.00
2011-11-01,3766000000.00
2011-12-01,3789000000.00
2012-01-01,3914000000.00
2012-02-01,3838000000.00
2012-03-01,3736000000.00
2012-04-01,3671000000.00
2012-05-01,3553000000.00
2012-06-01,3505000000.00
2012-07-01,3442000000.00
2012-08-01,3446000000.00
2012-09-01,3565000000.00
2012-10-01,3732000000.00
2012-11-01,3771000000.00
2012-12-01,3752000000.00
2013-01-01,3839000000.00
2013-02-01,3890000000.00
2013-03-01,3811000000.00
2013-04-01,3788000000.00
2013-05-01,3664000000.00
2013-06-01,3607000000.00
2013-07-01,3559000000.00
2013-08-01,3670000000.00
2013-09-01,3810000000.00
2013-10-01,3917000000.00
2013-11-01,4004000000.00
2013-12-01,4018000000.00
2014-01-01,4092000000.00
2014-02-01,4038000000.00
2014-03-01,3938000000.00
2014-04-01,3861000000.00
2014-05-01,3775000000.00
2014-06-01,3690000000.00
2014-07-01,3595000000.00
2014-08-01,3627000000.00
2014-09-01,3749000000.00
2014-10-01,4000000000.00
2014-11-01,4071000000.00
2014-12-01,4077000000.00
2015-01-01,4178000000.00
2015-02-01,4240000000.00
2015-03-01,4163000000.00
2015-04-01,4151000000.00
2015-05-01,4145000000.00
2015-06-01,4136000000.00
2015-07-01,4121000000.00
2015-08-01,4204000000.00
2015-09-01,4267000000.00
2015-10-01,4552000000.00
2015-11-01,4667000000.00
2015-12-01,4741000000.00
2016-01-01,4817000000.00
2016-02-01,4726000000.00
2016-03-01,4605000000.00
2016-04-01,4500000000.00
2016-05-01,4465000000.00
2016-06-01,4372000000.00
2016-07-01,4273000000.00
2016-08-01,4348000000.00
2016-09-01,4601000000.00
2016-10-01,4792000000.00
2016-11-01,4918000000.00
2016-12-01,4865000000.00
2017-01-01,4892000000.00
2017-02-01,4876000000.00
2017-03-01,4763000000.00
2017-04-01,4657000000.00
2017-05-01,4568000000.00
2017-06-01,4422000000.00
2017-07-01,4315000000.00
2017-08-01,4317000000.00
2017-09-01,4557000000.00
2017-10-01,4874000000.00
2017-11-01,4999000000.00
2017-12-01,4931000000.00
2018-01-01,4967000000.00
2018-02-01,4949000000.00
2018-03-01,4786000000.00
2018-04-01,4706000000.00
