Date,CPIMEDNS
1957-10-01,19.90
1957-11-01,20.00
1957-12-01,20.10
1958-01-01,20.20
1958-02-01,20.20
1958-03-01,20.30
1958-04-01,20.40
1958-05-01,20.50
1958-06-01,20.60
1958-07-01,20.70
1958-08-01,20.70
1958-09-01,20.90
1958-10-01,21.00
1958-11-01,21.00
1958-12-01,21.00
1959-01-01,21.10
1959-02-01,21.20
1959-03-01,21.30
1959-04-01,21.30
1959-05-01,21.40
1959-06-01,21.50
1959-07-01,21.50
1959-08-01,21.60
1959-09-01,21.70
1959-10-01,21.70
1959-11-01,21.80
1959-12-01,21.80
1960-01-01,21.90
1960-02-01,22.00
1960-03-01,22.10
1960-04-01,22.20
1960-05-01,22.20
1960-06-01,22.20
1960-07-01,22.30
1960-08-01,22.30
1960-09-01,22.40
1960-10-01,22.40
1960-11-01,22.50
1960-12-01,22.50
1961-01-01,22.60
1961-02-01,22.70
1961-03-01,22.70
1961-04-01,22.80
1961-05-01,22.90
1961-06-01,22.90
1961-07-01,23.00
1961-08-01,23.00
1961-09-01,23.10
1961-10-01,23.10
1961-11-01,23.10
1961-12-01,23.20
1962-01-01,23.20
1962-02-01,23.30
1962-03-01,23.40
1962-04-01,23.50
1962-05-01,23.50
1962-06-01,23.60
1962-07-01,23.60
1962-08-01,23.60
1962-09-01,23.60
1962-10-01,23.70
1962-11-01,23.70
1962-12-01,23.70
1963-01-01,23.80
1963-02-01,23.90
1963-03-01,23.90
1963-04-01,24.00
1963-05-01,24.00
1963-06-01,24.10
1963-07-01,24.20
1963-08-01,24.20
1963-09-01,24.20
1963-10-01,24.20
1963-11-01,24.30
1963-12-01,24.30
1964-01-01,24.40
1964-02-01,24.40
1964-03-01,24.40
1964-04-01,24.50
1964-05-01,24.50
1964-06-01,24.60
1964-07-01,24.60
1964-08-01,24.70
1964-09-01,24.70
1964-10-01,24.70
1964-11-01,24.70
1964-12-01,24.80
1965-01-01,24.80
1965-02-01,24.90
1965-03-01,25.00
1965-04-01,25.10
1965-05-01,25.10
1965-06-01,25.20
1965-07-01,25.30
1965-08-01,25.30
1965-09-01,25.30
1965-10-01,25.30
1965-11-01,25.40
1965-12-01,25.50
1966-01-01,25.60
1966-02-01,25.60
1966-03-01,25.80
1966-04-01,25.90
1966-05-01,26.00
1966-06-01,26.20
1966-07-01,26.30
1966-08-01,26.40
1966-09-01,26.70
1966-10-01,26.90
1966-11-01,27.00
1966-12-01,27.20
1967-01-01,27.40
1967-02-01,27.50
1967-03-01,27.70
1967-04-01,27.80
1967-05-01,28.00
1967-06-01,28.10
1967-07-01,28.20
1967-08-01,28.30
1967-09-01,28.50
1967-10-01,28.60
1967-11-01,28.80
1967-12-01,28.90
1968-01-01,29.10
1968-02-01,29.20
1968-03-01,29.40
1968-04-01,29.60
1968-05-01,29.60
1968-06-01,29.70
1968-07-01,29.90
1968-08-01,30.00
1968-09-01,30.20
1968-10-01,30.40
1968-11-01,30.50
1968-12-01,30.70
1969-01-01,30.90
1969-02-01,31.20
1969-03-01,31.40
1969-04-01,31.60
1969-05-01,31.80
1969-06-01,32.00
1969-07-01,32.10
1969-08-01,32.30
1969-09-01,32.50
1969-10-01,32.30
1969-11-01,32.40
1969-12-01,32.60
1970-01-01,32.70
1970-02-01,33.00
1970-03-01,33.30
1970-04-01,33.50
1970-05-01,33.70
1970-06-01,33.90
1970-07-01,34.20
1970-08-01,34.30
1970-09-01,34.50
1970-10-01,34.60
1970-11-01,34.70
1970-12-01,35.00
1971-01-01,35.20
1971-02-01,35.40
1971-03-01,35.70
1971-04-01,35.90
1971-05-01,36.10
1971-06-01,36.20
1971-07-01,36.40
1971-08-01,36.60
1971-09-01,36.70
1971-10-01,36.50
1971-11-01,36.50
1971-12-01,36.60
1972-01-01,36.70
1972-02-01,36.90
1972-03-01,37.00
1972-04-01,37.10
1972-05-01,37.20
1972-06-01,37.30
1972-07-01,37.40
1972-08-01,37.40
1972-09-01,37.50
1972-10-01,37.70
1972-11-01,37.80
1972-12-01,37.80
1973-01-01,38.00
1973-02-01,38.10
1973-03-01,38.20
1973-04-01,38.30
1973-05-01,38.50
1973-06-01,38.60
1973-07-01,38.70
1973-08-01,38.70
1973-09-01,38.90
1973-10-01,39.60
1973-11-01,39.70
1973-12-01,39.80
1974-01-01,40.00
1974-02-01,40.40
1974-03-01,40.80
1974-04-01,41.00
1974-05-01,41.40
1974-06-01,42.10
1974-07-01,42.60
1974-08-01,43.30
1974-09-01,43.70
1974-10-01,44.00
1974-11-01,44.30
1974-12-01,44.80
1975-01-01,45.30
1975-02-01,45.90
1975-03-01,46.30
1975-04-01,46.70
1975-05-01,47.00
1975-06-01,47.30
1975-07-01,47.80
1975-08-01,48.10
1975-09-01,48.50
1975-10-01,48.80
1975-11-01,48.80
1975-12-01,49.20
1976-01-01,49.70
1976-02-01,50.30
1976-03-01,50.80
1976-04-01,51.10
1976-05-01,51.40
1976-06-01,51.70
1976-07-01,52.20
1976-08-01,52.60
1976-09-01,52.90
1976-10-01,53.20
1976-11-01,53.90
1976-12-01,54.10
1977-01-01,54.60
1977-02-01,55.10
1977-03-01,55.60
1977-04-01,56.10
1977-05-01,56.40
1977-06-01,56.80
1977-07-01,57.30
1977-08-01,57.70
1977-09-01,58.10
1977-10-01,58.30
1977-11-01,58.60
1977-12-01,58.90
1978-01-01,59.50
1978-02-01,60.10
1978-03-01,60.40
1978-04-01,60.70
1978-05-01,61.10
1978-06-01,61.30
1978-07-01,61.80
1978-08-01,62.30
1978-09-01,62.70
1978-10-01,63.30
1978-11-01,63.90
1978-12-01,64.10
1979-01-01,65.00
1979-02-01,65.50
1979-03-01,65.90
1979-04-01,66.20
1979-05-01,66.50
1979-06-01,66.90
1979-07-01,67.50
1979-08-01,68.10
1979-09-01,68.60
1979-10-01,69.20
1979-11-01,69.80
1979-12-01,70.60
1980-01-01,71.50
1980-02-01,72.60
1980-03-01,73.30
1980-04-01,73.80
1980-05-01,74.20
1980-06-01,74.50
1980-07-01,75.10
1980-08-01,75.60
1980-09-01,76.20
1980-10-01,76.80
1980-11-01,77.30
1980-12-01,77.60
1981-01-01,78.70
1981-02-01,79.60
1981-03-01,80.20
1981-04-01,80.80
1981-05-01,81.40
1981-06-01,82.10
1981-07-01,83.20
1981-08-01,84.30
1981-09-01,84.90
1981-10-01,85.80
1981-11-01,86.80
1981-12-01,87.30
1982-01-01,88.20
1982-02-01,89.00
1982-03-01,89.80
1982-04-01,90.60
1982-05-01,91.20
1982-06-01,91.90
1982-07-01,92.90
1982-08-01,93.80
1982-09-01,94.60
1982-10-01,95.40
1982-11-01,96.30
1982-12-01,96.90
1983-01-01,97.90
1983-02-01,98.90
1983-03-01,99.20
1983-04-01,99.50
1983-05-01,99.70
1983-06-01,100.10
1983-07-01,100.70
1983-08-01,101.40
1983-09-01,101.70
1983-10-01,102.20
1983-11-01,102.70
1983-12-01,103.10
1984-01-01,104.00
1984-02-01,105.10
1984-03-01,105.40
1984-04-01,105.80
1984-05-01,106.10
1984-06-01,106.40
1984-07-01,107.10
1984-08-01,107.50
1984-09-01,107.90
1984-10-01,108.50
1984-11-01,109.10
1984-12-01,109.40
1985-01-01,110.10
1985-02-01,110.90
1985-03-01,111.60
1985-04-01,112.10
1985-05-01,112.50
1985-06-01,113.10
1985-07-01,113.70
1985-08-01,114.50
1985-09-01,115.00
1985-10-01,115.60
1985-11-01,116.30
1985-12-01,116.80
1986-01-01,117.70
1986-02-01,118.90
1986-03-01,119.90
1986-04-01,120.50
1986-05-01,121.00
1986-06-01,121.60
1986-07-01,122.40
1986-08-01,123.20
1986-09-01,123.80
1986-10-01,124.50
1986-11-01,125.20
1986-12-01,125.80
1987-01-01,126.60
1987-02-01,127.40
1987-03-01,128.10
1987-04-01,128.70
1987-05-01,129.20
1987-06-01,129.90
1987-07-01,130.70
1987-08-01,131.20
1987-09-01,131.70
1987-10-01,132.30
1987-11-01,132.80
1987-12-01,133.10
1988-01-01,134.40
1988-02-01,135.50
1988-03-01,136.30
1988-04-01,136.90
1988-05-01,137.50
1988-06-01,138.20
1988-07-01,139.30
1988-08-01,139.90
1988-09-01,140.40
1988-10-01,141.20
1988-11-01,141.80
1988-12-01,142.30
1989-01-01,143.80
1989-02-01,145.20
1989-03-01,146.10
1989-04-01,146.80
1989-05-01,147.50
1989-06-01,148.50
1989-07-01,149.70
1989-08-01,150.70
1989-09-01,151.70
1989-10-01,152.70
1989-11-01,153.90
1989-12-01,154.40
1990-01-01,155.90
1990-02-01,157.50
1990-03-01,158.70
1990-04-01,159.80
1990-05-01,160.80
1990-06-01,161.90
1990-07-01,163.50
1990-08-01,165.00
1990-09-01,165.80
1990-10-01,167.10
1990-11-01,168.40
1990-12-01,169.20
1991-01-01,171.00
1991-02-01,172.50
1991-03-01,173.70
1991-04-01,174.40
1991-05-01,175.20
1991-06-01,176.20
1991-07-01,177.50
1991-08-01,178.90
1991-09-01,179.70
1991-10-01,180.70
1991-11-01,181.80
1991-12-01,182.60
1992-01-01,184.30
1992-02-01,186.20
1992-03-01,187.30
1992-04-01,188.10
1992-05-01,188.70
1992-06-01,189.40
1992-07-01,190.70
1992-08-01,191.50
1992-09-01,192.30
1992-10-01,193.30
1992-11-01,194.30
1992-12-01,194.70
1993-01-01,196.40
1993-02-01,198.00
1993-03-01,198.60
1993-04-01,199.40
1993-05-01,200.50
1993-06-01,201.10
1993-07-01,202.20
1993-08-01,202.90
1993-09-01,203.30
1993-10-01,204.40
1993-11-01,204.90
1993-12-01,205.20
1994-01-01,206.40
1994-02-01,207.70
1994-03-01,208.30
1994-04-01,209.20
1994-05-01,209.70
1994-06-01,210.40
1994-07-01,211.50
1994-08-01,212.20
1994-09-01,212.80
1994-10-01,214.00
1994-11-01,214.70
1994-12-01,215.30
1995-01-01,216.60
1995-02-01,217.90
1995-03-01,218.40
1995-04-01,218.90
1995-05-01,219.30
1995-06-01,219.80
1995-07-01,220.80
1995-08-01,221.60
1995-09-01,222.10
1995-10-01,222.90
1995-11-01,223.50
1995-12-01,223.80
1996-01-01,225.20
1996-02-01,226.20
1996-03-01,226.60
1996-04-01,227.00
1996-05-01,227.40
1996-06-01,227.80
1996-07-01,228.70
1996-08-01,229.20
1996-09-01,229.40
1996-10-01,230.10
1996-11-01,230.50
1996-12-01,230.60
1997-01-01,231.80
1997-02-01,232.70
1997-03-01,233.40
1997-04-01,233.80
1997-05-01,234.20
1997-06-01,234.40
1997-07-01,234.80
1997-08-01,235.20
1997-09-01,235.40
1997-10-01,235.80
1997-11-01,236.40
1997-12-01,237.10
1998-01-01,238.10
1998-02-01,239.30
1998-03-01,239.80
1998-04-01,240.70
1998-05-01,241.40
1998-06-01,242.00
1998-07-01,242.70
1998-08-01,243.50
1998-09-01,243.90
1998-10-01,244.30
1998-11-01,244.70
1998-12-01,245.20
1999-01-01,246.60
1999-02-01,247.70
1999-03-01,248.30
1999-04-01,249.10
1999-05-01,249.50
1999-06-01,250.20
1999-07-01,251.10
1999-08-01,251.90
1999-09-01,252.30
1999-10-01,252.80
1999-11-01,253.30
1999-12-01,254.20
2000-01-01,255.50
2000-02-01,257.00
2000-03-01,258.10
2000-04-01,258.80
2000-05-01,259.40
2000-06-01,260.50
2000-07-01,261.40
2000-08-01,262.60
2000-09-01,263.10
2000-10-01,263.70
2000-11-01,264.10
2000-12-01,264.80
2001-01-01,267.10
2001-02-01,268.90
2001-03-01,270.00
2001-04-01,270.80
2001-05-01,271.40
2001-06-01,272.50
2001-07-01,273.10
2001-08-01,274.40
2001-09-01,275.00
2001-10-01,275.90
2001-11-01,276.70
2001-12-01,277.30
2002-01-01,279.60
2002-02-01,281.00
2002-03-01,282.00
2002-04-01,283.20
2002-05-01,284.10
2002-06-01,284.70
2002-07-01,286.60
2002-08-01,287.30
2002-09-01,287.70
2002-10-01,289.20
2002-11-01,290.50
2002-12-01,291.30
2003-01-01,292.60
2003-02-01,293.70
2003-03-01,294.20
2003-04-01,294.60
2003-05-01,295.50
2003-06-01,296.30
2003-07-01,297.60
2003-08-01,298.40
2003-09-01,299.20
2003-10-01,299.90
2003-11-01,300.80
2003-12-01,302.10
2004-01-01,303.60
2004-02-01,306.00
2004-03-01,307.50
2004-04-01,308.30
2004-05-01,309.00
2004-06-01,310.00
2004-07-01,311.00
2004-08-01,311.60
2004-09-01,312.30
2004-10-01,313.30
2004-11-01,314.10
2004-12-01,314.90
2005-01-01,316.80
2005-02-01,319.30
2005-03-01,320.70
2005-04-01,321.50
2005-05-01,322.20
2005-06-01,322.90
2005-07-01,324.10
2005-08-01,323.90
2005-09-01,324.60
2005-10-01,326.20
2005-11-01,328.10
2005-12-01,328.40
2006-01-01,329.50
2006-02-01,332.10
2006-03-01,333.80
2006-04-01,334.70
2006-05-01,335.60
2006-06-01,336.00
2006-07-01,337.00
2006-08-01,337.70
2006-09-01,338.30
2006-10-01,339.30
2006-11-01,340.10
2006-12-01,340.10
2007-01-01,343.51
2007-02-01,346.46
2007-03-01,347.17
2007-04-01,348.23
2007-05-01,349.09
2007-06-01,349.51
2007-07-01,351.64
2007-08-01,352.96
2007-09-01,353.72
2007-10-01,355.65
2007-11-01,357.04
2007-12-01,357.66
2008-01-01,360.46
2008-02-01,362.16
2008-03-01,363.00
2008-04-01,363.18
2008-05-01,363.40
2008-06-01,363.62
2008-07-01,363.96
2008-08-01,364.48
2008-09-01,365.04
2008-10-01,365.75
2008-11-01,366.61
2008-12-01,367.13
2009-01-01,369.83
2009-02-01,372.41
2009-03-01,373.19
2009-04-01,374.17
2009-05-01,375.03
2009-06-01,375.09
2009-07-01,375.74
2009-08-01,376.54
2009-09-01,377.73
2009-10-01,378.55
2009-11-01,379.58
2009-12-01,379.52
2010-01-01,382.69
2010-02-01,385.91
2010-03-01,387.14
2010-04-01,387.70
2010-05-01,387.76
2010-06-01,388.20
2010-07-01,387.90
2010-08-01,388.47
2010-09-01,390.62
2010-10-01,391.24
2010-11-01,391.66
2010-12-01,391.95
2011-01-01,393.86
2011-02-01,397.07
2011-03-01,397.73
2011-04-01,398.81
2011-05-01,399.38
2011-06-01,399.55
2011-07-01,400.31
2011-08-01,400.87
2011-09-01,401.61
2011-10-01,403.43
2011-11-01,404.86
2011-12-01,405.63
2012-01-01,408.06
2012-02-01,410.47
2012-03-01,411.50
2012-04-01,412.48
2012-05-01,413.66
2012-06-01,415.35
2012-07-01,416.76
2012-08-01,417.12
2012-09-01,418.04
2012-10-01,418.36
2012-11-01,418.65
2012-12-01,418.65
2013-01-01,420.69
2013-02-01,423.22
2013-03-01,424.15
2013-04-01,423.82
2013-05-01,422.83
2013-06-01,424.26
2013-07-01,424.84
2013-08-01,426.87
2013-09-01,428.03
2013-10-01,428.08
2013-11-01,427.74
2013-12-01,427.09
2014-01-01,429.62
2014-02-01,432.77
2014-03-01,433.37
2014-04-01,434.05
2014-05-01,434.87
2014-06-01,435.35
2014-07-01,435.92
2014-08-01,435.78
2014-09-01,436.58
2014-10-01,437.03
2014-11-01,438.45
2014-12-01,439.72
2015-01-01,440.97
2015-02-01,442.78
2015-03-01,444.02
2015-04-01,446.66
2015-05-01,447.21
2015-06-01,446.27
2015-07-01,446.77
2015-08-01,446.54
2015-09-01,447.29
2015-10-01,450.07
2015-11-01,451.37
2015-12-01,451.07
2016-01-01,454.18
2016-02-01,458.30
2016-03-01,458.62
2016-04-01,459.99
2016-05-01,461.23
2016-06-01,462.08
2016-07-01,464.16
2016-08-01,468.38
2016-09-01,469.15
2016-10-01,469.23
2016-11-01,469.33
2016-12-01,469.45
2017-01-01,471.70
2017-02-01,474.55
2017-03-01,474.56
2017-04-01,473.58
2017-05-01,473.51
2017-06-01,474.36
2017-07-01,476.13
2017-08-01,476.87
2017-09-01,476.49
2017-10-01,477.12
2017-11-01,477.20
2017-12-01,477.80
2018-01-01,481.06
2018-02-01,482.90
2018-03-01,483.98
2018-04-01,484.03
2018-05-01,484.85
