Date,A939RX0Q048SBEA
1980-07-01,27987.00
1980-10-01,28428.00
1981-01-01,28957.00
1981-04-01,28681.00
1981-07-01,28931.00
1981-10-01,28519.00
1982-01-01,27982.00
1982-04-01,28073.00
1982-07-01,27900.00
1982-10-01,27859.00
1983-01-01,28167.00
1983-04-01,28750.00
1983-07-01,29241.00
1983-10-01,29774.00
1984-01-01,30307.00
1984-04-01,30777.00
1984-07-01,31005.00
1984-10-01,31176.00
1985-01-01,31428.00
1985-04-01,31649.00
1985-07-01,32058.00
1985-10-01,32218.00
1986-01-01,32453.00
1986-04-01,32533.00
1986-07-01,32779.00
1986-10-01,32870.00
1987-01-01,33036.00
1987-04-01,33336.00
1987-07-01,33556.00
1987-10-01,34025.00
1988-01-01,34148.00
1988-04-01,34528.00
1988-07-01,34637.00
1988-10-01,35008.00
1989-01-01,35291.00
1989-04-01,35488.00
1989-07-01,35654.00
1989-10-01,35633.00
1990-01-01,35941.00
1990-04-01,35968.00
1990-07-01,35850.00
1990-10-01,35419.00
1991-01-01,35145.00
1991-04-01,35305.00
1991-07-01,35348.00
1991-10-01,35381.00
1992-01-01,35694.00
1992-04-01,35968.00
1992-07-01,36184.00
1992-10-01,36420.00
1993-01-01,36381.00
1993-04-01,36486.00
1993-07-01,36539.00
1993-10-01,36909.00
1994-01-01,37171.00
1994-04-01,37569.00
1994-07-01,37669.00
1994-10-01,37980.00
1995-01-01,38008.00
1995-04-01,38033.00
1995-07-01,38235.00
1995-10-01,38389.00
1996-01-01,38544.00
1996-04-01,39106.00
1996-07-01,39340.00
1996-10-01,39629.00
1997-01-01,39825.00
1997-04-01,40311.00
1997-07-01,40689.00
1997-10-01,40877.00
1998-01-01,41176.00
1998-04-01,41461.00
1998-07-01,41873.00
1998-10-01,42432.00
1999-01-01,42663.00
1999-04-01,42897.00
1999-07-01,43299.00
1999-10-01,43919.00
2000-01-01,43935.00
2000-04-01,44654.00
2000-07-01,44586.00
2000-10-01,44721.00
2001-01-01,44492.00
2001-04-01,44623.00
2001-07-01,44366.00
2001-10-01,44376.00
2002-01-01,44687.00
2002-04-01,44834.00
2002-07-01,44938.00
2002-10-01,44857.00
2003-01-01,44996.00
2003-04-01,45312.00
2003-07-01,45957.00
2003-10-01,46384.00
2004-01-01,46560.00
2004-04-01,46799.00
2004-07-01,47107.00
2004-10-01,47396.00
2005-01-01,47800.00
2005-04-01,47947.00
2005-07-01,48228.00
2005-10-01,48381.00
2006-01-01,48856.00
2006-04-01,48891.00
2006-07-01,48809.00
2006-10-01,49065.00
2007-01-01,48987.00
2007-04-01,49251.00
2007-07-01,49455.00
2007-10-01,49506.00
2008-01-01,49060.00
2008-04-01,49196.00
2008-07-01,48841.00
2008-10-01,47697.00
2009-01-01,46941.00
2009-04-01,46781.00
2009-07-01,46826.00
2009-10-01,47170.00
2010-01-01,47280.00
2010-04-01,47649.00
2010-07-01,47875.00
2010-10-01,48079.00
2011-01-01,47813.00
2011-04-01,48080.00
2011-07-01,48085.00
2011-10-01,48531.00
2012-01-01,48772.00
2012-04-01,48918.00
2012-07-01,48881.00
2012-10-01,48796.00
2013-01-01,49064.00
2013-04-01,49080.00
2013-07-01,49361.00
2013-10-01,49742.00
2014-01-01,49544.00
2014-04-01,50019.00
2014-07-01,50554.00
2014-10-01,50703.00
2015-01-01,51025.00
2015-04-01,51284.00
2015-07-01,51389.00
2015-10-01,51347.00
2016-01-01,51338.00
2016-04-01,51538.00
2016-07-01,51791.00
2016-10-01,51916.00
2017-01-01,51993.00
2017-04-01,52300.00
2017-07-01,52605.00
2017-10-01,52879.00
2018-01-01,53056.00
2018-04-01,53154.94
2018-06-29,53247.82
