Date,S423SMM144NCEN
2016-09-01,218076000000.00
2016-10-01,214477000000.00
2016-11-01,212503000000.00
2016-12-01,222814000000.00
2017-01-01,199551000000.00
2017-02-01,191460000000.00
2017-03-01,232675000000.00
2017-04-01,210121000000.00
2017-05-01,226543000000.00
2017-06-01,235755000000.00
2017-07-01,210694000000.00
2017-08-01,239131000000.00
2017-09-01,232140000000.00
2017-10-01,244198000000.00
2017-11-01,237006000000.00
2017-12-01,236354000000.00
2018-01-01,219360000000.00
2018-02-01,208189000000.00
2018-03-01,245670000000.00
2018-04-01,234128000000.00
