Date,RTWVDAK684NMFRBDAL
2002-05-01,129.55
2002-06-01,126.46
2002-07-01,122.82
2002-08-01,124.06
2002-09-01,125.27
2002-10-01,127.68
2002-11-01,125.48
2002-12-01,124.75
2003-01-01,122.05
2003-02-01,122.81
2003-03-01,123.37
2003-04-01,123.20
2003-05-01,119.31
2003-06-01,119.61
2003-07-01,120.47
2003-08-01,121.12
2003-09-01,119.01
2003-10-01,115.56
2003-11-01,115.55
2003-12-01,113.75
2004-01-01,112.45
2004-02-01,112.93
2004-03-01,114.66
2004-04-01,114.68
2004-05-01,117.94
2004-06-01,116.30
2004-07-01,115.55
2004-08-01,115.65
2004-09-01,115.32
2004-10-01,114.22
2004-11-01,110.47
2004-12-01,108.54
2005-01-01,108.66
2005-02-01,109.33
2005-03-01,109.26
2005-04-01,111.06
2005-05-01,111.00
2005-06-01,113.02
2005-07-01,115.00
2005-08-01,113.64
2005-09-01,115.13
2005-10-01,117.66
2005-11-01,118.59
2005-12-01,117.13
2006-01-01,115.28
2006-02-01,115.87
2006-03-01,116.33
2006-04-01,115.64
2006-05-01,112.71
2006-06-01,114.56
2006-07-01,114.80
2006-08-01,114.26
2006-09-01,114.28
2006-10-01,114.74
2006-11-01,113.36
2006-12-01,112.39
2007-01-01,114.12
2007-02-01,113.85
2007-03-01,113.72
2007-04-01,113.00
2007-05-01,113.01
2007-06-01,113.13
2007-07-01,111.04
2007-08-01,109.95
2007-09-01,108.95
2007-10-01,107.61
2007-11-01,105.90
2007-12-01,106.67
2008-01-01,104.97
2008-02-01,103.57
2008-03-01,101.28
2008-04-01,101.71
2008-05-01,103.27
2008-06-01,104.46
2008-07-01,103.68
2008-08-01,105.81
2008-09-01,107.24
2008-10-01,109.58
2008-11-01,109.11
2008-12-01,105.68
2009-01-01,105.68
2009-02-01,108.78
2009-03-01,110.94
2009-04-01,109.15
2009-05-01,106.10
2009-06-01,106.20
2009-07-01,104.90
2009-08-01,103.94
2009-09-01,102.33
2009-10-01,101.20
2009-11-01,100.50
2009-12-01,100.92
2010-01-01,101.21
2010-02-01,101.61
2010-03-01,101.84
2010-04-01,102.20
2010-05-01,104.20
2010-06-01,104.78
2010-07-01,101.91
2010-08-01,100.34
2010-09-01,99.36
2010-10-01,96.52
2010-11-01,97.01
2010-12-01,97.80
2011-01-01,96.61
2011-02-01,95.72
2011-03-01,95.57
2011-04-01,94.65
2011-05-01,94.46
2011-06-01,93.87
2011-07-01,92.47
2011-08-01,91.77
2011-09-01,94.24
2011-10-01,95.03
2011-11-01,95.41
2011-12-01,95.86
2012-01-01,95.41
2012-02-01,94.55
2012-03-01,96.11
2012-04-01,95.98
2012-05-01,96.85
2012-06-01,97.70
2012-07-01,96.76
2012-08-01,96.08
2012-09-01,95.77
2012-10-01,95.94
2012-11-01,96.05
2012-12-01,95.42
2013-01-01,95.75
2013-02-01,96.97
2013-03-01,98.73
2013-04-01,98.82
2013-05-01,99.40
2013-06-01,99.25
2013-07-01,99.17
2013-08-01,98.19
2013-09-01,98.13
2013-10-01,97.26
2013-11-01,97.81
2013-12-01,98.05
2014-01-01,98.66
2014-02-01,98.21
2014-03-01,98.98
2014-04-01,98.36
2014-05-01,98.18
2014-06-01,98.34
2014-07-01,97.59
2014-08-01,98.01
2014-09-01,100.24
2014-10-01,101.64
2014-11-01,103.99
2014-12-01,104.62
2015-01-01,105.47
2015-02-01,106.29
2015-03-01,108.71
2015-04-01,107.61
2015-05-01,107.37
2015-06-01,108.75
2015-07-01,109.48
2015-08-01,110.68
2015-09-01,111.26
2015-10-01,110.80
2015-11-01,112.55
2015-12-01,112.63
2016-01-01,113.83
2016-02-01,111.63
2016-03-01,110.52
2016-04-01,108.38
2016-05-01,109.73
2016-06-01,109.64
2016-07-01,109.03
2016-08-01,107.27
2016-09-01,108.26
2016-10-01,110.15
2016-11-01,112.73
2016-12-01,115.37
2017-01-01,114.70
2017-02-01,113.38
2017-03-01,113.95
2017-04-01,113.23
2017-05-01,113.25
2017-06-01,111.95
2017-07-01,110.00
2017-08-01,108.23
2017-09-01,108.24
2017-10-01,109.95
2017-11-01,109.94
2017-12-01,109.06
2018-01-01,106.68
2018-02-01,105.29
2018-03-01,106.12
