Date,S42SMNM144NCEN
2010-03-01,377639000000.00
2010-04-01,365877000000.00
2010-05-01,354645000000.00
2010-06-01,375060000000.00
2010-07-01,358587000000.00
2010-08-01,371804000000.00
2010-09-01,370916000000.00
2010-10-01,376257000000.00
2010-11-01,376995000000.00
2010-12-01,385148000000.00
2011-01-01,362401000000.00
2011-02-01,351152000000.00
2011-03-01,431876000000.00
2011-04-01,405222000000.00
2011-05-01,413021000000.00
2011-06-01,424308000000.00
2011-07-01,393681000000.00
2011-08-01,434066000000.00
2011-09-01,419572000000.00
2011-10-01,419515000000.00
2011-11-01,412822000000.00
2011-12-01,417440000000.00
2012-01-01,402004000000.00
2012-02-01,402802000000.00
2012-03-01,452880000000.00
2012-04-01,437590000000.00
2012-05-01,456238000000.00
2012-06-01,433445000000.00
2012-07-01,421555000000.00
2012-08-01,449435000000.00
2012-09-01,420909000000.00
2012-10-01,461882000000.00
2012-11-01,442036000000.00
2012-12-01,427247000000.00
2013-01-01,429034000000.00
2013-02-01,401817000000.00
2013-03-01,446077000000.00
2013-04-01,451187000000.00
2013-05-01,469705000000.00
2013-06-01,440298000000.00
2013-07-01,449717000000.00
2013-08-01,455313000000.00
2013-09-01,441712000000.00
2013-10-01,483648000000.00
2013-11-01,443654000000.00
2013-12-01,458388000000.00
2014-01-01,433383000000.00
2014-02-01,406663000000.00
2014-03-01,465780000000.00
2014-04-01,475942000000.00
2014-05-01,480680000000.00
2014-06-01,474464000000.00
2014-07-01,479003000000.00
2014-08-01,463483000000.00
2014-09-01,475654000000.00
2014-10-01,496486000000.00
2014-11-01,439668000000.00
2014-12-01,472974000000.00
2015-01-01,413973000000.00
2015-02-01,391355000000.00
2015-03-01,451779000000.00
2015-04-01,452140000000.00
2015-05-01,442123000000.00
2015-06-01,468527000000.00
2015-07-01,451454000000.00
2015-08-01,434373000000.00
2015-09-01,451506000000.00
2015-10-01,461893000000.00
2015-11-01,424472000000.00
2015-12-01,448841000000.00
2016-01-01,381858000000.00
2016-02-01,390830000000.00
2016-03-01,451030000000.00
2016-04-01,423796000000.00
2016-05-01,438416000000.00
2016-06-01,459711000000.00
2016-07-01,416564000000.00
2016-08-01,457597000000.00
2016-09-01,448358000000.00
2016-10-01,450086000000.00
2016-11-01,446969000000.00
2016-12-01,460662000000.00
2017-01-01,423594000000.00
2017-02-01,408535000000.00
2017-03-01,483784000000.00
2017-04-01,440864000000.00
2017-05-01,478153000000.00
2017-06-01,483223000000.00
2017-07-01,440638000000.00
2017-08-01,490092000000.00
2017-09-01,470823000000.00
2017-10-01,499837000000.00
2017-11-01,488526000000.00
2017-12-01,485454000000.00
2018-01-01,461712000000.00
2018-02-01,435215000000.00
2018-03-01,504379000000.00
2018-04-01,487505000000.00
