Date,U33HVS
2003-09-01,2845000000.00
2003-10-01,2592000000.00
2003-11-01,2588000000.00
2003-12-01,3073000000.00
2004-01-01,2244000000.00
2004-02-01,2349000000.00
2004-03-01,3109000000.00
2004-04-01,2766000000.00
2004-05-01,2947000000.00
2004-06-01,3496000000.00
2004-07-01,2790000000.00
2004-08-01,2839000000.00
2004-09-01,3145000000.00
2004-10-01,2713000000.00
2004-11-01,2827000000.00
2004-12-01,3149000000.00
2005-01-01,2498000000.00
2005-02-01,2605000000.00
2005-03-01,3351000000.00
2005-04-01,2933000000.00
2005-05-01,3158000000.00
2005-06-01,3742000000.00
2005-07-01,3005000000.00
2005-08-01,3376000000.00
2005-09-01,3624000000.00
2005-10-01,3108000000.00
2005-11-01,3207000000.00
2005-12-01,3283000000.00
2006-01-01,2744000000.00
2006-02-01,2746000000.00
2006-03-01,3533000000.00
2006-04-01,2987000000.00
2006-05-01,3329000000.00
2006-06-01,3947000000.00
2006-07-01,3188000000.00
2006-08-01,3588000000.00
2006-09-01,3626000000.00
2006-10-01,3161000000.00
2006-11-01,3094000000.00
2006-12-01,3263000000.00
2007-01-01,2734000000.00
2007-02-01,2892000000.00
2007-03-01,3737000000.00
2007-04-01,3277000000.00
2007-05-01,3660000000.00
2007-06-01,4160000000.00
2007-07-01,3586000000.00
2007-08-01,3452000000.00
2007-09-01,3585000000.00
2007-10-01,3180000000.00
2007-11-01,3193000000.00
2007-12-01,3048000000.00
2008-01-01,2752000000.00
2008-02-01,3817000000.00
2008-03-01,4016000000.00
2008-04-01,3221000000.00
2008-05-01,3469000000.00
2008-06-01,4252000000.00
2008-07-01,3642000000.00
2008-08-01,3504000000.00
2008-09-01,3566000000.00
2008-10-01,3009000000.00
2008-11-01,2728000000.00
2008-12-01,2911000000.00
2009-01-01,2229000000.00
2009-02-01,2456000000.00
2009-03-01,2981000000.00
2009-04-01,2724000000.00
2009-05-01,3117000000.00
2009-06-01,3770000000.00
2009-07-01,3238000000.00
2009-08-01,3072000000.00
2009-09-01,3183000000.00
2009-10-01,2820000000.00
2009-11-01,2721000000.00
2009-12-01,3093000000.00
2010-01-01,2448000000.00
2010-02-01,2291000000.00
2010-03-01,3004000000.00
2010-04-01,2936000000.00
2010-05-01,3123000000.00
2010-06-01,3902000000.00
2010-07-01,3171000000.00
2010-08-01,3264000000.00
2010-09-01,3379000000.00
2010-10-01,2873000000.00
2010-11-01,2920000000.00
2010-12-01,3295000000.00
2011-01-01,2618000000.00
2011-02-01,2616000000.00
2011-03-01,3311000000.00
2011-04-01,3111000000.00
2011-05-01,3488000000.00
2011-06-01,4449000000.00
2011-07-01,3474000000.00
2011-08-01,3660000000.00
2011-09-01,3511000000.00
2011-10-01,2836000000.00
2011-11-01,2857000000.00
2011-12-01,3083000000.00
2012-01-01,2557000000.00
2012-02-01,2818000000.00
2012-03-01,3655000000.00
2012-04-01,3393000000.00
2012-05-01,3875000000.00
2012-06-01,4582000000.00
2012-07-01,3764000000.00
2012-08-01,3859000000.00
2012-09-01,3527000000.00
2012-10-01,3209000000.00
2012-11-01,3275000000.00
2012-12-01,3311000000.00
2013-01-01,2873000000.00
2013-02-01,2963000000.00
2013-03-01,3486000000.00
2013-04-01,3758000000.00
2013-05-01,4107000000.00
2013-06-01,4332000000.00
2013-07-01,3981000000.00
2013-08-01,3849000000.00
2013-09-01,3725000000.00
2013-10-01,3411000000.00
2013-11-01,3189000000.00
2013-12-01,3281000000.00
2014-01-01,2992000000.00
2014-02-01,2857000000.00
2014-03-01,3526000000.00
2014-04-01,3506000000.00
2014-05-01,3950000000.00
2014-06-01,4446000000.00
2014-07-01,3844000000.00
2014-08-01,3664000000.00
2014-09-01,3699000000.00
2014-10-01,3344000000.00
2014-11-01,3072000000.00
2014-12-01,3395000000.00
2015-01-01,2849000000.00
2015-02-01,2892000000.00
2015-03-01,3775000000.00
2015-04-01,3655000000.00
2015-05-01,3956000000.00
2015-06-01,4648000000.00
2015-07-01,4142000000.00
2015-08-01,3907000000.00
2015-09-01,3897000000.00
2015-10-01,3490000000.00
2015-11-01,3292000000.00
2015-12-01,3572000000.00
2016-01-01,2908000000.00
2016-02-01,3134000000.00
2016-03-01,3900000000.00
2016-04-01,3430000000.00
2016-05-01,3707000000.00
2016-06-01,4554000000.00
2016-07-01,3769000000.00
2016-08-01,3987000000.00
2016-09-01,3814000000.00
2016-10-01,3223000000.00
2016-11-01,3186000000.00
2016-12-01,3505000000.00
2017-01-01,2877000000.00
2017-02-01,2959000000.00
2017-03-01,4128000000.00
2017-04-01,3539000000.00
2017-05-01,4036000000.00
2017-06-01,4737000000.00
2017-07-01,3781000000.00
2017-08-01,3909000000.00
2017-09-01,3871000000.00
2017-10-01,3373000000.00
2017-11-01,3402000000.00
2017-12-01,3545000000.00
2018-01-01,3067000000.00
2018-02-01,3021000000.00
2018-03-01,4139000000.00
2018-04-01,3693000000.00
