Date,CPIEALL
1991-06-01,142.90
1991-07-01,143.20
1991-08-01,143.60
1991-09-01,144.00
1991-10-01,144.10
1991-11-01,144.50
1991-12-01,144.80
1992-01-01,145.40
1992-02-01,146.00
1992-03-01,146.70
1992-04-01,146.80
1992-05-01,147.00
1992-06-01,147.30
1992-07-01,147.80
1992-08-01,148.20
1992-09-01,148.40
1992-10-01,149.00
1992-11-01,149.20
1992-12-01,149.20
1993-01-01,150.10
1993-02-01,150.70
1993-03-01,151.20
1993-04-01,151.70
1993-05-01,152.00
1993-06-01,152.20
1993-07-01,152.40
1993-08-01,152.80
1993-09-01,152.90
1993-10-01,153.40
1993-11-01,153.60
1993-12-01,153.80
1994-01-01,154.40
1994-02-01,155.00
1994-03-01,155.60
1994-04-01,155.70
1994-05-01,155.80
1994-06-01,156.30
1994-07-01,156.90
1994-08-01,157.50
1994-09-01,157.70
1994-10-01,157.90
1994-11-01,158.00
1994-12-01,158.00
1995-01-01,158.90
1995-02-01,159.50
1995-03-01,160.00
1995-04-01,160.50
1995-05-01,160.80
1995-06-01,161.20
1995-07-01,161.50
1995-08-01,161.90
1995-09-01,162.10
1995-10-01,162.50
1995-11-01,162.50
1995-12-01,162.40
1996-01-01,163.50
1996-02-01,164.10
1996-03-01,164.90
1996-04-01,165.40
1996-05-01,165.70
1996-06-01,165.90
1996-07-01,166.50
1996-08-01,166.70
1996-09-01,167.00
1996-10-01,167.60
1996-11-01,167.80
1996-12-01,167.90
1997-01-01,168.60
1997-02-01,169.20
1997-03-01,169.60
1997-04-01,169.70
1997-05-01,169.60
1997-06-01,169.90
1997-07-01,170.30
1997-08-01,170.60
1997-09-01,170.80
1997-10-01,171.20
1997-11-01,171.20
1997-12-01,171.00
1998-01-01,171.50
1998-02-01,171.90
1998-03-01,172.30
1998-04-01,172.60
1998-05-01,173.00
1998-06-01,173.20
1998-07-01,173.60
1998-08-01,173.90
1998-09-01,173.90
1998-10-01,174.30
1998-11-01,174.30
1998-12-01,174.20
1999-01-01,174.70
1999-02-01,175.10
1999-03-01,175.70
1999-04-01,176.80
1999-05-01,176.80
1999-06-01,177.00
1999-07-01,177.60
1999-08-01,178.00
1999-09-01,178.60
1999-10-01,178.90
1999-11-01,179.00
1999-12-01,179.00
2000-01-01,179.80
2000-02-01,181.00
2000-03-01,182.30
2000-04-01,182.40
2000-05-01,182.60
2000-06-01,183.80
2000-07-01,184.20
2000-08-01,184.40
2000-09-01,185.10
2000-10-01,185.40
2000-11-01,185.50
2000-12-01,185.40
2001-01-01,186.90
2001-02-01,187.80
2001-03-01,188.30
2001-04-01,188.90
2001-05-01,189.60
2001-06-01,190.30
2001-07-01,189.80
2001-08-01,190.00
2001-09-01,190.40
2001-10-01,189.70
2001-11-01,189.50
2001-12-01,188.90
2002-01-01,189.70
2002-02-01,190.50
2002-03-01,191.50
2002-04-01,192.40
2002-05-01,192.40
2002-06-01,192.70
2002-07-01,193.10
2002-08-01,193.60
2002-09-01,193.80
2002-10-01,194.10
2002-11-01,194.20
2002-12-01,193.90
2003-01-01,194.80
2003-02-01,196.30
2003-03-01,197.40
2003-04-01,197.00
2003-05-01,196.90
2003-06-01,197.20
2003-07-01,197.60
2003-08-01,198.20
2003-09-01,198.50
2003-10-01,198.60
2003-11-01,198.10
2003-12-01,198.00
2004-01-01,199.20
2004-02-01,200.30
2004-03-01,201.70
2004-04-01,202.40
2004-05-01,203.30
2004-06-01,204.20
2004-07-01,204.30
2004-08-01,204.30
2004-09-01,204.40
2004-10-01,205.40
2004-11-01,205.40
2004-12-01,204.70
2005-01-01,205.40
2005-02-01,206.70
2005-03-01,208.60
2005-04-01,209.80
2005-05-01,209.50
2005-06-01,209.70
2005-07-01,210.90
2005-08-01,211.60
2005-09-01,213.40
2005-10-01,214.30
2005-11-01,213.00
2005-12-01,212.10
2006-01-01,213.80
2006-02-01,214.40
2006-03-01,215.50
2006-04-01,217.00
2006-05-01,217.80
2006-06-01,218.50
2006-07-01,219.20
2006-08-01,219.60
2006-09-01,218.70
2006-10-01,217.80
2006-11-01,217.50
2006-12-01,217.80
2007-01-01,218.83
2007-02-01,220.08
2007-03-01,221.82
2007-04-01,223.10
2007-05-01,224.18
2007-06-01,224.81
2007-07-01,224.93
2007-08-01,224.59
2007-09-01,224.94
2007-10-01,225.39
2007-11-01,226.57
2007-12-01,226.54
2008-01-01,227.89
2008-02-01,228.72
2008-03-01,230.68
2008-04-01,231.82
2008-05-01,233.50
2008-06-01,235.77
2008-07-01,237.16
2008-08-01,236.20
2008-09-01,235.53
2008-10-01,233.49
2008-11-01,229.76
2008-12-01,227.78
2009-01-01,228.90
2009-02-01,229.94
2009-03-01,230.48
2009-04-01,230.83
2009-05-01,231.25
2009-06-01,233.04
2009-07-01,232.88
2009-08-01,233.06
2009-09-01,232.94
2009-10-01,233.16
2009-11-01,233.11
2009-12-01,232.76
2010-01-01,233.62
2010-02-01,233.76
2010-03-01,234.56
2010-04-01,234.93
2010-05-01,235.10
2010-06-01,235.02
2010-07-01,235.08
2010-08-01,235.28
2010-09-01,235.37
2010-10-01,235.61
2010-11-01,235.69
2010-12-01,236.08
2011-01-01,237.20
2011-02-01,238.35
2011-03-01,240.27
2011-04-01,241.51
2011-05-01,242.54
2011-06-01,242.52
2011-07-01,242.79
2011-08-01,243.31
2011-09-01,243.63
2011-10-01,243.26
2011-11-01,243.14
2011-12-01,242.76
2012-01-01,243.82
2012-02-01,244.78
2012-03-01,246.29
2012-04-01,247.00
2012-05-01,246.81
2012-06-01,246.72
2012-07-01,246.49
2012-08-01,247.57
2012-09-01,248.46
2012-10-01,248.36
2012-11-01,247.54
2012-12-01,247.11
2013-01-01,247.90
2013-02-01,249.63
2013-03-01,250.21
2013-04-01,250.07
2013-05-01,250.50
2013-06-01,251.15
2013-07-01,251.30
2013-08-01,251.56
2013-09-01,251.79
2013-10-01,251.26
2013-11-01,250.92
2013-12-01,250.98
2014-01-01,252.09
2014-02-01,253.07
2014-03-01,254.52
2014-04-01,255.18
2014-05-01,256.14
2014-06-01,256.65
2014-07-01,256.65
2014-08-01,256.31
2014-09-01,256.48
2014-10-01,256.08
2014-11-01,255.13
2014-12-01,254.12
2015-01-01,253.38
2015-02-01,254.37
2015-03-01,255.61
2015-04-01,256.17
2015-05-01,257.24
2015-06-01,258.20
2015-07-01,258.30
2015-08-01,257.98
2015-09-01,257.70
2015-10-01,257.74
2015-11-01,257.40
2015-12-01,256.76
2016-01-01,257.33
2016-02-01,257.76
2016-03-01,258.71
2016-04-01,259.77
2016-05-01,260.80
2016-06-01,261.69
2016-07-01,261.50
2016-08-01,261.85
2016-09-01,262.42
2016-10-01,262.72
2016-11-01,262.52
2016-12-01,262.68
2017-01-01,264.15
2017-02-01,265.08
2017-03-01,265.36
2017-04-01,266.03
2017-05-01,266.31
2017-06-01,266.67
2017-07-01,266.58
2017-08-01,267.22
2017-09-01,268.32
2017-10-01,268.31
2017-11-01,268.37
2017-12-01,268.38
2018-01-01,269.83
2018-02-01,270.96
2018-03-01,271.62
2018-04-01,272.53
2018-05-01,273.57
