Date,U34IUO
2006-04-01,6201000000.00
2006-05-01,6065000000.00
2006-06-01,5991000000.00
2006-07-01,6360000000.00
2006-08-01,6379000000.00
2006-09-01,6525000000.00
2006-10-01,6558000000.00
2006-11-01,7953000000.00
2006-12-01,7174000000.00
2007-01-01,7553000000.00
2007-02-01,7637000000.00
2007-03-01,7848000000.00
2007-04-01,7660000000.00
2007-05-01,7727000000.00
2007-06-01,7483000000.00
2007-07-01,7482000000.00
2007-08-01,7774000000.00
2007-09-01,8325000000.00
2007-10-01,8426000000.00
2007-11-01,8408000000.00
2007-12-01,8254000000.00
2008-01-01,8437000000.00
2008-02-01,8602000000.00
2008-03-01,8337000000.00
2008-04-01,8379000000.00
2008-05-01,8376000000.00
2008-06-01,8858000000.00
2008-07-01,9074000000.00
2008-08-01,9297000000.00
2008-09-01,9338000000.00
2008-10-01,9421000000.00
2008-11-01,10518000000.00
2008-12-01,10488000000.00
2009-01-01,10282000000.00
2009-02-01,9870000000.00
2009-03-01,10020000000.00
2009-04-01,9950000000.00
2009-05-01,9768000000.00
2009-06-01,9542000000.00
2009-07-01,9314000000.00
2009-08-01,8990000000.00
2009-09-01,8769000000.00
2009-10-01,8711000000.00
2009-11-01,8635000000.00
2009-12-01,8473000000.00
2010-01-01,8411000000.00
2010-02-01,8421000000.00
2010-03-01,8447000000.00
2010-04-01,8475000000.00
2010-05-01,8404000000.00
2010-06-01,8346000000.00
2010-07-01,8465000000.00
2010-08-01,8453000000.00
2010-09-01,8260000000.00
2010-10-01,8198000000.00
2010-11-01,8262000000.00
2010-12-01,8073000000.00
2011-01-01,8359000000.00
2011-02-01,8668000000.00
2011-03-01,8385000000.00
2011-04-01,8677000000.00
2011-05-01,8748000000.00
2011-06-01,8966000000.00
2011-07-01,9036000000.00
2011-08-01,9096000000.00
2011-09-01,9439000000.00
2011-10-01,9703000000.00
2011-11-01,10169000000.00
2011-12-01,10181000000.00
2012-01-01,10400000000.00
2012-02-01,10721000000.00
2012-03-01,10938000000.00
2012-04-01,11691000000.00
2012-05-01,12025000000.00
2012-06-01,12429000000.00
2012-07-01,12516000000.00
2012-08-01,12696000000.00
2012-09-01,12987000000.00
2012-10-01,13339000000.00
2012-11-01,13582000000.00
2012-12-01,13436000000.00
2013-01-01,13440000000.00
2013-02-01,13372000000.00
2013-03-01,13191000000.00
2013-04-01,13524000000.00
2013-05-01,13428000000.00
2013-06-01,13381000000.00
2013-07-01,13399000000.00
2013-08-01,13275000000.00
2013-09-01,13146000000.00
2013-10-01,13138000000.00
2013-11-01,13041000000.00
2013-12-01,12586000000.00
2014-01-01,12732000000.00
2014-02-01,12914000000.00
2014-03-01,12983000000.00
2014-04-01,13386000000.00
2014-05-01,13531000000.00
2014-06-01,13918000000.00
2014-07-01,14101000000.00
2014-08-01,14237000000.00
2014-09-01,14507000000.00
2014-10-01,14789000000.00
2014-11-01,14902000000.00
2014-12-01,14752000000.00
2015-01-01,14930000000.00
2015-02-01,15134000000.00
2015-03-01,15344000000.00
2015-04-01,15774000000.00
2015-05-01,15890000000.00
2015-06-01,16090000000.00
2015-07-01,16263000000.00
2015-08-01,16422000000.00
2015-09-01,16516000000.00
2015-10-01,16744000000.00
2015-11-01,16879000000.00
2015-12-01,16661000000.00
2016-01-01,16829000000.00
2016-02-01,16998000000.00
2016-03-01,17055000000.00
2016-04-01,17353000000.00
2016-05-01,17418000000.00
2016-06-01,17646000000.00
2016-07-01,17835000000.00
2016-08-01,17944000000.00
2016-09-01,18082000000.00
2016-10-01,18305000000.00
2016-11-01,18531000000.00
2016-12-01,18484000000.00
2017-01-01,18609000000.00
2017-02-01,18706000000.00
2017-03-01,18679000000.00
2017-04-01,18861000000.00
2017-05-01,18824000000.00
2017-06-01,18808000000.00
2017-07-01,18975000000.00
2017-08-01,18974000000.00
2017-09-01,19090000000.00
2017-10-01,19150000000.00
2017-11-01,19343000000.00
2017-12-01,19073000000.00
2018-01-01,19157000000.00
2018-02-01,19158000000.00
2018-03-01,19233000000.00
2018-04-01,19417000000.00
