Date,PERMITNSA
1968-02-01,90200.00
1968-03-01,117500.00
1968-04-01,134800.00
1968-05-01,132800.00
1968-06-01,116200.00
1968-07-01,120100.00
1968-08-01,115700.00
1968-09-01,118200.00
1968-10-01,129900.00
1968-11-01,106100.00
1968-12-01,97300.00
1969-01-01,94100.00
1969-02-01,96200.00
1969-03-01,121700.00
1969-04-01,149300.00
1969-05-01,128600.00
1969-06-01,125500.00
1969-07-01,114000.00
1969-08-01,106100.00
1969-09-01,106800.00
1969-10-01,111100.00
1969-11-01,84400.00
1969-12-01,85900.00
1970-01-01,67500.00
1970-02-01,72900.00
1970-03-01,99500.00
1970-04-01,125500.00
1970-05-01,122000.00
1970-06-01,129000.00
1970-07-01,118300.00
1970-08-01,113700.00
1970-09-01,121000.00
1970-10-01,136300.00
1970-11-01,113100.00
1970-12-01,132600.00
1971-01-01,98800.00
1971-02-01,104100.00
1971-03-01,157600.00
1971-04-01,175300.00
1971-05-01,180900.00
1971-06-01,186000.00
1971-07-01,177600.00
1971-08-01,174500.00
1971-09-01,168600.00
1971-10-01,169000.00
1971-11-01,165100.00
1971-12-01,167100.00
1972-01-01,137300.00
1972-02-01,148100.00
1972-03-01,191100.00
1972-04-01,191800.00
1972-05-01,206900.00
1972-06-01,214600.00
1972-07-01,179600.00
1972-08-01,206400.00
1972-09-01,190600.00
1972-10-01,201100.00
1972-11-01,176800.00
1972-12-01,174600.00
1973-01-01,152100.00
1973-02-01,145700.00
1973-03-01,184400.00
1973-04-01,185400.00
1973-05-01,191700.00
1973-06-01,193700.00
1973-07-01,157300.00
1973-08-01,162900.00
1973-09-01,125200.00
1973-10-01,122900.00
1973-11-01,107200.00
1973-12-01,91100.00
1974-01-01,87500.00
1974-02-01,86700.00
1974-03-01,120100.00
1974-04-01,130900.00
1974-05-01,116500.00
1974-06-01,102200.00
1974-07-01,95500.00
1974-08-01,81700.00
1974-09-01,66800.00
1974-10-01,71100.00
1974-11-01,55100.00
1974-12-01,60300.00
1975-01-01,43500.00
1975-02-01,45200.00
1975-03-01,60500.00
1975-04-01,89300.00
1975-05-01,91200.00
1975-06-01,94000.00
1975-07-01,98700.00
1975-08-01,85300.00
1975-09-01,90600.00
1975-10-01,95200.00
1975-11-01,73200.00
1975-12-01,72500.00
1976-01-01,67600.00
1976-02-01,73400.00
1976-03-01,110600.00
1976-04-01,117000.00
1976-05-01,112700.00
1976-06-01,122700.00
1976-07-01,113700.00
1976-08-01,116900.00
1976-09-01,125800.00
1976-10-01,117500.00
1976-11-01,114000.00
1976-12-01,104200.00
1977-01-01,80200.00
1977-02-01,97300.00
1977-03-01,158200.00
1977-04-01,161200.00
1977-05-01,162300.00
1977-06-01,175900.00
1977-07-01,145700.00
1977-08-01,164500.00
1977-09-01,144200.00
1977-10-01,146100.00
1977-11-01,135900.00
1977-12-01,118400.00
1978-01-01,97200.00
1978-02-01,105700.00
1978-03-01,166500.00
1978-04-01,175300.00
1978-05-01,177900.00
1978-06-01,200200.00
1978-07-01,151900.00
1978-08-01,159300.00
1978-09-01,152400.00
1978-10-01,160700.00
1978-11-01,138000.00
1978-12-01,115400.00
1979-01-01,88100.00
1979-02-01,91700.00
1979-03-01,151300.00
1979-04-01,147100.00
1979-05-01,164100.00
1979-06-01,156300.00
1979-07-01,138900.00
1979-08-01,151900.00
1979-09-01,140700.00
1979-10-01,140500.00
1979-11-01,99600.00
1979-12-01,81600.00
1980-01-01,76800.00
1980-02-01,77900.00
1980-03-01,83200.00
1980-04-01,77300.00
1980-05-01,79000.00
1980-06-01,103100.00
1980-07-01,115500.00
1980-08-01,118200.00
1980-09-01,144300.00
1980-10-01,129300.00
1980-11-01,96800.00
1980-12-01,89200.00
1981-01-01,72800.00
1981-02-01,74400.00
1981-03-01,103300.00
1981-04-01,113300.00
1981-05-01,102300.00
1981-06-01,95400.00
1981-07-01,85900.00
1981-08-01,75900.00
1981-09-01,82500.00
1981-10-01,66800.00
1981-11-01,54900.00
1981-12-01,58100.00
1982-01-01,47600.00
1982-02-01,52400.00
1982-03-01,81000.00
1982-04-01,82700.00
1982-05-01,82200.00
1982-06-01,89400.00
1982-07-01,92200.00
1982-08-01,82400.00
1982-09-01,101200.00
1982-10-01,99700.00
1982-11-01,93200.00
1982-12-01,96500.00
1983-01-01,83700.00
1983-02-01,93400.00
1983-03-01,135500.00
1983-04-01,138800.00
1983-05-01,150700.00
1983-06-01,173200.00
1983-07-01,148600.00
1983-08-01,155500.00
1983-09-01,149500.00
1983-10-01,142600.00
1983-11-01,124700.00
1983-12-01,108900.00
1984-01-01,114100.00
1984-02-01,130100.00
1984-03-01,152300.00
1984-04-01,161000.00
1984-05-01,169400.00
1984-06-01,172300.00
1984-07-01,141500.00
1984-08-01,142600.00
1984-09-01,131900.00
1984-10-01,137300.00
1984-11-01,122900.00
1984-12-01,106500.00
1985-01-01,106400.00
1985-02-01,104400.00
1985-03-01,146000.00
1985-04-01,160800.00
1985-05-01,168900.00
1985-06-01,156500.00
1985-07-01,158400.00
1985-08-01,159500.00
1985-09-01,168800.00
1985-10-01,157500.00
1985-11-01,118600.00
1985-12-01,127500.00
1986-01-01,118300.00
1986-02-01,111100.00
1986-03-01,152800.00
1986-04-01,182200.00
1986-05-01,170200.00
1986-06-01,173700.00
1986-07-01,167100.00
1986-08-01,146500.00
1986-09-01,153700.00
1986-10-01,150200.00
1986-11-01,110300.00
1986-12-01,133400.00
1987-01-01,101000.00
1987-02-01,102000.00
1987-03-01,152100.00
1987-04-01,157900.00
1987-05-01,137300.00
1987-06-01,157500.00
1987-07-01,142000.00
1987-08-01,128900.00
1987-09-01,136500.00
1987-10-01,124000.00
1987-11-01,102200.00
1987-12-01,93400.00
1988-01-01,71700.00
1988-02-01,93300.00
1988-03-01,140400.00
1988-04-01,135300.00
1988-05-01,138700.00
1988-06-01,153900.00
1988-07-01,121700.00
1988-08-01,137300.00
1988-09-01,127900.00
1988-10-01,124000.00
1988-11-01,110000.00
1988-12-01,101400.00
1989-01-01,88500.00
1989-02-01,86000.00
1989-03-01,116400.00
1989-04-01,122900.00
1989-05-01,135200.00
1989-06-01,137200.00
1989-07-01,108300.00
1989-08-01,125600.00
1989-09-01,110700.00
1989-10-01,116500.00
1989-11-01,98900.00
1989-12-01,92300.00
1990-01-01,112600.00
1990-02-01,82800.00
1990-03-01,111000.00
1990-04-01,105800.00
1990-05-01,107900.00
1990-06-01,111600.00
1990-07-01,96200.00
1990-08-01,99800.00
1990-09-01,79200.00
1990-10-01,82500.00
1990-11-01,67800.00
1990-12-01,53600.00
1991-01-01,51500.00
1991-02-01,54100.00
1991-03-01,78700.00
1991-04-01,90900.00
1991-05-01,98300.00
1991-06-01,93200.00
1991-07-01,91300.00
1991-08-01,84900.00
1991-09-01,80600.00
1991-10-01,89800.00
1991-11-01,67100.00
1991-12-01,68500.00
1992-01-01,67900.00
1992-02-01,72600.00
1992-03-01,97700.00
1992-04-01,103900.00
1992-05-01,97100.00
1992-06-01,109200.00
1992-07-01,101100.00
1992-08-01,93000.00
1992-09-01,99200.00
1992-10-01,97100.00
1992-11-01,76400.00
1992-12-01,79500.00
1993-01-01,67100.00
1993-02-01,73100.00
1993-03-01,99100.00
1993-04-01,107300.00
1993-05-01,101700.00
1993-06-01,117800.00
1993-07-01,104500.00
1993-08-01,111900.00
1993-09-01,111500.00
1993-10-01,107000.00
1993-11-01,98100.00
1993-12-01,100100.00
1994-01-01,80700.00
1994-02-01,81700.00
1994-03-01,126400.00
1994-04-01,127600.00
1994-05-01,131400.00
1994-06-01,138800.00
1994-07-01,114800.00
1994-08-01,131500.00
1994-09-01,127200.00
1994-10-01,117000.00
1994-11-01,100500.00
1994-12-01,94200.00
1995-01-01,78000.00
1995-02-01,80400.00
1995-03-01,111500.00
1995-04-01,109700.00
1995-05-01,122800.00
1995-06-01,129300.00
1995-07-01,115600.00
1995-08-01,133500.00
1995-09-01,124100.00
1995-10-01,122200.00
1995-11-01,107800.00
1995-12-01,97400.00
1996-01-01,88300.00
1996-02-01,96000.00
1996-03-01,120400.00
1996-04-01,140100.00
1996-05-01,140500.00
1996-06-01,131400.00
1996-07-01,135100.00
1996-08-01,129100.00
1996-09-01,121100.00
1996-10-01,123700.00
1996-11-01,100700.00
1996-12-01,99200.00
1997-01-01,88100.00
1997-02-01,94100.00
1997-03-01,120100.00
1997-04-01,137200.00
1997-05-01,131600.00
1997-06-01,133600.00
1997-07-01,133700.00
1997-08-01,126000.00
1997-09-01,134400.00
1997-10-01,135500.00
1997-11-01,100400.00
1997-12-01,106400.00
1998-01-01,96200.00
1998-02-01,107400.00
1998-03-01,140900.00
1998-04-01,146300.00
1998-05-01,138200.00
1998-06-01,153400.00
1998-07-01,149300.00
1998-08-01,144700.00
1998-09-01,141700.00
1998-10-01,149800.00
1998-11-01,119900.00
1998-12-01,124500.00
1999-01-01,105700.00
1999-02-01,114700.00
1999-03-01,154600.00
1999-04-01,151800.00
1999-05-01,145100.00
1999-06-01,169300.00
1999-07-01,149100.00
1999-08-01,151900.00
1999-09-01,137300.00
1999-10-01,137600.00
1999-11-01,125600.00
1999-12-01,120900.00
2000-01-01,107300.00
2000-02-01,121800.00
2000-03-01,153700.00
2000-04-01,138900.00
2000-05-01,148900.00
2000-06-01,155100.00
2000-07-01,129800.00
2000-08-01,146800.00
2000-09-01,131400.00
2000-10-01,134800.00
2000-11-01,121000.00
2000-12-01,102900.00
2001-01-01,117000.00
2001-02-01,114300.00
2001-03-01,147700.00
2001-04-01,148600.00
2001-05-01,159800.00
2001-06-01,153900.00
2001-07-01,140600.00
2001-08-01,151400.00
2001-09-01,125200.00
2001-10-01,140200.00
2001-11-01,124400.00
2001-12-01,113600.00
2002-01-01,115700.00
2002-02-01,122500.00
2002-03-01,143200.00
2002-04-01,156000.00
2002-05-01,164200.00
2002-06-01,158000.00
2002-07-01,159300.00
2002-08-01,153700.00
2002-09-01,149500.00
2002-10-01,162900.00
2002-11-01,126800.00
2002-12-01,135800.00
2003-01-01,126400.00
2003-02-01,128500.00
2003-03-01,148400.00
2003-04-01,167600.00
2003-05-01,169500.00
2003-06-01,175800.00
2003-07-01,173000.00
2003-08-01,169900.00
2003-09-01,169100.00
2003-10-01,182800.00
2003-11-01,130500.00
2003-12-01,147900.00
2004-01-01,132000.00
2004-02-01,137100.00
2004-03-01,190700.00
2004-04-01,192500.00
2004-05-01,188400.00
2004-06-01,197100.00
2004-07-01,185900.00
2004-08-01,185200.00
2004-09-01,174900.00
2004-10-01,174500.00
2004-11-01,156400.00
2004-12-01,155200.00
2005-01-01,139700.00
2005-02-01,149400.00
2005-03-01,190500.00
2005-04-01,193200.00
2005-05-01,193100.00
2005-06-01,211900.00
2005-07-01,185500.00
2005-08-01,208000.00
2005-09-01,193700.00
2005-10-01,176000.00
2005-11-01,162900.00
2005-12-01,151300.00
2006-01-01,152600.00
2006-02-01,151000.00
2006-03-01,194200.00
2006-04-01,168600.00
2006-05-01,184400.00
2006-06-01,184200.00
2006-07-01,148000.00
2006-08-01,161200.00
2006-09-01,136600.00
2006-10-01,133100.00
2006-11-01,111400.00
2006-12-01,113600.00
2007-01-01,114100.00
2007-02-01,112100.00
2007-03-01,139400.00
2007-04-01,130900.00
2007-05-01,146000.00
2007-06-01,135600.00
2007-07-01,122500.00
2007-08-01,126000.00
2007-09-01,100500.00
2007-10-01,103800.00
2007-11-01,89500.00
2007-12-01,77800.00
2008-01-01,77400.00
2008-02-01,75000.00
2008-03-01,79100.00
2008-04-01,91500.00
2008-05-01,92300.00
2008-06-01,110600.00
2008-07-01,85900.00
2008-08-01,76300.00
2008-09-01,70900.00
2008-10-01,63700.00
2008-11-01,41500.00
2008-12-01,41200.00
2009-01-01,37600.00
2009-02-01,39200.00
2009-03-01,45400.00
2009-04-01,47800.00
2009-05-01,49500.00
2009-06-01,61300.00
2009-07-01,56100.00
2009-08-01,54000.00
2009-09-01,52900.00
2009-10-01,47900.00
2009-11-01,42100.00
2009-12-01,49200.00
2010-01-01,40400.00
2010-02-01,45300.00
2010-03-01,64100.00
2010-04-01,58900.00
2010-05-01,51100.00
2010-06-01,59200.00
2010-07-01,51600.00
2010-08-01,53700.00
2010-09-01,48500.00
2010-10-01,43500.00
2010-11-01,40900.00
2010-12-01,47600.00
2011-01-01,36300.00
2011-02-01,37700.00
2011-03-01,54400.00
2011-04-01,50700.00
2011-05-01,57300.00
2011-06-01,63800.00
2011-07-01,52600.00
2011-08-01,62600.00
2011-09-01,53200.00
2011-10-01,52000.00
2011-11-01,51900.00
2011-12-01,51600.00
2012-01-01,47800.00
2012-02-01,53500.00
2012-03-01,69500.00
2012-04-01,64100.00
2012-05-01,77700.00
2012-06-01,75900.00
2012-07-01,74100.00
2012-08-01,80000.00
2012-09-01,73700.00
2012-10-01,77500.00
2012-11-01,68700.00
2012-12-01,67200.00
2013-01-01,65500.00
2013-02-01,67800.00
2013-03-01,77700.00
2013-04-01,92800.00
2013-05-01,97200.00
2013-06-01,85700.00
2013-07-01,90200.00
2013-08-01,87100.00
2013-09-01,83100.00
2013-10-01,92500.00
2013-11-01,73500.00
2013-12-01,77800.00
2014-01-01,68600.00
2014-02-01,72300.00
2014-03-01,86300.00
2014-04-01,99100.00
2014-05-01,93800.00
2014-06-01,95700.00
2014-07-01,97100.00
2014-08-01,90300.00
2014-09-01,92700.00
2014-10-01,98400.00
2014-11-01,72800.00
2014-12-01,85000.00
2015-01-01,71000.00
2015-02-01,78600.00
2015-03-01,92500.00
2015-04-01,106000.00
2015-05-01,111900.00
2015-06-01,134800.00
2015-07-01,103200.00
2015-08-01,98400.00
2015-09-01,98300.00
2015-10-01,99300.00
2015-11-01,91000.00
2015-12-01,97500.00
2016-01-01,76200.00
2016-02-01,86300.00
2016-03-01,99800.00
2016-04-01,101900.00
2016-05-01,110300.00
2016-06-01,117600.00
2016-07-01,97900.00
2016-08-01,111600.00
2016-09-01,111700.00
2016-10-01,104000.00
2016-11-01,94500.00
2016-12-01,94800.00
2017-01-01,90600.00
2017-02-01,86900.00
2017-03-01,115300.00
2017-04-01,105000.00
2017-05-01,115300.00
2017-06-01,130800.00
2017-07-01,102900.00
2017-08-01,122100.00
2017-09-01,103300.00
2017-10-01,116300.00
2017-11-01,98800.00
2017-12-01,94800.00
2018-01-01,96700.00
2018-02-01,92100.00
2018-03-01,117600.00
2018-04-01,119900.00
2018-05-01,125000.00
