Date,RTWVDWV684NMFRBDAL
1998-06-01,111.48
1998-07-01,112.09
1998-08-01,113.71
1998-09-01,111.32
1998-10-01,109.10
1998-11-01,109.48
1998-12-01,108.94
1999-01-01,109.18
1999-02-01,111.53
1999-03-01,113.83
1999-04-01,113.58
1999-05-01,113.37
1999-06-01,114.24
1999-07-01,114.94
1999-08-01,113.61
1999-09-01,113.09
1999-10-01,112.27
1999-11-01,113.01
1999-12-01,112.85
2000-01-01,112.41
2000-02-01,114.26
2000-03-01,115.37
2000-04-01,116.20
2000-05-01,119.14
2000-06-01,117.16
2000-07-01,117.76
2000-08-01,118.92
2000-09-01,120.67
2000-10-01,122.75
2000-11-01,123.76
2000-12-01,122.15
2001-01-01,121.65
2001-02-01,122.99
2001-03-01,125.69
2001-04-01,126.76
2001-05-01,126.69
2001-06-01,127.49
2001-07-01,127.56
2001-08-01,125.66
2001-09-01,126.67
2001-10-01,127.47
2001-11-01,128.62
2001-12-01,127.87
2002-01-01,129.38
2002-02-01,129.88
2002-03-01,129.44
2002-04-01,128.92
2002-05-01,126.59
2002-06-01,124.82
2002-07-01,123.34
2002-08-01,124.98
2002-09-01,125.91
2002-10-01,127.12
2002-11-01,125.31
2002-12-01,124.24
2003-01-01,121.74
2003-02-01,121.42
2003-03-01,120.76
2003-04-01,119.52
2003-05-01,114.61
2003-06-01,113.57
2003-07-01,115.10
2003-08-01,116.44
2003-09-01,114.82
2003-10-01,111.81
2003-11-01,111.07
2003-12-01,109.26
2004-01-01,107.47
2004-02-01,108.75
2004-03-01,109.98
2004-04-01,111.00
2004-05-01,113.76
2004-06-01,112.69
2004-07-01,111.09
2004-08-01,110.87
2004-09-01,110.04
2004-10-01,108.27
2004-11-01,104.99
2004-12-01,103.88
2005-01-01,104.53
2005-02-01,105.17
2005-03-01,104.64
2005-04-01,106.26
2005-05-01,106.78
2005-06-01,107.55
2005-07-01,107.84
2005-08-01,106.58
2005-09-01,106.74
2005-10-01,108.06
2005-11-01,108.23
2005-12-01,106.89
2006-01-01,105.90
2006-02-01,106.05
2006-03-01,106.52
2006-04-01,105.84
2006-05-01,103.51
2006-06-01,105.01
2006-07-01,105.17
2006-08-01,104.13
2006-09-01,104.10
2006-10-01,104.19
2006-11-01,103.10
2006-12-01,102.46
2007-01-01,103.90
2007-02-01,103.46
2007-03-01,103.39
2007-04-01,101.73
2007-05-01,100.65
2007-06-01,100.03
2007-07-01,98.17
2007-08-01,98.41
2007-09-01,96.66
2007-10-01,93.94
2007-11-01,92.63
2007-12-01,93.75
2008-01-01,93.47
2008-02-01,92.59
2008-03-01,91.12
2008-04-01,90.94
2008-05-01,91.22
2008-06-01,92.02
2008-07-01,91.23
2008-08-01,93.45
2008-09-01,96.02
2008-10-01,103.05
2008-11-01,104.38
2008-12-01,102.78
2009-01-01,103.60
2009-02-01,105.91
2009-03-01,106.47
2009-04-01,103.72
2009-05-01,99.73
2009-06-01,98.07
2009-07-01,97.31
2009-08-01,95.45
2009-09-01,94.50
2009-10-01,92.70
2009-11-01,92.04
2009-12-01,92.62
2010-01-01,92.76
2010-02-01,94.25
2010-03-01,93.55
2010-04-01,92.95
2010-05-01,96.26
2010-06-01,97.07
2010-07-01,94.95
2010-08-01,94.06
2010-09-01,92.90
2010-10-01,89.75
2010-11-01,90.19
2010-12-01,91.05
2011-01-01,90.25
2011-02-01,89.53
2011-03-01,88.76
2011-04-01,87.01
2011-05-01,87.60
2011-06-01,87.49
2011-07-01,86.93
2011-08-01,87.67
2011-09-01,90.64
2011-10-01,91.29
2011-11-01,91.68
2011-12-01,93.02
2012-01-01,92.97
2012-02-01,91.06
2012-03-01,92.15
2012-04-01,92.38
2012-05-01,94.25
2012-06-01,95.80
2012-07-01,95.32
2012-08-01,94.58
2012-09-01,93.22
2012-10-01,92.75
2012-11-01,93.23
2012-12-01,92.17
2013-01-01,91.86
2013-02-01,92.45
2013-03-01,94.02
2013-04-01,93.49
2013-05-01,93.95
2013-06-01,94.65
2013-07-01,95.29
2013-08-01,95.01
2013-09-01,94.70
2013-10-01,93.22
2013-11-01,94.08
2013-12-01,94.02
2014-01-01,95.44
2014-02-01,95.73
2014-03-01,95.99
2014-04-01,95.63
2014-05-01,95.37
2014-06-01,95.66
2014-07-01,95.15
2014-08-01,96.53
2014-09-01,98.24
2014-10-01,99.49
2014-11-01,101.09
2014-12-01,102.36
2015-01-01,105.05
2015-02-01,108.61
2015-03-01,110.71
2015-04-01,108.99
2015-05-01,107.47
2015-06-01,108.57
2015-07-01,110.69
2015-08-01,112.24
2015-09-01,113.29
2015-10-01,112.36
2015-11-01,114.26
2015-12-01,115.30
2016-01-01,117.89
2016-02-01,115.92
2016-03-01,113.24
2016-04-01,110.73
2016-05-01,111.63
2016-06-01,111.69
2016-07-01,111.77
2016-08-01,110.78
2016-09-01,111.81
2016-10-01,112.93
2016-11-01,115.17
2016-12-01,116.45
2017-01-01,116.30
2017-02-01,114.86
2017-03-01,114.74
2017-04-01,113.94
2017-05-01,113.23
2017-06-01,111.90
2017-07-01,109.26
2017-08-01,107.91
2017-09-01,107.41
2017-10-01,109.01
2017-11-01,109.27
2017-12-01,108.84
2018-01-01,106.95
2018-02-01,106.42
2018-03-01,107.14
