Date,CAPUTLG3364T9S
2016-09-01,76.08
2016-10-01,76.68
2016-11-01,77.30
2016-12-01,77.52
2017-01-01,77.38
2017-02-01,76.91
2017-03-01,76.89
2017-04-01,77.36
2017-05-01,77.62
2017-06-01,77.78
2017-07-01,77.32
2017-08-01,77.18
2017-09-01,76.11
2017-10-01,75.43
2017-11-01,75.44
2017-12-01,75.20
2018-01-01,74.72
2018-02-01,74.95
2018-03-01,75.14
2018-04-01,76.54
2018-05-01,77.38
