Date,U34IVS
2012-03-01,1461000000.00
2012-04-01,1058000000.00
2012-05-01,1220000000.00
2012-06-01,1223000000.00
2012-07-01,1129000000.00
2012-08-01,1188000000.00
2012-09-01,1304000000.00
2012-10-01,1121000000.00
2012-11-01,1114000000.00
2012-12-01,1287000000.00
2013-01-01,1026000000.00
2013-02-01,1138000000.00
2013-03-01,1286000000.00
2013-04-01,1016000000.00
2013-05-01,1171000000.00
2013-06-01,1275000000.00
2013-07-01,1038000000.00
2013-08-01,1195000000.00
2013-09-01,1346000000.00
2013-10-01,1167000000.00
2013-11-01,1157000000.00
2013-12-01,1281000000.00
2014-01-01,993000000.00
2014-02-01,1120000000.00
2014-03-01,1385000000.00
2014-04-01,1015000000.00
2014-05-01,1154000000.00
2014-06-01,1296000000.00
2014-07-01,1030000000.00
2014-08-01,1139000000.00
2014-09-01,1357000000.00
2014-10-01,1129000000.00
2014-11-01,1123000000.00
2014-12-01,1245000000.00
2015-01-01,895000000.00
2015-02-01,1069000000.00
2015-03-01,1441000000.00
2015-04-01,1006000000.00
2015-05-01,1178000000.00
2015-06-01,1341000000.00
2015-07-01,1057000000.00
2015-08-01,1236000000.00
2015-09-01,1463000000.00
2015-10-01,1197000000.00
2015-11-01,1300000000.00
2015-12-01,1429000000.00
2016-01-01,1083000000.00
2016-02-01,1272000000.00
2016-03-01,1563000000.00
2016-04-01,1100000000.00
2016-05-01,1285000000.00
2016-06-01,1455000000.00
2016-07-01,1134000000.00
2016-08-01,1360000000.00
2016-09-01,1535000000.00
2016-10-01,1284000000.00
2016-11-01,1314000000.00
2016-12-01,1539000000.00
2017-01-01,1210000000.00
2017-02-01,1313000000.00
2017-03-01,1659000000.00
2017-04-01,1261000000.00
2017-05-01,1492000000.00
2017-06-01,1551000000.00
2017-07-01,1266000000.00
2017-08-01,1487000000.00
2017-09-01,1621000000.00
2017-10-01,1437000000.00
2017-11-01,1542000000.00
2017-12-01,1648000000.00
2018-01-01,1349000000.00
2018-02-01,1418000000.00
2018-03-01,1718000000.00
2018-04-01,1382000000.00
