Date,U33ITI
2011-11-01,4821000000.00
2011-12-01,4577000000.00
2012-01-01,4690000000.00
2012-02-01,4842000000.00
2012-03-01,4959000000.00
2012-04-01,4948000000.00
2012-05-01,4996000000.00
2012-06-01,4901000000.00
2012-07-01,5060000000.00
2012-08-01,5125000000.00
2012-09-01,5200000000.00
2012-10-01,5167000000.00
2012-11-01,5123000000.00
2012-12-01,4954000000.00
2013-01-01,5101000000.00
2013-02-01,5091000000.00
2013-03-01,5098000000.00
2013-04-01,5207000000.00
2013-05-01,5279000000.00
2013-06-01,5340000000.00
2013-07-01,5411000000.00
2013-08-01,5515000000.00
2013-09-01,5518000000.00
2013-10-01,5507000000.00
2013-11-01,5518000000.00
2013-12-01,5201000000.00
2014-01-01,5290000000.00
2014-02-01,5333000000.00
2014-03-01,5282000000.00
2014-04-01,5345000000.00
2014-05-01,5443000000.00
2014-06-01,5431000000.00
2014-07-01,5546000000.00
2014-08-01,5570000000.00
2014-09-01,5623000000.00
2014-10-01,5571000000.00
2014-11-01,5651000000.00
2014-12-01,5461000000.00
2015-01-01,5454000000.00
2015-02-01,5538000000.00
2015-03-01,5623000000.00
2015-04-01,5711000000.00
2015-05-01,5774000000.00
2015-06-01,5687000000.00
2015-07-01,5735000000.00
2015-08-01,5797000000.00
2015-09-01,5757000000.00
2015-10-01,5664000000.00
2015-11-01,5696000000.00
2015-12-01,5515000000.00
2016-01-01,5588000000.00
2016-02-01,5660000000.00
2016-03-01,5585000000.00
2016-04-01,5550000000.00
2016-05-01,5572000000.00
2016-06-01,5449000000.00
2016-07-01,5567000000.00
2016-08-01,5634000000.00
2016-09-01,5587000000.00
2016-10-01,5661000000.00
2016-11-01,5627000000.00
2016-12-01,5403000000.00
2017-01-01,5481000000.00
2017-02-01,5559000000.00
2017-03-01,5424000000.00
2017-04-01,5598000000.00
2017-05-01,5607000000.00
2017-06-01,5539000000.00
2017-07-01,5687000000.00
2017-08-01,5792000000.00
2017-09-01,5782000000.00
2017-10-01,5800000000.00
2017-11-01,5865000000.00
2017-12-01,5690000000.00
2018-01-01,5806000000.00
2018-02-01,5841000000.00
2018-03-01,5707000000.00
2018-04-01,5805000000.00
