Date,GASDESLSW
2010-10-04,3.00
2010-10-11,3.07
2010-10-18,3.07
2010-10-25,3.07
2010-11-01,3.07
2010-11-08,3.12
2010-11-15,3.18
2010-11-22,3.17
2010-11-29,3.16
2010-12-06,3.20
2010-12-13,3.23
2010-12-20,3.25
2010-12-27,3.29
2011-01-03,3.33
2011-01-10,3.33
2011-01-17,3.41
2011-01-24,3.43
2011-01-31,3.44
2011-02-07,3.51
2011-02-14,3.53
2011-02-21,3.57
2011-02-28,3.72
2011-03-07,3.87
2011-03-14,3.91
2011-03-21,3.91
2011-03-28,3.93
2011-04-04,3.98
2011-04-11,4.08
2011-04-18,4.11
2011-04-25,4.10
2011-05-02,4.12
2011-05-09,4.10
2011-05-16,4.06
2011-05-23,4.00
2011-05-30,3.95
2011-06-06,3.94
2011-06-13,3.95
2011-06-20,3.95
2011-06-27,3.89
2011-07-04,3.85
2011-07-11,3.90
2011-07-18,3.92
2011-07-25,3.95
2011-08-01,3.94
2011-08-08,3.90
2011-08-15,3.84
2011-08-22,3.81
2011-08-29,3.82
2011-09-05,3.87
2011-09-12,3.86
2011-09-19,3.83
2011-09-26,3.79
2011-10-03,3.75
2011-10-10,3.72
2011-10-17,3.80
2011-10-24,3.83
2011-10-31,3.89
2011-11-07,3.89
2011-11-14,3.99
2011-11-21,4.01
2011-11-28,3.96
2011-12-05,3.93
2011-12-12,3.89
2011-12-19,3.83
2011-12-26,3.79
2012-01-02,3.78
2012-01-09,3.83
2012-01-16,3.85
2012-01-23,3.85
2012-01-30,3.85
2012-02-06,3.86
2012-02-13,3.94
2012-02-20,3.96
2012-02-27,4.05
2012-03-05,4.09
2012-03-12,4.12
2012-03-19,4.14
2012-03-26,4.15
2012-04-02,4.14
2012-04-09,4.15
2012-04-16,4.13
2012-04-23,4.09
2012-04-30,4.07
2012-05-07,4.06
2012-05-14,4.00
2012-05-21,3.96
2012-05-28,3.90
2012-06-04,3.85
2012-06-11,3.78
2012-06-18,3.73
2012-06-25,3.68
2012-07-02,3.65
2012-07-09,3.68
2012-07-16,3.70
2012-07-23,3.78
2012-07-30,3.80
2012-08-06,3.85
2012-08-13,3.97
2012-08-20,4.03
2012-08-27,4.09
2012-09-03,4.13
2012-09-10,4.13
2012-09-17,4.14
2012-09-24,4.09
2012-10-01,4.08
2012-10-08,4.09
2012-10-15,4.15
2012-10-22,4.12
2012-10-29,4.03
2012-11-05,4.01
2012-11-12,3.98
2012-11-19,3.98
2012-11-26,4.03
2012-12-03,4.03
2012-12-10,3.99
2012-12-17,3.95
2012-12-24,3.92
2012-12-31,3.92
2013-01-07,3.91
2013-01-14,3.89
2013-01-21,3.90
2013-01-28,3.93
2013-02-04,4.02
2013-02-11,4.10
2013-02-18,4.16
2013-02-25,4.16
2013-03-04,4.13
2013-03-11,4.09
2013-03-18,4.05
2013-03-25,4.01
2013-04-01,3.99
2013-04-08,3.98
2013-04-15,3.94
2013-04-22,3.89
2013-04-29,3.85
2013-05-06,3.85
2013-05-13,3.87
2013-05-20,3.89
2013-05-27,3.88
2013-06-03,3.87
2013-06-10,3.85
2013-06-17,3.84
2013-06-24,3.84
2013-07-01,3.82
2013-07-08,3.83
2013-07-15,3.87
2013-07-22,3.90
2013-07-29,3.92
2013-08-05,3.91
2013-08-12,3.90
2013-08-19,3.90
2013-08-26,3.91
2013-09-02,3.98
2013-09-09,3.98
2013-09-16,3.97
2013-09-23,3.95
2013-09-30,3.92
2013-10-07,3.90
2013-10-14,3.89
2013-10-21,3.89
2013-10-28,3.87
2013-11-04,3.86
2013-11-11,3.83
2013-11-18,3.82
2013-11-25,3.84
2013-12-02,3.88
2013-12-09,3.88
2013-12-16,3.87
2013-12-23,3.87
2013-12-30,3.90
2014-01-06,3.91
2014-01-13,3.89
2014-01-20,3.87
2014-01-27,3.90
2014-02-03,3.95
2014-02-10,3.98
2014-02-17,3.99
2014-02-24,4.02
2014-03-03,4.02
2014-03-10,4.02
2014-03-17,4.00
2014-03-24,3.99
2014-03-31,3.98
2014-04-07,3.96
2014-04-14,3.95
2014-04-21,3.97
2014-04-28,3.98
2014-05-05,3.96
2014-05-12,3.95
2014-05-19,3.93
2014-05-26,3.93
2014-06-02,3.92
2014-06-09,3.89
2014-06-16,3.88
2014-06-23,3.92
2014-06-30,3.92
2014-07-07,3.91
2014-07-14,3.89
2014-07-21,3.87
2014-07-28,3.86
2014-08-04,3.85
2014-08-11,3.84
2014-08-18,3.84
2014-08-25,3.82
2014-09-01,3.81
2014-09-08,3.81
2014-09-15,3.80
2014-09-22,3.78
2014-09-29,3.76
2014-10-06,3.73
2014-10-13,3.70
2014-10-20,3.66
2014-10-27,3.64
2014-11-03,3.62
2014-11-10,3.68
2014-11-17,3.66
2014-11-24,3.63
2014-12-01,3.61
2014-12-08,3.54
2014-12-15,3.42
2014-12-22,3.28
2014-12-29,3.21
2015-01-05,3.14
2015-01-12,3.05
2015-01-19,2.93
2015-01-26,2.87
2015-02-02,2.83
2015-02-09,2.84
2015-02-16,2.87
2015-02-23,2.90
2015-03-02,2.94
2015-03-09,2.94
2015-03-16,2.92
2015-03-23,2.86
2015-03-30,2.82
2015-04-06,2.78
2015-04-13,2.75
2015-04-20,2.78
2015-04-27,2.81
2015-05-04,2.85
2015-05-11,2.88
2015-05-18,2.90
2015-05-25,2.91
2015-06-01,2.91
2015-06-08,2.88
2015-06-15,2.87
2015-06-22,2.86
2015-06-29,2.84
2015-07-06,2.83
2015-07-13,2.81
2015-07-20,2.78
2015-07-27,2.72
2015-08-03,2.67
2015-08-10,2.62
2015-08-17,2.62
2015-08-24,2.56
2015-08-31,2.51
2015-09-07,2.53
2015-09-14,2.52
2015-09-21,2.49
2015-09-28,2.48
2015-10-05,2.49
2015-10-12,2.56
2015-10-19,2.53
2015-10-26,2.50
2015-11-02,2.49
2015-11-09,2.50
2015-11-16,2.48
2015-11-23,2.45
2015-11-30,2.42
2015-12-07,2.38
2015-12-14,2.34
2015-12-21,2.28
2015-12-28,2.24
2016-01-04,2.21
2016-01-11,2.18
2016-01-18,2.11
2016-01-25,2.07
2016-02-01,2.03
2016-02-08,2.01
2016-02-15,1.98
2016-02-22,1.98
2016-02-29,1.99
2016-03-07,2.02
2016-03-14,2.10
2016-03-21,2.12
2016-03-28,2.12
2016-04-04,2.12
2016-04-11,2.13
2016-04-18,2.17
2016-04-25,2.20
2016-05-02,2.27
2016-05-09,2.27
2016-05-16,2.30
2016-05-23,2.36
2016-05-30,2.38
2016-06-06,2.41
2016-06-13,2.43
2016-06-20,2.43
2016-06-27,2.43
2016-07-04,2.42
2016-07-11,2.41
2016-07-18,2.40
2016-07-25,2.38
2016-08-01,2.35
2016-08-08,2.32
2016-08-15,2.31
2016-08-22,2.37
2016-08-29,2.41
2016-09-05,2.41
2016-09-12,2.40
2016-09-19,2.39
2016-09-26,2.38
2016-10-03,2.39
2016-10-10,2.45
2016-10-17,2.48
2016-10-24,2.48
2016-10-31,2.48
2016-11-07,2.47
2016-11-14,2.44
2016-11-21,2.42
2016-11-28,2.42
2016-12-05,2.48
2016-12-12,2.49
2016-12-19,2.53
2016-12-26,2.54
2017-01-02,2.59
2017-01-09,2.60
2017-01-16,2.59
2017-01-23,2.57
2017-01-30,2.56
2017-02-06,2.56
2017-02-13,2.57
2017-02-20,2.57
2017-02-27,2.58
2017-03-06,2.58
2017-03-13,2.56
2017-03-20,2.54
2017-03-27,2.53
2017-04-03,2.56
2017-04-10,2.58
2017-04-17,2.60
2017-04-24,2.60
2017-05-01,2.58
2017-05-08,2.57
2017-05-15,2.54
2017-05-22,2.54
2017-05-29,2.57
2017-06-05,2.56
2017-06-12,2.52
2017-06-19,2.49
2017-06-26,2.47
2017-07-03,2.47
2017-07-10,2.48
2017-07-17,2.49
2017-07-24,2.51
2017-07-31,2.53
2017-08-07,2.58
2017-08-14,2.60
2017-08-21,2.60
2017-08-28,2.61
2017-09-04,2.76
2017-09-11,2.80
2017-09-18,2.79
2017-09-25,2.79
2017-10-02,2.79
2017-10-09,2.78
2017-10-16,2.79
2017-10-23,2.80
2017-10-30,2.82
2017-11-06,2.88
2017-11-13,2.92
2017-11-20,2.91
2017-11-27,2.93
2017-12-04,2.92
2017-12-11,2.91
2017-12-18,2.90
2017-12-25,2.90
2018-01-01,2.97
2018-01-08,3.00
2018-01-15,3.03
2018-01-22,3.03
2018-01-29,3.07
2018-02-05,3.09
2018-02-12,3.06
2018-02-19,3.03
2018-02-26,3.01
2018-03-05,2.99
2018-03-12,2.98
2018-03-19,2.97
2018-03-26,3.01
2018-04-02,3.04
2018-04-09,3.04
2018-04-16,3.10
2018-04-23,3.13
2018-04-30,3.16
2018-05-07,3.17
2018-05-14,3.24
2018-05-21,3.28
2018-05-28,3.29
2018-06-04,3.29
2018-06-11,3.27
2018-06-18,3.24
2018-06-25,3.22
