Date,W875RX1
1998-01-01,8034700000000.00
1998-02-01,8094900000000.00
1998-03-01,8147200000000.00
1998-04-01,8183600000000.00
1998-05-01,8227600000000.00
1998-06-01,8278000000000.00
1998-07-01,8300400000000.00
1998-08-01,8337100000000.00
1998-09-01,8366500000000.00
1998-10-01,8386500000000.00
1998-11-01,8426900000000.00
1998-12-01,8443700000000.00
1999-01-01,8455000000000.00
1999-02-01,8492200000000.00
1999-03-01,8499100000000.00
1999-04-01,8494800000000.00
1999-05-01,8516600000000.00
1999-06-01,8547700000000.00
1999-07-01,8565300000000.00
1999-08-01,8603500000000.00
1999-09-01,8603900000000.00
1999-10-01,8666600000000.00
1999-11-01,8740600000000.00
1999-12-01,8821800000000.00
2000-01-01,8923000000000.00
2000-02-01,8963600000000.00
2000-03-01,8991300000000.00
2000-04-01,9027100000000.00
2000-05-01,9031000000000.00
2000-06-01,9069900000000.00
2000-07-01,9122400000000.00
2000-08-01,9163100000000.00
2000-09-01,9161800000000.00
2000-10-01,9176600000000.00
2000-11-01,9178100000000.00
2000-12-01,9174100000000.00
2001-01-01,9222300000000.00
2001-02-01,9249300000000.00
2001-03-01,9277800000000.00
2001-04-01,9238500000000.00
2001-05-01,9205900000000.00
2001-06-01,9190800000000.00
2001-07-01,9189900000000.00
2001-08-01,9190800000000.00
2001-09-01,9190900000000.00
2001-10-01,9158900000000.00
2001-11-01,9163400000000.00
2001-12-01,9170600000000.00
2002-01-01,9172200000000.00
2002-02-01,9169600000000.00
2002-03-01,9159200000000.00
2002-04-01,9150500000000.00
2002-05-01,9164800000000.00
2002-06-01,9187000000000.00
2002-07-01,9154900000000.00
2002-08-01,9148800000000.00
2002-09-01,9144900000000.00
2002-10-01,9159200000000.00
2002-11-01,9174100000000.00
2002-12-01,9184000000000.00
2003-01-01,9162700000000.00
2003-02-01,9138000000000.00
2003-03-01,9159200000000.00
2003-04-01,9206700000000.00
2003-05-01,9282900000000.00
2003-06-01,9315600000000.00
2003-07-01,9321000000000.00
2003-08-01,9330500000000.00
2003-09-01,9342800000000.00
2003-10-01,9399900000000.00
2003-11-01,9474400000000.00
2003-12-01,9473900000000.00
2004-01-01,9458700000000.00
2004-02-01,9462000000000.00
2004-03-01,9493300000000.00
2004-04-01,9527100000000.00
2004-05-01,9585600000000.00
2004-06-01,9594100000000.00
2004-07-01,9639500000000.00
2004-08-01,9661200000000.00
2004-09-01,9676600000000.00
2004-10-01,9687900000000.00
2004-11-01,9664400000000.00
2004-12-01,10028300000000.00
2005-01-01,9724800000000.00
2005-02-01,9725000000000.00
2005-03-01,9758000000000.00
2005-04-01,9775200000000.00
2005-05-01,9821400000000.00
2005-06-01,9862100000000.00
2005-07-01,9905600000000.00
2005-08-01,9903100000000.00
2005-09-01,9864000000000.00
2005-10-01,9925500000000.00
2005-11-01,10002200000000.00
2005-12-01,10068900000000.00
2006-01-01,10193300000000.00
2006-02-01,10264100000000.00
2006-03-01,10288600000000.00
2006-04-01,10285800000000.00
2006-05-01,10268000000000.00
2006-06-01,10288800000000.00
2006-07-01,10275100000000.00
2006-08-01,10269800000000.00
2006-09-01,10346800000000.00
2006-10-01,10426600000000.00
2006-11-01,10479300000000.00
2006-12-01,10507300000000.00
2007-01-01,10497800000000.00
2007-02-01,10532900000000.00
2007-03-01,10575100000000.00
2007-04-01,10587000000000.00
2007-05-01,10583200000000.00
2007-06-01,10578600000000.00
2007-07-01,10592800000000.00
2007-08-01,10592200000000.00
2007-09-01,10613400000000.00
2007-10-01,10592900000000.00
2007-11-01,10588600000000.00
2007-12-01,10622100000000.00
2008-01-01,10637300000000.00
2008-02-01,10657500000000.00
2008-03-01,10673200000000.00
2008-04-01,10607400000000.00
2008-05-01,10561800000000.00
2008-06-01,10494900000000.00
2008-07-01,10453900000000.00
2008-08-01,10483800000000.00
2008-09-01,10465300000000.00
2008-10-01,10497900000000.00
2008-11-01,10529200000000.00
2008-12-01,10420700000000.00
2009-01-01,10227500000000.00
2009-02-01,10077700000000.00
2009-03-01,10010800000000.00
2009-04-01,9999900000000.00
2009-05-01,10001600000000.00
2009-06-01,9933100000000.00
2009-07-01,9894200000000.00
2009-08-01,9860400000000.00
2009-09-01,9838900000000.00
2009-10-01,9830200000000.00
2009-11-01,9847900000000.00
2009-12-01,9864200000000.00
2010-01-01,9823100000000.00
2010-02-01,9791400000000.00
2010-03-01,9810500000000.00
2010-04-01,9906000000000.00
2010-05-01,9991400000000.00
2010-06-01,10000300000000.00
2010-07-01,10027400000000.00
2010-08-01,10042400000000.00
2010-09-01,10043700000000.00
2010-10-01,10083400000000.00
2010-11-01,10120300000000.00
2010-12-01,10207600000000.00
2011-01-01,10377500000000.00
2011-02-01,10420300000000.00
2011-03-01,10407300000000.00
2011-04-01,10388800000000.00
2011-05-01,10389200000000.00
2011-06-01,10458700000000.00
2011-07-01,10522800000000.00
2011-08-01,10517900000000.00
2011-09-01,10491800000000.00
2011-10-01,10492200000000.00
2011-11-01,10478900000000.00
2011-12-01,10574400000000.00
2012-01-01,10660900000000.00
2012-02-01,10738400000000.00
2012-03-01,10768500000000.00
2012-04-01,10798900000000.00
2012-05-01,10806800000000.00
2012-06-01,10834800000000.00
2012-07-01,10806000000000.00
2012-08-01,10802800000000.00
2012-09-01,10863700000000.00
2012-10-01,10943900000000.00
2012-11-01,11113900000000.00
2012-12-01,11446600000000.00
2013-01-01,10724100000000.00
2013-02-01,10724700000000.00
2013-03-01,10735700000000.00
2013-04-01,10769000000000.00
2013-05-01,10828000000000.00
2013-06-01,10855100000000.00
2013-07-01,10837100000000.00
2013-08-01,10867000000000.00
2013-09-01,10900800000000.00
2013-10-01,10871300000000.00
2013-11-01,10914100000000.00
2013-12-01,10933200000000.00
2014-01-01,10981400000000.00
2014-02-01,11054800000000.00
2014-03-01,11116300000000.00
2014-04-01,11130300000000.00
2014-05-01,11154700000000.00
2014-06-01,11205600000000.00
2014-07-01,11230000000000.00
2014-08-01,11297400000000.00
2014-09-01,11333900000000.00
2014-10-01,11408900000000.00
2014-11-01,11483400000000.00
2014-12-01,11532700000000.00
2015-01-01,11593600000000.00
2015-02-01,11637800000000.00
2015-03-01,11618500000000.00
2015-04-01,11694200000000.00
2015-05-01,11739800000000.00
2015-06-01,11755800000000.00
2015-07-01,11744600000000.00
2015-08-01,11775500000000.00
2015-09-01,11814300000000.00
2015-10-01,11888400000000.00
2015-11-01,11893900000000.00
2015-12-01,11893400000000.00
2016-01-01,11842200000000.00
2016-02-01,11812500000000.00
2016-03-01,11836300000000.00
2016-04-01,11872700000000.00
2016-05-01,11891300000000.00
2016-06-01,11920900000000.00
2016-07-01,11951900000000.00
2016-08-01,11928500000000.00
2016-09-01,11922900000000.00
2016-10-01,11875300000000.00
2016-11-01,11855900000000.00
2016-12-01,11840100000000.00
2017-01-01,11894900000000.00
2017-02-01,11954600000000.00
2017-03-01,12017700000000.00
2017-04-01,12003700000000.00
2017-05-01,12045200000000.00
2017-06-01,12032800000000.00
2017-07-01,12072500000000.00
2017-08-01,12076500000000.00
2017-09-01,12084000000000.00
2017-10-01,12111500000000.00
2017-11-01,12156000000000.00
2017-12-01,12195400000000.00
2018-01-01,12179300000000.00
2018-02-01,12212400000000.00
2018-03-01,12239600000000.00
2018-04-01,12235100000000.00
2018-05-01,12256900000000.00
