Date,U34XTI
2013-12-01,5590000000.00
2014-01-01,5611000000.00
2014-02-01,5663000000.00
2014-03-01,5489000000.00
2014-04-01,5352000000.00
2014-05-01,5388000000.00
2014-06-01,5305000000.00
2014-07-01,5222000000.00
2014-08-01,5226000000.00
2014-09-01,5001000000.00
2014-10-01,5045000000.00
2014-11-01,4988000000.00
2014-12-01,4641000000.00
2015-01-01,4852000000.00
2015-02-01,4975000000.00
2015-03-01,4896000000.00
2015-04-01,4886000000.00
2015-05-01,4999000000.00
2015-06-01,4915000000.00
2015-07-01,5026000000.00
2015-08-01,5129000000.00
2015-09-01,5000000000.00
2015-10-01,5126000000.00
2015-11-01,5248000000.00
2015-12-01,4849000000.00
2016-01-01,5029000000.00
2016-02-01,5058000000.00
2016-03-01,4926000000.00
2016-04-01,4993000000.00
2016-05-01,5119000000.00
2016-06-01,4981000000.00
2016-07-01,5044000000.00
2016-08-01,5153000000.00
2016-09-01,4936000000.00
2016-10-01,5072000000.00
2016-11-01,5221000000.00
2016-12-01,4843000000.00
2017-01-01,5087000000.00
2017-02-01,5318000000.00
2017-03-01,5175000000.00
2017-04-01,5251000000.00
2017-05-01,5391000000.00
2017-06-01,5267000000.00
2017-07-01,5311000000.00
2017-08-01,5477000000.00
2017-09-01,5174000000.00
2017-10-01,5317000000.00
2017-11-01,5424000000.00
2017-12-01,5041000000.00
2018-01-01,5234000000.00
2018-02-01,5411000000.00
2018-03-01,5175000000.00
2018-04-01,5369000000.00
2018-05-01,5559000000.00
