Date,B069RC1
1983-05-01,67600000000.00
1983-06-01,68300000000.00
1983-07-01,69100000000.00
1983-08-01,69800000000.00
1983-09-01,70600000000.00
1983-10-01,71400000000.00
1983-11-01,72000000000.00
1983-12-01,72400000000.00
1984-01-01,72400000000.00
1984-02-01,72900000000.00
1984-03-01,73500000000.00
1984-04-01,74300000000.00
1984-05-01,75100000000.00
1984-06-01,76100000000.00
1984-07-01,77300000000.00
1984-08-01,78100000000.00
1984-09-01,78700000000.00
1984-10-01,78500000000.00
1984-11-01,79800000000.00
1984-12-01,82100000000.00
1985-01-01,85500000000.00
1985-02-01,87900000000.00
1985-03-01,89200000000.00
1985-04-01,90200000000.00
1985-05-01,90700000000.00
1985-06-01,91600000000.00
1985-07-01,92200000000.00
1985-08-01,93400000000.00
1985-09-01,94300000000.00
1985-10-01,95500000000.00
1985-11-01,96200000000.00
1985-12-01,96900000000.00
1986-01-01,97400000000.00
1986-02-01,98000000000.00
1986-03-01,98400000000.00
1986-04-01,98800000000.00
1986-05-01,99000000000.00
1986-06-01,99200000000.00
1986-07-01,99200000000.00
1986-08-01,99300000000.00
1986-09-01,99400000000.00
1986-10-01,100000000000.00
1986-11-01,99900000000.00
1986-12-01,99700000000.00
1987-01-01,98600000000.00
1987-02-01,98300000000.00
1987-03-01,98200000000.00
1987-04-01,98200000000.00
1987-05-01,98200000000.00
1987-06-01,98400000000.00
1987-07-01,98900000000.00
1987-08-01,99200000000.00
1987-09-01,99500000000.00
1987-10-01,99600000000.00
1987-11-01,99900000000.00
1987-12-01,100100000000.00
1988-01-01,100300000000.00
1988-02-01,100500000000.00
1988-03-01,100900000000.00
1988-04-01,101500000000.00
1988-05-01,102000000000.00
1988-06-01,102700000000.00
1988-07-01,103300000000.00
1988-08-01,104000000000.00
1988-09-01,104600000000.00
1988-10-01,104800000000.00
1988-11-01,105800000000.00
1988-12-01,107200000000.00
1989-01-01,109300000000.00
1989-02-01,110900000000.00
1989-03-01,112300000000.00
1989-04-01,113400000000.00
1989-05-01,114200000000.00
1989-06-01,114900000000.00
1989-07-01,115400000000.00
1989-08-01,115900000000.00
1989-09-01,116500000000.00
1989-10-01,117500000000.00
1989-11-01,118200000000.00
1989-12-01,118700000000.00
1990-01-01,118700000000.00
1990-02-01,118900000000.00
1990-03-01,119000000000.00
1990-04-01,119000000000.00
1990-05-01,119100000000.00
1990-06-01,119500000000.00
1990-07-01,120300000000.00
1990-08-01,120900000000.00
1990-09-01,121300000000.00
1990-10-01,121400000000.00
1990-11-01,121600000000.00
1990-12-01,121600000000.00
1991-01-01,121700000000.00
1991-02-01,121800000000.00
1991-03-01,121900000000.00
1991-04-01,122100000000.00
1991-05-01,122200000000.00
1991-06-01,122300000000.00
1991-07-01,122200000000.00
1991-08-01,122000000000.00
1991-09-01,121600000000.00
1991-10-01,121500000000.00
1991-11-01,121100000000.00
1991-12-01,121000000000.00
1992-01-01,120300000000.00
1992-02-01,120200000000.00
1992-03-01,119800000000.00
1992-04-01,119700000000.00
1992-05-01,119100000000.00
1992-06-01,118500000000.00
1992-07-01,117800000000.00
1992-08-01,117200000000.00
1992-09-01,116700000000.00
1992-10-01,116000000000.00
1992-11-01,115800000000.00
1992-12-01,115900000000.00
1993-01-01,116400000000.00
1993-02-01,116600000000.00
1993-03-01,116600000000.00
1993-04-01,116700000000.00
1993-05-01,116400000000.00
1993-06-01,116200000000.00
1993-07-01,115200000000.00
1993-08-01,115000000000.00
1993-09-01,114900000000.00
1993-10-01,115600000000.00
1993-11-01,115800000000.00
1993-12-01,116100000000.00
1994-01-01,115500000000.00
1994-02-01,116100000000.00
1994-03-01,116800000000.00
1994-04-01,118200000000.00
1994-05-01,119400000000.00
1994-06-01,120900000000.00
1994-07-01,123400000000.00
1994-08-01,124900000000.00
1994-09-01,126100000000.00
1994-10-01,126400000000.00
1994-11-01,127300000000.00
