Date,U31ANO
2017-02-01,8649000000.00
2017-03-01,9715000000.00
2017-04-01,8876000000.00
2017-05-01,9581000000.00
2017-06-01,9829000000.00
2017-07-01,8748000000.00
2017-08-01,9765000000.00
2017-09-01,8497000000.00
2017-10-01,9494000000.00
2017-11-01,9206000000.00
2017-12-01,8763000000.00
2018-01-01,10287000000.00
2018-02-01,10182000000.00
2018-03-01,11453000000.00
2018-04-01,11230000000.00
