Date,SFTPINDM114SFRBSF
1985-12-01,20.24
1986-01-01,20.12
1986-02-01,20.06
1986-03-01,20.10
1986-04-01,20.14
1986-05-01,20.11
1986-06-01,20.09
1986-07-01,20.23
1986-08-01,20.40
1986-09-01,20.52
1986-10-01,20.61
1986-11-01,20.74
1986-12-01,20.88
1987-01-01,20.98
1987-02-01,20.96
1987-03-01,20.88
1987-04-01,20.91
1987-05-01,21.10
1987-06-01,21.43
1987-07-01,21.82
1987-08-01,22.16
1987-09-01,22.39
1987-10-01,22.56
1987-11-01,22.75
1987-12-01,23.04
1988-01-01,23.41
1988-02-01,23.86
1988-03-01,24.34
1988-04-01,24.77
1988-05-01,25.12
1988-06-01,25.41
1988-07-01,25.59
1988-08-01,25.62
1988-09-01,25.61
1988-10-01,25.68
1988-11-01,25.82
1988-12-01,25.91
1989-01-01,25.84
1989-02-01,25.79
1989-03-01,25.97
1989-04-01,26.33
1989-05-01,26.59
1989-06-01,26.69
1989-07-01,26.73
1989-08-01,26.76
1989-09-01,26.75
1989-10-01,26.77
1989-11-01,26.88
1989-12-01,27.10
1990-01-01,27.28
1990-02-01,27.24
1990-03-01,27.00
1990-04-01,26.73
1990-05-01,26.53
1990-06-01,26.33
1990-07-01,26.16
1990-08-01,26.15
1990-09-01,26.28
1990-10-01,26.29
1990-11-01,26.04
1990-12-01,25.67
1991-01-01,25.39
1991-02-01,25.28
1991-03-01,25.29
1991-04-01,25.38
1991-05-01,25.53
1991-06-01,25.67
1991-07-01,25.81
1991-08-01,26.00
1991-09-01,26.21
1991-10-01,26.39
1991-11-01,26.55
1991-12-01,26.80
1992-01-01,27.20
1992-02-01,27.70
1992-03-01,28.30
1992-04-01,28.95
1992-05-01,29.55
1992-06-01,30.04
1992-07-01,30.35
1992-08-01,30.52
1992-09-01,30.73
1992-10-01,31.01
1992-11-01,31.27
1992-12-01,31.44
1993-01-01,31.56
1993-02-01,31.68
1993-03-01,31.82
1993-04-01,32.02
1993-05-01,32.32
1993-06-01,32.69
1993-07-01,33.03
1993-08-01,33.39
1993-09-01,33.85
1993-10-01,34.39
1993-11-01,34.94
1993-12-01,35.40
1994-01-01,35.83
1994-02-01,36.39
1994-03-01,37.21
1994-04-01,38.15
1994-05-01,38.91
1994-06-01,39.46
1994-07-01,39.98
1994-08-01,40.65
1994-09-01,41.56
1994-10-01,42.72
1994-11-01,43.92
1994-12-01,44.87
1995-01-01,45.60
1995-02-01,46.48
1995-03-01,47.75
1995-04-01,49.19
1995-05-01,50.33
1995-06-01,50.96
1995-07-01,51.46
1995-08-01,52.46
1995-09-01,53.84
1995-10-01,55.00
1995-11-01,55.65
1995-12-01,55.99
1996-01-01,56.38
1996-02-01,57.06
1996-03-01,57.79
1996-04-01,58.34
1996-05-01,58.79
1996-06-01,59.28
1996-07-01,59.89
1996-08-01,60.70
1996-09-01,61.66
1996-10-01,62.64
1996-11-01,63.39
1996-12-01,63.99
1997-01-01,64.93
1997-02-01,66.53
1997-03-01,68.32
1997-04-01,69.81
1997-05-01,71.12
1997-06-01,72.59
1997-07-01,74.21
1997-08-01,75.52
1997-09-01,76.04
1997-10-01,75.92
1997-11-01,75.85
1997-12-01,76.27
1998-01-01,77.03
1998-02-01,77.69
1998-03-01,77.96
1998-04-01,77.97
1998-05-01,77.92
1998-06-01,78.09
1998-07-01,78.55
1998-08-01,79.39
1998-09-01,80.59
1998-10-01,81.89
1998-11-01,83.13
1998-12-01,84.42
1999-01-01,85.88
1999-02-01,87.47
1999-03-01,89.14
1999-04-01,90.99
1999-05-01,92.96
1999-06-01,94.83
1999-07-01,96.00
1999-08-01,96.00
1999-09-01,95.46
1999-10-01,95.27
1999-11-01,95.91
1999-12-01,97.50
2000-01-01,100.00
2000-02-01,103.05
2000-03-01,106.29
2000-04-01,109.34
2000-05-01,111.77
2000-06-01,113.51
2000-07-01,114.87
2000-08-01,116.01
2000-09-01,117.02
2000-10-01,117.55
2000-11-01,117.52
2000-12-01,116.56
2001-01-01,113.96
2001-02-01,109.68
2001-03-01,104.30
2001-04-01,98.71
2001-05-01,93.87
2001-06-01,89.74
2001-07-01,86.02
2001-08-01,83.04
2001-09-01,81.05
2001-10-01,79.72
2001-11-01,78.54
2001-12-01,77.26
2002-01-01,75.88
2002-02-01,74.76
2002-03-01,73.80
2002-04-01,72.69
2002-05-01,71.47
2002-06-01,70.33
2002-07-01,69.33
2002-08-01,68.29
2002-09-01,67.11
2002-10-01,65.92
2002-11-01,64.93
2002-12-01,64.30
2003-01-01,64.25
2003-02-01,64.62
2003-03-01,65.05
2003-04-01,65.54
2003-05-01,66.27
2003-06-01,67.25
2003-07-01,68.33
2003-08-01,69.46
2003-09-01,70.70
2003-10-01,71.85
2003-11-01,72.49
2003-12-01,72.56
2004-01-01,72.35
2004-02-01,72.22
2004-03-01,72.31
2004-04-01,72.57
2004-05-01,72.89
2004-06-01,73.10
2004-07-01,73.21
2004-08-01,73.31
2004-09-01,73.41
2004-10-01,73.46
2004-11-01,73.43
2004-12-01,73.48
2005-01-01,73.69
2005-02-01,73.90
2005-03-01,73.94
2005-04-01,73.82
2005-05-01,73.70
2005-06-01,73.78
2005-07-01,74.31
2005-08-01,75.27
2005-09-01,76.36
2005-10-01,77.34
2005-11-01,78.29
2005-12-01,79.61
2006-01-01,81.26
2006-02-01,82.76
2006-03-01,83.54
2006-04-01,83.81
2006-05-01,84.05
2006-06-01,84.37
2006-07-01,84.80
2006-08-01,85.46
2006-09-01,85.95
2006-10-01,85.95
2006-11-01,85.82
2006-12-01,86.09
2007-01-01,87.05
2007-02-01,88.63
2007-03-01,90.30
2007-04-01,91.19
2007-05-01,90.66
2007-06-01,89.36
2007-07-01,88.51
2007-08-01,88.73
2007-09-01,89.80
2007-10-01,91.21
2007-11-01,92.26
2007-12-01,92.31
2008-01-01,91.51
2008-02-01,90.60
2008-03-01,90.08
2008-04-01,89.80
2008-05-01,89.13
2008-06-01,87.63
2008-07-01,85.57
2008-08-01,83.35
2008-09-01,80.65
2008-10-01,76.91
2008-11-01,72.50
2008-12-01,68.53
2009-01-01,65.89
2009-02-01,64.64
2009-03-01,64.11
2009-04-01,63.88
2009-05-01,64.07
2009-06-01,64.94
2009-07-01,66.29
2009-08-01,67.65
2009-09-01,68.80
2009-10-01,69.65
2009-11-01,70.14
2009-12-01,70.46
2010-01-01,71.01
2010-02-01,71.66
2010-03-01,72.16
2010-04-01,72.45
2010-05-01,72.60
2010-06-01,72.96
2010-07-01,73.67
2010-08-01,74.32
2010-09-01,74.64
2010-10-01,74.76
2010-11-01,74.86
2010-12-01,74.78
2011-01-01,74.37
2011-02-01,73.87
2011-03-01,73.68
2011-04-01,73.89
2011-05-01,74.12
2011-06-01,74.11
2011-07-01,74.02
2011-08-01,74.12
2011-09-01,74.12
2011-10-01,73.72
2011-11-01,73.08
2011-12-01,72.63
2012-01-01,72.55
2012-02-01,72.62
2012-03-01,72.61
2012-04-01,72.72
2012-05-01,72.88
2012-06-01,72.55
2012-07-01,71.51
2012-08-01,70.59
2012-09-01,70.80
2012-10-01,71.82
2012-11-01,72.63
2012-12-01,72.94
2013-01-01,73.11
2013-02-01,73.39
2013-03-01,73.74
2013-04-01,73.97
2013-05-01,74.09
2013-06-01,74.13
2013-07-01,74.05
2013-08-01,73.85
2013-09-01,73.61
2013-10-01,73.46
2013-11-01,73.36
2013-12-01,73.20
2014-01-01,73.14
2014-02-01,73.36
2014-03-01,73.75
2014-04-01,74.16
2014-05-01,74.57
2014-06-01,74.78
2014-07-01,74.51
2014-08-01,73.76
2014-09-01,72.88
2014-10-01,72.23
2014-11-01,71.88
2014-12-01,71.71
2015-01-01,71.77
2015-02-01,72.21
2015-03-01,72.89
2015-04-01,73.58
2015-05-01,74.07
2015-06-01,74.42
2015-07-01,74.64
2015-08-01,74.66
2015-09-01,74.45
2015-10-01,73.94
2015-11-01,73.15
2015-12-01,72.38
2016-01-01,71.77
2016-02-01,71.32
2016-03-01,71.11
2016-04-01,71.14
2016-05-01,71.49
2016-06-01,72.11
2016-07-01,72.63
2016-08-01,72.85
2016-09-01,73.06
2016-10-01,73.63
2016-11-01,74.47
2016-12-01,75.11
2017-01-01,75.26
2017-02-01,75.25
2017-03-01,75.69
2017-04-01,76.66
2017-05-01,77.68
2017-06-01,78.37
2017-07-01,78.74
2017-08-01,79.23
2017-09-01,80.10
2017-10-01,81.24
2017-11-01,82.38
2017-12-01,83.23
2018-01-01,83.73
2018-02-01,84.11
2018-03-01,84.49
2018-04-01,84.90
2018-05-01,85.35
