Date,RTWVDIA684NMFRBDAL
2006-03-01,106.83
2006-04-01,106.71
2006-05-01,104.50
2006-06-01,106.08
2006-07-01,106.14
2006-08-01,105.05
2006-09-01,104.97
2006-10-01,105.08
2006-11-01,104.28
2006-12-01,104.01
2007-01-01,105.56
2007-02-01,105.37
2007-03-01,105.53
2007-04-01,103.94
2007-05-01,102.72
2007-06-01,101.97
2007-07-01,100.33
2007-08-01,100.77
2007-09-01,99.05
2007-10-01,96.16
2007-11-01,95.14
2007-12-01,96.39
2008-01-01,96.51
2008-02-01,95.46
2008-03-01,94.55
2008-04-01,94.45
2008-05-01,94.35
2008-06-01,95.20
2008-07-01,94.58
2008-08-01,96.64
2008-09-01,98.79
2008-10-01,107.85
2008-11-01,109.15
2008-12-01,108.37
2009-01-01,109.50
2009-02-01,112.52
2009-03-01,113.88
2009-04-01,110.11
2009-05-01,105.85
2009-06-01,104.91
2009-07-01,104.30
2009-08-01,102.24
2009-09-01,101.73
2009-10-01,99.99
2009-11-01,99.35
2009-12-01,99.14
2010-01-01,98.91
2010-02-01,99.90
2010-03-01,98.46
2010-04-01,97.36
2010-05-01,100.43
2010-06-01,100.72
2010-07-01,99.47
2010-08-01,98.58
2010-09-01,97.89
2010-10-01,95.18
2010-11-01,94.93
2010-12-01,95.25
2011-01-01,94.06
2011-02-01,93.37
2011-03-01,92.81
2011-04-01,91.36
2011-05-01,91.70
2011-06-01,92.06
2011-07-01,90.83
2011-08-01,92.35
2011-09-01,95.42
2011-10-01,96.68
2011-11-01,96.91
2011-12-01,97.39
2012-01-01,96.57
2012-02-01,94.36
2012-03-01,95.22
2012-04-01,95.60
2012-05-01,97.92
2012-06-01,99.69
2012-07-01,97.94
2012-08-01,96.86
2012-09-01,95.83
2012-10-01,95.72
2012-11-01,96.16
2012-12-01,95.21
2013-01-01,95.29
2013-02-01,96.29
2013-03-01,97.30
2013-04-01,96.70
2013-05-01,97.35
2013-06-01,99.04
2013-07-01,99.52
2013-08-01,99.51
2013-09-01,99.28
2013-10-01,98.17
2013-11-01,98.91
2013-12-01,99.50
2014-01-01,101.08
2014-02-01,101.37
2014-03-01,101.54
2014-04-01,100.56
2014-05-01,100.06
2014-06-01,100.04
2014-07-01,99.43
2014-08-01,100.56
2014-09-01,102.05
2014-10-01,103.56
2014-11-01,105.01
2014-12-01,107.41
2015-01-01,109.87
2015-02-01,111.68
2015-03-01,114.02
2015-04-01,113.04
2015-05-01,112.48
2015-06-01,114.01
2015-07-01,116.34
2015-08-01,118.40
2015-09-01,119.51
2015-10-01,118.22
2015-11-01,119.56
2015-12-01,121.05
2016-01-01,124.49
2016-02-01,122.96
2016-03-01,119.54
2016-04-01,117.18
2016-05-01,118.81
2016-06-01,119.29
2016-07-01,119.27
2016-08-01,118.20
2016-09-01,119.67
2016-10-01,120.30
2016-11-01,123.75
2016-12-01,125.68
2017-01-01,125.63
2017-02-01,123.52
2017-03-01,123.06
2017-04-01,121.98
2017-05-01,122.35
2017-06-01,120.28
2017-07-01,117.35
2017-08-01,116.28
2017-09-01,115.37
2017-10-01,117.97
2017-11-01,118.56
2017-12-01,118.11
2018-01-01,115.87
2018-02-01,115.32
2018-03-01,116.49
