Date,UCDGUO
2004-03-01,7440000000.00
2004-04-01,7218000000.00
2004-05-01,7581000000.00
2004-06-01,7256000000.00
2004-07-01,7593000000.00
2004-08-01,7720000000.00
2004-09-01,7818000000.00
2004-10-01,7784000000.00
2004-11-01,8539000000.00
2004-12-01,7845000000.00
2005-01-01,7958000000.00
2005-02-01,8012000000.00
2005-03-01,7569000000.00
2005-04-01,7498000000.00
2005-05-01,7725000000.00
2005-06-01,7115000000.00
2005-07-01,7379000000.00
2005-08-01,8025000000.00
2005-09-01,7915000000.00
2005-10-01,8203000000.00
2005-11-01,8095000000.00
2005-12-01,6747000000.00
2006-01-01,7156000000.00
2006-02-01,7627000000.00
2006-03-01,7007000000.00
2006-04-01,7110000000.00
2006-05-01,7117000000.00
2006-06-01,6502000000.00
2006-07-01,7182000000.00
2006-08-01,6732000000.00
2006-09-01,6439000000.00
2006-10-01,6732000000.00
2006-11-01,6854000000.00
2006-12-01,5881000000.00
2007-01-01,6634000000.00
2007-02-01,6793000000.00
2007-03-01,6472000000.00
2007-04-01,6800000000.00
2007-05-01,6966000000.00
2007-06-01,6220000000.00
2007-07-01,6676000000.00
2007-08-01,6319000000.00
2007-09-01,6239000000.00
2007-10-01,6534000000.00
2007-11-01,6429000000.00
2007-12-01,5584000000.00
2008-01-01,5661000000.00
2008-02-01,5916000000.00
2008-03-01,5846000000.00
2008-04-01,6027000000.00
2008-05-01,5742000000.00
2008-06-01,5391000000.00
2008-07-01,5556000000.00
2008-08-01,5252000000.00
2008-09-01,5231000000.00
2008-10-01,4856000000.00
2008-11-01,4725000000.00
2008-12-01,4301000000.00
2009-01-01,4455000000.00
2009-02-01,4484000000.00
2009-03-01,4379000000.00
2009-04-01,4316000000.00
2009-05-01,4108000000.00
2009-06-01,3741000000.00
2009-07-01,3973000000.00
2009-08-01,3904000000.00
2009-09-01,3859000000.00
2009-10-01,3922000000.00
2009-11-01,4000000000.00
2009-12-01,3881000000.00
2010-01-01,4365000000.00
2010-02-01,4546000000.00
2010-03-01,4488000000.00
2010-04-01,4499000000.00
2010-05-01,4375000000.00
2010-06-01,3929000000.00
2010-07-01,3913000000.00
2010-08-01,3563000000.00
2010-09-01,3508000000.00
2010-10-01,3507000000.00
2010-11-01,3645000000.00
2010-12-01,3533000000.00
2011-01-01,3659000000.00
2011-02-01,3998000000.00
2011-03-01,4111000000.00
2011-04-01,4097000000.00
2011-05-01,3943000000.00
2011-06-01,3655000000.00
2011-07-01,3778000000.00
2011-08-01,3513000000.00
2011-09-01,3459000000.00
2011-10-01,3575000000.00
2011-11-01,3845000000.00
2011-12-01,3738000000.00
2012-01-01,3874000000.00
2012-02-01,4135000000.00
2012-03-01,4080000000.00
2012-04-01,4116000000.00
2012-05-01,4150000000.00
2012-06-01,3792000000.00
2012-07-01,3947000000.00
2012-08-01,3807000000.00
2012-09-01,3897000000.00
2012-10-01,4048000000.00
2012-11-01,4294000000.00
2012-12-01,4070000000.00
2013-01-01,4167000000.00
2013-02-01,4273000000.00
2013-03-01,4211000000.00
2013-04-01,4333000000.00
2013-05-01,4383000000.00
2013-06-01,4185000000.00
2013-07-01,4341000000.00
2013-08-01,4251000000.00
2013-09-01,4211000000.00
2013-10-01,4193000000.00
2013-11-01,4411000000.00
2013-12-01,4368000000.00
2014-01-01,4448000000.00
2014-02-01,4375000000.00
2014-03-01,4421000000.00
2014-04-01,4475000000.00
2014-05-01,4424000000.00
2014-06-01,4339000000.00
2014-07-01,4237000000.00
2014-08-01,4013000000.00
2014-09-01,4230000000.00
2014-10-01,4236000000.00
2014-11-01,4370000000.00
2014-12-01,4455000000.00
2015-01-01,4472000000.00
2015-02-01,4417000000.00
2015-03-01,4568000000.00
2015-04-01,4775000000.00
2015-05-01,4672000000.00
2015-06-01,4443000000.00
2015-07-01,4286000000.00
2015-08-01,4174000000.00
2015-09-01,4214000000.00
2015-10-01,4298000000.00
2015-11-01,4499000000.00
2015-12-01,4383000000.00
2016-01-01,4557000000.00
2016-02-01,4701000000.00
2016-03-01,4783000000.00
2016-04-01,4728000000.00
2016-05-01,4677000000.00
2016-06-01,4435000000.00
2016-07-01,4465000000.00
2016-08-01,4480000000.00
2016-09-01,4613000000.00
2016-10-01,4670000000.00
2016-11-01,4727000000.00
2016-12-01,4566000000.00
2017-01-01,4770000000.00
2017-02-01,5045000000.00
2017-03-01,5061000000.00
2017-04-01,5088000000.00
2017-05-01,4990000000.00
2017-06-01,4739000000.00
2017-07-01,4792000000.00
2017-08-01,4844000000.00
2017-09-01,4923000000.00
2017-10-01,4931000000.00
2017-11-01,5153000000.00
2017-12-01,4811000000.00
2018-01-01,5173000000.00
2018-02-01,5143000000.00
2018-03-01,5353000000.00
2018-04-01,5300000000.00
