Date,UCRPTI
2001-01-01,8760000000.00
2001-02-01,9266000000.00
2001-03-01,8095000000.00
2001-04-01,8634000000.00
2001-05-01,8675000000.00
2001-06-01,7315000000.00
2001-07-01,7530000000.00
2001-08-01,7750000000.00
2001-09-01,6571000000.00
2001-10-01,6664000000.00
2001-11-01,6522000000.00
2001-12-01,5291000000.00
2002-01-01,5621000000.00
2002-02-01,5852000000.00
2002-03-01,5360000000.00
2002-04-01,5703000000.00
2002-05-01,6014000000.00
2002-06-01,5546000000.00
2002-07-01,5805000000.00
2002-08-01,6036000000.00
2002-09-01,5645000000.00
2002-10-01,5766000000.00
2002-11-01,6086000000.00
2002-12-01,5275000000.00
2003-01-01,5371000000.00
2003-02-01,5568000000.00
2003-03-01,5165000000.00
2003-04-01,5249000000.00
2003-05-01,5425000000.00
2003-06-01,4935000000.00
2003-07-01,4914000000.00
2003-08-01,5148000000.00
2003-09-01,4707000000.00
2003-10-01,4687000000.00
2003-11-01,4722000000.00
2003-12-01,4112000000.00
2004-01-01,4252000000.00
2004-02-01,4384000000.00
2004-03-01,4014000000.00
2004-04-01,4145000000.00
2004-05-01,4482000000.00
2004-06-01,4321000000.00
2004-07-01,4454000000.00
2004-08-01,4674000000.00
2004-09-01,4513000000.00
2004-10-01,4623000000.00
2004-11-01,4692000000.00
2004-12-01,4132000000.00
2005-01-01,4389000000.00
2005-02-01,4572000000.00
2005-03-01,4369000000.00
2005-04-01,4615000000.00
2005-05-01,4852000000.00
2005-06-01,4606000000.00
2005-07-01,4808000000.00
2005-08-01,5167000000.00
2005-09-01,4861000000.00
2005-10-01,4939000000.00
2005-11-01,5091000000.00
2005-12-01,4496000000.00
2006-01-01,4527000000.00
2006-02-01,4652000000.00
2006-03-01,4459000000.00
2006-04-01,4561000000.00
2006-05-01,4743000000.00
2006-06-01,4590000000.00
2006-07-01,4840000000.00
2006-08-01,5113000000.00
2006-09-01,5068000000.00
2006-10-01,5063000000.00
2006-11-01,5311000000.00
2006-12-01,4744000000.00
2007-01-01,4947000000.00
2007-02-01,5068000000.00
2007-03-01,4752000000.00
2007-04-01,4826000000.00
2007-05-01,5023000000.00
2007-06-01,4577000000.00
2007-07-01,4628000000.00
2007-08-01,4928000000.00
2007-09-01,4960000000.00
2007-10-01,5003000000.00
2007-11-01,5248000000.00
2007-12-01,4730000000.00
2008-01-01,4809000000.00
2008-02-01,5080000000.00
2008-03-01,5027000000.00
2008-04-01,5088000000.00
2008-05-01,5307000000.00
2008-06-01,4876000000.00
2008-07-01,4937000000.00
2008-08-01,5261000000.00
2008-09-01,5020000000.00
2008-10-01,4787000000.00
2008-11-01,5042000000.00
2008-12-01,4820000000.00
2009-01-01,4500000000.00
2009-02-01,4915000000.00
2009-03-01,4509000000.00
2009-04-01,4862000000.00
2009-05-01,4880000000.00
2009-06-01,4620000000.00
2009-07-01,4704000000.00
2009-08-01,4865000000.00
2009-09-01,4997000000.00
2009-10-01,5135000000.00
2009-11-01,5445000000.00
2009-12-01,5209000000.00
2010-01-01,5171000000.00
2010-02-01,5421000000.00
2010-03-01,4984000000.00
2010-04-01,4980000000.00
2010-05-01,5341000000.00
2010-06-01,5228000000.00
2010-07-01,5110000000.00
2010-08-01,5194000000.00
2010-09-01,4669000000.00
2010-10-01,4835000000.00
2010-11-01,4872000000.00
2010-12-01,4236000000.00
2011-01-01,4405000000.00
2011-02-01,4632000000.00
2011-03-01,4312000000.00
2011-04-01,4531000000.00
2011-05-01,4662000000.00
2011-06-01,4519000000.00
2011-07-01,4751000000.00
2011-08-01,4865000000.00
2011-09-01,4703000000.00
2011-10-01,4813000000.00
2011-11-01,4943000000.00
2011-12-01,4316000000.00
2012-01-01,4519000000.00
2012-02-01,4600000000.00
2012-03-01,4539000000.00
2012-04-01,4617000000.00
2012-05-01,4742000000.00
2012-06-01,4319000000.00
2012-07-01,4619000000.00
2012-08-01,4768000000.00
2012-09-01,4411000000.00
2012-10-01,4684000000.00
2012-11-01,4717000000.00
2012-12-01,4066000000.00
2013-01-01,4309000000.00
2013-02-01,4404000000.00
2013-03-01,3853000000.00
2013-04-01,4218000000.00
2013-05-01,4526000000.00
2013-06-01,4294000000.00
2013-07-01,4381000000.00
2013-08-01,4351000000.00
2013-09-01,3991000000.00
2013-10-01,4039000000.00
2013-11-01,4155000000.00
2013-12-01,3700000000.00
2014-01-01,3820000000.00
2014-02-01,3962000000.00
2014-03-01,3695000000.00
2014-04-01,3912000000.00
2014-05-01,3976000000.00
2014-06-01,3699000000.00
2014-07-01,4012000000.00
2014-08-01,4085000000.00
2014-09-01,3936000000.00
2014-10-01,4051000000.00
2014-11-01,4031000000.00
2014-12-01,3636000000.00
2015-01-01,3954000000.00
2015-02-01,4102000000.00
2015-03-01,3683000000.00
2015-04-01,4045000000.00
2015-05-01,4268000000.00
2015-06-01,4251000000.00
2015-07-01,4320000000.00
2015-08-01,4171000000.00
2015-09-01,3838000000.00
2015-10-01,3952000000.00
2015-11-01,4052000000.00
2015-12-01,3660000000.00
2016-01-01,3974000000.00
2016-02-01,4027000000.00
2016-03-01,3695000000.00
2016-04-01,3787000000.00
2016-05-01,3872000000.00
2016-06-01,3667000000.00
2016-07-01,3827000000.00
2016-08-01,3900000000.00
2016-09-01,3653000000.00
2016-10-01,3529000000.00
2016-11-01,3597000000.00
2016-12-01,3478000000.00
2017-01-01,3669000000.00
2017-02-01,3803000000.00
2017-03-01,3528000000.00
2017-04-01,3679000000.00
2017-05-01,3798000000.00
2017-06-01,3688000000.00
2017-07-01,3846000000.00
2017-08-01,3851000000.00
2017-09-01,3738000000.00
2017-10-01,3786000000.00
2017-11-01,3801000000.00
2017-12-01,3579000000.00
2018-01-01,3706000000.00
2018-02-01,3841000000.00
2018-03-01,3496000000.00
2018-04-01,3610000000.00
2018-05-01,3776000000.00
