Date,HOUSTNSA
1987-03-01,141200.00
1987-04-01,159300.00
1987-05-01,158000.00
1987-06-01,162900.00
1987-07-01,152400.00
1987-08-01,143600.00
1987-09-01,152000.00
1987-10-01,139100.00
1987-11-01,118800.00
1987-12-01,85400.00
1988-01-01,78200.00
1988-02-01,90200.00
1988-03-01,128800.00
1988-04-01,153200.00
1988-05-01,140200.00
1988-06-01,150200.00
1988-07-01,137000.00
1988-08-01,136800.00
1988-09-01,131100.00
1988-10-01,135100.00
1988-11-01,113000.00
1988-12-01,94200.00
1989-01-01,100100.00
1989-02-01,85800.00
1989-03-01,117800.00
1989-04-01,129400.00
1989-05-01,131700.00
1989-06-01,143200.00
1989-07-01,134700.00
1989-08-01,122400.00
1989-09-01,109300.00
1989-10-01,130100.00
1989-11-01,96600.00
1989-12-01,75000.00
1990-01-01,99200.00
1990-02-01,86900.00
1990-03-01,108500.00
1990-04-01,119000.00
1990-05-01,121100.00
1990-06-01,117800.00
1990-07-01,111200.00
1990-08-01,102800.00
1990-09-01,93100.00
1990-10-01,94200.00
1990-11-01,81400.00
1990-12-01,57400.00
1991-01-01,52500.00
1991-02-01,59100.00
1991-03-01,73800.00
1991-04-01,99700.00
1991-05-01,97700.00
1991-06-01,103400.00
1991-07-01,103500.00
1991-08-01,94700.00
1991-09-01,86600.00
1991-10-01,101800.00
1991-11-01,75600.00
1991-12-01,65600.00
1992-01-01,71600.00
1992-02-01,78800.00
1992-03-01,111600.00
1992-04-01,107600.00
1992-05-01,115200.00
1992-06-01,117800.00
1992-07-01,106200.00
1992-08-01,109900.00
1992-09-01,106000.00
1992-10-01,111800.00
1992-11-01,84500.00
1992-12-01,78600.00
1993-01-01,70500.00
1993-02-01,74600.00
1993-03-01,95500.00
1993-04-01,117800.00
1993-05-01,120900.00
1993-06-01,128500.00
1993-07-01,115300.00
1993-08-01,121800.00
1993-09-01,118500.00
1993-10-01,123300.00
1993-11-01,102300.00
1993-12-01,98700.00
1994-01-01,76200.00
1994-02-01,83500.00
1994-03-01,134300.00
1994-04-01,137600.00
1994-05-01,148800.00
1994-06-01,136400.00
1994-07-01,127800.00
1994-08-01,139800.00
1994-09-01,130100.00
1994-10-01,130600.00
1994-11-01,113400.00
1994-12-01,98500.00
1995-01-01,84500.00
1995-02-01,81600.00
1995-03-01,103800.00
1995-04-01,116900.00
1995-05-01,130500.00
1995-06-01,123400.00
1995-07-01,129100.00
1995-08-01,135800.00
1995-09-01,122400.00
1995-10-01,126200.00
1995-11-01,107200.00
1995-12-01,92800.00
1996-01-01,90700.00
1996-02-01,95900.00
1996-03-01,116000.00
1996-04-01,146600.00
1996-05-01,143900.00
1996-06-01,138000.00
1996-07-01,137500.00
1996-08-01,144200.00
1996-09-01,128700.00
1996-10-01,130800.00
1996-11-01,111500.00
1996-12-01,93100.00
1997-01-01,82200.00
1997-02-01,94700.00
1997-03-01,120400.00
1997-04-01,142300.00
1997-05-01,136300.00
1997-06-01,140400.00
1997-07-01,134600.00
1997-08-01,126500.00
1997-09-01,139200.00
1997-10-01,139000.00
1997-11-01,112400.00
1997-12-01,106000.00
1998-01-01,91200.00
1998-02-01,101100.00
1998-03-01,132600.00
1998-04-01,144900.00
1998-05-01,143300.00
1998-06-01,159600.00
1998-07-01,156000.00
1998-08-01,147500.00
1998-09-01,141500.00
1998-10-01,155500.00
1998-11-01,124200.00
1998-12-01,119600.00
1999-01-01,106800.00
1999-02-01,110200.00
1999-03-01,147300.00
1999-04-01,144600.00
1999-05-01,153200.00
1999-06-01,149400.00
1999-07-01,152600.00
1999-08-01,152900.00
1999-09-01,140300.00
1999-10-01,142900.00
1999-11-01,127400.00
1999-12-01,113600.00
2000-01-01,104000.00
