Date,RTWVDMO684NMFRBDAL
2006-07-01,100.22
2006-08-01,99.40
2006-09-01,99.18
2006-10-01,99.36
2006-11-01,98.61
2006-12-01,98.36
2007-01-01,99.76
2007-02-01,99.45
2007-03-01,99.72
2007-04-01,98.12
2007-05-01,96.81
2007-06-01,95.93
2007-07-01,94.31
2007-08-01,94.73
2007-09-01,93.28
2007-10-01,90.66
2007-11-01,89.92
2007-12-01,91.20
2008-01-01,91.34
2008-02-01,90.21
2008-03-01,89.78
2008-04-01,89.75
2008-05-01,89.97
2008-06-01,90.71
2008-07-01,90.12
2008-08-01,92.25
2008-09-01,94.57
2008-10-01,103.14
2008-11-01,104.33
2008-12-01,103.28
2009-01-01,103.96
2009-02-01,106.39
2009-03-01,107.62
2009-04-01,104.28
2009-05-01,100.22
2009-06-01,99.22
2009-07-01,98.56
2009-08-01,96.58
2009-09-01,96.17
2009-10-01,94.55
2009-11-01,94.03
2009-12-01,93.85
2010-01-01,93.80
2010-02-01,94.78
2010-03-01,93.54
2010-04-01,92.36
2010-05-01,95.17
2010-06-01,95.60
2010-07-01,94.26
2010-08-01,93.43
2010-09-01,92.64
2010-10-01,90.16
2010-11-01,90.01
2010-12-01,90.37
2011-01-01,89.58
2011-02-01,88.91
2011-03-01,88.45
2011-04-01,87.08
2011-05-01,87.43
2011-06-01,87.65
2011-07-01,86.44
2011-08-01,87.51
2011-09-01,90.09
2011-10-01,91.07
2011-11-01,91.28
2011-12-01,91.72
2012-01-01,91.09
2012-02-01,89.28
2012-03-01,90.02
2012-04-01,90.31
2012-05-01,92.03
2012-06-01,93.51
2012-07-01,92.14
2012-08-01,91.16
2012-09-01,90.25
2012-10-01,90.07
2012-11-01,90.36
2012-12-01,89.45
2013-01-01,89.38
2013-02-01,90.27
2013-03-01,91.18
2013-04-01,90.49
2013-05-01,90.95
2013-06-01,92.40
2013-07-01,92.66
2013-08-01,92.59
2013-09-01,92.48
2013-10-01,91.59
2013-11-01,92.08
2013-12-01,92.47
2014-01-01,93.90
2014-02-01,94.10
2014-03-01,94.26
2014-04-01,93.50
2014-05-01,93.11
2014-06-01,93.14
2014-07-01,92.59
2014-08-01,93.54
2014-09-01,94.74
2014-10-01,96.05
2014-11-01,96.98
2014-12-01,98.91
2015-01-01,101.50
2015-02-01,103.31
2015-03-01,105.50
2015-04-01,104.58
2015-05-01,103.90
2015-06-01,105.15
2015-07-01,107.60
2015-08-01,109.55
2015-09-01,110.67
2015-10-01,109.39
2015-11-01,110.61
2015-12-01,112.18
2016-01-01,115.58
2016-02-01,113.93
2016-03-01,110.65
2016-04-01,108.53
2016-05-01,110.21
2016-06-01,110.84
2016-07-01,111.18
2016-08-01,110.38
2016-09-01,111.82
2016-10-01,112.65
2016-11-01,115.08
2016-12-01,116.26
2017-01-01,116.11
2017-02-01,114.30
2017-03-01,114.01
2017-04-01,113.15
2017-05-01,113.43
2017-06-01,111.38
2017-07-01,108.18
2017-08-01,107.19
2017-09-01,106.23
2017-10-01,108.72
2017-11-01,109.27
2017-12-01,108.92
2018-01-01,106.69
2018-02-01,106.30
2018-03-01,107.63
