Date,CAPUTLGMFNS
1985-02-01,80.56
1985-03-01,80.69
1985-04-01,80.62
1985-05-01,80.72
1985-06-01,80.47
1985-07-01,79.89
1985-08-01,80.11
1985-09-01,80.59
1985-10-01,80.20
1985-11-01,80.31
1985-12-01,80.70
1986-01-01,81.64
1986-02-01,81.28
1986-03-01,80.77
1986-04-01,81.14
1986-05-01,81.55
1986-06-01,81.49
1986-07-01,81.49
1986-08-01,81.98
1986-09-01,81.81
1986-10-01,82.54
1986-11-01,82.79
1986-12-01,83.34
1987-01-01,82.76
1987-02-01,83.44
1987-03-01,83.46
1987-04-01,83.79
1987-05-01,84.46
1987-06-01,84.61
1987-07-01,85.56
1987-08-01,85.38
1987-09-01,85.43
1987-10-01,85.83
1987-11-01,86.22
1987-12-01,86.52
1988-01-01,86.10
1988-02-01,86.40
1988-03-01,86.34
1988-04-01,86.78
1988-05-01,86.00
1988-06-01,86.10
1988-07-01,86.45
1988-08-01,86.34
1988-09-01,85.90
1988-10-01,86.14
1988-11-01,85.93
1988-12-01,86.43
1989-01-01,86.57
1989-02-01,85.97
1989-03-01,86.06
1989-04-01,85.75
1989-05-01,85.04
1989-06-01,85.27
1989-07-01,84.04
1989-08-01,84.40
1989-09-01,84.03
1989-10-01,84.57
1989-11-01,84.60
1989-12-01,83.94
1990-01-01,84.64
1990-02-01,85.21
1990-03-01,84.67
1990-04-01,84.50
1990-05-01,84.03
1990-06-01,84.14
1990-07-01,84.10
1990-08-01,84.17
1990-09-01,84.17
1990-10-01,83.76
1990-11-01,83.92
1990-12-01,83.32
1991-01-01,82.63
1991-02-01,82.29
1991-03-01,81.44
1991-04-01,81.49
1991-05-01,82.24
1991-06-01,82.54
1991-07-01,82.36
1991-08-01,82.66
1991-09-01,82.97
1991-10-01,82.84
1991-11-01,82.17
1991-12-01,82.15
1992-01-01,82.41
1992-02-01,81.97
1992-03-01,82.67
1992-04-01,82.73
1992-05-01,82.50
1992-06-01,82.91
1992-07-01,83.29
1992-08-01,82.81
1992-09-01,82.83
1992-10-01,82.83
1992-11-01,82.92
1992-12-01,82.22
1993-01-01,83.00
1993-02-01,82.99
1993-03-01,82.27
1993-04-01,82.76
1993-05-01,82.52
1993-06-01,82.40
1993-07-01,82.65
1993-08-01,82.70
1993-09-01,82.59
1993-10-01,82.72
1993-11-01,82.66
1993-12-01,82.76
1994-01-01,82.54
1994-02-01,82.87
1994-03-01,84.02
1994-04-01,84.07
1994-05-01,84.58
1994-06-01,84.79
1994-07-01,84.33
1994-08-01,85.22
1994-09-01,84.76
1994-10-01,85.24
1994-11-01,85.64
1994-12-01,86.00
1995-01-01,85.86
1995-02-01,85.49
1995-03-01,85.15
1995-04-01,84.81
1995-05-01,84.62
1995-06-01,84.54
1995-07-01,84.17
1995-08-01,84.02
1995-09-01,84.16
1995-10-01,83.99
1995-11-01,83.57
1995-12-01,83.33
1996-01-01,82.45
1996-02-01,82.67
1996-03-01,83.00
1996-04-01,82.65
1996-05-01,82.92
1996-06-01,83.31
1996-07-01,83.18
1996-08-01,83.10
1996-09-01,83.53
1996-10-01,83.38
1996-11-01,83.59
1996-12-01,83.75
1997-01-01,83.44
1997-02-01,83.82
1997-03-01,84.40
1997-04-01,83.63
1997-05-01,83.64
1997-06-01,83.21
1997-07-01,83.61
1997-08-01,83.80
1997-09-01,84.04
1997-10-01,84.05
1997-11-01,83.88
1997-12-01,83.66
1998-01-01,84.14
1998-02-01,83.50
1998-03-01,82.92
1998-04-01,83.11
1998-05-01,83.05
1998-06-01,82.58
1998-07-01,82.27
1998-08-01,82.12
1998-09-01,81.08
1998-10-01,81.01
1998-11-01,80.69
1998-12-01,80.50
1999-01-01,80.81
1999-02-01,81.21
1999-03-01,80.54
1999-04-01,80.22
1999-05-01,80.84
1999-06-01,79.80
1999-07-01,79.05
1999-08-01,79.25
1999-09-01,78.89
1999-10-01,79.85
1999-11-01,80.31
1999-12-01,80.91
2000-01-01,79.50
2000-02-01,79.55
2000-03-01,79.73
2000-04-01,79.97
2000-05-01,79.37
2000-06-01,79.29
2000-07-01,79.05
2000-08-01,78.30
2000-09-01,78.63
2000-10-01,78.28
2000-11-01,78.17
2000-12-01,77.88
2001-01-01,77.49
2001-02-01,77.14
2001-03-01,76.32
2001-04-01,76.37
2001-05-01,75.77
2001-06-01,75.39
2001-07-01,75.04
2001-08-01,75.07
2001-09-01,75.26
2001-10-01,75.38
2001-11-01,75.07
2001-12-01,74.98
2002-01-01,75.66
2002-02-01,75.27
2002-03-01,75.75
2002-04-01,75.45
2002-05-01,76.00
2002-06-01,76.86
2002-07-01,76.29
2002-08-01,76.27
2002-09-01,76.41
2002-10-01,76.15
2002-11-01,76.30
2002-12-01,76.17
2003-01-01,76.28
2003-02-01,76.90
2003-03-01,77.43
2003-04-01,76.93
2003-05-01,76.61
2003-06-01,76.76
2003-07-01,76.64
2003-08-01,76.59
2003-09-01,76.95
2003-10-01,76.89
2003-11-01,77.34
2003-12-01,77.20
2004-01-01,77.21
2004-02-01,77.65
2004-03-01,77.47
2004-04-01,78.07
2004-05-01,78.87
2004-06-01,78.25
2004-07-01,78.82
2004-08-01,79.24
2004-09-01,79.14
2004-10-01,79.94
2004-11-01,79.94
2004-12-01,80.43
2005-01-01,80.76
2005-02-01,81.16
2005-03-01,80.80
2005-04-01,80.81
2005-05-01,80.90
2005-06-01,81.11
2005-07-01,80.99
2005-08-01,80.36
2005-09-01,78.19
2005-10-01,78.49
2005-11-01,79.67
2005-12-01,80.24
2006-01-01,80.57
2006-02-01,80.06
2006-03-01,79.57
2006-04-01,79.76
2006-05-01,79.39
2006-06-01,79.60
2006-07-01,79.52
2006-08-01,79.69
2006-09-01,79.86
2006-10-01,79.66
2006-11-01,79.27
2006-12-01,80.32
2007-01-01,80.05
2007-02-01,79.91
2007-03-01,79.97
2007-04-01,79.96
2007-05-01,79.62
2007-06-01,79.53
2007-07-01,79.59
2007-08-01,78.85
2007-09-01,79.16
2007-10-01,78.49
2007-11-01,78.44
2007-12-01,78.44
2008-01-01,77.73
2008-02-01,76.98
2008-03-01,76.56
2008-04-01,76.01
2008-05-01,75.73
2008-06-01,74.91
2008-07-01,74.54
2008-08-01,73.89
2008-09-01,71.36
2008-10-01,72.98
2008-11-01,71.65
2008-12-01,69.18
2009-01-01,69.19
2009-02-01,69.62
2009-03-01,68.97
2009-04-01,68.97
2009-05-01,69.21
2009-06-01,69.49
2009-07-01,69.47
2009-08-01,70.30
2009-09-01,70.38
2009-10-01,70.78
2009-11-01,71.46
2009-12-01,71.09
2010-01-01,71.65
2010-02-01,71.79
2010-03-01,72.39
2010-04-01,72.84
2010-05-01,73.59
2010-06-01,73.51
2010-07-01,73.61
2010-08-01,74.14
2010-09-01,74.16
2010-10-01,74.17
2010-11-01,74.25
2010-12-01,74.76
2011-01-01,74.74
2011-02-01,74.62
2011-03-01,75.28
2011-04-01,75.35
2011-05-01,75.12
2011-06-01,75.21
2011-07-01,75.65
2011-08-01,75.68
2011-09-01,75.86
2011-10-01,76.11
2011-11-01,75.58
2011-12-01,75.81
2012-01-01,76.14
2012-02-01,76.20
2012-03-01,75.43
2012-04-01,75.62
2012-05-01,75.21
2012-06-01,75.20
2012-07-01,75.19
2012-08-01,75.06
2012-09-01,75.35
2012-10-01,74.97
2012-11-01,75.14
2012-12-01,75.70
2013-01-01,75.77
2013-02-01,75.84
2013-03-01,75.59
2013-04-01,75.37
2013-05-01,75.83
2013-06-01,76.04
2013-07-01,75.59
2013-08-01,75.66
2013-09-01,75.39
2013-10-01,75.56
2013-11-01,75.21
2013-12-01,75.76
2014-01-01,74.82
2014-02-01,75.12
2014-03-01,75.54
2014-04-01,75.79
2014-05-01,75.36
2014-06-01,75.72
2014-07-01,75.63
2014-08-01,75.76
2014-09-01,75.80
2014-10-01,75.65
2014-11-01,76.32
2014-12-01,76.44
2015-01-01,76.23
2015-02-01,76.14
2015-03-01,76.45
2015-04-01,76.69
2015-05-01,76.43
2015-06-01,76.41
2015-07-01,76.79
2015-08-01,77.03
2015-09-01,76.98
2015-10-01,77.05
2015-11-01,77.19
2015-12-01,76.94
2016-01-01,77.47
2016-02-01,77.13
2016-03-01,77.15
2016-04-01,76.53
2016-05-01,76.44
2016-06-01,76.26
2016-07-01,76.05
2016-08-01,75.74
2016-09-01,76.03
2016-10-01,75.93
2016-11-01,75.92
2016-12-01,75.79
2017-01-01,75.95
2017-02-01,76.11
2017-03-01,75.71
2017-04-01,76.35
2017-05-01,76.41
2017-06-01,76.65
2017-07-01,76.82
2017-08-01,76.24
2017-09-01,75.19
2017-10-01,76.91
2017-11-01,77.09
2017-12-01,76.96
2018-01-01,76.26
2018-02-01,77.09
2018-03-01,76.59
2018-04-01,77.03
2018-05-01,76.86
