Date,RTWVDWY684NMFRBDAL
2015-06-01,104.32
2015-07-01,105.83
2015-08-01,108.33
2015-09-01,110.58
2015-10-01,108.79
2015-11-01,108.65
2015-12-01,109.53
2016-01-01,112.01
2016-02-01,109.90
2016-03-01,107.09
2016-04-01,104.75
2016-05-01,105.18
2016-06-01,104.62
2016-07-01,103.41
2016-08-01,102.28
2016-09-01,102.97
2016-10-01,103.03
2016-11-01,104.91
2016-12-01,105.62
2017-01-01,104.44
2017-02-01,102.83
2017-03-01,103.10
2017-04-01,102.58
2017-05-01,103.08
2017-06-01,102.49
2017-07-01,100.96
2017-08-01,99.98
2017-09-01,99.24
2017-10-01,100.33
2017-11-01,100.46
2017-12-01,99.89
2018-01-01,101.85
2018-02-01,97.92
2018-03-01,99.59
