Date,WATERBORNE
2011-05-01,42900000.00
2011-06-01,47900000.00
2011-07-01,49900000.00
2011-08-01,50900000.00
2011-09-01,47700000.00
2011-10-01,52100000.00
2011-11-01,47000000.00
2011-12-01,45900000.00
2012-01-01,45700000.00
2012-02-01,43600000.00
2012-03-01,47100000.00
2012-04-01,46900000.00
2012-05-01,48300000.00
2012-06-01,46300000.00
2012-07-01,46600000.00
2012-08-01,47600000.00
2012-09-01,45300000.00
2012-10-01,50600000.00
2012-11-01,47200000.00
2012-12-01,47100000.00
2013-01-01,44200000.00
2013-02-01,42900000.00
2013-03-01,48300000.00
2013-04-01,44600000.00
2013-05-01,45900000.00
2013-06-01,48400000.00
2013-07-01,47400000.00
2013-08-01,49100000.00
2013-09-01,45400000.00
2013-10-01,50300000.00
2013-11-01,46600000.00
2013-12-01,44900000.00
2014-01-01,43300000.00
2014-02-01,42000000.00
2014-03-01,49100000.00
2014-04-01,48200000.00
2014-05-01,49300000.00
2014-06-01,49700000.00
2014-07-01,49900000.00
2014-08-01,53200000.00
2014-09-01,49600000.00
2014-10-01,54700000.00
2014-11-01,51700000.00
2014-12-01,49900000.00
2015-01-01,48100000.00
2015-02-01,44000000.00
2015-03-01,44500000.00
2015-04-01,49700000.00
2015-05-01,53100000.00
2015-06-01,50000000.00
2015-07-01,49000000.00
2015-08-01,51600000.00
2015-09-01,46800000.00
2015-10-01,53500000.00
2015-11-01,48300000.00
2015-12-01,45900000.00
2016-01-01,44600000.00
2016-02-01,42800000.00
2016-03-01,47400000.00
2016-04-01,47000000.00
2016-05-01,49100000.00
2016-06-01,47900000.00
2016-07-01,47300000.00
2016-08-01,48600000.00
2016-09-01,46800000.00
2016-10-01,52500000.00
2016-11-01,47400000.00
2016-12-01,46900000.00
2017-01-01,49300000.00
2017-02-01,54600000.00
2017-03-01,49900000.00
2017-04-01,46200000.00
2017-05-01,55600000.00
2017-06-01,49100000.00
2017-07-01,53300000.00
2017-08-01,52400000.00
2017-09-01,49400000.00
2017-10-01,53900000.00
2017-11-01,46900000.00
2017-12-01,47800000.00
2018-01-01,45000000.00
2018-02-01,43900000.00
2018-03-01,49800000.00
2018-04-01,52500000.00
