Date,U33HTI
2010-07-01,4206000000.00
2010-08-01,4234000000.00
2010-09-01,4109000000.00
2010-10-01,4169000000.00
2010-11-01,4179000000.00
2010-12-01,3870000000.00
2011-01-01,4109000000.00
2011-02-01,4335000000.00
2011-03-01,4630000000.00
2011-04-01,4887000000.00
2011-05-01,5050000000.00
2011-06-01,4831000000.00
2011-07-01,4973000000.00
2011-08-01,4986000000.00
2011-09-01,4747000000.00
2011-10-01,4878000000.00
2011-11-01,4787000000.00
2011-12-01,4304000000.00
2012-01-01,4548000000.00
2012-02-01,4841000000.00
2012-03-01,4800000000.00
2012-04-01,4967000000.00
2012-05-01,5172000000.00
2012-06-01,4925000000.00
2012-07-01,4903000000.00
2012-08-01,4853000000.00
2012-09-01,4629000000.00
2012-10-01,4652000000.00
2012-11-01,4656000000.00
2012-12-01,4244000000.00
2013-01-01,4647000000.00
2013-02-01,4978000000.00
2013-03-01,4752000000.00
2013-04-01,5073000000.00
2013-05-01,5036000000.00
2013-06-01,4533000000.00
2013-07-01,4693000000.00
2013-08-01,4574000000.00
2013-09-01,4364000000.00
2013-10-01,4469000000.00
2013-11-01,4336000000.00
2013-12-01,3972000000.00
2014-01-01,4338000000.00
2014-02-01,4610000000.00
2014-03-01,4549000000.00
2014-04-01,4757000000.00
2014-05-01,4782000000.00
2014-06-01,4587000000.00
2014-07-01,4698000000.00
2014-08-01,4719000000.00
2014-09-01,4535000000.00
2014-10-01,4609000000.00
2014-11-01,4605000000.00
2014-12-01,4334000000.00
2015-01-01,4552000000.00
2015-02-01,4782000000.00
2015-03-01,4877000000.00
2015-04-01,5021000000.00
2015-05-01,5085000000.00
2015-06-01,4907000000.00
2015-07-01,4901000000.00
2015-08-01,4731000000.00
2015-09-01,4554000000.00
2015-10-01,4580000000.00
2015-11-01,4570000000.00
2015-12-01,4284000000.00
2016-01-01,4508000000.00
2016-02-01,4711000000.00
2016-03-01,4694000000.00
2016-04-01,4723000000.00
2016-05-01,4720000000.00
2016-06-01,4458000000.00
2016-07-01,4407000000.00
2016-08-01,4401000000.00
2016-09-01,4423000000.00
2016-10-01,4424000000.00
2016-11-01,4481000000.00
2016-12-01,4192000000.00
2017-01-01,4484000000.00
2017-02-01,4799000000.00
2017-03-01,4790000000.00
2017-04-01,5325000000.00
2017-05-01,5087000000.00
2017-06-01,4850000000.00
2017-07-01,4914000000.00
2017-08-01,4949000000.00
2017-09-01,4784000000.00
2017-10-01,4861000000.00
2017-11-01,4790000000.00
2017-12-01,4424000000.00
2018-01-01,4711000000.00
2018-02-01,4998000000.00
2018-03-01,5008000000.00
2018-04-01,5228000000.00
