Date,LFWA64TTUSM647N
1985-06-01,151160000.00
1985-07-01,151255000.00
1985-08-01,151348000.00
1985-09-01,151428000.00
1985-10-01,151591000.00
1985-11-01,151725000.00
1985-12-01,151846000.00
1986-01-01,152474000.00
1986-02-01,152557000.00
1986-03-01,152677000.00
1986-04-01,152766000.00
1986-05-01,152876000.00
1986-06-01,153022000.00
1986-07-01,153141000.00
1986-08-01,153266000.00
1986-09-01,153367000.00
1986-10-01,153536000.00
1986-11-01,153645000.00
1986-12-01,153756000.00
1987-01-01,153968000.00
1987-02-01,154123000.00
1987-03-01,154229000.00
1987-04-01,154362000.00
1987-05-01,154490000.00
1987-06-01,154605000.00
1987-07-01,154727000.00
1987-08-01,154811000.00
1987-09-01,154937000.00
1987-10-01,155054000.00
1987-11-01,155168000.00
1987-12-01,155258000.00
1988-01-01,155396000.00
1988-02-01,155503000.00
1988-03-01,155607000.00
1988-04-01,155702000.00
1988-05-01,155830000.00
1988-06-01,155985000.00
1988-07-01,156130000.00
1988-08-01,156203000.00
1988-09-01,156284000.00
1988-10-01,156395000.00
1988-11-01,156447000.00
1988-12-01,156527000.00
1989-01-01,156752000.00
1989-02-01,156812000.00
1989-03-01,156886000.00
1989-04-01,156959000.00
1989-05-01,157044000.00
1989-06-01,157177000.00
1989-07-01,157284000.00
1989-08-01,157385000.00
1989-09-01,157474000.00
1989-10-01,157568000.00
1989-11-01,157612000.00
1989-12-01,157703000.00
1990-01-01,159353000.00
1990-02-01,159442000.00
1990-03-01,159547000.00
1990-04-01,159631000.00
1990-05-01,159724000.00
1990-06-01,159812000.00
1990-07-01,159904000.00
1990-08-01,160041000.00
1990-09-01,160191000.00
1990-10-01,160331000.00
1990-11-01,160467000.00
1990-12-01,160564000.00
1991-01-01,160655000.00
1991-02-01,160710000.00
1991-03-01,160794000.00
1991-04-01,160921000.00
1991-05-01,161017000.00
1991-06-01,161141000.00
1991-07-01,161217000.00
1991-08-01,161354000.00
1991-09-01,161521000.00
1991-10-01,161663000.00
1991-11-01,161798000.00
1991-12-01,161905000.00
1992-01-01,161987000.00
1992-02-01,162071000.00
1992-03-01,162166000.00
1992-04-01,162262000.00
1992-05-01,162352000.00
1992-06-01,162493000.00
1992-07-01,162625000.00
1992-08-01,162801000.00
1992-09-01,162977000.00
1992-10-01,163122000.00
1992-11-01,163275000.00
1992-12-01,163388000.00
1993-01-01,163513000.00
1993-02-01,163621000.00
1993-03-01,163694000.00
1993-04-01,163831000.00
1993-05-01,163943000.00
1993-06-01,164094000.00
1993-07-01,164233000.00
1993-08-01,164379000.00
1993-09-01,164543000.00
1993-10-01,164699000.00
1993-11-01,164884000.00
1993-12-01,165010000.00
1994-01-01,165121000.00
1994-02-01,165254000.00
1994-03-01,165327000.00
1994-04-01,165476000.00
1994-05-01,165577000.00
1994-06-01,165694000.00
1994-07-01,165797000.00
1994-08-01,165928000.00
1994-09-01,166129000.00
1994-10-01,166289000.00
1994-11-01,166445000.00
1994-12-01,166584000.00
1995-01-01,166467000.00
1995-02-01,166591000.00
1995-03-01,166690000.00
1995-04-01,166791000.00
1995-05-01,166897000.00
1995-06-01,167023000.00
1995-07-01,167150000.00
1995-08-01,167310000.00
1995-09-01,167459000.00
1995-10-01,167628000.00
1995-11-01,167753000.00
1995-12-01,167879000.00
1996-01-01,167929000.00
1996-02-01,168093000.00
1996-03-01,168257000.00
1996-04-01,168457000.00
1996-05-01,168604000.00
1996-06-01,168760000.00
1996-07-01,168918000.00
1996-08-01,169078000.00
1996-09-01,169248000.00
1996-10-01,169408000.00
1996-11-01,169585000.00
1996-12-01,169734000.00
1997-01-01,170318000.00
1997-02-01,170458000.00
1997-03-01,170598000.00
1997-04-01,170783000.00
1997-05-01,170934000.00
1997-06-01,171055000.00
1997-07-01,171192000.00
1997-08-01,171336000.00
1997-09-01,171502000.00
1997-10-01,171659000.00
1997-11-01,171867000.00
1997-12-01,172027000.00
1998-01-01,172061000.00
1998-02-01,172244000.00
1998-03-01,172396000.00
1998-04-01,172553000.00
1998-05-01,172750000.00
1998-06-01,172882000.00
1998-07-01,172997000.00
1998-08-01,173192000.00
1998-09-01,173361000.00
1998-10-01,173537000.00
1998-11-01,173824000.00
1998-12-01,173995000.00
1999-01-01,174342000.00
1999-02-01,174517000.00
1999-03-01,174664000.00
1999-04-01,174817000.00
1999-05-01,174995000.00
1999-06-01,175152000.00
1999-07-01,175301000.00
1999-08-01,175493000.00
1999-09-01,175646000.00
1999-10-01,175902000.00
1999-11-01,176106000.00
1999-12-01,176294000.00
2000-01-01,178143000.00
2000-02-01,178266000.00
2000-03-01,178414000.00
2000-04-01,178578000.00
2000-05-01,178785000.00
2000-06-01,179005000.00
2000-07-01,179227000.00
2000-08-01,179385000.00
2000-09-01,179587000.00
2000-10-01,179811000.00
2000-11-01,179976000.00
2000-12-01,180146000.00
2001-01-01,180310000.00
2001-02-01,180529000.00
2001-03-01,180659000.00
2001-04-01,180889000.00
2001-05-01,181056000.00
2001-06-01,181278000.00
2001-07-01,181549000.00
2001-08-01,181776000.00
2001-09-01,181988000.00
2001-10-01,182162000.00
2001-11-01,182360000.00
2001-12-01,182492000.00
2002-01-01,182698000.00
2002-02-01,182910000.00
2002-03-01,183086000.00
2002-04-01,183260000.00
2002-05-01,183452000.00
2002-06-01,183632000.00
2002-07-01,183869000.00
2002-08-01,184103000.00
2002-09-01,184304000.00
2002-10-01,184460000.00
2002-11-01,184630000.00
2002-12-01,184737000.00
2003-01-01,185776000.00
2003-02-01,185999000.00
2003-03-01,186175000.00
2003-04-01,186398000.00
2003-05-01,186580000.00
2003-06-01,186781000.00
2003-07-01,187003000.00
2003-08-01,187214000.00
2003-09-01,187454000.00
2003-10-01,187653000.00
2003-11-01,187863000.00
2003-12-01,188077000.00
2004-01-01,187710000.00
2004-02-01,187892000.00
2004-03-01,188075000.00
2004-04-01,188258000.00
2004-05-01,188421000.00
2004-06-01,188624000.00
2004-07-01,188805000.00
2004-08-01,189023000.00
2004-09-01,189243000.00
2004-10-01,189434000.00
2004-11-01,189648000.00
2004-12-01,189844000.00
2005-01-01,189949000.00
2005-02-01,190108000.00
2005-03-01,190281000.00
2005-04-01,190459000.00
2005-05-01,190656000.00
2005-06-01,190878000.00
2005-07-01,191069000.00
2005-08-01,191272000.00
2005-09-01,191525000.00
2005-10-01,191753000.00
2005-11-01,192003000.00
2005-12-01,192217000.00
2006-01-01,192191000.00
2006-02-01,192368000.00
2006-03-01,192514000.00
2006-04-01,192690000.00
2006-05-01,192874000.00
2006-06-01,193064000.00
2006-07-01,193287000.00
2006-08-01,193496000.00
2006-09-01,193687000.00
2006-10-01,193878000.00
2006-11-01,194101000.00
2006-12-01,194267000.00
2007-01-01,194704000.00
2007-02-01,194878000.00
2007-03-01,195021000.00
2007-04-01,195205000.00
2007-05-01,195347000.00
2007-06-01,195506000.00
2007-07-01,195724000.00
2007-08-01,195921000.00
2007-09-01,196110000.00
2007-10-01,196271000.00
2007-11-01,196428000.00
2007-12-01,196553000.00
2008-01-01,195806000.00
2008-02-01,195943000.00
2008-03-01,196070000.00
2008-04-01,196196000.00
2008-05-01,196351000.00
2008-06-01,196517000.00
2008-07-01,196699000.00
2008-08-01,196860000.00
2008-09-01,197042000.00
2008-10-01,197175000.00
2008-11-01,197347000.00
2008-12-01,197513000.00
2009-01-01,197062000.00
2009-02-01,197204000.00
2009-03-01,197304000.00
2009-04-01,197410000.00
2009-05-01,197547000.00
2009-06-01,197688000.00
2009-07-01,197891000.00
2009-08-01,198028000.00
2009-09-01,198179000.00
2009-10-01,198318000.00
2009-11-01,198446000.00
2009-12-01,198562000.00
2010-01-01,198431000.00
2010-02-01,198554000.00
2010-03-01,198660000.00
2010-04-01,198756000.00
2010-05-01,198911000.00
2010-06-01,199022000.00
2010-07-01,199182000.00
2010-08-01,199308000.00
2010-09-01,199445000.00
2010-10-01,199624000.00
2010-11-01,199742000.00
2010-12-01,199844000.00
2011-01-01,199321000.00
2011-02-01,199449000.00
2011-03-01,199550000.00
2011-04-01,199668000.00
2011-05-01,199825000.00
2011-06-01,199914000.00
2011-07-01,200036000.00
2011-08-01,200093000.00
2011-09-01,200134000.00
2011-10-01,200224000.00
2011-11-01,200233000.00
2011-12-01,200220000.00
2012-01-01,201184000.00
2012-02-01,201204000.00
2012-03-01,201225000.00
2012-04-01,201303000.00
2012-05-01,201365000.00
2012-06-01,201404000.00
2012-07-01,201478000.00
2012-08-01,201484000.00
2012-09-01,201494000.00
2012-10-01,201570000.00
2012-11-01,201617000.00
2012-12-01,201655000.00
2013-01-01,201939000.00
2013-02-01,201977000.00
2013-03-01,202009000.00
2013-04-01,202104000.00
2013-05-01,202171000.00
2013-06-01,202245000.00
2013-07-01,202303000.00
2013-08-01,202352000.00
2013-09-01,202458000.00
2013-10-01,202494000.00
2013-11-01,202569000.00
2013-12-01,202590000.00
2014-01-01,202650000.00
2014-02-01,202683000.00
2014-03-01,202697000.00
2014-04-01,202801000.00
2014-05-01,202835000.00
2014-06-01,202939000.00
2014-07-01,203021000.00
2014-08-01,203113000.00
2014-09-01,203197000.00
2014-10-01,203259000.00
2014-11-01,203310000.00
2014-12-01,203342000.00
2015-01-01,203943000.00
2015-02-01,203963000.00
2015-03-01,203989000.00
2015-04-01,204049000.00
2015-05-01,204126000.00
2015-06-01,204243000.00
2015-07-01,204348000.00
2015-08-01,204454000.00
2015-09-01,204527000.00
2015-10-01,204565000.00
2015-11-01,204627000.00
2015-12-01,204667000.00
2016-01-01,205075000.00
2016-02-01,205152000.00
2016-03-01,205243000.00
2016-04-01,205300000.00
2016-05-01,205363000.00
2016-06-01,205441000.00
2016-07-01,205532000.00
2016-08-01,205652000.00
2016-09-01,205723000.00
2016-10-01,205781000.00
2016-11-01,205866000.00
2016-12-01,205905000.00
2017-01-01,205304000.00
2017-02-01,205336000.00
2017-03-01,205351000.00
2017-04-01,205348000.00
2017-05-01,205414000.00
2017-06-01,205502000.00
2017-07-01,205595000.00
2017-08-01,205649000.00
2017-09-01,205689000.00
2017-10-01,205716000.00
2017-11-01,205756000.00
2017-12-01,205790000.00
2018-01-01,206253000.00
2018-02-01,206272000.00
2018-03-01,206328000.00
2018-04-01,206365000.00
2018-05-01,206408000.00
