Date,UCMSVS
1998-06-01,38124000000.00
1998-07-01,34686000000.00
1998-08-01,36449000000.00
1998-09-01,36828000000.00
1998-10-01,37035000000.00
1998-11-01,34168000000.00
1998-12-01,32187000000.00
1999-01-01,30601000000.00
1999-02-01,34389000000.00
1999-03-01,36458000000.00
1999-04-01,36412000000.00
1999-05-01,36785000000.00
1999-06-01,39527000000.00
1999-07-01,35748000000.00
1999-08-01,38223000000.00
1999-09-01,38104000000.00
1999-10-01,37701000000.00
1999-11-01,36022000000.00
1999-12-01,34168000000.00
2000-01-01,33233000000.00
2000-02-01,36249000000.00
2000-03-01,39318000000.00
2000-04-01,37308000000.00
2000-05-01,38925000000.00
2000-06-01,40969000000.00
2000-07-01,35934000000.00
2000-08-01,39047000000.00
2000-09-01,38709000000.00
2000-10-01,38269000000.00
2000-11-01,34684000000.00
2000-12-01,32167000000.00
2001-01-01,31685000000.00
2001-02-01,33754000000.00
2001-03-01,35882000000.00
2001-04-01,35058000000.00
2001-05-01,40097000000.00
2001-06-01,38699000000.00
2001-07-01,35110000000.00
2001-08-01,38506000000.00
2001-09-01,35552000000.00
2001-10-01,36815000000.00
2001-11-01,32994000000.00
2001-12-01,30365000000.00
2002-01-01,30680000000.00
2002-02-01,32091000000.00
2002-03-01,34682000000.00
2002-04-01,36017000000.00
2002-05-01,37737000000.00
2002-06-01,38488000000.00
2002-07-01,36047000000.00
2002-08-01,38482000000.00
2002-09-01,37156000000.00
2002-10-01,37577000000.00
2002-11-01,33553000000.00
2002-12-01,31498000000.00
2003-01-01,31055000000.00
2003-02-01,32619000000.00
2003-03-01,35530000000.00
2003-04-01,35443000000.00
2003-05-01,36643000000.00
2003-06-01,38289000000.00
2003-07-01,36464000000.00
2003-08-01,37828000000.00
2003-09-01,38655000000.00
2003-10-01,39521000000.00
2003-11-01,34036000000.00
2003-12-01,33100000000.00
2004-01-01,31132000000.00
2004-02-01,33128000000.00
2004-03-01,39818000000.00
2004-04-01,39220000000.00
2004-05-01,39648000000.00
2004-06-01,41855000000.00
2004-07-01,38571000000.00
2004-08-01,42419000000.00
2004-09-01,41742000000.00
2004-10-01,40364000000.00
2004-11-01,38226000000.00
2004-12-01,37025000000.00
2005-01-01,35317000000.00
2005-02-01,37158000000.00
2005-03-01,42336000000.00
2005-04-01,42072000000.00
2005-05-01,43527000000.00
2005-06-01,46324000000.00
2005-07-01,40980000000.00
2005-08-01,46095000000.00
2005-09-01,46454000000.00
2005-10-01,45736000000.00
2005-11-01,43008000000.00
2005-12-01,40858000000.00
2006-01-01,40403000000.00
2006-02-01,42084000000.00
2006-03-01,47836000000.00
2006-04-01,44134000000.00
2006-05-01,48274000000.00
2006-06-01,50403000000.00
2006-07-01,44267000000.00
2006-08-01,49804000000.00
2006-09-01,47725000000.00
2006-10-01,47362000000.00
2006-11-01,43014000000.00
2006-12-01,41560000000.00
2007-01-01,40520000000.00
2007-02-01,41286000000.00
2007-03-01,47377000000.00
2007-04-01,46607000000.00
2007-05-01,50403000000.00
2007-06-01,51328000000.00
2007-07-01,47792000000.00
2007-08-01,51726000000.00
2007-09-01,48402000000.00
2007-10-01,49807000000.00
2007-11-01,44714000000.00
2007-12-01,40246000000.00
2008-01-01,41306000000.00
2008-02-01,43663000000.00
2008-03-01,45643000000.00
2008-04-01,47288000000.00
2008-05-01,48457000000.00
2008-06-01,51286000000.00
2008-07-01,48554000000.00
2008-08-01,49466000000.00
2008-09-01,48266000000.00
2008-10-01,47111000000.00
2008-11-01,38166000000.00
2008-12-01,34613000000.00
2009-01-01,32209000000.00
2009-02-01,33136000000.00
2009-03-01,36210000000.00
2009-04-01,35398000000.00
2009-05-01,35978000000.00
2009-06-01,38727000000.00
2009-07-01,37224000000.00
2009-08-01,37885000000.00
2009-09-01,38029000000.00
2009-10-01,37209000000.00
2009-11-01,33290000000.00
2009-12-01,31368000000.00
2010-01-01,30208000000.00
2010-02-01,31379000000.00
2010-03-01,37007000000.00
2010-04-01,38191000000.00
2010-05-01,39212000000.00
2010-06-01,41703000000.00
2010-07-01,38282000000.00
2010-08-01,40464000000.00
2010-09-01,39506000000.00
2010-10-01,38783000000.00
2010-11-01,35687000000.00
2010-12-01,33458000000.00
2011-01-01,32335000000.00
2011-02-01,33173000000.00
2011-03-01,39755000000.00
2011-04-01,38514000000.00
2011-05-01,40828000000.00
2011-06-01,44008000000.00
2011-07-01,40395000000.00
2011-08-01,44127000000.00
2011-09-01,42368000000.00
2011-10-01,41696000000.00
2011-11-01,38332000000.00
2011-12-01,36067000000.00
2012-01-01,36199000000.00
2012-02-01,37545000000.00
2012-03-01,42169000000.00
2012-04-01,42185000000.00
2012-05-01,45043000000.00
2012-06-01,45593000000.00
2012-07-01,42710000000.00
2012-08-01,45956000000.00
2012-09-01,42420000000.00
2012-10-01,44787000000.00
2012-11-01,39811000000.00
2012-12-01,36430000000.00
2013-01-01,38359000000.00
2013-02-01,38495000000.00
2013-03-01,42033000000.00
2013-04-01,44842000000.00
2013-05-01,47012000000.00
2013-06-01,46618000000.00
2013-07-01,45690000000.00
2013-08-01,47772000000.00
2013-09-01,45907000000.00
2013-10-01,47540000000.00
2013-11-01,41461000000.00
2013-12-01,37978000000.00
2014-01-01,38813000000.00
2014-02-01,38695000000.00
2014-03-01,44234000000.00
2014-04-01,46341000000.00
2014-05-01,48108000000.00
2014-06-01,50085000000.00
2014-07-01,48468000000.00
2014-08-01,49426000000.00
2014-09-01,49161000000.00
2014-10-01,49888000000.00
2014-11-01,42262000000.00
2014-12-01,41702000000.00
2015-01-01,40548000000.00
2015-02-01,40645000000.00
2015-03-01,46091000000.00
2015-04-01,47688000000.00
2015-05-01,47558000000.00
2015-06-01,50751000000.00
2015-07-01,49142000000.00
2015-08-01,49452000000.00
2015-09-01,48975000000.00
2015-10-01,49112000000.00
2015-11-01,43052000000.00
2015-12-01,41056000000.00
2016-01-01,39669000000.00
2016-02-01,42530000000.00
2016-03-01,47348000000.00
2016-04-01,47018000000.00
2016-05-01,48374000000.00
2016-06-01,50835000000.00
2016-07-01,46517000000.00
2016-08-01,50708000000.00
2016-09-01,48296000000.00
2016-10-01,47844000000.00
2016-11-01,44047000000.00
2016-12-01,41664000000.00
2017-01-01,41194000000.00
2017-02-01,42548000000.00
2017-03-01,49462000000.00
2017-04-01,47644000000.00
2017-05-01,51908000000.00
2017-06-01,53480000000.00
2017-07-01,48525000000.00
2017-08-01,53382000000.00
2017-09-01,50621000000.00
2017-10-01,51950000000.00
2017-11-01,47286000000.00
2017-12-01,43813000000.00
2018-01-01,44423000000.00
2018-02-01,44565000000.00
2018-03-01,50913000000.00
2018-04-01,51612000000.00
