Date,UNDENO
1999-08-01,61532000000.00
1999-09-01,74731000000.00
1999-10-01,62736000000.00
1999-11-01,62288000000.00
1999-12-01,79136000000.00
2000-01-01,62065000000.00
2000-02-01,61452000000.00
2000-03-01,75793000000.00
2000-04-01,63739000000.00
2000-05-01,65293000000.00
2000-06-01,84597000000.00
2000-07-01,59837000000.00
2000-08-01,64378000000.00
2000-09-01,82947000000.00
2000-10-01,63139000000.00
2000-11-01,66262000000.00
2000-12-01,81833000000.00
2001-01-01,57626000000.00
2001-02-01,61261000000.00
2001-03-01,72646000000.00
2001-04-01,54895000000.00
2001-05-01,58664000000.00
2001-06-01,65844000000.00
2001-07-01,48577000000.00
2001-08-01,53468000000.00
2001-09-01,58013000000.00
2001-10-01,48218000000.00
2001-11-01,50516000000.00
2001-12-01,61824000000.00
2002-01-01,43918000000.00
2002-02-01,50306000000.00
2002-03-01,56688000000.00
2002-04-01,49255000000.00
2002-05-01,52954000000.00
2002-06-01,54102000000.00
2002-07-01,47862000000.00
2002-08-01,54155000000.00
2002-09-01,55227000000.00
2002-10-01,50648000000.00
2002-11-01,49810000000.00
2002-12-01,57478000000.00
2003-01-01,47417000000.00
2003-02-01,48159000000.00
2003-03-01,58851000000.00
2003-04-01,49707000000.00
2003-05-01,51504000000.00
2003-06-01,57880000000.00
2003-07-01,47884000000.00
2003-08-01,49032000000.00
2003-09-01,59459000000.00
2003-10-01,53563000000.00
2003-11-01,51249000000.00
2003-12-01,62116000000.00
2004-01-01,47790000000.00
2004-02-01,52038000000.00
2004-03-01,65024000000.00
2004-04-01,53344000000.00
2004-05-01,54026000000.00
2004-06-01,61337000000.00
2004-07-01,56847000000.00
2004-08-01,52424000000.00
2004-09-01,63602000000.00
2004-10-01,54952000000.00
2004-11-01,59475000000.00
2004-12-01,67954000000.00
2005-01-01,55570000000.00
2005-02-01,58243000000.00
2005-03-01,65830000000.00
2005-04-01,59290000000.00
2005-05-01,70865000000.00
2005-06-01,76372000000.00
2005-07-01,58436000000.00
2005-08-01,66866000000.00
2005-09-01,67511000000.00
2005-10-01,65758000000.00
2005-11-01,79475000000.00
2005-12-01,90070000000.00
2006-01-01,61408000000.00
2006-02-01,64927000000.00
2006-03-01,85951000000.00
2006-04-01,68215000000.00
2006-05-01,69518000000.00
2006-06-01,78746000000.00
2006-07-01,63659000000.00
2006-08-01,65400000000.00
2006-09-01,91251000000.00
2006-10-01,74724000000.00
2006-11-01,74128000000.00
2006-12-01,91443000000.00
2007-01-01,63599000000.00
2007-02-01,69226000000.00
2007-03-01,92264000000.00
2007-04-01,79348000000.00
2007-05-01,73980000000.00
2007-06-01,88202000000.00
2007-07-01,77214000000.00
2007-08-01,73748000000.00
2007-09-01,82561000000.00
2007-10-01,75792000000.00
2007-11-01,80289000000.00
2007-12-01,101262000000.00
2008-01-01,74193000000.00
2008-02-01,75972000000.00
2008-03-01,88685000000.00
2008-04-01,75724000000.00
2008-05-01,76207000000.00
2008-06-01,81774000000.00
2008-07-01,70446000000.00
2008-08-01,68213000000.00
2008-09-01,74774000000.00
2008-10-01,63982000000.00
2008-11-01,58089000000.00
2008-12-01,71370000000.00
2009-01-01,41023000000.00
2009-02-01,40757000000.00
2009-03-01,53011000000.00
2009-04-01,40709000000.00
2009-05-01,46083000000.00
2009-06-01,53254000000.00
2009-07-01,49787000000.00
2009-08-01,46641000000.00
2009-09-01,55405000000.00
2009-10-01,50971000000.00
2009-11-01,48098000000.00
2009-12-01,61377000000.00
2010-01-01,49263000000.00
2010-02-01,56992000000.00
2010-03-01,65280000000.00
2010-04-01,58050000000.00
2010-05-01,59362000000.00
2010-06-01,68334000000.00
2010-07-01,57067000000.00
2010-08-01,59796000000.00
2010-09-01,74882000000.00
2010-10-01,64898000000.00
2010-11-01,60506000000.00
2010-12-01,73278000000.00
2011-01-01,56828000000.00
2011-02-01,61145000000.00
2011-03-01,79381000000.00
2011-04-01,62300000000.00
2011-05-01,68998000000.00
2011-06-01,73046000000.00
2011-07-01,64943000000.00
2011-08-01,74831000000.00
2011-09-01,77967000000.00
2011-10-01,68876000000.00
2011-11-01,73863000000.00
2011-12-01,98862000000.00
2012-01-01,74922000000.00
2012-02-01,83781000000.00
2012-03-01,85720000000.00
2012-04-01,71281000000.00
2012-05-01,75454000000.00
2012-06-01,80326000000.00
2012-07-01,76393000000.00
2012-08-01,62256000000.00
2012-09-01,80195000000.00
2012-10-01,76858000000.00
2012-11-01,71030000000.00
2012-12-01,93870000000.00
2013-01-01,67042000000.00
2013-02-01,81204000000.00
2013-03-01,80880000000.00
2013-04-01,72346000000.00
2013-05-01,84069000000.00
2013-06-01,97241000000.00
2013-07-01,70073000000.00
2013-08-01,69657000000.00
2013-09-01,87300000000.00
2013-10-01,74213000000.00
2013-11-01,83497000000.00
2013-12-01,102607000000.00
2014-01-01,67072000000.00
2014-02-01,70967000000.00
2014-03-01,86768000000.00
2014-04-01,71241000000.00
2014-05-01,73952000000.00
2014-06-01,87070000000.00
2014-07-01,127525000000.00
2014-08-01,74921000000.00
2014-09-01,85242000000.00
2014-10-01,71352000000.00
2014-11-01,72257000000.00
2014-12-01,88550000000.00
2015-01-01,62937000000.00
2015-02-01,66199000000.00
2015-03-01,83789000000.00
2015-04-01,69490000000.00
2015-05-01,63352000000.00
2015-06-01,83818000000.00
2015-07-01,71463000000.00
2015-08-01,67533000000.00
2015-09-01,72029000000.00
2015-10-01,72401000000.00
2015-11-01,68304000000.00
2015-12-01,76708000000.00
2016-01-01,60605000000.00
2016-02-01,61395000000.00
2016-03-01,72453000000.00
2016-04-01,66500000000.00
2016-05-01,67415000000.00
2016-06-01,70037000000.00
2016-07-01,63084000000.00
2016-08-01,62430000000.00
2016-09-01,70696000000.00
2016-10-01,75873000000.00
2016-11-01,61075000000.00
2016-12-01,78553000000.00
2017-01-01,57674000000.00
2017-02-01,64390000000.00
2017-03-01,82656000000.00
2017-04-01,65753000000.00
2017-05-01,67837000000.00
2017-06-01,94520000000.00
2017-07-01,64215000000.00
2017-08-01,67648000000.00
2017-09-01,81829000000.00
2017-10-01,72768000000.00
2017-11-01,74342000000.00
2017-12-01,88954000000.00
2018-01-01,64349000000.00
2018-02-01,71269000000.00
2018-03-01,94171000000.00
2018-04-01,74359000000.00
2018-05-01,75570000000.00
