Date,UTCGNO
2003-09-01,66060000000.00
2003-10-01,61905000000.00
2003-11-01,59095000000.00
2003-12-01,77423000000.00
2004-01-01,56755000000.00
2004-02-01,61390000000.00
2004-03-01,77451000000.00
2004-04-01,60977000000.00
2004-05-01,58855000000.00
2004-06-01,69938000000.00
2004-07-01,61408000000.00
2004-08-01,58208000000.00
2004-09-01,71254000000.00
2004-10-01,64478000000.00
2004-11-01,67247000000.00
2004-12-01,79787000000.00
2005-01-01,62197000000.00
2005-02-01,64531000000.00
2005-03-01,75704000000.00
2005-04-01,64576000000.00
2005-05-01,75702000000.00
2005-06-01,85033000000.00
2005-07-01,62707000000.00
2005-08-01,71477000000.00
2005-09-01,73526000000.00
2005-10-01,74315000000.00
2005-11-01,85990000000.00
2005-12-01,100914000000.00
2006-01-01,65022000000.00
2006-02-01,74010000000.00
2006-03-01,98346000000.00
2006-04-01,74234000000.00
2006-05-01,73791000000.00
2006-06-01,89427000000.00
2006-07-01,69036000000.00
2006-08-01,73058000000.00
2006-09-01,104336000000.00
2006-10-01,81513000000.00
2006-11-01,85233000000.00
2006-12-01,104493000000.00
2007-01-01,72743000000.00
2007-02-01,78218000000.00
2007-03-01,100971000000.00
2007-04-01,85356000000.00
2007-05-01,80231000000.00
2007-06-01,94639000000.00
2007-07-01,83938000000.00
2007-08-01,84284000000.00
2007-09-01,89466000000.00
2007-10-01,85240000000.00
2007-11-01,86732000000.00
2007-12-01,119597000000.00
2008-01-01,84613000000.00
2008-02-01,86953000000.00
2008-03-01,101434000000.00
2008-04-01,82745000000.00
2008-05-01,84334000000.00
2008-06-01,93844000000.00
2008-07-01,77056000000.00
2008-08-01,77675000000.00
2008-09-01,88181000000.00
2008-10-01,72265000000.00
2008-11-01,66293000000.00
2008-12-01,91234000000.00
2009-01-01,48359000000.00
2009-02-01,49667000000.00
2009-03-01,63746000000.00
2009-04-01,48830000000.00
2009-05-01,55625000000.00
2009-06-01,60714000000.00
2009-07-01,55820000000.00
2009-08-01,54791000000.00
2009-09-01,65050000000.00
2009-10-01,58297000000.00
2009-11-01,55055000000.00
2009-12-01,74720000000.00
2010-01-01,61779000000.00
2010-02-01,68685000000.00
2010-03-01,80593000000.00
2010-04-01,68535000000.00
2010-05-01,69707000000.00
2010-06-01,79755000000.00
2010-07-01,65445000000.00
2010-08-01,70053000000.00
2010-09-01,87679000000.00
2010-10-01,73417000000.00
2010-11-01,70332000000.00
2010-12-01,89155000000.00
2011-01-01,71370000000.00
2011-02-01,71974000000.00
2011-03-01,95155000000.00
2011-04-01,73085000000.00
2011-05-01,79653000000.00
2011-06-01,85830000000.00
2011-07-01,72995000000.00
2011-08-01,84893000000.00
2011-09-01,90526000000.00
2011-10-01,76188000000.00
2011-11-01,81650000000.00
2011-12-01,110807000000.00
2012-01-01,82710000000.00
2012-02-01,93403000000.00
2012-03-01,98570000000.00
2012-04-01,77350000000.00
2012-05-01,81714000000.00
2012-06-01,95048000000.00
2012-07-01,85758000000.00
2012-08-01,67615000000.00
2012-09-01,90785000000.00
2012-10-01,83176000000.00
2012-11-01,77457000000.00
2012-12-01,117675000000.00
2013-01-01,72227000000.00
2013-02-01,89817000000.00
2013-03-01,88626000000.00
2013-04-01,77113000000.00
2013-05-01,90403000000.00
2013-06-01,110877000000.00
2013-07-01,75842000000.00
2013-08-01,75909000000.00
2013-09-01,98230000000.00
2013-10-01,79954000000.00
2013-11-01,89977000000.00
2013-12-01,112848000000.00
2014-01-01,73085000000.00
2014-02-01,79780000000.00
2014-03-01,99273000000.00
2014-04-01,86469000000.00
2014-05-01,80686000000.00
2014-06-01,100517000000.00
2014-07-01,132865000000.00
2014-08-01,80960000000.00
2014-09-01,94146000000.00
2014-10-01,79091000000.00
2014-11-01,79072000000.00
2014-12-01,99203000000.00
2015-01-01,69882000000.00
2015-02-01,74631000000.00
2015-03-01,95297000000.00
2015-04-01,75757000000.00
2015-05-01,69870000000.00
2015-06-01,97029000000.00
2015-07-01,79918000000.00
2015-08-01,73061000000.00
2015-09-01,78545000000.00
2015-10-01,79355000000.00
2015-11-01,80466000000.00
2015-12-01,89000000000.00
2016-01-01,68657000000.00
2016-02-01,67744000000.00
2016-03-01,88365000000.00
2016-04-01,77161000000.00
2016-05-01,73547000000.00
2016-06-01,78647000000.00
2016-07-01,68597000000.00
2016-08-01,70959000000.00
2016-09-01,82804000000.00
2016-10-01,84837000000.00
2016-11-01,74250000000.00
2016-12-01,94262000000.00
2017-01-01,65899000000.00
2017-02-01,66908000000.00
2017-03-01,95824000000.00
2017-04-01,75516000000.00
2017-05-01,74229000000.00
2017-06-01,108964000000.00
2017-07-01,73739000000.00
2017-08-01,75634000000.00
2017-09-01,98933000000.00
2017-10-01,81284000000.00
2017-11-01,84944000000.00
2017-12-01,103092000000.00
2018-01-01,70991000000.00
2018-02-01,83151000000.00
2018-03-01,108637000000.00
2018-04-01,84398000000.00
2018-05-01,86886000000.00
