Date,CAPUTLGMFDS
1977-07-01,82.14
1977-08-01,82.36
1977-09-01,82.17
1977-10-01,82.04
1977-11-01,81.67
1977-12-01,82.58
1978-01-01,80.51
1978-02-01,80.80
1978-03-01,82.38
1978-04-01,83.71
1978-05-01,83.55
1978-06-01,84.00
1978-07-01,84.05
1978-08-01,84.46
1978-09-01,84.66
1978-10-01,85.32
1978-11-01,85.89
1978-12-01,86.48
1979-01-01,85.55
1979-02-01,85.86
1979-03-01,85.84
1979-04-01,83.37
1979-05-01,84.86
1979-06-01,84.91
1979-07-01,84.37
1979-08-01,82.58
1979-09-01,83.35
1979-10-01,83.09
1979-11-01,82.52
1979-12-01,82.66
1980-01-01,82.75
1980-02-01,82.51
1980-03-01,81.73
1980-04-01,79.30
1980-05-01,76.07
1980-06-01,74.46
1980-07-01,73.35
1980-08-01,73.58
1980-09-01,74.80
1980-10-01,76.42
1980-11-01,78.14
1980-12-01,77.68
1981-01-01,76.98
1981-02-01,76.16
1981-03-01,76.32
1981-04-01,76.73
1981-05-01,76.70
1981-06-01,76.01
1981-07-01,75.76
1981-08-01,75.58
1981-09-01,74.82
1981-10-01,73.77
1981-11-01,72.17
1981-12-01,70.55
1982-01-01,68.11
1982-02-01,69.78
1982-03-01,68.88
1982-04-01,68.34
1982-05-01,67.92
1982-06-01,67.24
1982-07-01,67.03
1982-08-01,65.70
1982-09-01,65.06
1982-10-01,63.58
1982-11-01,62.98
1982-12-01,63.11
1983-01-01,64.61
1983-02-01,64.66
1983-03-01,65.42
1983-04-01,66.09
1983-05-01,67.09
1983-06-01,67.77
1983-07-01,69.10
1983-08-01,69.73
1983-09-01,71.40
1983-10-01,72.51
1983-11-01,72.85
1983-12-01,73.50
1984-01-01,75.08
1984-02-01,76.06
1984-03-01,76.28
1984-04-01,76.68
1984-05-01,76.68
1984-06-01,77.04
1984-07-01,77.52
1984-08-01,77.76
1984-09-01,77.22
1984-10-01,77.22
1984-11-01,77.46
1984-12-01,77.60
1985-01-01,77.05
1985-02-01,76.28
1985-03-01,76.82
1985-04-01,75.93
1985-05-01,75.75
1985-06-01,75.79
1985-07-01,75.08
1985-08-01,75.41
1985-09-01,75.03
1985-10-01,74.74
1985-11-01,75.34
1985-12-01,75.45
1986-01-01,76.14
1986-02-01,75.61
1986-03-01,75.42
1986-04-01,75.31
1986-05-01,75.13
1986-06-01,74.64
1986-07-01,75.15
1986-08-01,75.14
1986-09-01,75.35
1986-10-01,75.20
1986-11-01,75.41
1986-12-01,75.91
1987-01-01,75.63
1987-02-01,76.78
1987-03-01,76.47
1987-04-01,76.66
1987-05-01,76.82
1987-06-01,76.77
1987-07-01,76.84
1987-08-01,77.50
1987-09-01,77.96
1987-10-01,79.70
1987-11-01,79.95
1987-12-01,80.46
1988-01-01,80.33
1988-02-01,80.39
1988-03-01,80.77
1988-04-01,81.68
1988-05-01,81.98
1988-06-01,82.14
1988-07-01,81.83
1988-08-01,81.98
1988-09-01,82.80
1988-10-01,83.19
1988-11-01,83.66
1988-12-01,83.81
1989-01-01,84.82
1989-02-01,83.49
1989-03-01,82.94
1989-04-01,83.33
1989-05-01,82.11
1989-06-01,81.96
1989-07-01,80.88
1989-08-01,81.57
1989-09-01,81.12
1989-10-01,80.03
1989-11-01,79.90
1989-12-01,80.15
1990-01-01,78.84
1990-02-01,80.17
1990-03-01,80.98
1990-04-01,80.28
1990-05-01,80.60
1990-06-01,80.64
1990-07-01,80.08
1990-08-01,80.17
1990-09-01,79.90
1990-10-01,78.74
1990-11-01,76.78
1990-12-01,75.94
1991-01-01,75.21
1991-02-01,74.33
1991-03-01,73.89
1991-04-01,74.18
1991-05-01,74.40
1991-06-01,75.50
1991-07-01,75.96
1991-08-01,75.74
1991-09-01,76.87
1991-10-01,76.47
1991-11-01,76.47
1991-12-01,76.00
1992-01-01,74.65
1992-02-01,75.99
1992-03-01,76.55
1992-04-01,76.91
1992-05-01,77.55
1992-06-01,77.24
1992-07-01,77.86
1992-08-01,77.28
1992-09-01,77.02
1992-10-01,77.64
1992-11-01,77.85
1992-12-01,77.89
1993-01-01,78.34
1993-02-01,78.39
1993-03-01,78.35
1993-04-01,78.55
1993-05-01,78.42
1993-06-01,77.99
1993-07-01,78.00
1993-08-01,77.53
1993-09-01,78.33
1993-10-01,79.25
1993-11-01,79.60
1993-12-01,80.08
1994-01-01,80.15
1994-02-01,79.74
1994-03-01,80.38
1994-04-01,81.17
1994-05-01,81.33
1994-06-01,81.16
1994-07-01,81.67
1994-08-01,81.57
1994-09-01,82.06
1994-10-01,82.70
1994-11-01,82.97
1994-12-01,83.79
1995-01-01,83.57
1995-02-01,82.82
1995-03-01,82.84
1995-04-01,82.26
1995-05-01,82.06
1995-06-01,82.19
1995-07-01,80.87
1995-08-01,82.00
1995-09-01,82.53
1995-10-01,81.89
1995-11-01,81.61
1995-12-01,81.68
1996-01-01,80.48
1996-02-01,81.80
1996-03-01,80.48
1996-04-01,81.58
1996-05-01,81.68
1996-06-01,82.17
1996-07-01,81.89
1996-08-01,81.86
1996-09-01,81.99
1996-10-01,81.05
1996-11-01,81.29
1996-12-01,81.58
1997-01-01,81.05
1997-02-01,81.91
1997-03-01,82.15
1997-04-01,81.56
1997-05-01,81.71
1997-06-01,81.99
1997-07-01,81.67
1997-08-01,82.40
1997-09-01,82.43
1997-10-01,82.60
1997-11-01,83.26
1997-12-01,82.93
1998-01-01,82.79
1998-02-01,82.26
1998-03-01,81.37
1998-04-01,80.86
1998-05-01,80.63
1998-06-01,78.86
1998-07-01,77.56
1998-08-01,80.26
1998-09-01,79.94
1998-10-01,80.53
1998-11-01,80.18
1998-12-01,80.38
1999-01-01,79.88
1999-02-01,80.08
1999-03-01,79.75
1999-04-01,79.94
1999-05-01,80.07
1999-06-01,79.75
1999-07-01,80.37
1999-08-01,80.30
1999-09-01,79.32
1999-10-01,80.15
1999-11-01,80.06
1999-12-01,79.98
2000-01-01,80.61
2000-02-01,80.31
2000-03-01,80.48
2000-04-01,80.79
2000-05-01,80.52
2000-06-01,80.26
2000-07-01,80.02
2000-08-01,79.10
2000-09-01,78.93
2000-10-01,78.30
2000-11-01,77.48
2000-12-01,76.45
2001-01-01,75.46
2001-02-01,74.56
2001-03-01,74.43
2001-04-01,73.48
2001-05-01,72.59
2001-06-01,71.64
2001-07-01,70.89
2001-08-01,70.03
2001-09-01,69.34
2001-10-01,68.29
2001-11-01,68.03
2001-12-01,68.24
2002-01-01,68.36
2002-02-01,68.51
2002-03-01,69.10
2002-04-01,69.54
2002-05-01,69.74
2002-06-01,70.54
2002-07-01,70.42
2002-08-01,70.67
2002-09-01,70.70
2002-10-01,70.40
2002-11-01,70.86
2002-12-01,70.16
2003-01-01,70.75
2003-02-01,70.43
2003-03-01,70.25
2003-04-01,69.59
2003-05-01,69.96
2003-06-01,70.51
2003-07-01,71.00
2003-08-01,70.65
2003-09-01,71.46
2003-10-01,71.67
2003-11-01,72.72
2003-12-01,72.57
2004-01-01,72.64
2004-02-01,73.31
2004-03-01,73.27
2004-04-01,73.35
2004-05-01,73.82
2004-06-01,73.22
2004-07-01,73.96
2004-08-01,74.21
2004-09-01,74.26
2004-10-01,75.07
2004-11-01,74.84
2004-12-01,75.29
2005-01-01,75.89
2005-02-01,76.57
2005-03-01,75.89
2005-04-01,76.07
2005-05-01,76.12
2005-06-01,75.90
2005-07-01,75.17
2005-08-01,76.09
2005-09-01,76.12
2005-10-01,77.82
2005-11-01,77.75
2005-12-01,77.28
2006-01-01,77.92
2006-02-01,77.63
2006-03-01,77.67
2006-04-01,78.04
2006-05-01,77.58
2006-06-01,77.81
2006-07-01,77.28
2006-08-01,77.97
2006-09-01,77.66
2006-10-01,76.98
2006-11-01,77.05
2006-12-01,78.06
2007-01-01,77.15
2007-02-01,77.51
2007-03-01,78.39
2007-04-01,79.03
2007-05-01,78.81
2007-06-01,79.02
2007-07-01,78.77
2007-08-01,78.66
2007-09-01,78.82
2007-10-01,78.68
2007-11-01,79.32
2007-12-01,79.41
2008-01-01,79.33
2008-02-01,78.94
2008-03-01,78.85
2008-04-01,77.76
2008-05-01,77.34
2008-06-01,77.16
2008-07-01,75.89
2008-08-01,74.82
2008-09-01,72.17
2008-10-01,70.23
2008-11-01,68.32
2008-12-01,66.02
2009-01-01,62.33
2009-02-01,62.07
2009-03-01,60.66
2009-04-01,60.05
2009-05-01,58.77
2009-06-01,58.32
2009-07-01,60.42
2009-08-01,61.35
2009-09-01,62.57
2009-10-01,62.62
2009-11-01,63.50
2009-12-01,63.80
2010-01-01,65.08
2010-02-01,65.20
2010-03-01,66.49
2010-04-01,67.49
2010-05-01,68.90
2010-06-01,69.00
2010-07-01,69.92
2010-08-01,69.91
2010-09-01,70.12
2010-10-01,70.40
2010-11-01,70.57
2010-12-01,70.97
2011-01-01,71.46
2011-02-01,71.90
2011-03-01,72.31
2011-04-01,71.51
2011-05-01,71.95
2011-06-01,72.00
2011-07-01,72.50
2011-08-01,72.98
2011-09-01,73.20
2011-10-01,73.68
2011-11-01,73.66
2011-12-01,74.34
2012-01-01,75.18
2012-02-01,75.51
2012-03-01,75.36
2012-04-01,75.90
2012-05-01,75.57
2012-06-01,75.80
2012-07-01,75.53
2012-08-01,75.23
2012-09-01,74.79
2012-10-01,74.50
2012-11-01,75.23
2012-12-01,75.83
2013-01-01,75.14
2013-02-01,75.76
2013-03-01,75.74
2013-04-01,75.28
2013-05-01,75.15
2013-06-01,75.28
2013-07-01,74.10
2013-08-01,75.34
2013-09-01,75.66
2013-10-01,75.65
2013-11-01,75.92
2013-12-01,75.45
2014-01-01,74.54
2014-02-01,75.80
2014-03-01,76.64
2014-04-01,76.24
2014-05-01,76.95
2014-06-01,77.15
2014-07-01,77.79
2014-08-01,77.10
2014-09-01,77.15
2014-10-01,77.22
2014-11-01,77.97
2014-12-01,77.53
2015-01-01,77.01
2015-02-01,76.38
2015-03-01,76.56
2015-04-01,76.32
2015-05-01,76.42
2015-06-01,75.93
2015-07-01,76.48
2015-08-01,75.90
2015-09-01,75.35
2015-10-01,75.15
2015-11-01,74.60
2015-12-01,74.38
2016-01-01,74.58
2016-02-01,74.18
2016-03-01,73.68
2016-04-01,73.54
2016-05-01,73.25
2016-06-01,73.63
2016-07-01,73.85
2016-08-01,73.48
2016-09-01,73.45
2016-10-01,73.69
2016-11-01,73.64
2016-12-01,74.12
2017-01-01,74.32
2017-02-01,74.25
2017-03-01,73.91
2017-04-01,74.90
2017-05-01,74.17
2017-06-01,74.08
2017-07-01,73.49
2017-08-01,73.62
2017-09-01,74.23
2017-10-01,74.42
2017-11-01,74.58
2017-12-01,74.57
2018-01-01,74.28
2018-02-01,75.37
2018-03-01,75.49
2018-04-01,75.74
2018-05-01,74.77
